begins_at,open_price,close_price,high_price,low_price,volume,session
2026-06-03T00:00:00Z,20.750000,19.010000,20.950000,18.575000,18035284,reg
2026-06-04T00:00:00Z,19.200000,18.600000,19.740000,18.380000,4800392,reg
2026-06-05T00:00:00Z,18.595000,17.540000,18.595000,17.080000,2761867,reg
2026-06-08T00:00:00Z,17.450000,19.220000,19.510000,17.250000,3142329,reg
2026-06-09T00:00:00Z,19.100000,19.120000,19.950000,18.750000,4040767,reg
2026-06-10T00:00:00Z,19.030000,18.410000,20.360000,18.410000,1641103,reg
2026-06-11T00:00:00Z,18.510000,22.090000,22.200000,18.420000,2431274,reg
2026-06-12T00:00:00Z,20.830000,20.430000,23.000000,20.020000,1356084,reg
2026-06-15T00:00:00Z,20.760000,19.780000,21.160000,19.560000,765401,reg
2026-06-16T00:00:00Z,19.730000,22.130000,22.588600,19.500000,1394023,reg
2026-06-17T00:00:00Z,21.720000,20.230000,22.710000,20.130000,866273,reg
2026-06-18T00:00:00Z,20.290000,18.820000,20.650000,18.490000,1407160,reg
2026-06-22T00:00:00Z,18.640000,18.220000,19.251100,17.770000,775591,reg
2026-06-23T00:00:00Z,17.750000,18.350000,18.790000,17.480000,722804,reg
2026-06-24T00:00:00Z,18.100000,18.250000,18.510000,17.280000,1359513,reg
2026-06-25T00:00:00Z,18.200000,18.750000,18.880000,17.810000,896070,reg
2026-06-26T00:00:00Z,18.480000,20.530000,20.740000,18.370000,1460641,reg
2026-06-29T00:00:00Z,21.250000,20.730000,21.250000,19.660000,1960390,reg
2026-06-30T00:00:00Z,21.100000,22.780000,22.919200,20.740000,2124753,reg
2026-07-01T00:00:00Z,22.540000,23.850000,24.240000,21.800000,2263766,reg
2026-07-02T00:00:00Z,23.920000,23.060000,24.190000,22.800000,890137,reg
2026-07-06T00:00:00Z,23.030000,23.080000,23.440000,22.101900,812995,reg
2026-07-07T00:00:00Z,22.850000,23.290000,23.850000,22.000000,1561338,reg
2026-07-08T00:00:00Z,23.080000,20.860000,23.570000,20.690000,1718805,reg
2026-07-09T00:00:00Z,21.010000,20.810000,21.800000,20.690000,464212,reg
2026-07-10T00:00:00Z,20.610000,20.590000,21.231400,20.260000,362750,reg
2026-07-13T00:00:00Z,20.590000,18.720000,21.040000,18.450000,763776,reg
2026-07-14T00:00:00Z,18.810000,19.230000,19.910000,18.250000,681766,reg
2026-07-15T00:00:00Z,19.130000,19.000000,19.380000,18.500000,926409,reg
2026-07-16T00:00:00Z,18.670000,17.170000,19.010000,17.070000,713347,reg
2026-07-17T00:00:00Z,17.090000,17.000000,17.990000,16.760300,756858,reg
2026-07-20T00:00:00Z,16.820000,16.850000,17.840000,16.570000,422493,reg
2026-07-21T00:00:00Z,17.130000,18.030000,18.620000,17.000000,570670,reg
2026-07-22T00:00:00Z,17.820000,17.290000,18.570000,17.240000,553161,reg
2026-07-23T00:00:00Z,17.920000,19.100000,19.420000,17.920000,1390093,reg
2026-07-24T00:00:00Z,19.220000,18.010000,19.500000,17.500000,940070,reg
2026-07-27T00:00:00Z,19.100000,18.680000,19.250000,17.870000,1847110,reg
2026-07-28T00:00:00Z,18.890000,18.860000,19.100000,17.760000,1000470,reg
2026-07-29T00:00:00Z,18.940000,17.310000,19.245000,16.911700,1549318,reg
2026-07-30T00:00:00Z,17.600000,17.360000,18.200000,17.330000,1125801,reg
2026-07-31T00:00:00Z,18.200000,18.700000,18.915000,17.710000,1299931,reg
2026-08-03T00:00:00Z,18.620000,19.220000,19.685000,18.320000,908818,reg
2026-08-04T00:00:00Z,19.620000,20.550000,20.750000,19.525000,1204921,reg
2026-08-05T00:00:00Z,20.250000,21.220000,21.900000,20.250000,894221,reg
2026-08-06T00:00:00Z,20.990000,21.260000,22.290000,20.650000,632008,reg
2026-08-07T00:00:00Z,21.650000,21.540000,21.980000,21.000000,608447,reg
2026-08-10T00:00:00Z,21.430000,21.520000,22.630000,21.370000,1053682,reg
2026-08-11T00:00:00Z,21.820000,20.590000,22.130000,20.200000,960114,reg
2026-08-12T00:00:00Z,19.950000,19.110000,20.685600,18.300000,2237195,reg
