begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-23T00:00:00Z,84.820000,86.830000,86.865000,84.140000,199622,reg
2025-06-24T00:00:00Z,87.520000,88.020000,88.020000,86.620000,270613,reg
2025-06-25T00:00:00Z,88.140000,85.650000,88.140000,85.560000,407328,reg
2025-06-26T00:00:00Z,86.070000,87.690000,87.810000,85.620000,229383,reg
2025-06-27T00:00:00Z,87.960000,88.010000,88.720000,87.205000,758867,reg
2025-06-30T00:00:00Z,88.120000,86.710000,88.180000,86.330000,276825,reg
2025-07-01T00:00:00Z,86.140000,87.850000,89.430000,85.550000,203189,reg
2025-07-02T00:00:00Z,88.020000,89.670000,89.690000,87.720000,205218,reg
2025-07-03T00:00:00Z,90.000000,90.020000,90.400000,89.430000,112427,reg
2025-07-07T00:00:00Z,89.340000,89.390000,90.120000,88.550000,306938,reg
2025-07-08T00:00:00Z,89.200000,90.020000,90.260000,88.615000,285615,reg
2025-07-09T00:00:00Z,90.750000,91.550000,91.560000,89.705000,196726,reg
2025-07-10T00:00:00Z,90.770000,91.840000,92.650000,90.770000,209573,reg
2025-07-11T00:00:00Z,90.660000,89.730000,91.335000,89.665000,264699,reg
2025-07-14T00:00:00Z,89.440000,89.340000,89.965000,88.990000,266641,reg
2025-07-15T00:00:00Z,89.850000,87.610000,90.125000,87.520000,339680,reg
2025-07-16T00:00:00Z,87.610000,87.670000,87.880000,85.780000,246311,reg
2025-07-17T00:00:00Z,88.200000,90.080000,90.295000,88.200000,286033,reg
2025-07-18T00:00:00Z,90.150000,90.000000,90.440000,89.380000,548549,reg
2025-07-21T00:00:00Z,90.670000,88.480000,90.840000,88.450000,259042,reg
2025-07-22T00:00:00Z,88.810000,88.920000,89.820000,87.410000,291875,reg
2025-07-23T00:00:00Z,89.530000,90.960000,91.000000,89.400000,218874,reg
2025-07-24T00:00:00Z,90.370000,89.870000,91.075000,89.660000,202109,reg
2025-07-25T00:00:00Z,90.150000,91.140000,91.150000,90.045000,232333,reg
2025-07-28T00:00:00Z,91.180000,88.680000,91.380000,88.640000,398757,reg
2025-07-29T00:00:00Z,89.790000,88.000000,89.980000,87.840000,221572,reg
2025-07-30T00:00:00Z,88.420000,87.310000,88.920000,86.780000,303290,reg
2025-07-31T00:00:00Z,85.830000,85.880000,87.075000,84.840000,299608,reg
2025-08-01T00:00:00Z,83.980000,83.660000,84.210000,81.910000,343101,reg
2025-08-04T00:00:00Z,84.000000,83.770000,84.860000,83.460000,231822,reg
2025-08-05T00:00:00Z,84.600000,85.140000,85.670000,83.815000,374863,reg
2025-08-06T00:00:00Z,85.180000,84.700000,85.820000,84.700000,307625,reg
2025-08-07T00:00:00Z,85.850000,85.100000,86.817700,84.965000,452880,reg
2025-08-08T00:00:00Z,88.000000,95.920000,96.710000,87.810000,656124,reg
2025-08-11T00:00:00Z,95.770000,95.530000,96.655000,94.400000,519241,reg
2025-08-12T00:00:00Z,96.730000,99.250000,99.450000,95.540000,324210,reg
2025-08-13T00:00:00Z,100.000000,100.230000,100.470000,98.270000,410984,reg
2025-08-14T00:00:00Z,98.260000,97.120000,98.800000,97.015000,286187,reg
