begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-23T00:00:00Z,21.390000,20.850000,21.456300,20.355000,2222641,reg
2025-06-24T00:00:00Z,21.050000,21.520000,21.625000,20.850000,1327592,reg
2025-06-25T00:00:00Z,21.480000,20.940000,21.480000,20.720000,1857972,reg
2025-06-26T00:00:00Z,21.090000,22.055000,22.420000,21.090000,2283142,reg
2025-06-27T00:00:00Z,22.060000,21.900000,22.145000,21.620000,2804814,reg
2025-06-30T00:00:00Z,22.010000,22.690000,23.185000,21.680000,4340879,reg
2025-07-01T00:00:00Z,22.690000,23.490000,23.875000,22.230000,2680984,reg
2025-07-02T00:00:00Z,23.490000,23.190000,23.660000,22.890000,2047085,reg
2025-07-03T00:00:00Z,23.480000,23.360000,23.980000,23.070000,1483833,reg
2025-07-07T00:00:00Z,23.300000,23.320000,23.400000,22.940000,1981036,reg
2025-07-08T00:00:00Z,23.350000,24.120000,24.675000,23.335000,1877692,reg
2025-07-09T00:00:00Z,24.320000,24.420000,24.660000,24.000000,1582355,reg
2025-07-10T00:00:00Z,24.460000,24.690000,25.040000,23.990000,1555620,reg
2025-07-11T00:00:00Z,24.430000,24.360000,24.600000,23.820000,1355222,reg
2025-07-14T00:00:00Z,24.090000,24.080000,24.350000,23.830000,1359357,reg
2025-07-15T00:00:00Z,24.360000,23.270000,24.635000,23.160000,1441565,reg
2025-07-16T00:00:00Z,23.450000,22.680000,23.450000,22.350000,1115300,reg
2025-07-17T00:00:00Z,22.650000,22.770000,23.030000,22.380000,912252,reg
2025-07-18T00:00:00Z,22.740000,21.920000,22.900000,21.910000,1279107,reg
2025-07-21T00:00:00Z,21.990000,21.640000,22.260000,21.630000,1462552,reg
2025-07-22T00:00:00Z,21.890000,22.040000,22.860000,21.830000,1628930,reg
2025-07-23T00:00:00Z,22.190000,22.970000,23.020000,22.040000,1303603,reg
2025-07-24T00:00:00Z,22.780000,21.740000,23.020000,21.740000,1633499,reg
2025-07-25T00:00:00Z,21.740000,22.255000,22.320000,21.580000,1451391,reg
2025-07-28T00:00:00Z,22.380000,22.690000,23.130000,22.210000,2073093,reg
2025-07-29T00:00:00Z,22.490000,22.260000,23.130000,22.230000,1897384,reg
2025-07-30T00:00:00Z,22.370000,22.450000,22.590000,21.905000,1604351,reg
2025-07-31T00:00:00Z,22.310000,21.770000,22.559900,21.700000,1997302,reg
2025-08-01T00:00:00Z,21.680000,21.090000,21.810000,20.830000,1874471,reg
2025-08-04T00:00:00Z,21.150000,21.370000,21.650000,20.875000,2166993,reg
2025-08-05T00:00:00Z,21.480000,21.760000,22.510000,21.480000,3372964,reg
2025-08-06T00:00:00Z,20.780000,18.000000,22.040000,17.125000,6388865,reg
2025-08-07T00:00:00Z,18.170000,18.200000,18.620000,17.750100,3505694,reg
2025-08-08T00:00:00Z,18.300000,19.240000,19.280000,18.220000,2850862,reg
2025-08-11T00:00:00Z,19.285000,19.070000,19.620000,18.770000,3114766,reg
2025-08-12T00:00:00Z,19.250000,20.330000,20.350000,19.103000,2898878,reg
2025-08-13T00:00:00Z,20.250000,20.770000,21.000000,20.210000,2941550,reg
2025-08-14T00:00:00Z,19.920000,20.660000,20.750000,19.580000,3142536,reg
2025-08-15T00:00:00Z,20.970000,20.980000,21.159000,20.630000,2135762,reg
2025-08-18T00:00:00Z,21.240000,21.130000,21.700000,21.110000,2276536,reg
2025-08-19T00:00:00Z,21.470000,21.590000,22.050000,21.220000,2197103,reg
2025-08-20T00:00:00Z,21.490000,21.300000,21.830000,21.290000,1818107,reg
2025-08-21T00:00:00Z,21.060000,21.420000,21.720000,21.055000,1857661,reg
2025-08-22T00:00:00Z,21.610000,22.440000,22.685000,21.370000,1602125,reg
2025-08-25T00:00:00Z,22.240000,22.170000,22.290000,21.900000,1503951,reg
2025-08-26T00:00:00Z,22.220000,21.550000,22.350000,21.510000,1881282,reg
2025-08-27T00:00:00Z,21.510000,22.185000,22.200000,21.440000,2254214,reg
2025-08-28T00:00:00Z,22.250000,22.620000,22.665000,21.955000,2779045,reg
2025-08-29T00:00:00Z,22.740000,22.960000,23.340000,22.615000,2743239,reg
2025-09-02T00:00:00Z,22.710000,23.450000,23.480000,22.278100,2935388,reg
2025-09-03T00:00:00Z,23.530000,23.330000,23.730000,23.190000,2704167,reg
2025-09-04T00:00:00Z,23.340000,23.650000,23.905000,22.880000,3011904,reg
2025-09-05T00:00:00Z,23.700000,23.720000,24.420000,23.535000,2022550,reg
2025-09-08T00:00:00Z,23.990000,22.540000,23.990000,22.515000,2886481,reg
2025-09-09T00:00:00Z,22.520000,23.300000,23.600000,21.870000,2624606,reg
2025-09-10T00:00:00Z,22.640000,21.055000,22.860000,20.905000,4258831,reg
2025-09-11T00:00:00Z,21.160000,22.310000,22.475000,21.160000,2263512,reg
2025-09-12T00:00:00Z,22.260000,21.730000,22.260000,21.610000,2150494,reg
2025-09-15T00:00:00Z,21.660000,21.420000,21.685000,21.130000,2047108,reg
2025-09-16T00:00:00Z,21.670000,21.710000,21.930000,21.375000,2372059,reg
2025-09-17T00:00:00Z,21.800000,21.920000,22.870000,21.720000,3299249,reg
2025-09-18T00:00:00Z,22.260000,22.070000,22.620000,21.900000,2257780,reg
2025-09-19T00:00:00Z,21.960000,22.140000,22.350000,21.850000,18785207,reg
2025-09-22T00:00:00Z,21.990000,23.020000,23.260000,21.720000,4430213,reg
2025-09-23T00:00:00Z,22.990000,22.020000,23.090000,21.955000,3439776,reg
2025-09-24T00:00:00Z,22.965000,24.590000,24.630000,22.880000,4648547,reg
2025-09-25T00:00:00Z,24.550000,23.770000,25.040000,23.750000,3391295,reg
2025-09-26T00:00:00Z,23.640000,24.530000,24.550000,23.250100,2706476,reg
2025-09-29T00:00:00Z,24.740000,24.540000,24.740000,23.810000,3947173,reg
2025-09-30T00:00:00Z,24.400000,24.760000,24.900000,24.204300,2177169,reg
2025-10-01T00:00:00Z,24.640000,24.550000,25.280000,24.220000,2102357,reg
2025-10-02T00:00:00Z,24.670000,26.620000,26.715000,24.570000,3512579,reg
