begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-23T00:00:00Z,109.840000,111.540000,111.560000,109.515000,1031061,reg
2025-06-24T00:00:00Z,112.280000,112.360000,112.730000,111.555000,852791,reg
2025-06-25T00:00:00Z,112.900000,111.060000,113.110000,110.870000,852013,reg
2025-06-26T00:00:00Z,111.870000,112.210000,112.410000,111.505000,410391,reg
2025-06-27T00:00:00Z,112.410000,112.790000,113.260000,111.740000,1045542,reg
2025-06-30T00:00:00Z,112.620000,112.860000,112.950000,111.020000,807045,reg
2025-07-01T00:00:00Z,112.490000,113.960000,114.695000,112.490000,659956,reg
2025-07-02T00:00:00Z,113.720000,114.460000,114.660000,113.060000,793873,reg
2025-07-03T00:00:00Z,115.000000,115.750000,116.010000,114.575000,441531,reg
2025-07-07T00:00:00Z,115.190000,115.430000,116.270000,114.910800,625077,reg
2025-07-08T00:00:00Z,115.080000,114.940000,116.020000,114.090000,853808,reg
2025-07-09T00:00:00Z,115.470000,115.620000,115.960000,114.424300,529865,reg
2025-07-10T00:00:00Z,115.510000,115.640000,116.660000,115.320000,573552,reg
2025-07-11T00:00:00Z,115.150000,114.440000,115.347500,114.380000,543353,reg
2025-07-14T00:00:00Z,114.450000,114.550000,115.850000,114.130100,864048,reg
2025-07-15T00:00:00Z,114.810000,113.050000,115.075000,113.050000,847809,reg
2025-07-16T00:00:00Z,113.490000,113.180000,114.260000,111.530000,886919,reg
2025-07-17T00:00:00Z,112.980000,114.000000,114.390000,112.940000,885071,reg
2025-07-18T00:00:00Z,114.350000,113.310000,114.420000,112.410100,3147122,reg
2025-07-21T00:00:00Z,113.570000,112.160000,113.900000,111.980000,868098,reg
2025-07-22T00:00:00Z,112.050000,112.440000,112.885000,111.550000,816389,reg
2025-07-23T00:00:00Z,113.080000,113.420000,114.000000,112.995000,734253,reg
2025-07-24T00:00:00Z,113.340000,113.080000,113.890000,112.690000,547132,reg
2025-07-25T00:00:00Z,113.490000,115.360000,115.455000,113.077100,663821,reg
2025-07-28T00:00:00Z,115.630000,113.840000,115.630000,113.685000,544490,reg
2025-07-29T00:00:00Z,114.590000,113.000000,114.590000,112.710000,525186,reg
2025-07-30T00:00:00Z,113.090000,112.560000,113.610000,112.060000,974021,reg
2025-07-31T00:00:00Z,112.310000,112.740000,114.840000,112.310000,799608,reg
2025-08-01T00:00:00Z,111.040000,111.080000,111.700000,108.794000,1067338,reg
2025-08-04T00:00:00Z,112.080000,111.940000,112.490000,111.010000,1015913,reg
2025-08-05T00:00:00Z,116.430000,119.000000,121.730000,114.455000,1696115,reg
2025-08-06T00:00:00Z,119.000000,118.830000,119.310000,117.450000,1070271,reg
2025-08-07T00:00:00Z,119.720000,119.210000,120.000000,118.290000,680195,reg
2025-08-08T00:00:00Z,119.730000,118.430000,120.060000,118.350000,611593,reg
2025-08-11T00:00:00Z,118.830000,119.240000,119.480000,118.309200,931636,reg
2025-08-12T00:00:00Z,119.970000,120.880000,120.920000,119.220100,635594,reg
2025-08-13T00:00:00Z,121.100000,122.020000,122.040000,119.200000,830001,reg
2025-08-14T00:00:00Z,121.885000,120.120000,121.885000,120.040000,606252,reg
2025-08-15T00:00:00Z,120.120000,119.570000,120.490000,118.630000,519447,reg
2025-08-18T00:00:00Z,119.580000,120.280000,120.400000,119.375000,472356,reg
2025-08-19T00:00:00Z,120.070000,120.770000,121.700000,120.070000,503084,reg
2025-08-20T00:00:00Z,120.640000,120.090000,121.920000,119.128000,529751,reg
2025-08-21T00:00:00Z,119.880000,121.580000,122.040000,119.880000,647302,reg
2025-08-22T00:00:00Z,122.220000,122.980000,124.650000,121.805000,816398,reg
2025-08-25T00:00:00Z,122.870000,123.130000,123.860000,122.870000,833020,reg
2025-08-26T00:00:00Z,123.230000,125.560000,126.150000,122.492800,1873671,reg
2025-08-27T00:00:00Z,125.350000,125.640000,126.240000,125.110000,1097146,reg
2025-08-28T00:00:00Z,125.970000,125.740000,126.290000,124.850000,835432,reg
2025-08-29T00:00:00Z,125.970000,124.890000,125.970000,123.870000,938886,reg
2025-09-02T00:00:00Z,124.000000,124.940000,125.120000,123.000000,868992,reg
2025-09-03T00:00:00Z,125.000000,124.080000,125.850000,123.830000,945301,reg
2025-09-04T00:00:00Z,124.430000,125.940000,126.000000,123.660000,1009152,reg
2025-09-05T00:00:00Z,127.000000,126.620000,128.040000,124.960000,976334,reg
2025-09-08T00:00:00Z,126.600000,126.900000,127.940000,126.074500,1005394,reg
2025-09-09T00:00:00Z,126.500000,124.300000,127.065000,123.890000,804494,reg
2025-09-10T00:00:00Z,124.670000,125.430000,125.830000,124.000000,875129,reg
2025-09-11T00:00:00Z,125.770000,127.660000,127.820000,125.420000,643442,reg
2025-09-12T00:00:00Z,127.070000,126.600000,127.900000,126.560000,836595,reg
2025-09-15T00:00:00Z,127.100000,127.730000,128.695000,126.640000,1250538,reg
2025-09-16T00:00:00Z,127.700000,127.740000,128.285000,126.751400,1040007,reg
2025-09-17T00:00:00Z,128.040000,126.890000,129.360000,126.430000,1234720,reg
2025-09-18T00:00:00Z,127.920000,132.990000,133.780000,127.280000,1440357,reg
2025-09-19T00:00:00Z,133.640000,132.480000,133.810000,131.935000,3177669,reg
2025-09-22T00:00:00Z,132.000000,132.930000,133.290000,130.760000,856702,reg
2025-09-23T00:00:00Z,133.200000,129.990000,133.500000,129.770000,1113077,reg
2025-09-24T00:00:00Z,130.430000,129.450000,131.420000,129.420000,1127982,reg
2025-09-25T00:00:00Z,128.500000,128.360000,129.363500,127.585000,996898,reg
2025-09-26T00:00:00Z,129.150000,129.250000,129.680000,128.600000,917974,reg
2025-09-29T00:00:00Z,130.080000,129.870000,130.595000,129.209700,772981,reg
2025-09-30T00:00:00Z,130.000000,130.470000,131.000000,129.740000,733997,reg
2025-10-01T00:00:00Z,129.750000,130.430000,131.460000,129.090000,611308,reg
2025-10-02T00:00:00Z,130.000000,129.630000,130.400000,127.550000,1237611,reg
