begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-23T00:00:00Z,128.070000,130.030000,130.560000,126.100000,470007,reg
2025-06-24T00:00:00Z,132.090000,132.510000,134.816200,130.746200,333393,reg
2025-06-25T00:00:00Z,134.260000,133.280000,135.685000,132.910000,395036,reg
2025-06-26T00:00:00Z,133.440000,133.840000,134.657300,132.900000,419227,reg
2025-06-27T00:00:00Z,134.930000,132.310000,135.960000,131.170000,547296,reg
2025-06-30T00:00:00Z,133.210000,132.500000,134.160000,131.920000,260028,reg
2025-07-01T00:00:00Z,131.840000,133.590000,134.690000,130.871100,328567,reg
2025-07-02T00:00:00Z,133.490000,137.550000,137.775000,133.010000,269101,reg
2025-07-03T00:00:00Z,138.000000,138.140000,139.290000,137.390000,157376,reg
2025-07-07T00:00:00Z,136.600000,136.610000,138.615992,135.550000,246243,reg
2025-07-08T00:00:00Z,137.740000,138.070000,139.110000,135.870000,344760,reg
2025-07-09T00:00:00Z,138.740000,141.130000,141.710000,136.940000,525317,reg
2025-07-10T00:00:00Z,141.130000,143.620000,144.540000,140.760000,367463,reg
2025-07-11T00:00:00Z,142.030000,140.730000,143.240000,140.720000,220817,reg
2025-07-14T00:00:00Z,140.540000,141.480000,141.540000,138.240000,254248,reg
2025-07-15T00:00:00Z,143.110000,139.105000,143.435000,138.390000,483652,reg
2025-07-16T00:00:00Z,139.400000,139.420000,139.550000,134.595000,475954,reg
2025-07-17T00:00:00Z,139.210000,142.730000,143.700000,139.210000,379244,reg
2025-07-18T00:00:00Z,144.090000,143.250000,144.090000,141.790000,239254,reg
2025-07-21T00:00:00Z,143.900000,142.660000,145.520000,142.180000,276530,reg
2025-07-22T00:00:00Z,142.470000,140.680000,142.880000,139.436700,341696,reg
2025-07-23T00:00:00Z,141.320000,142.840000,143.160000,140.445000,217219,reg
2025-07-24T00:00:00Z,142.370000,140.910000,143.300000,140.420000,275291,reg
2025-07-25T00:00:00Z,141.170000,140.540000,141.170000,138.490000,182600,reg
2025-07-28T00:00:00Z,141.230000,141.940000,143.260000,140.990000,260395,reg
2025-07-29T00:00:00Z,143.740000,142.210000,144.520000,141.760000,308014,reg
2025-07-30T00:00:00Z,143.680000,144.070000,145.210000,142.480000,432011,reg
2025-07-31T00:00:00Z,144.000000,138.920000,144.090000,138.280000,364806,reg
2025-08-01T00:00:00Z,136.450000,135.250000,136.450000,131.585000,468827,reg
2025-08-04T00:00:00Z,138.280000,140.560000,141.030000,136.020000,495347,reg
2025-08-05T00:00:00Z,141.230000,139.580000,142.490000,136.571800,676746,reg
2025-08-06T00:00:00Z,128.400000,139.810000,142.500000,128.400000,864430,reg
2025-08-07T00:00:00Z,143.040000,146.500000,146.660000,140.660000,568182,reg
2025-08-08T00:00:00Z,148.390000,150.820000,152.230000,147.610000,470329,reg
2025-08-11T00:00:00Z,150.860000,151.610000,152.240000,148.960000,733356,reg
2025-08-12T00:00:00Z,154.190000,158.810000,163.075000,152.290000,963937,reg
2025-08-13T00:00:00Z,159.290000,162.520000,162.785000,157.815000,489052,reg
2025-08-14T00:00:00Z,159.850000,161.890000,163.000000,159.336800,896617,reg
