begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-23T00:00:00Z,121.395000,122.360000,124.230000,121.170000,2372982,reg
2025-06-24T00:00:00Z,119.215000,120.490000,121.260000,117.270000,3418543,reg
2025-06-25T00:00:00Z,119.300000,119.780000,120.605000,119.270000,1698537,reg
2025-06-26T00:00:00Z,120.680000,123.050000,123.220000,120.100000,3485644,reg
2025-06-27T00:00:00Z,119.330000,116.120000,119.490000,114.600000,4921791,reg
2025-06-30T00:00:00Z,116.680000,118.930000,119.085000,115.400000,2139985,reg
2025-07-01T00:00:00Z,120.420000,117.960000,121.100000,117.260000,1771529,reg
2025-07-02T00:00:00Z,119.000000,118.700000,119.460000,116.930000,2423366,reg
2025-07-03T00:00:00Z,117.990000,120.060000,120.290000,117.990000,1409345,reg
2025-07-07T00:00:00Z,119.470000,122.150000,122.340000,117.560000,2293533,reg
2025-07-08T00:00:00Z,121.545000,116.140000,121.710000,115.360000,3166162,reg
2025-07-09T00:00:00Z,116.070000,117.690000,118.150000,115.190000,2265999,reg
2025-07-10T00:00:00Z,117.990000,118.150000,118.610000,116.250000,1720150,reg
2025-07-11T00:00:00Z,119.220000,119.880000,120.080000,118.325000,1783598,reg
2025-07-14T00:00:00Z,119.845000,119.560000,122.220000,119.500000,1793326,reg
2025-07-15T00:00:00Z,119.600000,119.060000,119.852000,117.200000,2547106,reg
2025-07-16T00:00:00Z,119.360000,119.710000,121.020000,117.800000,2375249,reg
2025-07-17T00:00:00Z,118.000000,118.610000,118.855000,116.830000,1826468,reg
2025-07-18T00:00:00Z,119.600000,117.730000,119.820000,117.650000,1872973,reg
2025-07-21T00:00:00Z,120.000000,122.670000,123.460000,119.840000,2994971,reg
2025-07-22T00:00:00Z,124.050000,128.620000,129.770000,123.600000,4376572,reg
2025-07-23T00:00:00Z,128.560000,127.200000,129.365000,127.060000,2681177,reg
2025-07-24T00:00:00Z,126.030000,125.790000,128.330000,123.860000,2363060,reg
2025-07-25T00:00:00Z,124.570000,126.850000,127.830000,124.500000,3437363,reg
2025-07-28T00:00:00Z,125.460000,123.740000,125.889900,122.320000,2283014,reg
2025-07-29T00:00:00Z,123.890000,126.300000,126.560000,123.350000,2050215,reg
2025-07-30T00:00:00Z,124.980000,123.370000,126.860000,122.680000,3258876,reg
2025-07-31T00:00:00Z,125.390000,124.360000,128.990000,123.340000,3447663,reg
2025-08-01T00:00:00Z,127.570000,125.220000,128.160000,123.935000,3800144,reg
2025-08-04T00:00:00Z,127.190000,131.390000,131.700000,126.930000,3375999,reg
2025-08-05T00:00:00Z,130.300000,134.550000,134.930000,130.155000,3340681,reg
2025-08-06T00:00:00Z,134.750000,135.420000,135.970000,133.790000,2278266,reg
2025-08-07T00:00:00Z,137.070000,135.780000,137.190000,134.870100,2190346,reg
2025-08-08T00:00:00Z,136.000000,135.610000,137.810000,134.800000,2240403,reg
2025-08-11T00:00:00Z,132.540000,135.460000,136.130000,132.020000,2225105,reg
2025-08-12T00:00:00Z,136.460000,135.380000,136.460000,132.910000,1939299,reg
2025-08-13T00:00:00Z,136.275000,133.690000,136.490000,133.050000,3233169,reg
2025-08-14T00:00:00Z,133.370000,132.730000,134.590000,131.710000,2067185,reg
2025-08-15T00:00:00Z,132.230000,133.350000,133.910000,131.070000,2165047,reg
2025-08-18T00:00:00Z,133.980000,133.510000,134.200000,132.270000,1455692,reg
2025-08-19T00:00:00Z,133.090000,130.230000,133.530000,130.040000,2183249,reg
2025-08-20T00:00:00Z,131.790000,134.690000,134.780000,131.160000,2610198,reg
2025-08-21T00:00:00Z,134.880000,136.340000,137.620000,134.700100,2007635,reg
2025-08-22T00:00:00Z,135.100000,137.260000,138.020000,133.800000,2873497,reg
2025-08-25T00:00:00Z,137.650000,136.620000,138.000000,136.040000,1758309,reg
2025-08-26T00:00:00Z,136.820000,139.670000,139.800000,136.430000,2073075,reg
2025-08-27T00:00:00Z,138.800000,139.500000,139.670000,137.200000,1560234,reg
2025-08-28T00:00:00Z,140.130000,139.110000,140.450000,138.159200,1851013,reg
2025-08-29T00:00:00Z,139.260000,144.170000,144.780000,138.810000,2804566,reg
2025-09-02T00:00:00Z,145.880000,147.740000,148.000000,142.900000,5526264,reg
2025-09-03T00:00:00Z,149.000000,148.770000,149.940000,147.100000,3261787,reg
2025-09-04T00:00:00Z,147.000000,148.390000,148.710000,145.880000,2794828,reg
2025-09-05T00:00:00Z,150.000000,151.850000,152.750000,148.680000,3103196,reg
2025-09-08T00:00:00Z,154.400000,154.180000,155.050000,151.930000,3303595,reg
2025-09-09T00:00:00Z,155.000000,152.750000,155.300000,152.100000,2417698,reg
2025-09-10T00:00:00Z,154.030000,152.820000,156.180000,151.951300,3179654,reg
2025-09-11T00:00:00Z,152.480000,153.730000,153.820000,151.199400,2552348,reg
2025-09-12T00:00:00Z,154.520000,153.250000,154.970000,151.770000,2280308,reg
2025-09-15T00:00:00Z,152.000000,153.760000,154.380000,151.210000,3091586,reg
2025-09-16T00:00:00Z,153.430000,152.400000,154.136000,150.850000,3378234,reg
2025-09-17T00:00:00Z,150.210000,153.200000,154.930000,149.700000,3778636,reg
2025-09-18T00:00:00Z,151.770000,154.380000,154.530000,150.730000,2847429,reg
2025-09-19T00:00:00Z,155.500000,161.190000,162.530000,154.880000,9138217,reg
2025-09-22T00:00:00Z,164.640000,161.190000,164.640000,160.265000,4859572,reg
2025-09-23T00:00:00Z,162.830000,162.390000,163.890000,161.200000,2995655,reg
2025-09-24T00:00:00Z,162.100000,157.930000,162.610000,157.900000,2820444,reg
2025-09-25T00:00:00Z,157.930000,159.900000,160.450000,156.950000,2709217,reg
