begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-20T00:00:00Z,78.700000,78.380000,79.310000,77.620000,4791354,reg
2025-06-23T00:00:00Z,78.050000,79.280000,79.380000,77.200000,3152926,reg
2025-06-24T00:00:00Z,79.600000,80.060000,80.290000,78.720000,3717078,reg
2025-06-25T00:00:00Z,80.030000,79.530000,80.380000,79.210000,1636755,reg
2025-06-26T00:00:00Z,80.000000,79.600000,80.250000,79.150000,2158167,reg
2025-06-27T00:00:00Z,79.730000,79.600000,80.270000,78.770000,2610140,reg
2025-06-30T00:00:00Z,80.000000,79.760000,80.280000,79.190000,1947203,reg
2025-07-01T00:00:00Z,79.700000,79.610000,80.920000,79.230000,1343709,reg
2025-07-02T00:00:00Z,79.560000,79.460000,79.890000,78.814200,1247720,reg
2025-07-03T00:00:00Z,80.330000,79.480000,80.540000,79.075000,1159299,reg
2025-07-07T00:00:00Z,78.930000,79.060000,79.825000,78.585000,1649125,reg
2025-07-08T00:00:00Z,79.610000,80.640000,81.450000,79.189000,1613406,reg
2025-07-09T00:00:00Z,80.890000,80.630000,81.040000,79.720000,961662,reg
2025-07-10T00:00:00Z,80.590000,79.440000,80.610000,79.230000,1144647,reg
2025-07-11T00:00:00Z,78.800000,77.380000,79.180000,77.360000,1254313,reg
2025-07-14T00:00:00Z,77.350000,77.410000,78.060000,76.880000,1249755,reg
2025-07-15T00:00:00Z,77.740000,76.800000,77.940000,76.720000,976132,reg
2025-07-16T00:00:00Z,77.070000,77.040000,77.600000,75.750000,994123,reg
2025-07-17T00:00:00Z,77.350000,77.930000,78.040000,76.660000,1202042,reg
2025-07-18T00:00:00Z,78.410000,78.690000,78.810000,77.650000,1464106,reg
2025-07-21T00:00:00Z,79.130000,78.710000,79.910000,78.640000,1175342,reg
2025-07-22T00:00:00Z,78.970000,80.400000,80.540000,78.500000,1104722,reg
2025-07-23T00:00:00Z,79.710000,80.680000,81.130000,79.710000,1348891,reg
2025-07-24T00:00:00Z,80.240000,80.710000,81.300000,80.090000,1026044,reg
2025-07-25T00:00:00Z,80.800000,80.750000,81.250000,80.300000,2285093,reg
2025-07-28T00:00:00Z,80.820000,79.710000,80.935000,79.440000,1145490,reg
2025-07-29T00:00:00Z,79.720000,79.490000,80.410000,78.935000,1315411,reg
2025-07-30T00:00:00Z,79.490000,78.060000,79.520000,77.810000,1933675,reg
2025-07-31T00:00:00Z,78.510000,76.310000,78.640000,76.090000,1727676,reg
2025-08-01T00:00:00Z,76.060000,74.380000,76.500000,73.760000,2534197,reg
2025-08-04T00:00:00Z,74.750000,75.500000,75.850000,74.625000,1681064,reg
2025-08-05T00:00:00Z,74.940000,73.650000,75.230000,73.440000,2546024,reg
2025-08-06T00:00:00Z,74.130000,74.480000,74.715000,73.440000,2175963,reg
2025-08-07T00:00:00Z,75.460000,74.760000,75.730000,72.750000,4030559,reg
2025-08-08T00:00:00Z,75.620000,70.530000,76.650000,69.780000,5403878,reg
2025-08-11T00:00:00Z,70.960000,70.610000,72.980000,70.420000,3141764,reg
2025-08-12T00:00:00Z,70.640000,71.970000,72.000000,70.420000,2879216,reg
2025-08-13T00:00:00Z,72.500000,75.440000,75.550000,72.165800,3572317,reg
2025-08-14T00:00:00Z,74.410000,74.270000,74.980000,74.010000,1644082,reg
2025-08-15T00:00:00Z,74.690000,74.420000,75.140000,74.100000,2011515,reg
2025-08-18T00:00:00Z,74.460000,75.280000,75.290000,73.990000,1751145,reg
2025-08-19T00:00:00Z,75.190000,76.490000,76.650000,75.000000,1832399,reg
2025-08-20T00:00:00Z,76.370000,76.060000,76.630000,75.460000,1355166,reg
2025-08-21T00:00:00Z,75.510000,76.320000,76.460000,74.860000,1533303,reg
2025-08-22T00:00:00Z,76.610000,77.640000,78.540000,75.950000,1719210,reg
2025-08-25T00:00:00Z,77.410000,76.520000,77.580000,76.170000,1975949,reg
2025-08-26T00:00:00Z,76.580000,76.940000,77.200000,76.245000,2365468,reg
2025-08-27T00:00:00Z,77.120000,78.270000,78.390000,77.060000,1081265,reg
2025-08-28T00:00:00Z,78.500000,78.390000,78.710000,77.710000,1292558,reg
2025-08-29T00:00:00Z,78.380000,79.130000,79.270000,78.350000,1176468,reg
2025-09-02T00:00:00Z,78.170000,76.980000,78.410000,76.320000,1712973,reg
2025-09-03T00:00:00Z,76.980000,77.560000,77.795000,76.420000,1494520,reg
2025-09-04T00:00:00Z,77.570000,77.190000,77.580000,76.095000,2696291,reg
2025-09-05T00:00:00Z,77.350000,78.560000,79.210000,77.296400,1786681,reg
2025-09-08T00:00:00Z,78.770000,78.880000,79.430000,77.505000,1928611,reg
2025-09-09T00:00:00Z,78.710000,78.160000,78.885200,77.850000,1550861,reg
2025-09-10T00:00:00Z,78.130000,76.750000,79.160000,76.505000,1741435,reg
2025-09-11T00:00:00Z,77.010000,79.200000,79.410000,76.860000,1641698,reg
2025-09-12T00:00:00Z,79.040000,76.840000,79.070000,76.645000,1518740,reg
2025-09-15T00:00:00Z,76.870000,76.460000,77.950000,75.590000,1604049,reg
2025-09-16T00:00:00Z,76.570000,76.380000,76.900000,75.675000,1188701,reg
2025-09-17T00:00:00Z,76.570000,75.840000,77.218900,74.890000,1941065,reg
2025-09-18T00:00:00Z,76.030000,77.090000,77.300000,75.940000,1553992,reg
2025-09-19T00:00:00Z,77.620000,76.280000,77.620000,76.020000,7140509,reg
2025-09-22T00:00:00Z,76.980000,76.680000,76.980000,76.010000,1350492,reg
2025-09-23T00:00:00Z,76.700000,75.270000,76.750000,75.050000,1660515,reg
2025-09-24T00:00:00Z,75.410000,76.230000,76.280000,74.950000,1463989,reg
2025-09-25T00:00:00Z,75.890000,75.380000,76.000000,74.930000,1243725,reg
2025-09-26T00:00:00Z,75.380000,76.050000,76.120000,75.195000,1610201,reg
2025-09-29T00:00:00Z,76.460000,76.230000,76.850000,75.770000,1164154,reg
2025-09-30T00:00:00Z,76.120000,75.760000,76.380000,74.720000,1633327,reg
2025-10-01T00:00:00Z,75.560000,75.840000,76.120000,74.560000,1480305,reg
2025-10-02T00:00:00Z,76.170000,78.010000,78.160000,75.600000,1634683,reg
2025-10-03T00:00:00Z,78.010000,77.560000,79.000000,77.430000,1314086,reg
2025-10-06T00:00:00Z,78.000000,78.440000,78.560000,77.070000,1264206,reg
2025-10-07T00:00:00Z,78.620000,76.600000,78.920000,76.410000,1299754,reg
2025-10-08T00:00:00Z,76.800000,76.720000,77.619400,76.540000,1081766,reg
2025-10-09T00:00:00Z,77.000000,75.500000,77.029700,75.210000,1423884,reg
2025-10-10T00:00:00Z,75.700000,73.240000,76.280000,73.140000,1684299,reg
2025-10-13T00:00:00Z,74.130000,73.800000,74.520000,73.230000,1788833,reg
2025-10-14T00:00:00Z,72.770000,74.090000,74.360000,72.460000,1424043,reg
2025-10-15T00:00:00Z,74.330000,73.670000,74.535000,73.149000,1333266,reg
2025-10-16T00:00:00Z,74.200000,72.960000,74.700000,72.390000,1473944,reg
2025-10-17T00:00:00Z,72.720000,72.860000,73.415000,72.280000,2745857,reg
2025-10-20T00:00:00Z,72.950000,74.250000,74.320000,72.950000,1392465,reg
2025-10-21T00:00:00Z,74.250000,76.130000,76.520000,74.054700,1555865,reg
2025-10-22T00:00:00Z,75.620000,74.710000,76.405000,74.300000,1410899,reg
2025-10-23T00:00:00Z,74.790000,74.610000,74.999900,74.200000,1020579,reg
2025-10-24T00:00:00Z,75.300000,75.050000,75.820000,74.760000,1566741,reg
2025-10-27T00:00:00Z,75.500000,75.490000,76.080000,75.300000,1246324,reg
2025-10-28T00:00:00Z,75.400000,75.750000,76.155000,74.910000,1999202,reg
2025-10-29T00:00:00Z,75.960000,73.010000,75.965000,72.920000,1755229,reg
2025-10-30T00:00:00Z,72.860000,73.930000,75.200000,72.760000,1625652,reg
2025-10-31T00:00:00Z,73.820000,75.100000,75.490000,73.680000,1624160,reg
2025-11-03T00:00:00Z,75.210000,74.530000,75.350000,73.805000,2148697,reg
2025-11-04T00:00:00Z,73.950000,71.970000,74.130000,70.820000,2626519,reg
2025-11-05T00:00:00Z,72.630000,72.980000,73.550000,71.670000,3185796,reg
2025-11-06T00:00:00Z,73.760000,73.000000,73.880000,71.930000,3349389,reg
2025-11-07T00:00:00Z,78.900000,83.740000,86.230000,76.750000,9629176,reg
2025-11-10T00:00:00Z,83.810000,87.120000,88.465000,83.000000,5974684,reg
2025-11-11T00:00:00Z,86.960000,90.610000,92.000000,86.310000,5596445,reg
2025-11-12T00:00:00Z,90.620000,90.100000,91.760000,89.380000,3793434,reg
2025-11-13T00:00:00Z,89.970000,88.670000,91.854500,88.200000,3597241,reg
2025-11-14T00:00:00Z,87.420000,87.170000,88.750000,87.010000,3715694,reg
2025-11-17T00:00:00Z,87.750000,87.620000,88.880000,86.860000,3936803,reg
2025-11-18T00:00:00Z,87.300000,87.740000,88.759900,86.000000,3681740,reg
2025-11-19T00:00:00Z,87.630000,86.520000,88.145000,86.197800,3994096,reg
2025-11-20T00:00:00Z,87.650000,87.380000,89.140000,86.750000,3366913,reg
2025-11-21T00:00:00Z,87.830000,89.010000,90.240000,87.250000,3663132,reg
2025-11-24T00:00:00Z,88.640000,88.340000,89.950000,87.370000,19566694,reg
2025-11-25T00:00:00Z,88.495000,90.710000,91.005000,87.330000,3622342,reg
2025-11-26T00:00:00Z,90.610000,89.450000,90.760000,89.370000,2917908,reg
2025-11-28T00:00:00Z,89.470000,89.520000,89.930000,89.340000,1350948,reg
2025-12-01T00:00:00Z,89.390000,87.710000,89.430000,87.550000,3200619,reg
2025-12-02T00:00:00Z,88.000000,86.830000,88.200000,86.061000,2814473,reg
2025-12-03T00:00:00Z,86.830000,87.970000,88.470000,86.630000,2337276,reg
2025-12-04T00:00:00Z,87.820000,86.600000,88.120000,86.295000,2198854,reg
2025-12-05T00:00:00Z,86.600000,83.490000,87.000000,82.700000,3069367,reg
2025-12-08T00:00:00Z,83.480000,85.320000,85.700000,83.480000,2313800,reg
2025-12-09T00:00:00Z,84.640000,85.660000,86.744500,84.060000,2649408,reg
2025-12-10T00:00:00Z,85.560000,86.450000,86.780000,85.230000,2214586,reg
2025-12-11T00:00:00Z,86.380000,85.450000,87.270000,85.150000,1783706,reg
2025-12-12T00:00:00Z,85.900000,85.880000,86.880000,85.390000,2151465,reg
2025-12-15T00:00:00Z,88.030000,86.530000,90.040000,85.310000,3749784,reg
2025-12-16T00:00:00Z,86.700000,87.740000,87.915000,85.800000,2188262,reg
2025-12-17T00:00:00Z,87.560000,87.550000,89.340000,87.150000,2122112,reg
2025-12-18T00:00:00Z,88.125000,88.490000,88.905000,87.105000,1934993,reg
2025-12-19T00:00:00Z,88.395000,89.220000,89.750000,88.300000,5375261,reg
2025-12-22T00:00:00Z,89.190000,90.110000,90.760000,88.770000,1744168,reg
2025-12-23T00:00:00Z,89.860000,89.230000,89.895000,88.610000,1747773,reg
2025-12-24T00:00:00Z,89.080000,88.820000,89.395000,88.480000,812967,reg
2025-12-26T00:00:00Z,88.470000,88.420000,88.885000,88.080000,1398426,reg
2025-12-29T00:00:00Z,88.030000,88.240000,88.970000,87.830100,1541345,reg
2025-12-30T00:00:00Z,88.080000,87.970000,88.580000,87.843500,1510434,reg
2025-12-31T00:00:00Z,87.700000,87.250000,88.200000,87.205000,1163224,reg
