begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-20T00:00:00Z,59.490000,56.660000,59.830000,56.650000,5545457,reg
2025-06-23T00:00:00Z,56.650000,57.820000,57.970000,55.900000,3791433,reg
2025-06-24T00:00:00Z,58.650000,60.180000,61.230000,58.600000,3124670,reg
2025-06-25T00:00:00Z,60.160000,60.380000,61.150000,58.850000,2724767,reg
2025-06-26T00:00:00Z,62.370000,63.750000,65.120000,62.090000,4053974,reg
2025-06-27T00:00:00Z,65.280000,64.950000,66.670000,64.040000,4137347,reg
2025-06-30T00:00:00Z,64.805000,62.670000,64.805000,62.050000,3077662,reg
2025-07-01T00:00:00Z,62.250000,62.900000,64.020000,60.640000,3242624,reg
2025-07-02T00:00:00Z,65.520000,67.990000,68.930000,64.410000,4458440,reg
2025-07-03T00:00:00Z,68.610000,67.210000,69.490000,66.840000,2322265,reg
2025-07-07T00:00:00Z,66.550000,65.500000,67.280000,64.240000,2956562,reg
2025-07-08T00:00:00Z,66.030000,70.220000,72.170000,65.950000,7275311,reg
2025-07-09T00:00:00Z,70.280000,70.790000,71.210000,68.610000,4021438,reg
2025-07-10T00:00:00Z,71.755000,74.270000,76.280000,71.500000,5719669,reg
2025-07-11T00:00:00Z,70.300000,70.980000,71.928000,70.215400,4091993,reg
2025-07-14T00:00:00Z,70.790000,71.870000,73.480000,70.230000,2711930,reg
2025-07-15T00:00:00Z,72.770000,70.020000,72.880000,69.890000,4674046,reg
2025-07-16T00:00:00Z,70.140000,70.410000,71.000000,69.080000,2880116,reg
2025-07-17T00:00:00Z,72.450000,75.740000,76.663250,72.235000,7862008,reg
2025-07-18T00:00:00Z,77.310000,77.070000,79.620000,76.150000,6224422,reg
2025-07-21T00:00:00Z,79.850000,77.150000,81.100000,76.820000,3690761,reg
2025-07-22T00:00:00Z,78.700000,83.240000,83.565000,78.500000,6714200,reg
2025-07-23T00:00:00Z,81.400000,78.790000,82.177400,77.940000,5139031,reg
2025-07-24T00:00:00Z,82.505000,84.180000,86.190000,81.780000,7765039,reg
2025-07-25T00:00:00Z,84.670000,83.740000,84.820000,82.000000,5379512,reg
2025-07-28T00:00:00Z,79.000000,74.770000,80.877400,74.185000,10165461,reg
2025-07-29T00:00:00Z,73.810000,71.600000,74.440000,71.000000,6543163,reg
2025-07-30T00:00:00Z,71.765000,68.890000,71.840000,68.440000,4953476,reg
2025-07-31T00:00:00Z,70.045000,67.850000,70.080000,65.293200,8469121,reg
2025-08-01T00:00:00Z,66.810000,67.900000,68.570000,64.950000,4282556,reg
2025-08-04T00:00:00Z,68.230000,68.560000,69.310000,67.900000,3261255,reg
2025-08-05T00:00:00Z,69.310000,68.250000,69.450000,66.665000,2210070,reg
2025-08-06T00:00:00Z,68.770000,67.300000,69.150000,66.890000,2106179,reg
2025-08-07T00:00:00Z,69.860000,70.060000,73.840000,69.805000,5435424,reg
2025-08-08T00:00:00Z,72.200000,75.480000,76.892500,71.476000,7616710,reg
2025-08-11T00:00:00Z,84.765000,80.760000,87.450000,79.920000,12471469,reg
2025-08-12T00:00:00Z,78.240000,77.980000,80.590000,75.440000,5415705,reg
2025-08-13T00:00:00Z,81.100000,81.670000,82.200000,79.250000,3990385,reg
2025-08-14T00:00:00Z,79.990000,81.430000,81.680000,79.360100,3495739,reg
2025-08-15T00:00:00Z,81.270000,82.190000,82.710000,81.100000,2842349,reg
2025-08-18T00:00:00Z,81.670000,83.090000,84.790000,81.670000,4375862,reg
2025-08-19T00:00:00Z,82.300000,80.550000,83.000000,80.310000,3810844,reg
