begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-23T00:00:00Z,137.720000,142.450000,142.610000,137.325000,1397617,reg
2025-06-24T00:00:00Z,144.120000,143.610000,144.120000,142.070000,902501,reg
2025-06-25T00:00:00Z,143.540000,142.820000,144.305000,141.930000,793489,reg
2025-06-26T00:00:00Z,142.570000,143.390000,143.640000,142.490000,628589,reg
2025-06-27T00:00:00Z,143.640000,143.890000,144.720000,143.085000,699885,reg
2025-06-30T00:00:00Z,144.050000,144.120000,144.245000,142.640000,597283,reg
2025-07-01T00:00:00Z,143.620000,147.650000,148.740000,143.305000,832462,reg
2025-07-02T00:00:00Z,147.520000,147.950000,148.690000,146.550000,765147,reg
2025-07-03T00:00:00Z,148.340000,148.110000,148.510000,147.190000,411792,reg
2025-07-07T00:00:00Z,148.370000,148.150000,149.650000,147.020000,697303,reg
2025-07-08T00:00:00Z,148.400000,148.540000,150.050000,147.679300,960763,reg
2025-07-09T00:00:00Z,149.730000,150.060000,150.350000,148.190000,710977,reg
2025-07-10T00:00:00Z,150.300000,151.530000,153.160000,149.790000,867442,reg
2025-07-11T00:00:00Z,149.770000,148.810000,149.990000,147.840000,876106,reg
2025-07-14T00:00:00Z,148.320000,148.310000,149.340000,147.440000,725275,reg
2025-07-15T00:00:00Z,148.940000,145.550000,149.670000,145.330000,950551,reg
2025-07-16T00:00:00Z,145.460000,146.070000,146.160000,143.605000,1075694,reg
2025-07-17T00:00:00Z,148.050000,153.530000,153.770000,147.900000,1394808,reg
2025-07-18T00:00:00Z,154.160000,152.820000,154.390000,152.265000,934541,reg
2025-07-21T00:00:00Z,153.220000,149.610000,153.575000,149.565000,1106228,reg
2025-07-22T00:00:00Z,149.680000,152.710000,153.155000,149.680000,1114386,reg
2025-07-23T00:00:00Z,152.680000,154.360000,154.570000,152.680000,1665574,reg
2025-07-24T00:00:00Z,157.870000,163.670000,164.060000,156.000000,1895612,reg
2025-07-25T00:00:00Z,164.040000,165.390000,166.220000,161.718000,1446818,reg
2025-07-28T00:00:00Z,165.020000,163.670000,165.635000,163.000000,1066113,reg
2025-07-29T00:00:00Z,165.320000,164.110000,165.650000,163.300000,1109434,reg
2025-07-30T00:00:00Z,163.470000,164.820000,165.690000,163.220000,1191030,reg
2025-07-31T00:00:00Z,164.020000,165.920000,166.370000,163.910000,1322699,reg
2025-08-01T00:00:00Z,165.110000,165.130000,165.780000,163.410000,1366374,reg
2025-08-04T00:00:00Z,165.070000,166.730000,167.240000,164.000000,878347,reg
2025-08-05T00:00:00Z,166.960000,165.400000,167.210000,164.400000,1161988,reg
2025-08-06T00:00:00Z,165.910000,164.490000,165.910000,163.720000,863875,reg
2025-08-07T00:00:00Z,165.350000,163.740000,165.600000,163.075000,953900,reg
2025-08-08T00:00:00Z,164.320000,163.720000,164.940000,163.370000,576550,reg
2025-08-11T00:00:00Z,163.360000,164.450000,164.560000,163.060000,793519,reg
2025-08-12T00:00:00Z,164.860000,166.430000,166.740000,163.460000,749782,reg
2025-08-13T00:00:00Z,167.030000,169.620000,170.110000,166.225000,988418,reg
2025-08-14T00:00:00Z,168.580000,168.550000,169.430000,167.300000,959088,reg
2025-08-15T00:00:00Z,169.270000,167.170000,169.481800,166.915000,549886,reg
2025-08-18T00:00:00Z,167.510000,167.200000,168.150000,166.860000,563324,reg
2025-08-19T00:00:00Z,167.320000,169.860000,170.285000,167.320000,844080,reg
2025-08-20T00:00:00Z,169.220000,168.520000,170.510000,168.010000,671307,reg
2025-08-21T00:00:00Z,167.620000,167.210000,168.070000,166.700000,483293,reg
2025-08-22T00:00:00Z,167.820000,172.240000,172.665000,167.130000,754458,reg
2025-08-25T00:00:00Z,171.670000,169.820000,171.905000,169.800000,626878,reg
2025-08-26T00:00:00Z,169.970000,171.530000,172.115000,169.350000,1278942,reg
2025-08-27T00:00:00Z,171.430000,172.000000,172.450000,171.045000,552886,reg
2025-08-28T00:00:00Z,172.470000,170.970000,172.950000,170.560000,848319,reg
2025-08-29T00:00:00Z,170.840000,169.800000,171.890000,169.010000,952263,reg
2025-09-02T00:00:00Z,167.250000,167.990000,168.465000,166.910000,810022,reg
2025-09-03T00:00:00Z,167.990000,167.690000,168.469800,166.840000,635942,reg
2025-09-04T00:00:00Z,168.180000,170.750000,170.820000,167.820000,660436,reg
2025-09-05T00:00:00Z,171.360000,171.860000,173.245000,170.820000,596750,reg
2025-09-08T00:00:00Z,171.530000,173.100000,173.250000,170.700000,578158,reg
2025-09-09T00:00:00Z,172.150000,169.970000,173.090000,168.510000,556609,reg
2025-09-10T00:00:00Z,170.080000,170.430000,171.650000,169.605000,545552,reg
2025-09-11T00:00:00Z,171.770000,177.180000,177.750000,170.490000,1364734,reg
2025-09-12T00:00:00Z,176.290000,175.020000,177.700000,174.460000,1100182,reg
2025-09-15T00:00:00Z,175.070000,176.200000,177.630000,174.400000,865294,reg
2025-09-16T00:00:00Z,176.090000,177.040000,177.680000,175.430000,905453,reg
2025-09-17T00:00:00Z,177.880000,176.610000,179.600000,175.615000,967426,reg
2025-09-18T00:00:00Z,176.450000,178.780000,179.920000,175.700000,1241528,reg
2025-09-19T00:00:00Z,178.810000,179.330000,180.340000,177.420000,3245980,reg
2025-09-22T00:00:00Z,177.930000,177.810000,179.270000,177.350000,783285,reg
2025-09-23T00:00:00Z,178.110000,177.440000,179.709900,176.090000,592032,reg
2025-09-24T00:00:00Z,176.270000,175.340000,177.780000,174.950000,601864,reg
2025-09-25T00:00:00Z,174.200000,172.970000,174.835000,172.665000,928189,reg
2025-09-26T00:00:00Z,173.560000,175.010000,175.400000,173.500000,617376,reg
2025-09-29T00:00:00Z,176.410000,175.040000,178.010000,174.450000,553346,reg
2025-09-30T00:00:00Z,175.670000,177.350000,177.910000,175.455000,929327,reg
2025-10-01T00:00:00Z,176.830000,176.730000,177.905000,175.260000,843291,reg
2025-10-02T00:00:00Z,176.320000,177.740000,177.750000,175.900000,885545,reg
2025-10-03T00:00:00Z,177.800000,177.290000,179.560000,177.210000,689356,reg
2025-10-06T00:00:00Z,177.530000,177.360000,178.230000,176.720000,451380,reg
2025-10-07T00:00:00Z,177.800000,177.030000,178.020000,176.500000,808222,reg
2025-10-08T00:00:00Z,177.420000,178.270000,178.610000,176.490000,505735,reg
2025-10-09T00:00:00Z,178.010000,175.450000,178.220000,174.620000,714423,reg
2025-10-10T00:00:00Z,175.970000,173.290000,176.770000,172.970000,984960,reg
2025-10-13T00:00:00Z,173.990000,173.690000,175.690000,173.690000,812843,reg
2025-10-14T00:00:00Z,172.080000,175.600000,176.699900,172.050000,1068805,reg
2025-10-15T00:00:00Z,175.850000,177.280000,177.710000,175.210000,581170,reg
2025-10-16T00:00:00Z,177.280000,177.500000,178.150000,175.910000,919539,reg
2025-10-17T00:00:00Z,176.750000,177.490000,178.500000,176.580000,568793,reg
2025-10-20T00:00:00Z,178.180000,177.970000,178.450000,173.970000,591810,reg
2025-10-21T00:00:00Z,177.750000,179.470000,180.680000,177.395000,797939,reg
2025-10-22T00:00:00Z,179.100000,175.500000,179.750000,175.450000,966669,reg
2025-10-23T00:00:00Z,171.695000,171.220000,173.380000,166.155000,1454695,reg
