begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-23T00:00:00Z,170.255000,171.960000,172.290000,168.720000,6838843,reg
2025-06-24T00:00:00Z,175.070000,180.180000,180.520000,174.995000,7254464,reg
2025-06-25T00:00:00Z,181.110000,183.070000,183.210000,180.495000,5431798,reg
2025-06-26T00:00:00Z,183.190000,183.520000,184.500000,182.060000,5199682,reg
2025-06-27T00:00:00Z,184.380000,183.210000,185.800000,181.115000,14202820,reg
2025-06-30T00:00:00Z,183.800000,183.070000,184.770000,182.530000,4070695,reg
2025-07-01T00:00:00Z,182.440000,183.760000,184.934400,180.900000,6572259,reg
2025-07-02T00:00:00Z,182.630000,190.010000,190.910000,181.630000,8800624,reg
2025-07-03T00:00:00Z,189.350000,191.050000,192.040000,189.270000,3568536,reg
2025-07-07T00:00:00Z,189.040000,190.780000,191.650000,188.610000,6577422,reg
2025-07-08T00:00:00Z,192.135000,194.990000,196.300000,191.520000,8097053,reg
2025-07-09T00:00:00Z,195.800000,195.390000,197.960000,194.235000,6170835,reg
2025-07-10T00:00:00Z,198.000000,198.030000,199.420000,196.650000,5230356,reg
2025-07-11T00:00:00Z,196.850000,197.930000,198.780000,196.150000,4424409,reg
2025-07-14T00:00:00Z,195.610000,197.100000,198.820000,194.485000,7263986,reg
2025-07-15T00:00:00Z,200.075000,199.290000,201.110000,198.495000,6007129,reg
2025-07-16T00:00:00Z,194.000000,194.810000,195.160000,189.750000,9400048,reg
2025-07-17T00:00:00Z,192.620000,192.520000,194.027500,191.945000,5704041,reg
2025-07-18T00:00:00Z,193.060000,190.440000,193.570000,190.140000,4757107,reg
2025-07-21T00:00:00Z,190.790000,192.610000,194.400000,190.776700,5061514,reg
2025-07-22T00:00:00Z,192.270000,187.140000,192.500000,185.130000,7074450,reg
2025-07-23T00:00:00Z,187.680000,187.010000,189.400000,186.140000,5419786,reg
2025-07-24T00:00:00Z,188.160000,188.120000,190.044600,187.070000,4819916,reg
2025-07-25T00:00:00Z,185.810000,185.690000,186.515000,184.100100,6608688,reg
2025-07-28T00:00:00Z,189.010000,190.270000,190.500000,188.625000,4912986,reg
2025-07-29T00:00:00Z,191.620000,188.410000,192.448000,187.947600,4605413,reg
2025-07-30T00:00:00Z,189.730000,189.390000,190.870000,187.735000,4018496,reg
2025-07-31T00:00:00Z,177.875000,180.060000,181.470000,174.510000,11375445,reg
2025-08-01T00:00:00Z,176.600000,179.990000,181.630000,176.250000,8393193,reg
2025-08-04T00:00:00Z,182.000000,182.820000,183.000000,180.500000,4189343,reg
2025-08-05T00:00:00Z,182.670000,179.150000,183.260000,177.400000,5291996,reg
2025-08-06T00:00:00Z,178.880000,178.140000,179.235000,175.480000,5857823,reg
2025-08-07T00:00:00Z,184.345000,183.150000,186.800000,181.860000,6616587,reg
2025-08-08T00:00:00Z,183.150000,184.870000,185.380000,182.620000,4338737,reg
2025-08-11T00:00:00Z,187.150000,184.380000,189.720000,183.780000,7815999,reg
2025-08-12T00:00:00Z,185.730000,188.450000,189.730000,184.280000,5918458,reg
2025-08-13T00:00:00Z,189.800000,190.030000,191.140000,188.730000,5923360,reg
2025-08-14T00:00:00Z,187.860000,188.240000,190.030000,186.780000,10992443,reg
2025-08-15T00:00:00Z,162.700000,161.755000,167.500000,161.710000,31803282,reg
2025-08-18T00:00:00Z,161.810000,163.530000,164.550000,161.750000,10125796,reg
2025-08-19T00:00:00Z,164.240000,162.220000,165.200000,161.490000,8921472,reg
2025-08-20T00:00:00Z,161.800000,160.960000,161.970000,157.940000,9323294,reg
2025-08-21T00:00:00Z,159.940000,159.840000,161.290000,159.080000,8294875,reg
2025-08-22T00:00:00Z,160.680000,162.490000,165.000000,159.980000,7448112,reg
2025-08-25T00:00:00Z,162.310000,161.990000,162.622600,160.750000,4186776,reg
2025-08-26T00:00:00Z,162.010000,164.510000,164.814000,161.680000,6770237,reg
2025-08-27T00:00:00Z,163.260000,164.390000,164.650000,162.550000,4633530,reg
2025-08-28T00:00:00Z,164.720000,165.270000,166.160000,163.740000,7899538,reg
2025-08-29T00:00:00Z,162.870000,160.760000,163.661000,159.430100,7202136,reg
2025-09-02T00:00:00Z,156.720000,157.570000,158.300000,156.010000,7683373,reg
2025-09-03T00:00:00Z,158.050000,156.250000,158.050000,154.465000,7335044,reg
2025-09-04T00:00:00Z,155.940000,158.240000,159.670000,155.400000,6245060,reg
2025-09-05T00:00:00Z,160.260000,162.750000,162.850000,158.820000,7046829,reg
2025-09-08T00:00:00Z,163.805000,162.050000,164.645000,161.850000,7933594,reg
2025-09-09T00:00:00Z,161.920000,163.500000,164.260000,161.750000,5315373,reg
2025-09-10T00:00:00Z,164.300000,163.420000,165.400000,162.550000,5690240,reg
2025-09-11T00:00:00Z,164.000000,170.150000,170.660000,164.000000,8999907,reg
2025-09-12T00:00:00Z,167.910000,167.800000,169.670000,167.180000,5170573,reg
2025-09-15T00:00:00Z,169.110000,170.930000,171.060000,168.531300,5597644,reg
2025-09-16T00:00:00Z,172.460000,173.540000,174.100000,171.580000,6447519,reg
2025-09-17T00:00:00Z,174.250000,178.130000,179.548600,173.970000,9588307,reg
2025-09-18T00:00:00Z,188.000000,189.760000,191.550000,183.830000,15473653,reg
2025-09-19T00:00:00Z,190.815000,190.100000,191.850000,188.660100,18903501,reg
2025-09-22T00:00:00Z,193.185000,200.520000,201.150000,192.430000,15475542,reg
2025-09-23T00:00:00Z,201.230000,200.870000,204.100000,198.800000,12417874,reg
2025-09-24T00:00:00Z,199.080000,201.440000,203.749900,197.400000,6360493,reg
2025-09-25T00:00:00Z,199.040000,199.600000,200.720000,196.200000,6027565,reg
2025-09-26T00:00:00Z,200.000000,203.920000,205.200000,197.386600,7363317,reg
2025-09-29T00:00:00Z,206.340000,204.950000,210.500000,204.680000,9295427,reg
2025-09-30T00:00:00Z,204.355000,204.740000,210.270000,202.870000,12253833,reg
2025-10-01T00:00:00Z,204.740000,217.740000,218.440000,203.610000,12699236,reg
2025-10-02T00:00:00Z,225.000000,223.590000,226.410000,218.730000,11166002,reg
2025-10-03T00:00:00Z,219.910000,217.530000,220.500000,215.600000,9269817,reg
2025-10-06T00:00:00Z,222.340000,223.910000,226.490000,220.770000,7891854,reg
2025-10-07T00:00:00Z,223.910000,211.560000,224.830000,211.270000,10543323,reg
2025-10-08T00:00:00Z,210.000000,217.510000,218.650000,209.000000,7875462,reg
2025-10-09T00:00:00Z,217.000000,220.300000,220.860000,215.510000,6701398,reg
2025-10-10T00:00:00Z,220.700000,209.950000,224.468400,209.730000,12829661,reg
2025-10-13T00:00:00Z,220.350000,219.480000,221.130000,217.030000,7853006,reg
2025-10-14T00:00:00Z,213.900000,218.190000,221.650000,213.710000,8260006,reg
2025-10-15T00:00:00Z,223.955000,227.580000,228.100000,220.520000,8033603,reg
2025-10-16T00:00:00Z,230.595000,227.720000,232.070000,224.030000,7742842,reg
2025-10-17T00:00:00Z,226.470000,224.990000,227.360000,222.700000,5272810,reg
2025-10-20T00:00:00Z,227.145000,228.130000,231.330000,226.530000,5494792,reg
2025-10-21T00:00:00Z,225.920000,226.000000,228.160000,225.210000,4557485,reg
2025-10-22T00:00:00Z,226.000000,220.560000,226.770000,216.065000,7498073,reg
2025-10-23T00:00:00Z,218.390000,228.470000,230.550000,218.120000,7001931,reg
2025-10-24T00:00:00Z,229.000000,228.750000,230.720000,226.290000,5346676,reg
2025-10-27T00:00:00Z,233.000000,231.330000,235.790000,231.130000,7671698,reg
2025-10-28T00:00:00Z,229.680000,227.640000,231.015000,227.080000,6118502,reg
2025-10-29T00:00:00Z,232.900000,235.750000,237.390000,232.000000,7784456,reg
2025-10-30T00:00:00Z,237.780000,232.550000,242.500000,232.080000,7317726,reg
2025-10-31T00:00:00Z,233.735000,233.100000,237.907500,230.450000,6532964,reg
2025-11-03T00:00:00Z,235.670000,237.710000,239.790000,234.000000,6160630,reg
2025-11-04T00:00:00Z,231.420000,230.190000,236.969900,229.770000,6896422,reg
2025-11-05T00:00:00Z,230.190000,240.890000,241.910000,230.100000,7230832,reg
2025-11-06T00:00:00Z,240.770000,233.530000,240.770000,232.930100,9278439,reg
2025-11-07T00:00:00Z,232.265000,230.070000,232.520000,223.380000,6892795,reg
2025-11-10T00:00:00Z,236.230000,235.080000,236.540000,232.060000,7673744,reg
2025-11-11T00:00:00Z,232.570000,228.670000,233.250000,227.000000,6237600,reg
2025-11-12T00:00:00Z,231.230000,230.730000,231.835000,228.900000,5955373,reg
2025-11-13T00:00:00Z,227.390000,223.230000,229.000000,219.630000,13465856,reg
2025-11-14T00:00:00Z,203.750000,226.010000,226.160000,203.400000,15254389,reg
2025-11-17T00:00:00Z,224.200000,228.710000,231.710000,223.255000,8713644,reg
2025-11-18T00:00:00Z,226.480000,225.120000,227.620000,219.420000,12167355,reg
2025-11-19T00:00:00Z,227.290000,235.130000,235.910000,226.500000,8870502,reg
2025-11-20T00:00:00Z,238.785000,220.230000,240.760000,218.960000,9263965,reg
2025-11-21T00:00:00Z,219.200000,224.005000,228.160000,215.495000,8596770,reg
2025-11-24T00:00:00Z,222.860000,230.910000,233.200000,222.860000,8806555,reg
2025-11-25T00:00:00Z,237.550000,242.460000,244.620000,233.135000,8330341,reg
2025-11-26T00:00:00Z,242.830000,249.970000,252.660000,242.830000,8791060,reg
2025-11-28T00:00:00Z,250.795000,252.250000,252.480000,247.850000,2916326,reg
2025-12-01T00:00:00Z,250.230000,254.750000,255.790000,248.530000,6842394,reg
2025-12-02T00:00:00Z,255.625000,265.330000,267.049900,255.625000,9196769,reg
2025-12-03T00:00:00Z,265.300000,268.630000,269.150000,259.710100,7999577,reg
2025-12-04T00:00:00Z,268.335000,269.440000,272.764900,266.000000,6348761,reg
2025-12-05T00:00:00Z,269.790000,268.000000,273.590000,267.360000,5373412,reg
2025-12-08T00:00:00Z,269.495000,268.160000,272.160000,266.540000,5338147,reg
2025-12-09T00:00:00Z,266.070000,267.140000,268.710000,264.730000,4062592,reg
2025-12-10T00:00:00Z,266.770000,275.150000,276.100000,265.860000,6244572,reg
2025-12-11T00:00:00Z,271.220000,270.110000,271.985000,262.830000,7061221,reg
2025-12-12T00:00:00Z,267.260000,259.210000,269.710000,257.130000,6739294,reg
2025-12-15T00:00:00Z,263.430000,261.270000,265.690000,259.790000,6405964,reg
2025-12-16T00:00:00Z,259.790000,258.840000,261.580000,255.300000,5859741,reg
2025-12-17T00:00:00Z,258.160000,248.270000,260.098000,246.920000,7855446,reg
2025-12-18T00:00:00Z,259.090000,253.500000,260.820000,252.225000,8741172,reg
2025-12-19T00:00:00Z,255.705000,256.410000,261.320000,253.580000,25749747,reg
2025-12-22T00:00:00Z,262.830000,259.010000,262.830000,257.600000,4181985,reg
2025-12-23T00:00:00Z,258.160000,260.230000,260.450000,257.880000,3791496,reg
2025-12-24T00:00:00Z,260.230000,260.780000,261.479900,259.330000,1279508,reg
2025-12-26T00:00:00Z,261.840000,261.900000,262.939900,260.200000,1836042,reg
2025-12-29T00:00:00Z,260.820000,263.050000,264.651000,260.000000,2601560,reg
2025-12-30T00:00:00Z,264.190000,259.970000,265.014000,259.780000,2185127,reg
2025-12-31T00:00:00Z,261.470000,256.990000,261.830000,255.960000,3025778,reg
2026-01-02T00:00:00Z,267.080000,268.870000,271.230000,265.100000,7553217,reg
2026-01-05T00:00:00Z,276.120000,284.320000,287.740000,276.120000,10398711,reg
2026-01-06T00:00:00Z,285.430000,296.010000,298.220000,285.430000,7237927,reg
2026-01-07T00:00:00Z,292.000000,292.200000,295.250000,290.000000,6148356,reg
2026-01-08T00:00:00Z,290.700000,281.640000,291.915000,279.450000,5500686,reg
2026-01-09T00:00:00Z,288.400000,301.180000,302.780000,286.500000,9427640,reg
2026-01-12T00:00:00Z,301.715000,307.240000,309.500000,300.585000,6612806,reg
2026-01-13T00:00:00Z,307.060000,304.870000,310.641300,302.590000,7146521,reg
2026-01-14T00:00:00Z,301.470000,301.890000,301.940000,297.000000,6545166,reg
2026-01-15T00:00:00Z,328.080000,319.080000,331.000000,318.830000,11262836,reg
2026-01-16T00:00:00Z,325.715000,327.010000,330.185000,320.170000,11399265,reg
2026-01-20T00:00:00Z,316.100000,318.230000,324.490000,315.700200,9387315,reg
2026-01-21T00:00:00Z,319.480000,325.240000,328.690000,316.910000,7913957,reg
2026-01-22T00:00:00Z,332.990000,318.785000,333.030000,317.456000,6036095,reg
2026-01-23T00:00:00Z,318.980000,322.380000,323.639900,311.070000,6200984,reg
2026-01-26T00:00:00Z,322.000000,319.460000,322.000000,316.570000,4777183,reg
2026-01-27T00:00:00Z,324.445000,332.710000,336.470000,323.285000,8032954,reg
2026-01-28T00:00:00Z,341.930000,336.750000,344.040000,332.960000,8470041,reg
2026-01-29T00:00:00Z,340.735000,341.340000,344.600000,328.880000,7350542,reg
2026-01-30T00:00:00Z,332.925000,322.320000,340.950000,321.540000,9814060,reg
2026-02-02T00:00:00Z,320.600000,328.400000,330.440000,319.850000,7409582,reg
2026-02-03T00:00:00Z,336.940000,318.670000,338.440000,311.950000,10697028,reg
2026-02-04T00:00:00Z,323.990000,297.600000,323.990000,287.490100,14719408,reg
2026-02-05T00:00:00Z,300.070000,303.990000,304.350000,292.320000,8514321,reg
2026-02-06T00:00:00Z,309.410000,322.510000,324.399900,308.296200,8344434,reg
2026-02-09T00:00:00Z,317.560000,330.570000,332.400000,316.100000,7458948,reg
2026-02-10T00:00:00Z,329.855000,329.070000,334.610000,321.520000,6785829,reg
2026-02-11T00:00:00Z,337.905000,339.880000,344.340000,330.890000,7160914,reg
2026-02-12T00:00:00Z,339.880000,328.390000,341.070000,325.560000,9764434,reg
2026-02-13T00:00:00Z,364.950000,354.910000,376.320000,353.260000,15706020,reg
2026-02-17T00:00:00Z,351.000000,359.130000,362.630000,347.660000,8791276,reg
2026-02-18T00:00:00Z,361.630000,369.300000,373.995000,359.260000,8784291,reg
2026-02-19T00:00:00Z,362.200000,369.830000,370.070000,360.400000,6640140,reg
2026-02-20T00:00:00Z,366.265000,375.380000,377.110000,366.265000,8178683,reg
2026-02-23T00:00:00Z,372.400000,373.550000,378.859900,369.680000,6077445,reg
2026-02-24T00:00:00Z,376.590000,377.930000,380.510000,368.001000,5711768,reg
2026-02-25T00:00:00Z,385.000000,394.950000,395.950000,384.000000,9745022,reg
2026-02-26T00:00:00Z,391.800000,375.720000,393.470000,366.540100,7717136,reg
2026-02-27T00:00:00Z,365.940000,372.300000,378.580000,365.611500,9041372,reg
2026-03-02T00:00:00Z,366.580000,372.180000,373.810000,363.280000,5802068,reg
2026-03-03T00:00:00Z,350.900000,351.320000,359.530000,348.593400,7982042,reg
2026-03-04T00:00:00Z,359.220000,357.760000,362.340000,350.700100,5980360,reg
2026-03-05T00:00:00Z,351.035000,346.530000,354.760000,336.300000,5905738,reg
2026-03-06T00:00:00Z,329.520000,324.740000,341.400000,321.740000,8655215,reg
2026-03-09T00:00:00Z,320.480000,338.940000,339.160000,316.660000,9504107,reg
2026-03-10T00:00:00Z,339.850000,345.880000,355.275000,339.000000,6121075,reg
2026-03-11T00:00:00Z,348.000000,351.070000,353.000000,343.530000,4517227,reg
2026-03-12T00:00:00Z,344.190000,337.270000,345.480000,334.010000,5978201,reg
2026-03-13T00:00:00Z,342.470000,341.530000,349.249900,340.280000,5332197,reg
2026-03-16T00:00:00Z,347.700000,346.180000,350.749900,343.570000,4427025,reg
2026-03-17T00:00:00Z,346.180000,352.460000,352.814500,343.010000,4833889,reg
2026-03-18T00:00:00Z,353.390000,349.470000,357.855000,349.230000,5170497,reg
2026-03-19T00:00:00Z,340.740000,357.210000,359.050000,338.090000,6459706,reg
2026-03-20T00:00:00Z,359.770000,357.060000,362.000000,346.660000,17587864,reg
2026-03-23T00:00:00Z,367.820000,361.790000,374.250000,361.450000,6490661,reg
2026-03-24T00:00:00Z,358.160000,373.990000,379.990000,358.000000,6406241,reg
