begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-23T00:00:00Z,209.790000,208.470000,210.390000,207.310100,37311725,reg
2025-06-24T00:00:00Z,212.135000,212.770000,214.340000,211.045000,38378757,reg
2025-06-25T00:00:00Z,214.615000,211.990000,216.030000,211.110000,31755698,reg
2025-06-26T00:00:00Z,213.120000,217.120000,218.035000,212.010000,50480814,reg
2025-06-27T00:00:00Z,219.920000,223.300000,223.300000,216.740000,119217138,reg
2025-06-30T00:00:00Z,223.520000,219.390000,223.820000,219.120000,58887780,reg
2025-07-01T00:00:00Z,219.500000,220.460000,221.875000,217.930000,39256830,reg
2025-07-02T00:00:00Z,219.730000,219.920000,221.600000,219.060000,30894178,reg
2025-07-03T00:00:00Z,221.820000,223.410000,224.010000,221.360000,29632353,reg
2025-07-07T00:00:00Z,223.000000,223.470000,224.290000,222.370000,36604139,reg
2025-07-08T00:00:00Z,223.915000,219.360000,224.000000,218.430000,45691987,reg
2025-07-09T00:00:00Z,221.070000,222.540000,224.290000,220.470000,38155121,reg
2025-07-10T00:00:00Z,221.550000,222.260000,222.790000,219.700000,30370591,reg
2025-07-11T00:00:00Z,223.580000,225.020000,226.679900,222.370000,50518307,reg
2025-07-14T00:00:00Z,225.070000,225.690000,226.660000,224.240000,35702597,reg
2025-07-15T00:00:00Z,226.200000,226.350000,227.270000,225.455000,34907294,reg
2025-07-16T00:00:00Z,225.875000,223.190000,226.100000,222.180000,39535926,reg
2025-07-17T00:00:00Z,223.320000,223.880000,224.500000,222.510000,31855831,reg
2025-07-18T00:00:00Z,225.140000,226.130000,226.400000,222.980000,37833807,reg
2025-07-21T00:00:00Z,225.835000,229.300000,229.690000,225.650000,40297556,reg
2025-07-22T00:00:00Z,229.680000,227.470000,230.000000,226.350000,37483702,reg
2025-07-23T00:00:00Z,228.470000,228.290000,228.790000,227.090000,28294852,reg
2025-07-24T00:00:00Z,229.170000,232.230000,236.000000,228.640000,42902266,reg
2025-07-25T00:00:00Z,232.220000,231.440000,232.480000,231.180000,28712095,reg
2025-07-28T00:00:00Z,233.350000,232.790000,234.290000,232.250000,26300138,reg
2025-07-29T00:00:00Z,234.150000,231.010000,234.720000,230.310000,33716220,reg
2025-07-30T00:00:00Z,231.640000,230.190000,231.800000,229.290000,32993273,reg
2025-07-31T00:00:00Z,235.770000,234.110000,236.530000,231.400000,104357263,reg
2025-08-01T00:00:00Z,217.210000,214.750000,220.439900,212.800000,122258801,reg
2025-08-04T00:00:00Z,217.400000,211.650000,217.440000,211.420000,77890146,reg
2025-08-05T00:00:00Z,213.050000,213.750000,216.300000,212.870000,51505121,reg
2025-08-06T00:00:00Z,214.695000,222.310000,222.650000,213.740900,54823045,reg
2025-08-07T00:00:00Z,221.000000,223.130000,226.220000,220.820000,40603513,reg
2025-08-08T00:00:00Z,223.140000,222.690000,223.800000,221.883600,32970477,reg
2025-08-11T00:00:00Z,221.780000,221.300000,223.050000,220.400000,31646222,reg
2025-08-12T00:00:00Z,222.230000,221.470000,223.500000,219.050000,37254707,reg
2025-08-13T00:00:00Z,222.000000,224.560000,224.918500,222.000000,36508335,reg
2025-08-14T00:00:00Z,227.400000,230.980000,233.110000,227.020000,61545824,reg
2025-08-15T00:00:00Z,232.580000,231.030000,234.080000,229.807000,39649244,reg
2025-08-18T00:00:00Z,230.225000,231.490000,231.910000,228.330000,25248890,reg
2025-08-19T00:00:00Z,230.090000,228.010000,230.528300,227.120000,29891012,reg
2025-08-20T00:00:00Z,227.120000,223.810000,227.270000,220.915000,36604319,reg
2025-08-21T00:00:00Z,222.650000,221.950000,222.780000,220.500000,32140459,reg
2025-08-22T00:00:00Z,222.790000,228.840000,229.140000,220.820000,37315341,reg
2025-08-25T00:00:00Z,227.350000,227.940000,229.600000,227.310000,22633695,reg
2025-08-26T00:00:00Z,227.110000,228.710000,229.000000,226.020000,26105373,reg
2025-08-27T00:00:00Z,228.570000,229.120000,229.870000,227.810000,21254479,reg
2025-08-28T00:00:00Z,229.005000,231.600000,232.710000,228.020000,33679585,reg
2025-08-29T00:00:00Z,231.320000,229.000000,231.812500,228.160000,26199170,reg
2025-09-02T00:00:00Z,223.520000,225.340000,226.170000,221.830000,38843883,reg
2025-09-03T00:00:00Z,225.210000,225.990000,227.169900,224.360000,29223134,reg
2025-09-04T00:00:00Z,231.185000,235.680000,235.770000,230.780000,59391779,reg
2025-09-05T00:00:00Z,235.190000,232.330000,236.000000,231.930000,36721802,reg
2025-09-08T00:00:00Z,234.940000,235.840000,237.600000,233.750000,33947104,reg
2025-09-09T00:00:00Z,236.355000,238.240000,238.850000,235.080000,27033778,reg
2025-09-10T00:00:00Z,237.515000,230.330000,237.680000,229.096200,60907714,reg
2025-09-11T00:00:00Z,231.490000,229.950000,231.530000,229.337700,37485598,reg
2025-09-12T00:00:00Z,230.350000,228.150000,230.790000,226.290000,38496218,reg
2025-09-15T00:00:00Z,230.625000,231.430000,233.730000,230.320000,33243328,reg
2025-09-16T00:00:00Z,232.935000,234.050000,235.900000,232.230000,38203912,reg
2025-09-17T00:00:00Z,233.770000,231.620000,234.300000,228.710000,42815230,reg
2025-09-18T00:00:00Z,232.500000,231.230000,233.480000,228.790000,37931738,reg
2025-09-19T00:00:00Z,232.370000,231.480000,234.160000,229.700000,97943172,reg
2025-09-22T00:00:00Z,230.560000,227.630000,230.565000,227.510000,45914506,reg
2025-09-23T00:00:00Z,227.830000,220.710000,227.860000,220.070000,70956193,reg
2025-09-24T00:00:00Z,224.150000,220.210000,224.560000,219.450000,49509033,reg
2025-09-25T00:00:00Z,220.060000,218.150000,220.670000,216.470000,52226328,reg
2025-09-26T00:00:00Z,219.080000,219.780000,221.050000,218.020000,41650098,reg
