begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-23T00:00:00Z,41.280000,41.350000,42.550000,40.240000,570988,reg
2025-06-24T00:00:00Z,42.230000,43.550000,44.610000,41.140000,743905,reg
2025-06-25T00:00:00Z,43.930000,42.990000,44.110000,41.750000,411488,reg
2025-06-26T00:00:00Z,43.110000,43.810000,43.880000,42.400000,399041,reg
2025-06-27T00:00:00Z,43.800000,43.380000,44.250000,42.740000,1745864,reg
2025-06-30T00:00:00Z,43.780000,43.430000,44.395000,43.010000,1198254,reg
2025-07-01T00:00:00Z,43.040000,44.260000,45.300000,42.880000,920207,reg
2025-07-02T00:00:00Z,44.120000,44.320000,46.670000,43.480000,1451937,reg
2025-07-03T00:00:00Z,44.710000,47.460000,47.710000,43.510000,507962,reg
2025-07-07T00:00:00Z,47.270000,39.240000,47.485000,38.010000,6011571,reg
2025-07-08T00:00:00Z,40.410000,36.410000,40.410000,35.710000,2985551,reg
2025-07-09T00:00:00Z,36.950000,37.020000,38.345000,36.720000,2705409,reg
2025-07-10T00:00:00Z,37.170000,38.570000,39.328300,36.395000,1300987,reg
2025-07-11T00:00:00Z,38.100000,38.140000,38.950000,37.460000,954044,reg
2025-07-14T00:00:00Z,38.200000,38.880000,39.290000,37.560000,573398,reg
2025-07-15T00:00:00Z,39.240000,37.140000,39.470000,37.050000,724044,reg
2025-07-16T00:00:00Z,37.550000,38.370000,39.025000,37.400300,882082,reg
2025-07-17T00:00:00Z,38.670000,39.000000,39.320000,38.200000,778878,reg
2025-07-18T00:00:00Z,39.420000,39.310000,40.400000,38.580000,824769,reg
2025-07-21T00:00:00Z,39.470000,39.110000,40.190000,38.660000,787444,reg
2025-07-22T00:00:00Z,39.430000,39.600000,39.910000,38.830000,514290,reg
2025-07-23T00:00:00Z,39.950000,40.580000,41.510000,39.301300,527360,reg
2025-07-24T00:00:00Z,40.510000,41.640000,42.290000,40.250000,575120,reg
2025-07-25T00:00:00Z,41.260000,40.820000,41.550000,39.674000,600256,reg
2025-07-28T00:00:00Z,40.780000,39.660000,40.900000,38.750000,693973,reg
2025-07-29T00:00:00Z,39.860000,37.930000,39.860000,37.465000,781371,reg
2025-07-30T00:00:00Z,38.035000,37.610000,38.310000,36.820000,700853,reg
2025-07-31T00:00:00Z,37.300000,38.260000,38.540000,37.290000,568549,reg
2025-08-01T00:00:00Z,37.600000,37.750000,38.250000,36.560100,647369,reg
2025-08-04T00:00:00Z,37.820000,37.240000,38.305000,37.120000,527335,reg
2025-08-05T00:00:00Z,37.450000,38.330000,38.920000,36.580000,518315,reg
2025-08-06T00:00:00Z,37.780000,36.320000,38.330000,36.000000,856361,reg
2025-08-07T00:00:00Z,36.510000,36.000000,36.790000,35.255000,489326,reg
2025-08-08T00:00:00Z,35.770000,35.390000,36.400000,34.340000,622266,reg
2025-08-11T00:00:00Z,35.390000,34.650000,35.740000,34.395000,467821,reg
2025-08-12T00:00:00Z,35.130000,36.700000,37.077500,34.580000,625675,reg
2025-08-13T00:00:00Z,37.320000,37.360000,38.170000,36.780000,474594,reg
2025-08-14T00:00:00Z,36.880000,38.120000,38.400000,36.735000,485988,reg
2025-08-15T00:00:00Z,38.290000,37.290000,38.630000,36.900000,552765,reg
2025-08-18T00:00:00Z,37.210000,36.900000,38.000000,36.460000,298864,reg
2025-08-19T00:00:00Z,36.630000,36.410000,36.745000,35.730000,495853,reg
2025-08-20T00:00:00Z,36.500000,36.020000,36.680000,35.620000,364342,reg
2025-08-21T00:00:00Z,35.670000,36.350000,36.800000,35.570000,484772,reg
2025-08-22T00:00:00Z,36.560000,38.270000,38.879200,36.420000,644657,reg
2025-08-25T00:00:00Z,38.340000,36.940000,38.385000,36.780000,241127,reg
2025-08-26T00:00:00Z,36.950000,37.870000,37.970000,36.640000,323009,reg
2025-08-27T00:00:00Z,37.850000,37.790000,38.460000,37.470000,272797,reg
2025-08-28T00:00:00Z,37.960000,36.620000,38.250000,36.390000,389761,reg
2025-08-29T00:00:00Z,36.650000,36.370000,37.350000,35.680000,516636,reg
2025-09-02T00:00:00Z,36.340000,37.860000,38.000000,36.000000,366999,reg
2025-09-03T00:00:00Z,37.390000,38.160000,38.750000,36.730000,380601,reg
2025-09-04T00:00:00Z,38.260000,37.130000,38.370000,36.676000,386855,reg
2025-09-05T00:00:00Z,37.000000,37.870000,38.210000,36.390000,498294,reg
2025-09-08T00:00:00Z,37.990000,38.420000,38.815000,37.510000,682484,reg
2025-09-09T00:00:00Z,38.440000,38.460000,38.840000,37.680000,688110,reg
2025-09-10T00:00:00Z,38.480000,37.490000,38.750000,37.430000,1034975,reg
2025-09-11T00:00:00Z,37.690000,37.270000,38.390000,36.810000,724794,reg
2025-09-12T00:00:00Z,37.260000,36.880000,37.940000,36.860000,474539,reg
2025-09-15T00:00:00Z,37.190000,36.860000,37.969900,36.010000,494212,reg
2025-09-16T00:00:00Z,36.770000,36.840000,37.870000,36.280000,337955,reg
2025-09-17T00:00:00Z,37.010000,37.630000,39.145000,37.010000,446845,reg
2025-09-18T00:00:00Z,38.060000,38.430000,38.880000,37.910000,480576,reg
2025-09-19T00:00:00Z,38.480000,36.530000,38.480000,36.450000,1505548,reg
2025-09-22T00:00:00Z,36.390000,37.960000,38.210000,35.390000,530084,reg
2025-09-23T00:00:00Z,37.950000,38.130000,38.550000,37.301800,348460,reg
2025-09-24T00:00:00Z,38.380000,38.420000,38.600000,37.675000,288490,reg
2025-09-25T00:00:00Z,38.660000,37.520000,38.800000,36.950000,550358,reg
2025-09-26T00:00:00Z,37.790000,38.220000,38.250000,36.850000,649024,reg
2025-09-29T00:00:00Z,38.400000,39.830000,40.080000,37.480000,472797,reg
2025-09-30T00:00:00Z,39.950000,39.730000,40.200000,38.845000,495850,reg
2025-10-01T00:00:00Z,39.560000,39.380000,40.887700,39.250000,335784,reg
2025-10-02T00:00:00Z,39.220000,39.610000,39.850000,38.880000,261646,reg
2025-10-03T00:00:00Z,39.950000,39.880000,40.420000,39.350000,554415,reg
2025-10-06T00:00:00Z,39.840000,39.820000,40.480000,39.210000,391612,reg
2025-10-07T00:00:00Z,39.830000,39.730000,40.295000,39.250000,495197,reg
2025-10-08T00:00:00Z,39.880000,47.240000,47.490000,39.860000,1163773,reg
2025-10-09T00:00:00Z,48.420000,53.210000,53.343300,47.300000,4069628,reg
2025-10-10T00:00:00Z,53.000000,52.470000,54.380000,51.060000,1830787,reg
2025-10-13T00:00:00Z,53.010000,53.970000,54.800000,51.510000,1096149,reg
2025-10-14T00:00:00Z,53.470000,52.370000,54.440000,52.040000,839637,reg
2025-10-15T00:00:00Z,53.190000,55.850000,56.225000,52.865000,964738,reg
2025-10-16T00:00:00Z,56.020000,53.400000,56.840000,52.920000,933842,reg
2025-10-17T00:00:00Z,53.430000,55.150000,55.580000,52.770000,1036389,reg
2025-10-20T00:00:00Z,55.690000,56.940000,57.030000,55.080000,830451,reg
2025-10-21T00:00:00Z,57.350000,55.870000,57.630000,55.312900,527321,reg
2025-10-22T00:00:00Z,55.420000,53.480000,55.850000,52.860000,501299,reg
2025-10-23T00:00:00Z,53.770000,53.820000,57.340000,51.800000,515849,reg
2025-10-24T00:00:00Z,54.510000,53.320000,54.970000,53.080000,604483,reg
2025-10-27T00:00:00Z,53.590000,56.230000,56.765000,53.590000,1109977,reg
2025-10-28T00:00:00Z,56.040000,56.380000,57.230000,55.550000,624387,reg
2025-10-29T00:00:00Z,56.080000,55.700000,56.781900,54.800000,428736,reg
2025-10-30T00:00:00Z,55.350000,56.040000,57.000000,55.350000,857686,reg
2025-10-31T00:00:00Z,55.750000,56.590000,56.850000,54.940000,624216,reg
2025-11-03T00:00:00Z,56.980000,54.350000,58.360000,53.530000,774481,reg
2025-11-04T00:00:00Z,53.920000,53.900000,54.710000,53.010000,353824,reg
2025-11-05T00:00:00Z,53.470000,55.450000,57.310000,52.760000,1042246,reg
2025-11-06T00:00:00Z,54.850000,54.995000,56.000000,53.630100,681338,reg
2025-11-07T00:00:00Z,55.000000,54.710000,55.930000,52.340000,523026,reg
