begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-23T00:00:00Z,15.200000,15.510000,15.815000,15.120000,1544073,reg
2025-06-24T00:00:00Z,15.840000,15.960000,16.065000,15.435000,1324379,reg
2025-06-25T00:00:00Z,15.920000,15.660000,16.115000,15.330000,942764,reg
2025-06-26T00:00:00Z,15.620000,16.070000,16.080000,15.310000,1436636,reg
2025-06-27T00:00:00Z,16.110000,16.080000,16.240000,15.655000,2078814,reg
2025-06-30T00:00:00Z,16.190000,15.800000,16.760000,15.800000,1698764,reg
2025-07-01T00:00:00Z,15.660000,16.090000,16.540000,15.330000,1282991,reg
2025-07-02T00:00:00Z,16.120000,16.900000,16.980000,15.985000,1741253,reg
2025-07-03T00:00:00Z,16.910000,16.790000,17.180000,16.710000,800545,reg
2025-07-07T00:00:00Z,16.750000,16.840000,17.050000,16.450000,1922237,reg
2025-07-08T00:00:00Z,16.890000,17.540000,17.795000,16.870000,1807941,reg
2025-07-09T00:00:00Z,17.680000,18.880000,18.895000,17.680000,2163610,reg
2025-07-10T00:00:00Z,18.980000,18.860000,19.240000,18.560000,1787473,reg
2025-07-11T00:00:00Z,18.400000,18.310000,18.690000,18.100000,1446999,reg
2025-07-14T00:00:00Z,18.170000,18.610000,19.064500,18.170000,1399656,reg
2025-07-15T00:00:00Z,18.790000,17.630000,18.910000,17.590000,1458761,reg
2025-07-16T00:00:00Z,17.870000,18.300000,18.430000,17.750000,1248474,reg
2025-07-17T00:00:00Z,18.350000,18.850000,19.045000,18.100000,1301881,reg
2025-07-18T00:00:00Z,19.050000,16.760000,19.325000,16.670000,3012791,reg
2025-07-21T00:00:00Z,16.960000,14.710000,17.000000,14.325000,6746547,reg
2025-07-22T00:00:00Z,14.650000,14.960000,15.035000,14.300100,2729318,reg
2025-07-23T00:00:00Z,15.420000,15.920000,16.620000,15.140000,3419276,reg
2025-07-24T00:00:00Z,15.920000,16.260000,16.520000,15.650000,2449280,reg
2025-07-25T00:00:00Z,16.120000,15.740000,16.310000,15.620000,1765553,reg
2025-07-28T00:00:00Z,16.090000,16.200000,16.500000,15.925000,1804201,reg
2025-07-29T00:00:00Z,16.560000,15.920000,16.690000,15.820000,1597757,reg
2025-07-30T00:00:00Z,16.260000,15.705000,16.545000,15.510000,1548182,reg
2025-07-31T00:00:00Z,15.927800,15.800000,16.050000,15.584200,1195865,reg
2025-08-01T00:00:00Z,15.500000,15.930000,16.000000,15.495000,1519230,reg
2025-08-04T00:00:00Z,16.130000,16.465000,16.625000,15.960000,1094534,reg
2025-08-05T00:00:00Z,16.400000,16.470000,16.610000,16.130000,1293811,reg
2025-08-06T00:00:00Z,16.290000,16.310000,16.725000,15.830000,1935040,reg
2025-08-07T00:00:00Z,16.410000,16.060000,16.485000,15.680000,1638236,reg
