begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-23T00:00:00Z,761.260000,779.720000,780.750000,759.805000,1302753,reg
2025-06-24T00:00:00Z,786.110000,813.360000,813.460000,786.110000,2039644,reg
2025-06-25T00:00:00Z,816.745000,815.240000,819.540000,806.220000,1400090,reg
2025-06-26T00:00:00Z,799.760000,798.090000,800.880000,786.495000,1705753,reg
2025-06-27T00:00:00Z,802.940000,795.950000,805.490000,788.450100,1201022,reg
2025-06-30T00:00:00Z,796.480000,801.390000,802.440000,794.041800,1080826,reg
2025-07-01T00:00:00Z,788.050000,790.470000,795.500000,782.535000,1066115,reg
2025-07-02T00:00:00Z,776.240000,799.590000,800.500000,772.860000,1382989,reg
2025-07-03T00:00:00Z,786.965000,794.500000,798.525000,786.610000,910715,reg
2025-07-07T00:00:00Z,785.455000,785.090000,793.490000,783.800000,1363742,reg
2025-07-08T00:00:00Z,782.655000,794.100000,798.390000,778.730000,1327752,reg
2025-07-09T00:00:00Z,792.910000,799.830000,800.895000,792.470000,1334286,reg
2025-07-10T00:00:00Z,808.930000,802.090000,811.100000,798.000000,1500053,reg
2025-07-11T00:00:00Z,797.070000,801.930000,803.190000,796.520100,932666,reg
2025-07-14T00:00:00Z,797.620000,806.730000,812.771000,789.865000,1456895,reg
2025-07-15T00:00:00Z,822.975000,823.020000,826.560000,814.210000,2099641,reg
2025-07-16T00:00:00Z,754.360000,754.450000,760.899900,730.600000,10789554,reg
2025-07-17T00:00:00Z,746.815000,744.910000,756.850000,742.000000,4078476,reg
2025-07-18T00:00:00Z,752.080000,734.580000,752.090000,734.330000,2567221,reg
2025-07-21T00:00:00Z,731.000000,719.680000,732.900000,719.320000,2650344,reg
2025-07-22T00:00:00Z,718.305000,705.480000,719.060000,701.189000,3425061,reg
2025-07-23T00:00:00Z,715.210000,716.930000,719.972500,708.130000,3379367,reg
2025-07-24T00:00:00Z,723.010000,725.080000,726.630000,718.355000,2037055,reg
2025-07-25T00:00:00Z,709.135000,711.250000,713.150000,706.600200,2312071,reg
2025-07-28T00:00:00Z,735.145000,729.990000,735.410000,728.490000,2253865,reg
2025-07-29T00:00:00Z,722.730000,718.490000,726.920000,715.700000,2292900,reg
2025-07-30T00:00:00Z,716.890000,721.450000,724.020000,715.500000,1407034,reg
2025-07-31T00:00:00Z,706.395000,694.710000,707.540000,691.210000,2892155,reg
2025-08-01T00:00:00Z,690.000000,689.820000,693.430000,683.480000,1627113,reg
2025-08-04T00:00:00Z,695.580000,699.360000,699.450000,692.900000,1025554,reg
2025-08-05T00:00:00Z,694.720000,689.630000,695.630000,684.240000,1261219,reg
2025-08-06T00:00:00Z,687.650000,690.960000,692.430000,685.440000,1218701,reg
