begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-23T00:00:00Z,177.250000,175.780000,179.200000,174.525000,399967,reg
2025-06-24T00:00:00Z,176.000000,179.100000,180.780000,175.535000,377011,reg
2025-06-25T00:00:00Z,178.220000,173.000000,179.200000,166.840000,641895,reg
2025-06-26T00:00:00Z,174.320000,172.950000,175.270000,172.000000,353316,reg
2025-06-27T00:00:00Z,172.660000,172.220000,174.810000,170.665000,255335,reg
2025-06-30T00:00:00Z,172.220000,172.600000,174.310000,169.205000,420195,reg
2025-07-01T00:00:00Z,170.780000,172.000000,173.700000,167.515000,802076,reg
2025-07-02T00:00:00Z,170.190000,173.100000,174.335000,170.190000,270610,reg
2025-07-03T00:00:00Z,172.860000,174.180000,174.390000,169.810000,157816,reg
2025-07-07T00:00:00Z,174.000000,175.980000,175.980000,170.725000,476887,reg
2025-07-08T00:00:00Z,177.480000,168.170000,178.290000,168.010000,475434,reg
2025-07-09T00:00:00Z,169.670000,175.710000,180.000000,168.170000,838013,reg
2025-07-10T00:00:00Z,175.720000,176.490000,177.830000,172.680000,465700,reg
2025-07-11T00:00:00Z,176.420000,174.960000,177.180000,173.780000,387284,reg
2025-07-14T00:00:00Z,175.500000,174.885000,179.500000,173.810000,320526,reg
2025-07-15T00:00:00Z,176.000000,174.750000,177.000000,171.485000,314308,reg
2025-07-16T00:00:00Z,175.000000,175.400000,176.230000,171.100000,426384,reg
2025-07-17T00:00:00Z,175.060000,177.200000,177.930000,173.810000,353205,reg
2025-07-18T00:00:00Z,177.860000,169.900000,179.956700,169.520000,617700,reg
2025-07-21T00:00:00Z,170.830000,168.020000,173.324000,167.830000,334164,reg
2025-07-22T00:00:00Z,168.520000,165.540000,170.160000,165.240000,326525,reg
2025-07-23T00:00:00Z,166.000000,170.140000,171.200000,166.000000,480611,reg
2025-07-24T00:00:00Z,170.000000,168.310000,172.000000,167.335000,518479,reg
2025-07-25T00:00:00Z,169.980000,167.470000,175.875000,166.820000,421932,reg
2025-07-28T00:00:00Z,170.500000,164.160000,171.888000,164.040000,435392,reg
2025-07-29T00:00:00Z,164.270000,163.320000,166.000000,160.860000,337369,reg
2025-07-30T00:00:00Z,165.680000,166.780000,170.570000,163.875000,599738,reg
2025-07-31T00:00:00Z,167.400000,173.500000,176.980000,167.270000,626699,reg
2025-08-01T00:00:00Z,171.900000,174.480000,177.980000,171.900000,260277,reg
2025-08-04T00:00:00Z,175.000000,184.150000,184.780000,173.330000,456567,reg
2025-08-05T00:00:00Z,184.960000,186.590000,186.890000,180.705000,650266,reg
2025-08-06T00:00:00Z,185.480000,182.600000,186.500000,177.850000,411547,reg
2025-08-07T00:00:00Z,185.190000,190.350000,190.350000,181.430000,1005131,reg
2025-08-08T00:00:00Z,197.580000,191.490000,199.990000,175.190000,1554046,reg
