begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-23T00:00:00Z,43.660000,44.010000,44.150000,42.520000,1688024,reg
2025-06-24T00:00:00Z,45.000000,44.310000,45.000000,43.780000,1192526,reg
2025-06-25T00:00:00Z,44.100000,44.470000,44.700000,43.400000,1201606,reg
2025-06-26T00:00:00Z,44.480000,45.700000,45.810000,44.480000,1235322,reg
2025-06-27T00:00:00Z,46.550000,46.510000,47.250000,45.920000,2163519,reg
2025-06-30T00:00:00Z,46.460000,44.810000,46.460000,44.550000,1841545,reg
2025-07-01T00:00:00Z,44.640000,47.160000,48.140000,44.099100,1644551,reg
2025-07-02T00:00:00Z,47.350000,47.410000,47.860000,46.250100,1248589,reg
2025-07-03T00:00:00Z,47.490000,47.250000,47.830000,47.000000,577470,reg
2025-07-07T00:00:00Z,47.000000,47.800000,47.820000,46.775000,1239723,reg
2025-07-08T00:00:00Z,48.000000,49.160000,49.340000,47.530000,1542363,reg
2025-07-09T00:00:00Z,49.030000,50.190000,50.330000,49.030000,1454399,reg
2025-07-10T00:00:00Z,50.390000,51.880000,52.465000,49.940000,1852949,reg
2025-07-11T00:00:00Z,51.090000,50.660000,51.420000,50.250000,970990,reg
2025-07-14T00:00:00Z,50.030000,51.110000,51.215000,49.510000,1392501,reg
2025-07-15T00:00:00Z,51.530000,51.310000,52.945000,51.010000,1647028,reg
2025-07-16T00:00:00Z,51.780000,52.020000,52.680000,50.810000,1515907,reg
2025-07-17T00:00:00Z,52.100000,54.260000,54.425000,52.090000,1610819,reg
2025-07-18T00:00:00Z,55.020000,54.120000,55.500000,53.790000,1478486,reg
2025-07-21T00:00:00Z,54.340000,53.950000,54.675000,53.500000,1696056,reg
2025-07-22T00:00:00Z,54.230000,56.110000,56.300000,54.230000,2170979,reg
2025-07-23T00:00:00Z,56.600000,56.870000,57.040000,55.840000,1083852,reg
2025-07-24T00:00:00Z,56.480000,55.700000,57.060000,55.190000,1014021,reg
2025-07-25T00:00:00Z,56.280000,55.480000,56.759500,54.720000,1072056,reg
2025-07-28T00:00:00Z,55.840000,55.900000,56.485000,55.120000,1367665,reg
2025-07-29T00:00:00Z,56.080000,53.860000,56.260000,53.830000,1367929,reg
2025-07-30T00:00:00Z,54.100000,52.210000,54.100000,51.950000,1527957,reg
2025-07-31T00:00:00Z,52.030000,50.790000,52.090000,50.470000,1958141,reg
2025-08-01T00:00:00Z,50.180000,49.270000,50.180000,48.540000,1453321,reg
2025-08-04T00:00:00Z,50.820000,51.530000,51.900000,49.700000,2016912,reg
2025-08-05T00:00:00Z,51.480000,50.880000,52.270000,50.535000,1047584,reg
2025-08-06T00:00:00Z,50.880000,51.710000,52.120000,50.880000,671902,reg
2025-08-07T00:00:00Z,52.030000,50.200000,52.125000,49.782200,913610,reg
2025-08-08T00:00:00Z,50.260000,49.630000,50.390000,48.960100,816264,reg
2025-08-11T00:00:00Z,50.240000,49.990000,50.520000,49.580000,1205089,reg
2025-08-12T00:00:00Z,50.660000,52.020000,52.870000,50.660000,1166013,reg
2025-08-13T00:00:00Z,52.300000,55.150000,55.820000,52.285000,2142098,reg
2025-08-14T00:00:00Z,53.560000,54.810000,55.010000,52.935000,1201067,reg
2025-08-15T00:00:00Z,54.740000,54.020000,54.740000,53.760000,837424,reg
2025-08-18T00:00:00Z,54.020000,53.805000,54.720000,53.510000,1002276,reg
2025-08-19T00:00:00Z,53.740000,52.600000,55.285000,52.110000,1491493,reg
2025-08-20T00:00:00Z,51.910000,51.210000,52.490000,51.090000,1129660,reg
2025-08-21T00:00:00Z,50.670000,51.600000,51.920000,50.580000,870978,reg
2025-08-22T00:00:00Z,52.000000,53.950000,54.590000,51.420000,1098812,reg
2025-08-25T00:00:00Z,53.590000,53.850000,54.055000,52.760000,1177574,reg
2025-08-26T00:00:00Z,53.850000,53.740000,54.760000,53.370000,1419497,reg
