begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-24T00:00:00Z,84.010000,84.120000,84.360000,82.180000,1620388,reg
2025-06-25T00:00:00Z,84.470000,82.990000,84.765000,82.850000,1151309,reg
2025-06-26T00:00:00Z,84.940000,85.680000,85.930000,84.160000,1570058,reg
2025-06-27T00:00:00Z,86.000000,86.800000,87.280000,85.650000,2590787,reg
2025-06-30T00:00:00Z,87.000000,86.340000,87.750000,86.210000,1665627,reg
2025-07-01T00:00:00Z,85.830000,83.890000,86.280000,83.050000,1838996,reg
2025-07-02T00:00:00Z,84.810000,85.620000,85.685000,84.190000,1328324,reg
2025-07-03T00:00:00Z,85.940000,86.850000,87.430000,85.860000,1115436,reg
2025-07-07T00:00:00Z,86.840000,87.570000,88.425000,86.320000,1229631,reg
2025-07-08T00:00:00Z,87.910000,87.830000,88.500000,85.640000,1379251,reg
2025-07-09T00:00:00Z,88.670000,87.800000,88.760000,87.195000,1789463,reg
2025-07-10T00:00:00Z,88.310000,88.050000,88.669900,87.040000,1161603,reg
2025-07-11T00:00:00Z,87.960000,89.310000,89.475000,87.465000,1222408,reg
2025-07-14T00:00:00Z,89.005000,90.590000,91.735000,89.005000,2153924,reg
2025-07-15T00:00:00Z,91.210000,89.890000,91.220000,89.460000,1561094,reg
2025-07-16T00:00:00Z,90.270000,89.780000,90.325000,88.590000,1294280,reg
2025-07-17T00:00:00Z,90.100000,92.570000,93.030000,89.830000,1512165,reg
2025-07-18T00:00:00Z,92.600000,93.410000,93.750000,92.580000,1230176,reg
2025-07-21T00:00:00Z,93.500000,92.830000,93.990000,92.455000,1227694,reg
2025-07-22T00:00:00Z,92.330000,92.460000,92.700000,89.620000,1736968,reg
2025-07-23T00:00:00Z,93.020000,94.090000,94.870000,93.020000,1067715,reg
2025-07-24T00:00:00Z,94.000000,93.270000,94.810000,92.940000,1766608,reg
2025-07-25T00:00:00Z,93.780000,94.990000,95.170000,93.305000,858180,reg
2025-07-28T00:00:00Z,96.000000,95.520000,96.199500,94.700000,1791637,reg
2025-07-29T00:00:00Z,95.900000,94.110000,96.140000,93.940000,1667666,reg
2025-07-30T00:00:00Z,94.420000,94.240000,95.410000,93.920000,3268969,reg
2025-07-31T00:00:00Z,85.250000,76.940000,86.930000,76.200000,8394572,reg
2025-08-01T00:00:00Z,75.490000,76.720000,77.050000,74.000000,3713113,reg
