begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-24T00:00:00Z,114.615000,117.010000,117.320000,113.620000,17125097,reg
2025-06-25T00:00:00Z,117.200000,114.550000,117.450000,114.170000,12835548,reg
2025-06-26T00:00:00Z,114.100000,113.930000,114.200000,113.380000,8388014,reg
2025-06-27T00:00:00Z,114.370000,114.080000,115.500000,113.320000,12355492,reg
2025-06-30T00:00:00Z,112.460000,113.410000,113.490000,111.400000,10457272,reg
2025-07-01T00:00:00Z,112.950000,113.970000,114.790000,112.740000,9243164,reg
2025-07-02T00:00:00Z,111.570000,110.710000,111.820000,110.370000,13843810,reg
2025-07-03T00:00:00Z,108.335000,108.700000,109.080000,107.950000,11847157,reg
2025-07-07T00:00:00Z,107.430000,106.270000,108.200000,105.940000,17446167,reg
2025-07-08T00:00:00Z,108.765000,107.990000,109.130000,107.910000,11319872,reg
2025-07-09T00:00:00Z,105.480000,103.830000,105.525000,103.710000,24609268,reg
2025-07-10T00:00:00Z,105.140000,106.640000,106.760000,104.413700,13554454,reg
2025-07-11T00:00:00Z,106.910000,106.720000,107.420000,106.300000,10774594,reg
2025-07-14T00:00:00Z,107.645000,108.220000,108.800000,107.190000,13231335,reg
2025-07-15T00:00:00Z,114.655000,116.970000,117.215000,113.203578,34785371,reg
2025-07-16T00:00:00Z,115.500000,115.730000,116.030000,114.040100,14438970,reg
2025-07-17T00:00:00Z,115.040000,117.300000,118.200000,114.860000,14573568,reg
2025-07-18T00:00:00Z,121.380000,120.230000,122.160000,119.770000,26787681,reg
2025-07-21T00:00:00Z,119.510000,120.270000,122.310000,118.250000,17937612,reg
2025-07-22T00:00:00Z,120.440000,120.710000,121.840000,119.000000,11551511,reg
2025-07-23T00:00:00Z,122.795000,122.580000,123.865000,121.400000,12874232,reg
2025-07-24T00:00:00Z,121.850000,121.150000,123.990000,120.450000,11378418,reg
2025-07-25T00:00:00Z,120.190000,120.030000,120.480000,119.340000,7060560,reg
2025-07-28T00:00:00Z,122.030000,122.150000,123.450000,121.530000,11207373,reg
2025-07-29T00:00:00Z,122.490000,119.360000,122.870000,119.050000,13599708,reg
2025-07-30T00:00:00Z,119.045000,117.380000,119.589700,116.840000,12794061,reg
2025-07-31T00:00:00Z,117.820000,120.630000,121.340000,117.520000,13650447,reg
2025-08-01T00:00:00Z,118.060000,117.070000,118.369900,116.110000,12424282,reg
2025-08-04T00:00:00Z,118.350000,117.500000,119.490000,116.860000,7272111,reg
2025-08-05T00:00:00Z,118.100000,117.040000,118.650000,116.870000,5885633,reg
2025-08-06T00:00:00Z,118.880000,120.860000,121.290000,117.770000,12079640,reg
2025-08-07T00:00:00Z,121.340000,120.960000,122.280000,119.600000,9480594,reg
2025-08-08T00:00:00Z,119.320000,120.360000,120.700000,118.655000,9763569,reg
2025-08-11T00:00:00Z,120.430000,118.640000,121.300000,118.120000,12071979,reg
2025-08-12T00:00:00Z,118.810000,122.420000,122.790000,118.100000,11994896,reg
2025-08-13T00:00:00Z,126.690000,126.860000,127.930000,125.080000,19362542,reg
2025-08-14T00:00:00Z,123.730000,122.280000,123.930000,121.340000,15045624,reg
2025-08-15T00:00:00Z,120.980000,121.260000,122.188800,120.680000,11141846,reg
2025-08-18T00:00:00Z,121.920000,121.400000,123.150000,120.900000,8550427,reg
2025-08-19T00:00:00Z,121.580000,119.990000,122.580000,119.990000,8106147,reg
2025-08-20T00:00:00Z,119.920000,119.490000,120.810000,118.670000,7095804,reg
