begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-24T00:00:00Z,45.090000,45.280000,45.710000,44.730000,2515393,reg
2025-06-25T00:00:00Z,45.700000,44.800000,46.150000,44.490000,3213901,reg
2025-06-26T00:00:00Z,44.990000,45.300000,45.410000,44.370000,1764669,reg
2025-06-27T00:00:00Z,45.400000,45.570000,46.140000,45.017600,2270427,reg
2025-06-30T00:00:00Z,46.290000,46.260000,47.000000,45.875000,2442479,reg
2025-07-01T00:00:00Z,46.030000,46.050000,46.720000,45.060000,2564085,reg
2025-07-02T00:00:00Z,46.050000,46.560000,46.580000,45.300000,1693539,reg
2025-07-03T00:00:00Z,46.800000,48.210000,48.400000,46.775000,1611636,reg
2025-07-07T00:00:00Z,47.490000,47.490000,48.550000,46.945000,2862260,reg
2025-07-08T00:00:00Z,47.760000,48.370000,48.700000,47.620000,2030520,reg
2025-07-09T00:00:00Z,48.430000,47.720000,48.655000,47.575000,2064612,reg
2025-07-10T00:00:00Z,47.660000,46.390000,47.875100,45.940000,1667609,reg
2025-07-11T00:00:00Z,45.910000,44.730000,46.405000,44.730000,1488909,reg
2025-07-14T00:00:00Z,45.080000,46.300000,47.175000,44.680000,2019795,reg
2025-07-15T00:00:00Z,46.440000,45.450000,46.920000,45.410000,1981499,reg
2025-07-16T00:00:00Z,45.760000,45.900000,46.110000,44.950000,1238925,reg
2025-07-17T00:00:00Z,46.230000,47.410000,47.610000,46.130000,1587254,reg
2025-07-18T00:00:00Z,47.390000,45.860000,47.400000,45.190000,2504347,reg
2025-07-21T00:00:00Z,46.290000,45.290000,46.290000,45.170000,1391918,reg
2025-07-22T00:00:00Z,45.510000,46.070000,46.300000,45.145000,1541037,reg
2025-07-23T00:00:00Z,46.470000,46.540000,46.570000,45.440000,2170169,reg
2025-07-24T00:00:00Z,46.360000,45.240000,46.560000,45.210000,1167110,reg
2025-07-25T00:00:00Z,45.550000,45.920000,46.240000,44.970000,1255500,reg
2025-07-28T00:00:00Z,46.620000,46.070000,46.860000,46.060000,1729356,reg
2025-07-29T00:00:00Z,46.210000,45.030000,46.630000,44.800000,1362185,reg
2025-07-30T00:00:00Z,45.470000,45.280000,45.700000,44.110000,2475083,reg
2025-07-31T00:00:00Z,45.440000,42.850000,45.440000,42.800000,2348805,reg
2025-08-01T00:00:00Z,42.220000,41.730000,42.720000,41.480000,2439683,reg
2025-08-04T00:00:00Z,42.260000,42.400000,42.635000,41.965000,1509451,reg
2025-08-05T00:00:00Z,42.470000,41.740000,42.520000,41.360000,1697086,reg
2025-08-06T00:00:00Z,42.090000,42.220000,42.890000,41.610000,1556014,reg
2025-08-07T00:00:00Z,42.670000,41.510000,42.840000,40.550000,2151616,reg
2025-08-08T00:00:00Z,41.590000,40.740000,41.640000,40.380000,3364183,reg
2025-08-11T00:00:00Z,40.750000,39.120000,41.160000,39.085000,3217757,reg
2025-08-12T00:00:00Z,39.500000,39.020000,39.620000,38.700000,4444200,reg
2025-08-13T00:00:00Z,39.230000,40.410000,40.520000,38.850000,4776908,reg
2025-08-14T00:00:00Z,39.930000,39.480000,40.310000,39.160000,3401306,reg
2025-08-15T00:00:00Z,39.790000,40.440000,40.660000,39.380000,3086363,reg
2025-08-18T00:00:00Z,40.400000,41.650000,41.660000,40.400000,3722815,reg
2025-08-19T00:00:00Z,41.860000,41.340000,42.050000,40.820000,3737966,reg
2025-08-20T00:00:00Z,41.250000,41.650000,41.760000,40.520000,5073138,reg
2025-08-21T00:00:00Z,41.140000,41.250000,41.420000,40.190900,3715064,reg
2025-08-22T00:00:00Z,41.290000,42.290000,42.565000,40.880000,2721547,reg
2025-08-25T00:00:00Z,42.090000,41.060000,42.390000,40.835000,4116840,reg
