begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-25T00:00:00Z,44.300000,44.330000,44.690000,44.020000,476933,reg
2025-06-26T00:00:00Z,44.550000,45.070000,45.090000,44.160000,391217,reg
2025-06-27T00:00:00Z,45.380000,45.570000,45.780000,44.980000,919241,reg
2025-06-30T00:00:00Z,45.600000,45.350000,45.750000,44.990000,433943,reg
2025-07-01T00:00:00Z,45.300000,47.160000,47.580000,44.921000,435554,reg
2025-07-02T00:00:00Z,47.300000,47.630000,47.809900,46.740000,394098,reg
2025-07-03T00:00:00Z,47.630000,47.660000,47.960000,47.480000,157859,reg
2025-07-07T00:00:00Z,47.450000,46.950000,47.656400,46.750000,595437,reg
2025-07-08T00:00:00Z,47.010000,47.070000,47.235000,46.390000,450604,reg
2025-07-09T00:00:00Z,47.200000,46.960000,47.200000,46.470000,247020,reg
2025-07-10T00:00:00Z,46.520000,47.110000,47.850000,46.430000,351685,reg
2025-07-11T00:00:00Z,46.770000,47.350000,47.730000,46.770000,261002,reg
2025-07-14T00:00:00Z,47.560000,48.280000,48.380000,47.120000,514850,reg
2025-07-15T00:00:00Z,47.950000,47.270000,48.250000,47.165000,412454,reg
2025-07-16T00:00:00Z,47.570000,47.630000,47.810000,46.890000,477094,reg
2025-07-17T00:00:00Z,47.480000,48.100000,48.120000,47.480000,536650,reg
2025-07-18T00:00:00Z,48.390000,48.040000,48.395000,47.780000,411447,reg
2025-07-21T00:00:00Z,48.340000,48.950000,49.690000,48.120000,502654,reg
2025-07-22T00:00:00Z,49.280000,49.670000,49.965000,48.790000,388324,reg
2025-07-23T00:00:00Z,49.680000,50.140000,50.305900,49.670000,366304,reg
2025-07-24T00:00:00Z,50.030000,49.090000,50.300000,49.005000,298920,reg
2025-07-25T00:00:00Z,49.600000,49.070000,49.600000,48.980000,268639,reg
2025-07-28T00:00:00Z,49.420000,50.080000,50.305000,49.285000,570218,reg
2025-07-29T00:00:00Z,50.270000,49.450000,50.305000,49.320000,544290,reg
2025-07-30T00:00:00Z,49.910000,49.380000,49.910000,48.920000,422793,reg
2025-07-31T00:00:00Z,48.990000,49.370000,49.730000,48.910000,478082,reg
2025-08-01T00:00:00Z,48.780000,49.230000,49.260000,47.700000,397160,reg
2025-08-04T00:00:00Z,49.620000,51.160000,51.340000,49.600000,451328,reg
2025-08-05T00:00:00Z,51.050000,50.400000,51.200000,50.100000,541119,reg
2025-08-06T00:00:00Z,50.410000,51.740000,51.750000,50.330000,381342,reg
2025-08-07T00:00:00Z,52.660000,52.700000,54.050000,52.310000,543801,reg
2025-08-08T00:00:00Z,53.030000,52.580000,53.060000,52.270000,301312,reg
2025-08-11T00:00:00Z,53.010000,54.450000,54.600000,52.490000,1116009,reg
2025-08-12T00:00:00Z,54.680000,55.680000,56.030000,54.200100,892240,reg
2025-08-13T00:00:00Z,55.975000,57.260000,57.530000,55.975000,624751,reg
2025-08-14T00:00:00Z,56.450000,56.070000,56.770000,55.640000,625738,reg
2025-08-15T00:00:00Z,55.940000,55.540000,56.020000,55.030000,444505,reg
2025-08-18T00:00:00Z,55.390000,55.530000,55.745000,54.960000,321381,reg
2025-08-19T00:00:00Z,55.860000,55.200000,56.055000,54.990000,264512,reg
2025-08-20T00:00:00Z,55.020000,55.040000,55.490000,54.590000,321578,reg
2025-08-21T00:00:00Z,54.570000,54.850000,55.100000,54.390000,664488,reg
2025-08-22T00:00:00Z,54.490000,56.180000,56.610000,53.260000,1035423,reg
2025-08-25T00:00:00Z,56.130000,55.900000,56.930000,55.735000,611436,reg
2025-08-26T00:00:00Z,55.650000,55.130000,56.054600,55.020400,554086,reg
2025-08-27T00:00:00Z,55.240000,56.850000,56.940000,55.240000,638817,reg
2025-08-28T00:00:00Z,57.080000,57.500000,57.560000,56.720000,765026,reg
2025-08-29T00:00:00Z,57.830000,56.590000,57.830000,56.410000,516816,reg
2025-09-02T00:00:00Z,55.950000,57.500000,57.615000,55.895000,526634,reg
2025-09-03T00:00:00Z,57.510000,57.780000,58.060000,57.360000,603357,reg
2025-09-04T00:00:00Z,58.450000,60.250000,60.470000,58.260000,642250,reg
2025-09-05T00:00:00Z,60.060000,59.270000,60.550000,59.130000,771378,reg
2025-09-08T00:00:00Z,59.100000,59.370000,59.760000,58.095800,551360,reg
2025-09-09T00:00:00Z,59.230000,59.040000,59.360000,58.250000,466917,reg
2025-09-10T00:00:00Z,58.490000,59.800000,59.925000,58.310000,455172,reg
2025-09-11T00:00:00Z,60.150000,61.580000,61.620000,59.680000,484810,reg
2025-09-12T00:00:00Z,61.390000,59.480000,61.390000,59.430000,423190,reg
2025-09-15T00:00:00Z,59.480000,61.450000,61.690000,59.350000,583463,reg
2025-09-16T00:00:00Z,61.500000,60.810000,61.500000,60.250000,558691,reg
2025-09-17T00:00:00Z,60.470000,60.480000,61.300000,59.970000,497869,reg
2025-09-18T00:00:00Z,60.470000,61.170000,61.460000,60.290000,496220,reg
2025-09-19T00:00:00Z,61.450000,60.690000,61.450000,60.440000,1573368,reg
2025-09-22T00:00:00Z,60.880000,59.910000,61.160000,59.820000,513658,reg
2025-09-23T00:00:00Z,60.240000,60.120000,60.510000,59.990000,454244,reg
2025-09-24T00:00:00Z,60.080000,58.870000,60.550000,58.750000,471525,reg
2025-09-25T00:00:00Z,58.380000,58.770000,58.860000,58.160000,387989,reg
2025-09-26T00:00:00Z,58.560000,59.790000,59.880000,58.385000,439951,reg
2025-09-29T00:00:00Z,60.080000,59.040000,60.080000,58.645000,690605,reg
2025-09-30T00:00:00Z,59.020000,58.660000,59.385000,58.355000,501439,reg
2025-10-01T00:00:00Z,58.510000,57.680000,58.675000,57.470000,493974,reg
2025-10-02T00:00:00Z,57.510000,57.540000,57.745000,56.640000,415747,reg
2025-10-03T00:00:00Z,57.850000,57.500000,58.230000,57.490000,335823,reg
2025-10-06T00:00:00Z,57.420000,58.530000,58.670000,57.010000,575162,reg
2025-10-07T00:00:00Z,58.290000,56.840000,58.376000,56.600000,396305,reg
2025-10-08T00:00:00Z,56.900000,57.230000,57.510000,56.845000,363066,reg
2025-10-09T00:00:00Z,56.150000,53.940000,56.630000,53.710000,597585,reg
2025-10-10T00:00:00Z,54.210000,52.730000,54.220000,52.490000,623476,reg
2025-10-13T00:00:00Z,53.850000,54.000000,54.450000,53.640000,671988,reg
2025-10-14T00:00:00Z,53.570000,53.690000,53.750000,52.830000,629379,reg
2025-10-15T00:00:00Z,54.000000,53.580000,54.100000,53.075000,520612,reg
2025-10-16T00:00:00Z,53.320000,53.870000,53.880000,52.668700,411506,reg
2025-10-17T00:00:00Z,53.850000,54.330000,54.485000,53.500000,391694,reg
2025-10-20T00:00:00Z,54.810000,55.360000,55.530000,54.620000,312125,reg
2025-10-21T00:00:00Z,55.410000,55.050000,55.925000,55.050000,370312,reg
