begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-25T00:00:00Z,118.250000,115.960000,118.810000,115.530000,1619864,reg
2025-06-26T00:00:00Z,116.340000,115.980000,116.490000,114.800000,1402585,reg
2025-06-27T00:00:00Z,116.830000,117.010000,119.410000,116.710900,2177439,reg
2025-06-30T00:00:00Z,118.450000,116.690000,118.820000,115.920000,1630732,reg
2025-07-01T00:00:00Z,115.860000,126.910000,128.900000,115.567500,5270659,reg
2025-07-02T00:00:00Z,127.210000,127.890000,129.090000,125.600000,3344033,reg
2025-07-03T00:00:00Z,126.800000,127.220000,128.440000,125.630000,1732163,reg
2025-07-07T00:00:00Z,126.730000,124.860000,127.560000,123.810000,2276568,reg
2025-07-08T00:00:00Z,125.200000,127.240000,128.830000,124.500000,2288709,reg
2025-07-09T00:00:00Z,128.210000,133.000000,133.430000,127.825000,2698042,reg
2025-07-10T00:00:00Z,132.760000,135.120000,137.210000,132.040000,2793696,reg
2025-07-11T00:00:00Z,133.100000,133.280000,134.000000,131.820000,1602488,reg
2025-07-14T00:00:00Z,132.600000,131.030000,133.350000,127.800000,2309080,reg
2025-07-15T00:00:00Z,132.235000,125.880000,133.320000,125.840000,1605057,reg
2025-07-16T00:00:00Z,126.450000,126.000000,127.330000,122.820000,1666900,reg
2025-07-17T00:00:00Z,126.490000,126.850000,127.880000,125.340000,1317821,reg
2025-07-18T00:00:00Z,126.010000,123.150000,126.482200,121.550000,1810362,reg
2025-07-21T00:00:00Z,125.570000,121.900000,125.700300,121.830000,1244879,reg
2025-07-22T00:00:00Z,124.530000,130.830000,131.290000,124.000000,2161709,reg
2025-07-23T00:00:00Z,132.450000,134.720000,135.230000,132.080000,1888443,reg
2025-07-24T00:00:00Z,134.480000,132.790000,134.970500,131.770000,1585576,reg
2025-07-25T00:00:00Z,134.590000,136.460000,136.680000,133.300000,1455646,reg
2025-07-28T00:00:00Z,136.000000,135.630000,138.445000,134.210000,1832160,reg
2025-07-29T00:00:00Z,136.100000,133.420000,136.910000,132.320000,1240039,reg
2025-07-30T00:00:00Z,133.100000,126.110000,133.720000,125.125000,3207245,reg
2025-07-31T00:00:00Z,121.940000,127.130000,127.810000,118.170000,4595661,reg
2025-08-01T00:00:00Z,126.700000,130.180000,132.270000,123.740000,3999763,reg
2025-08-04T00:00:00Z,129.000000,128.180000,130.940000,127.360000,2662650,reg
2025-08-05T00:00:00Z,128.500000,132.950000,133.919900,128.180000,2772189,reg
2025-08-06T00:00:00Z,132.780000,130.740000,134.460000,130.424500,2384409,reg
2025-08-07T00:00:00Z,133.030000,131.260000,134.560000,131.240000,1585639,reg
2025-08-08T00:00:00Z,130.790000,132.200000,133.902300,130.640100,1356725,reg
2025-08-11T00:00:00Z,132.430000,128.760000,134.099900,126.360000,1812136,reg
2025-08-12T00:00:00Z,130.320000,137.450000,137.750000,128.580000,2358769,reg
2025-08-13T00:00:00Z,138.470000,144.400000,144.750000,137.950000,3524395,reg
2025-08-14T00:00:00Z,140.000000,138.150000,141.200000,136.490000,2304844,reg
2025-08-15T00:00:00Z,140.625000,136.880000,140.625000,136.550000,1351092,reg
2025-08-18T00:00:00Z,137.130000,136.520000,138.713800,135.790100,1106891,reg
2025-08-19T00:00:00Z,138.050000,138.150000,142.200000,137.882100,1629789,reg
2025-08-20T00:00:00Z,137.250000,132.750000,138.550000,132.600000,2075889,reg
2025-08-21T00:00:00Z,131.740000,133.220000,133.390000,130.350000,1628009,reg
2025-08-22T00:00:00Z,133.400000,144.450000,145.170000,131.445000,4185143,reg
2025-08-25T00:00:00Z,142.180000,141.910000,142.846300,140.250000,1887049,reg
2025-08-26T00:00:00Z,141.125000,142.670000,143.190000,140.290000,2501604,reg
2025-08-27T00:00:00Z,142.000000,141.760000,143.790000,140.300000,1696710,reg
2025-08-28T00:00:00Z,143.080000,140.140000,144.000000,138.890000,1790203,reg
2025-08-29T00:00:00Z,140.120000,138.680000,140.739900,137.650000,1345923,reg
2025-09-02T00:00:00Z,136.000000,137.360000,138.250000,135.500100,1581801,reg
2025-09-03T00:00:00Z,136.910000,136.330000,137.550000,134.530000,1385906,reg
2025-09-04T00:00:00Z,137.250000,143.270000,144.010000,136.830000,1744498,reg
2025-09-05T00:00:00Z,147.500000,149.210000,151.030000,145.800000,2472395,reg
2025-09-08T00:00:00Z,149.350000,147.890000,149.350000,145.710100,1330081,reg
2025-09-09T00:00:00Z,146.250000,140.450000,146.250000,138.455000,2108555,reg
2025-09-10T00:00:00Z,141.920000,140.250000,143.160000,139.350000,1571597,reg
2025-09-11T00:00:00Z,141.720000,146.560000,148.910000,141.030000,2061319,reg
2025-09-12T00:00:00Z,144.690000,142.730000,145.675000,142.330000,1239723,reg
2025-09-15T00:00:00Z,142.010000,140.170000,142.500000,138.520000,1592583,reg
2025-09-16T00:00:00Z,142.080000,136.990000,142.260000,136.416200,1609368,reg
2025-09-17T00:00:00Z,137.470000,129.280000,141.325000,129.160000,2730967,reg
2025-09-18T00:00:00Z,131.000000,128.930000,131.620000,127.880000,2299827,reg
2025-09-19T00:00:00Z,127.460000,124.150000,127.580000,123.700000,4296100,reg
