begins_at,open_price,close_price,high_price,low_price,volume,session
2025-11-06,60.000000,108.940000,123.840000,95.000000,1430944,reg
2025-11-07,108.700000,100.030000,113.060000,97.500000,461818,reg
2025-11-10,101.530000,102.225000,110.000000,93.275000,155589,reg
2025-11-11,104.500000,103.760000,108.009700,100.500000,73843,reg
2025-11-12,105.830000,101.800000,107.500000,100.000000,418448,reg
2025-11-13,100.560000,89.550000,102.029900,89.050000,141411,reg
2025-11-14,88.120000,90.000000,93.430000,88.000100,129875,reg
2025-11-17,94.970000,93.320000,102.999900,90.370000,198207,reg
2025-11-18,92.980000,99.300000,100.000000,92.520000,117792,reg
2025-11-19,101.990000,97.390000,101.990000,92.050000,109221,reg
2025-11-20,99.000000,95.680000,99.990000,95.000000,160350,reg
2025-11-21,95.080000,110.000000,114.250000,93.000000,209784,reg
2025-11-24,112.240000,119.920000,127.999900,110.990000,342022,reg
2025-11-25,119.690000,129.900000,129.900000,118.990000,186173,reg
2025-11-26,131.000000,127.850000,138.700000,123.510000,239680,reg
2025-11-28,129.500000,130.180000,130.960000,124.210000,89201,reg
2025-12-01,128.910000,113.040000,130.000000,108.010000,235330,reg
2025-12-02,111.920000,114.920000,115.990000,110.010000,209980,reg
2025-12-03,115.000000,102.760000,115.490000,99.470000,233518,reg
2025-12-04,105.000000,104.020000,107.065000,99.610000,186061,reg
2025-12-05,105.130000,111.640000,118.000000,104.030000,168685,reg
2025-12-08,112.630000,104.660000,115.100000,103.670000,213011,reg
2025-12-09,105.210000,109.530000,110.180000,103.790000,203115,reg
2025-12-10,102.000000,103.700000,106.999900,97.560100,253813,reg
2025-12-11,101.660000,97.440000,104.000000,91.580000,153691,reg
2025-12-12,96.010000,101.990000,103.745000,95.100100,93293,reg
2025-12-15,102.000000,96.640000,105.890000,94.710000,109525,reg
2025-12-16,96.000000,91.960000,96.630000,88.490000,238266,reg
2025-12-17,91.560000,92.510000,93.990000,89.095100,157158,reg
2025-12-18,92.510000,95.500000,99.970000,91.825000,311031,reg
2025-12-19,95.000000,102.600000,103.769900,95.000000,491486,reg
2025-12-22,103.010000,96.290000,103.600000,93.815000,127621,reg
