begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-25T00:00:00Z,34.600000,34.140000,34.860000,34.120000,1866412,reg
2025-06-26T00:00:00Z,34.190000,34.140000,34.370000,33.780000,1644235,reg
2025-06-27T00:00:00Z,34.160000,34.000000,34.195000,33.760000,2456523,reg
2025-06-30T00:00:00Z,34.120000,34.170000,34.390000,33.920000,1492076,reg
2025-07-01T00:00:00Z,33.940000,33.700000,34.120000,33.400000,2570442,reg
2025-07-02T00:00:00Z,33.570000,32.820000,33.730000,32.685000,2837291,reg
2025-07-03T00:00:00Z,32.980000,33.260000,33.320000,32.900000,1312193,reg
2025-07-07T00:00:00Z,33.150000,33.160000,33.600000,33.040000,1820481,reg
2025-07-08T00:00:00Z,33.040000,33.580000,33.710000,33.040000,2183539,reg
2025-07-09T00:00:00Z,33.610000,33.730000,33.855000,33.360000,1434491,reg
2025-07-10T00:00:00Z,33.490000,33.210000,33.630000,33.150000,1811457,reg
2025-07-11T00:00:00Z,33.020000,32.400000,33.135000,32.290000,2146663,reg
2025-07-14T00:00:00Z,32.350000,32.550000,32.710000,32.300000,2049298,reg
2025-07-15T00:00:00Z,32.410000,32.070000,32.610000,32.040000,1617936,reg
2025-07-16T00:00:00Z,32.290000,32.440000,32.770000,32.160000,2767830,reg
2025-07-17T00:00:00Z,32.420000,32.490000,32.730000,32.330000,1387224,reg
2025-07-18T00:00:00Z,32.570000,32.430000,32.760000,32.330000,1004902,reg
2025-07-21T00:00:00Z,32.500000,32.860000,32.940000,32.385000,1665585,reg
2025-07-22T00:00:00Z,32.760000,33.090000,33.180000,32.760000,1547388,reg
2025-07-23T00:00:00Z,33.150000,33.020000,33.320000,32.800000,1167002,reg
2025-07-24T00:00:00Z,32.870000,33.040000,33.080000,32.715000,794015,reg
2025-07-25T00:00:00Z,33.000000,32.990000,33.486000,32.970000,914103,reg
2025-07-28T00:00:00Z,33.000000,32.870000,33.275000,32.860000,1276267,reg
2025-07-29T00:00:00Z,33.050000,32.750000,33.180600,32.570000,1168119,reg
2025-07-30T00:00:00Z,32.760000,32.510000,32.967800,32.350000,1178086,reg
