begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-30T00:00:00Z,231.000000,232.640000,233.167500,228.460000,900180,reg
2025-07-01T00:00:00Z,232.170000,237.020000,241.285000,231.459900,1210083,reg
2025-07-02T00:00:00Z,238.170000,242.280000,243.480000,235.440000,1041461,reg
2025-07-03T00:00:00Z,242.400000,247.390000,248.925000,241.945000,870071,reg
2025-07-07T00:00:00Z,248.000000,250.380000,251.310000,246.570000,977399,reg
2025-07-08T00:00:00Z,249.200000,249.570000,251.580000,246.910000,837132,reg
2025-07-09T00:00:00Z,251.310000,253.360000,254.130000,248.835000,1054681,reg
2025-07-10T00:00:00Z,252.970000,252.620000,258.570000,252.360000,1353509,reg
2025-07-11T00:00:00Z,250.650000,249.770000,251.435000,247.580000,720702,reg
2025-07-14T00:00:00Z,253.010000,255.880000,256.160000,247.880000,937065,reg
2025-07-15T00:00:00Z,257.490000,251.900000,258.010000,251.900000,859606,reg
2025-07-16T00:00:00Z,253.590000,254.510000,254.800000,250.385000,717367,reg
2025-07-17T00:00:00Z,255.050000,262.260000,263.320000,253.100000,1237420,reg
2025-07-18T00:00:00Z,264.040000,265.400000,266.800000,261.740000,791717,reg
2025-07-21T00:00:00Z,267.170000,273.910000,273.930000,266.175000,982288,reg
2025-07-22T00:00:00Z,275.290000,275.440000,277.190000,268.360000,833811,reg
2025-07-23T00:00:00Z,277.240000,279.920000,279.960000,275.230000,905281,reg
2025-07-24T00:00:00Z,279.830000,276.800000,280.320000,274.600000,761365,reg
2025-07-25T00:00:00Z,279.230000,279.410000,279.870000,274.440000,671916,reg
2025-07-28T00:00:00Z,282.880000,287.990000,288.340000,279.890000,1134907,reg
2025-07-29T00:00:00Z,288.290000,280.410000,288.590000,278.940000,921463,reg
2025-07-30T00:00:00Z,280.740000,280.870000,283.140000,278.780000,1015705,reg
2025-07-31T00:00:00Z,278.120000,272.960000,279.870000,271.660000,829128,reg
2025-08-01T00:00:00Z,267.730000,273.180000,273.330000,263.945000,1048125,reg
2025-08-04T00:00:00Z,277.070000,280.790000,281.630000,276.295000,1012683,reg
2025-08-05T00:00:00Z,280.360000,279.660000,282.960000,277.340000,672202,reg
2025-08-06T00:00:00Z,280.000000,282.980000,284.730000,278.300000,782955,reg
2025-08-07T00:00:00Z,283.970000,278.130000,285.024500,274.690000,939778,reg
2025-08-08T00:00:00Z,278.420000,271.260000,279.065000,269.490000,994999,reg
2025-08-11T00:00:00Z,272.700000,270.440000,273.760000,269.160000,1031109,reg
2025-08-12T00:00:00Z,271.780000,278.450000,280.980000,271.390000,842031,reg
2025-08-13T00:00:00Z,279.090000,287.330000,287.360000,279.090000,705279,reg
2025-08-14T00:00:00Z,283.600000,281.330000,284.190000,278.000000,727080,reg
2025-08-15T00:00:00Z,280.940000,280.220000,281.120000,277.040000,829452,reg
2025-08-18T00:00:00Z,280.300000,277.700000,281.510000,277.300000,867168,reg
2025-08-19T00:00:00Z,278.240000,277.730000,281.820000,276.360000,1046675,reg
2025-08-20T00:00:00Z,279.170000,277.310000,286.975000,276.180000,1059406,reg
2025-08-21T00:00:00Z,274.670000,275.590000,276.920000,272.440000,847651,reg
2025-08-22T00:00:00Z,279.050000,280.840000,282.890000,276.220000,831499,reg
2025-08-25T00:00:00Z,280.430000,280.380000,282.570000,277.040000,764832,reg
2025-08-26T00:00:00Z,281.170000,279.050000,282.020000,278.610000,790372,reg
2025-08-27T00:00:00Z,278.260000,280.300000,282.760000,278.260000,1237303,reg
2025-08-28T00:00:00Z,300.000000,295.280000,309.000000,293.740000,2683041,reg
2025-08-29T00:00:00Z,295.150000,290.680000,296.645000,282.060000,1824474,reg
2025-09-02T00:00:00Z,287.850000,289.460000,290.190000,283.500000,1270718,reg
2025-09-03T00:00:00Z,289.930000,293.250000,296.360000,288.580000,1006387,reg
2025-09-04T00:00:00Z,293.250000,301.350000,301.840000,293.250000,1470606,reg
2025-09-05T00:00:00Z,301.320000,291.200000,302.416000,290.520000,801481,reg
2025-09-08T00:00:00Z,291.470000,290.250000,293.705000,288.018800,983210,reg
2025-09-09T00:00:00Z,288.050000,281.550000,288.050000,280.450000,710335,reg
2025-09-10T00:00:00Z,281.050000,279.650000,284.510000,278.405000,522286,reg
2025-09-11T00:00:00Z,280.960000,279.260000,281.990000,278.590000,534122,reg
2025-09-12T00:00:00Z,277.890000,266.910000,277.890000,265.840000,1258733,reg
2025-09-15T00:00:00Z,266.900000,270.130000,272.970000,265.000000,870052,reg
2025-09-16T00:00:00Z,269.410000,267.210000,270.005000,264.150000,989823,reg
2025-09-17T00:00:00Z,268.150000,262.900000,269.000000,261.430000,1079862,reg
2025-09-18T00:00:00Z,263.530000,264.890000,266.880000,261.400000,1008368,reg
2025-09-19T00:00:00Z,264.790000,263.110000,264.790000,259.725000,1193170,reg
2025-09-22T00:00:00Z,262.720000,258.550000,262.720000,257.091800,1202448,reg
2025-09-23T00:00:00Z,260.130000,259.990000,262.970000,257.770000,990084,reg
2025-09-24T00:00:00Z,264.000000,267.170000,272.395000,263.475000,1534336,reg
2025-09-25T00:00:00Z,264.780000,262.560000,265.760000,261.000000,983359,reg
2025-09-26T00:00:00Z,261.970000,263.680000,265.380000,261.600000,697577,reg
2025-09-29T00:00:00Z,264.330000,257.790000,264.330000,251.340000,1308508,reg
2025-09-30T00:00:00Z,256.370000,254.500000,257.930000,251.140000,835507,reg
2025-10-01T00:00:00Z,253.890000,252.630000,255.450000,252.510000,833917,reg
2025-10-02T00:00:00Z,252.000000,255.750000,257.100000,251.260000,864648,reg
2025-10-03T00:00:00Z,256.250000,258.790000,260.685000,254.910000,830028,reg
2025-10-06T00:00:00Z,258.350000,262.370000,265.000000,255.830000,854413,reg
2025-10-07T00:00:00Z,263.250000,259.900000,265.740000,259.900000,739791,reg
2025-10-08T00:00:00Z,259.970000,269.350000,269.530000,259.884100,804387,reg
2025-10-09T00:00:00Z,268.180000,260.470000,269.590000,260.130000,926354,reg
2025-10-10T00:00:00Z,261.980000,254.520000,261.980000,253.245000,894266,reg
2025-10-13T00:00:00Z,262.100000,276.230000,278.480000,260.270000,1494816,reg
2025-10-14T00:00:00Z,273.390000,274.090000,278.540000,268.690000,1129422,reg
2025-10-15T00:00:00Z,279.530000,278.980000,282.910000,277.582500,808328,reg
2025-10-16T00:00:00Z,277.580000,274.400000,279.480000,271.370000,593080,reg
2025-10-17T00:00:00Z,274.240000,274.540000,275.755000,272.300000,509071,reg
2025-10-20T00:00:00Z,276.370000,267.270000,277.515000,264.455000,909764,reg
2025-10-21T00:00:00Z,265.020000,266.680000,271.450000,264.225000,859633,reg
2025-10-22T00:00:00Z,267.460000,263.790000,269.055000,263.680000,780153,reg
2025-10-23T00:00:00Z,262.040000,268.110000,268.920000,259.430000,803454,reg
2025-10-24T00:00:00Z,270.080000,268.860000,273.155000,268.195000,539750,reg
2025-10-27T00:00:00Z,274.330000,271.090000,276.200000,269.730000,826975,reg
2025-10-28T00:00:00Z,270.530000,274.440000,274.620000,267.610000,546089,reg
2025-10-29T00:00:00Z,272.330000,281.730000,283.140000,272.330000,1327951,reg
2025-10-30T00:00:00Z,282.820000,273.340000,282.820000,272.690000,1005849,reg
2025-10-31T00:00:00Z,273.400000,273.590000,277.420000,270.940000,1302409,reg
2025-11-03T00:00:00Z,272.100000,276.220000,278.400000,269.610000,1062613,reg
2025-11-04T00:00:00Z,270.730000,272.880000,274.950000,267.000000,764093,reg
2025-11-05T00:00:00Z,264.310000,272.090000,281.629900,261.770000,1118526,reg
2025-11-06T00:00:00Z,267.720000,269.270000,272.325000,264.660000,659447,reg
2025-11-07T00:00:00Z,268.860000,280.830000,282.940000,268.860000,1221661,reg
2025-11-10T00:00:00Z,284.000000,282.100000,284.060000,277.000000,870909,reg
2025-11-11T00:00:00Z,281.870000,286.160000,287.290000,280.650000,679088,reg
2025-11-12T00:00:00Z,291.730000,287.040000,293.310000,286.160000,826853,reg
2025-11-13T00:00:00Z,285.870000,283.070000,289.500000,282.200000,645368,reg
2025-11-14T00:00:00Z,278.790000,279.810000,283.310000,276.860000,857633,reg
2025-11-17T00:00:00Z,278.880000,274.340000,283.745000,271.500000,686158,reg
2025-11-18T00:00:00Z,271.190000,275.810000,277.562500,269.770000,945228,reg
2025-11-19T00:00:00Z,276.480000,279.390000,283.505000,272.760000,1166414,reg
2025-11-20T00:00:00Z,280.000000,282.370000,287.160000,278.495000,1094606,reg
2025-11-21T00:00:00Z,282.000000,296.510000,298.020000,282.000000,1478261,reg
2025-11-24T00:00:00Z,291.730000,284.470000,294.205000,283.570000,2398454,reg
2025-11-25T00:00:00Z,255.330000,249.650000,261.090000,247.010100,4481797,reg
2025-11-26T00:00:00Z,250.010000,260.650000,265.460000,248.015000,1804482,reg
2025-11-28T00:00:00Z,258.040000,252.230000,259.664100,252.020000,792764,reg
2025-12-01T00:00:00Z,249.350000,242.430000,250.025000,241.840000,1671464,reg
2025-12-02T00:00:00Z,244.530000,245.050000,248.700000,240.490000,1278677,reg
2025-12-03T00:00:00Z,244.080000,248.850000,253.130000,244.080000,1050411,reg
2025-12-04T00:00:00Z,248.830000,256.870000,257.195000,246.960000,1175540,reg
2025-12-05T00:00:00Z,256.430000,271.780000,273.080000,256.320000,1863297,reg
2025-12-08T00:00:00Z,271.510000,263.070000,272.300000,262.500000,1086970,reg
2025-12-09T00:00:00Z,262.360000,266.200000,271.550000,261.250000,919137,reg
2025-12-10T00:00:00Z,266.000000,270.230000,272.390000,264.010000,825885,reg
2025-12-11T00:00:00Z,271.300000,269.380000,275.880000,268.640000,881980,reg
2025-12-12T00:00:00Z,273.060000,266.090000,273.720000,262.560000,785458,reg
2025-12-15T00:00:00Z,269.800000,269.430000,274.990000,267.195000,1090125,reg
2025-12-16T00:00:00Z,267.350000,260.900000,272.160000,259.240000,1020906,reg
