begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-30T00:00:00Z,16.220000,16.420000,16.540000,16.185000,808061,reg
2025-07-01T00:00:00Z,16.540000,16.400000,16.730000,16.345000,351952,reg
2025-07-02T00:00:00Z,16.540000,16.620000,16.650000,16.340000,640695,reg
2025-07-03T00:00:00Z,16.530000,16.700000,16.760000,16.440000,280353,reg
2025-07-07T00:00:00Z,16.530000,16.610000,16.750000,16.294800,548655,reg
2025-07-08T00:00:00Z,16.560000,16.230000,16.680000,16.100000,1281297,reg
2025-07-09T00:00:00Z,16.180000,16.400000,16.410000,16.123400,592835,reg
2025-07-10T00:00:00Z,16.430000,16.500000,16.590000,16.180000,535559,reg
2025-07-11T00:00:00Z,16.650000,16.880000,17.080000,16.560000,714712,reg
2025-07-14T00:00:00Z,17.180000,16.700000,17.180000,16.560000,483367,reg
2025-07-15T00:00:00Z,16.540000,16.400000,16.585000,16.190000,1418368,reg
2025-07-16T00:00:00Z,16.450000,16.380000,16.540000,16.190000,615209,reg
2025-07-17T00:00:00Z,16.110000,16.930000,16.980000,16.060000,1456729,reg
2025-07-18T00:00:00Z,17.050000,16.580000,17.050000,16.430000,447800,reg
2025-07-21T00:00:00Z,16.860000,17.430000,17.620000,16.805000,1148328,reg
2025-07-22T00:00:00Z,17.650000,17.800000,17.980000,17.545000,1136358,reg
2025-07-23T00:00:00Z,17.690000,17.650000,17.925000,17.450000,758723,reg
2025-07-24T00:00:00Z,17.440000,17.780000,17.820000,17.200000,610415,reg
2025-07-25T00:00:00Z,17.700000,17.370000,17.845000,17.130000,595103,reg
2025-07-28T00:00:00Z,17.260000,17.330000,17.400000,17.000000,781967,reg
2025-07-29T00:00:00Z,17.300000,17.610000,17.665000,17.200000,594485,reg
2025-07-30T00:00:00Z,17.480000,17.100000,17.570000,16.960000,1218838,reg
2025-07-31T00:00:00Z,17.170000,17.010000,17.220000,16.900000,994348,reg
2025-08-01T00:00:00Z,17.420000,17.040000,17.420000,16.940000,549193,reg
2025-08-04T00:00:00Z,17.230000,17.500000,17.574400,17.135000,339889,reg
2025-08-05T00:00:00Z,17.340000,17.900000,17.950000,17.340000,926420,reg
2025-08-06T00:00:00Z,17.930000,18.340000,18.600000,17.910000,1525285,reg
2025-08-07T00:00:00Z,18.470000,18.500000,18.720000,18.110000,2367681,reg
2025-08-08T00:00:00Z,18.740000,18.330000,18.789900,18.220000,882834,reg
2025-08-11T00:00:00Z,17.900000,18.160000,18.370000,17.650000,347532,reg
2025-08-12T00:00:00Z,18.220000,18.280000,18.350000,18.050000,325203,reg
2025-08-13T00:00:00Z,18.320000,18.410000,18.553900,18.260000,828719,reg
2025-08-14T00:00:00Z,18.340000,18.250000,18.560000,18.100000,1053685,reg
2025-08-15T00:00:00Z,18.130000,18.350000,18.360000,18.010000,1628274,reg
2025-08-18T00:00:00Z,18.440000,18.520000,18.550000,18.070000,442469,reg
2025-08-19T00:00:00Z,18.430000,18.190000,18.460000,18.030000,854272,reg
2025-08-20T00:00:00Z,18.240000,18.300000,18.360000,18.060000,832874,reg
2025-08-21T00:00:00Z,18.240000,18.390000,18.670000,18.240000,624500,reg
2025-08-22T00:00:00Z,18.310000,18.870000,19.040000,18.250000,1097610,reg
2025-08-25T00:00:00Z,18.870000,18.500000,18.870000,18.480000,745427,reg
2025-08-26T00:00:00Z,18.580000,18.950000,18.990800,18.565000,1700646,reg
2025-08-27T00:00:00Z,18.800000,18.620000,18.865000,18.371200,891219,reg
2025-08-28T00:00:00Z,18.700000,18.860000,18.910000,18.530000,520185,reg
2025-08-29T00:00:00Z,18.860000,19.140000,19.240000,18.810000,1239199,reg
2025-09-02T00:00:00Z,19.540000,19.640000,19.830000,19.330000,1421420,reg
2025-09-03T00:00:00Z,19.840000,19.940000,20.190000,19.690000,1624849,reg
2025-09-04T00:00:00Z,19.780000,19.820000,19.960000,19.630400,985776,reg
2025-09-05T00:00:00Z,20.070000,19.990000,20.289900,19.653000,898037,reg
2025-09-08T00:00:00Z,20.290000,20.020000,20.390000,19.760000,851869,reg
2025-09-09T00:00:00Z,20.170000,19.600000,20.170000,19.580000,903772,reg
2025-09-10T00:00:00Z,19.720000,20.040000,20.120000,19.670000,1157909,reg
2025-09-11T00:00:00Z,19.890000,20.180000,20.250000,19.860000,1242038,reg
2025-09-12T00:00:00Z,20.250000,20.070000,20.490000,19.900000,683948,reg
2025-09-15T00:00:00Z,20.090000,20.650000,20.870000,19.970000,1775767,reg
2025-09-16T00:00:00Z,20.800000,20.110000,20.825000,20.030000,1114478,reg
2025-09-17T00:00:00Z,19.900000,19.820000,20.340000,19.760000,1160030,reg
2025-09-18T00:00:00Z,19.830000,20.020000,20.090000,19.550000,1052474,reg
2025-09-19T00:00:00Z,20.100000,20.910000,20.960000,20.100000,5248834,reg
2025-09-22T00:00:00Z,21.820000,21.530000,22.090000,21.220000,1785041,reg
2025-09-23T00:00:00Z,21.660000,22.050000,22.250000,21.620000,2208695,reg
2025-09-24T00:00:00Z,22.300000,22.860000,22.950000,22.280000,1720931,reg
2025-09-25T00:00:00Z,23.040000,22.920000,23.310000,22.460000,1083686,reg
2025-09-26T00:00:00Z,22.870000,23.240000,23.240000,22.520000,1263269,reg
2025-09-29T00:00:00Z,23.940000,24.330000,24.429900,23.850000,1307730,reg
2025-09-30T00:00:00Z,24.050000,24.330000,24.650000,23.895000,1509938,reg
2025-10-01T00:00:00Z,24.700000,24.650000,25.120000,24.260000,958603,reg
2025-10-02T00:00:00Z,24.810000,24.930000,25.458900,23.830000,1346999,reg
2025-10-03T00:00:00Z,24.980000,24.490000,25.285000,24.430000,930853,reg
2025-10-06T00:00:00Z,24.800000,24.790000,25.400000,24.560000,896360,reg
2025-10-07T00:00:00Z,24.840000,24.440000,24.875000,24.250000,1056252,reg
2025-10-08T00:00:00Z,25.280000,26.260000,26.445000,25.110000,1424847,reg
2025-10-09T00:00:00Z,26.660000,24.930000,26.950000,24.650000,1388856,reg
2025-10-10T00:00:00Z,25.100000,24.590000,25.100000,24.250000,1466163,reg
2025-10-13T00:00:00Z,25.420000,25.640000,25.839700,25.090000,756015,reg
2025-10-14T00:00:00Z,25.170000,25.280000,25.411300,24.950000,910013,reg
2025-10-15T00:00:00Z,25.740000,25.540000,26.545000,25.460000,2256830,reg
2025-10-16T00:00:00Z,25.900000,26.760000,26.970000,25.750000,2699147,reg
2025-10-17T00:00:00Z,25.900000,25.570000,26.250000,25.300000,2636056,reg
2025-10-20T00:00:00Z,26.300000,25.650000,26.380000,25.280000,1571556,reg
2025-10-21T00:00:00Z,23.870000,22.960000,24.070000,22.270000,2254381,reg
2025-10-22T00:00:00Z,22.120000,22.900000,22.970000,22.100000,1986048,reg
2025-10-23T00:00:00Z,23.170000,22.910000,23.270800,22.585000,1432077,reg
2025-10-24T00:00:00Z,22.480000,22.470000,23.020000,22.220000,1406704,reg
2025-10-27T00:00:00Z,22.080000,21.500000,22.270000,21.010000,1632893,reg
2025-10-28T00:00:00Z,21.210000,22.110000,22.175000,21.000000,1152312,reg
2025-10-29T00:00:00Z,22.910000,22.260000,22.910000,22.105000,856312,reg
2025-10-30T00:00:00Z,22.140000,22.730000,22.999900,22.050000,977588,reg
2025-10-31T00:00:00Z,22.900000,22.770000,23.730000,22.150000,2877681,reg
2025-11-03T00:00:00Z,22.860000,21.920000,23.080000,21.860000,908619,reg
2025-11-04T00:00:00Z,21.350000,21.160000,21.647600,21.040000,861517,reg
2025-11-05T00:00:00Z,21.680000,21.680000,21.980000,21.260000,805618,reg
2025-11-06T00:00:00Z,22.020000,21.700000,22.859900,21.690000,723873,reg
2025-11-07T00:00:00Z,21.820000,22.370000,22.490000,21.680000,592018,reg
2025-11-10T00:00:00Z,23.230000,23.340000,23.600000,22.700000,1393134,reg
2025-11-11T00:00:00Z,23.520000,23.380000,23.715000,23.090000,1978766,reg
2025-11-12T00:00:00Z,23.670000,23.510000,23.990100,23.410000,1961582,reg
2025-11-13T00:00:00Z,23.830000,23.600000,23.830000,23.120000,2573186,reg
2025-11-14T00:00:00Z,22.750000,23.560000,23.940000,22.601100,1737437,reg
2025-11-17T00:00:00Z,23.650000,23.040000,23.730000,22.810000,751521,reg
2025-11-18T00:00:00Z,23.030000,23.080000,23.530000,22.430000,922851,reg
2025-11-19T00:00:00Z,23.510000,23.950000,24.240000,23.430000,1430854,reg
2025-11-20T00:00:00Z,24.160000,22.780000,24.550000,22.460000,1881001,reg
2025-11-21T00:00:00Z,22.710000,23.020000,23.420000,22.430000,822008,reg
2025-11-24T00:00:00Z,23.140000,23.620000,23.760000,23.100000,2648826,reg
2025-11-25T00:00:00Z,23.730000,23.380000,23.880000,23.270000,1234721,reg
2025-11-26T00:00:00Z,23.800000,24.280000,24.300000,23.420000,1189640,reg
2025-11-28T00:00:00Z,24.630000,24.780000,24.970000,24.435000,1390174,reg
2025-12-01T00:00:00Z,25.350000,25.220000,25.600000,24.820000,1741287,reg
2025-12-02T00:00:00Z,25.110000,25.030000,25.310000,24.170000,903815,reg
2025-12-03T00:00:00Z,25.400000,25.200000,25.700000,25.100000,1427506,reg
2025-12-04T00:00:00Z,24.940000,25.310000,25.440000,24.815000,509359,reg
2025-12-05T00:00:00Z,25.590000,25.250000,25.950000,24.890000,846180,reg
2025-12-08T00:00:00Z,25.150000,24.880000,25.279900,24.630000,975965,reg
2025-12-09T00:00:00Z,24.870000,26.450000,26.670000,24.870000,1344847,reg
2025-12-10T00:00:00Z,26.310000,26.830000,27.040000,26.080000,1344231,reg
2025-12-11T00:00:00Z,27.370000,27.780000,28.150000,26.880000,3172639,reg
2025-12-12T00:00:00Z,28.710000,28.160000,28.800000,27.605000,1760727,reg
2025-12-15T00:00:00Z,28.655000,27.710000,28.887200,27.290000,1514676,reg
2025-12-16T00:00:00Z,28.010000,28.110000,28.880000,27.650000,1450243,reg
2025-12-17T00:00:00Z,28.490000,28.110000,28.750000,27.970000,1332790,reg
2025-12-18T00:00:00Z,28.000000,28.250000,28.680000,27.710000,1577457,reg
2025-12-19T00:00:00Z,27.910000,28.350000,28.735000,27.910000,7088689,reg
2025-12-22T00:00:00Z,29.250000,29.120000,29.880000,28.750000,1450043,reg
2025-12-23T00:00:00Z,29.450000,29.690000,29.715000,29.120000,2878351,reg
2025-12-24T00:00:00Z,29.870000,29.510000,29.870000,29.190000,334582,reg
2025-12-26T00:00:00Z,30.000000,29.550000,30.065000,29.440000,1392127,reg
2025-12-29T00:00:00Z,28.420000,28.100000,28.550000,27.800000,1416973,reg
2025-12-30T00:00:00Z,28.590000,28.500000,28.948100,28.130000,844902,reg
2025-12-31T00:00:00Z,28.210000,27.830000,28.770000,27.580000,3866718,reg
2026-01-02T00:00:00Z,28.380000,28.590000,28.805000,27.704800,1225161,reg
