begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-03T00:00:00Z,5.840000,6.050000,6.450000,5.760000,49906013,reg
2025-07-07T00:00:00Z,5.810000,5.790000,5.890000,5.270000,56133423,reg
2025-07-08T00:00:00Z,5.940000,6.030000,6.220000,5.840000,39862727,reg
2025-07-09T00:00:00Z,6.140000,6.260000,6.380000,5.980000,46014799,reg
2025-07-10T00:00:00Z,6.170000,6.240000,6.510000,6.030000,44983335,reg
2025-07-11T00:00:00Z,6.410000,5.870000,6.470000,5.860000,35125384,reg
2025-07-14T00:00:00Z,6.000000,6.030000,6.385000,5.930000,39181970,reg
2025-07-15T00:00:00Z,5.960000,5.970000,6.200000,5.810000,37418275,reg
2025-07-16T00:00:00Z,6.150000,6.270000,6.565000,6.130000,43959583,reg
2025-07-17T00:00:00Z,6.200000,6.420000,6.540000,6.060000,31767046,reg
2025-07-18T00:00:00Z,6.480000,6.360000,6.739700,6.040700,27747047,reg
2025-07-21T00:00:00Z,6.415000,6.250000,6.840000,6.220000,26757502,reg
2025-07-22T00:00:00Z,6.280000,6.940000,7.100000,5.950000,73607703,reg
2025-07-23T00:00:00Z,6.760000,6.680000,6.770000,6.280000,39045745,reg
2025-07-24T00:00:00Z,6.680000,6.650000,6.869900,6.480000,40318440,reg
2025-07-25T00:00:00Z,6.550000,6.470000,6.570000,6.310000,16774537,reg
2025-07-28T00:00:00Z,6.590000,6.160000,6.635000,6.080000,17435806,reg
2025-07-29T00:00:00Z,6.160000,5.680000,6.190000,5.640100,21843858,reg
2025-07-30T00:00:00Z,5.800000,5.450000,5.860000,5.300000,16052861,reg
2025-07-31T00:00:00Z,5.610000,5.460000,5.740000,5.420000,18624875,reg
2025-08-01T00:00:00Z,5.032000,4.930000,5.250000,4.920000,18975194,reg
2025-08-04T00:00:00Z,4.995000,5.190000,5.205000,4.930000,17303268,reg
2025-08-05T00:00:00Z,5.122000,5.010000,5.145000,4.910000,15854789,reg
2025-08-06T00:00:00Z,5.040000,5.210000,5.210000,4.950000,17438232,reg
2025-08-07T00:00:00Z,5.180000,4.870000,5.290000,4.820000,20704692,reg
2025-08-08T00:00:00Z,4.960000,4.750000,4.980000,4.550100,18448351,reg
2025-08-11T00:00:00Z,4.935000,4.760000,5.100000,4.740000,18901015,reg
2025-08-12T00:00:00Z,4.750000,4.720000,4.840000,4.670000,16548183,reg
2025-08-13T00:00:00Z,4.840000,4.900000,4.950000,4.710000,17296597,reg
2025-08-14T00:00:00Z,4.990000,5.320000,5.330000,4.910000,34715130,reg
2025-08-15T00:00:00Z,5.250000,5.210000,5.360000,5.000000,27210676,reg
2025-08-18T00:00:00Z,5.300000,6.050000,6.300000,5.290000,36317303,reg
2025-08-19T00:00:00Z,6.070000,5.760000,6.160000,5.600000,26049163,reg
2025-08-20T00:00:00Z,5.760000,5.950000,5.965000,5.320000,25525074,reg
2025-08-21T00:00:00Z,5.741000,5.900000,5.960000,5.680000,20635702,reg
2025-08-22T00:00:00Z,5.870000,6.380000,6.410000,5.710000,23186295,reg
2025-08-25T00:00:00Z,6.314000,6.640000,6.730000,6.020000,26545829,reg
2025-08-26T00:00:00Z,6.550000,7.120000,7.130000,6.480000,26673971,reg
2025-08-27T00:00:00Z,7.130000,6.990000,7.230000,6.950000,21089852,reg
2025-08-28T00:00:00Z,7.280000,7.020000,7.310000,7.000000,20060742,reg
2025-08-29T00:00:00Z,7.250000,7.640000,8.710000,6.950000,70174926,reg
2025-09-02T00:00:00Z,7.421000,8.320000,8.780000,7.220000,62445610,reg
2025-09-03T00:00:00Z,8.695000,8.110000,8.730000,8.000000,44183384,reg
2025-09-04T00:00:00Z,7.980000,7.400000,8.070000,7.330000,28128756,reg
2025-09-05T00:00:00Z,7.780000,7.520000,7.860000,7.083200,27484538,reg
2025-09-08T00:00:00Z,7.390000,7.720000,7.840000,7.169900,28362465,reg
2025-09-09T00:00:00Z,8.172000,9.220000,9.360000,7.900000,68754314,reg
2025-09-10T00:00:00Z,9.555000,10.250000,10.430000,9.250000,69412222,reg
2025-09-11T00:00:00Z,10.150000,9.970000,10.675000,9.875000,39869051,reg
2025-09-12T00:00:00Z,9.935000,10.850000,10.930000,9.850000,32737478,reg
2025-09-15T00:00:00Z,10.870000,10.850000,11.320000,10.470000,42604905,reg
2025-09-16T00:00:00Z,11.070000,11.510000,11.640000,10.490000,30631030,reg
2025-09-17T00:00:00Z,11.300000,12.380000,12.660000,11.199000,34005128,reg
2025-09-18T00:00:00Z,12.640000,11.850000,12.690000,11.420000,36659683,reg
2025-09-19T00:00:00Z,11.760000,12.280000,12.820000,11.715000,39415062,reg
2025-09-22T00:00:00Z,12.510000,13.960000,14.200000,12.090000,43838336,reg
2025-09-23T00:00:00Z,14.340000,14.150000,14.734300,13.450000,54417436,reg
2025-09-24T00:00:00Z,14.805000,14.140000,15.540000,13.870000,46323284,reg
2025-09-25T00:00:00Z,13.590000,11.660000,13.600000,11.410000,155920094,reg
2025-09-26T00:00:00Z,11.495000,11.470000,12.350000,11.010000,94631666,reg
2025-09-29T00:00:00Z,11.865000,12.650000,12.670000,11.405000,61311219,reg
2025-09-30T00:00:00Z,12.720000,12.590000,12.760000,12.140000,47248723,reg
2025-10-01T00:00:00Z,12.880000,12.600000,13.700000,12.410000,61878658,reg
2025-10-02T00:00:00Z,13.080000,13.810000,14.440100,13.020000,57091256,reg
2025-10-03T00:00:00Z,14.470000,14.700000,15.780000,14.280000,67183500,reg
2025-10-06T00:00:00Z,15.540000,15.340000,16.120000,15.130000,46610701,reg
2025-10-07T00:00:00Z,15.380000,15.750000,15.930000,14.330000,49970616,reg
2025-10-08T00:00:00Z,15.814000,17.600000,18.090000,15.220000,67518835,reg
2025-10-09T00:00:00Z,17.980000,17.990000,18.182500,16.960000,50785958,reg
2025-10-10T00:00:00Z,18.780000,16.970000,20.200000,16.810000,73426729,reg
2025-10-13T00:00:00Z,17.850000,20.340000,20.600000,17.660000,59302823,reg
2025-10-14T00:00:00Z,19.890000,20.890000,21.480000,18.880000,60582312,reg
2025-10-15T00:00:00Z,21.510000,21.030000,22.000000,19.750000,64445549,reg
2025-10-16T00:00:00Z,21.110000,18.720000,21.160000,18.510000,50099578,reg
2025-10-17T00:00:00Z,17.510000,18.760000,18.840000,16.660000,52918881,reg
2025-10-20T00:00:00Z,20.000000,19.910000,20.990000,19.160000,37770670,reg
2025-10-21T00:00:00Z,19.370000,18.075000,19.640000,17.470000,34788564,reg
2025-10-22T00:00:00Z,17.090000,16.110000,18.239900,15.040000,63765672,reg
2025-10-23T00:00:00Z,16.110000,17.255000,17.650000,15.980000,34793038,reg
2025-10-24T00:00:00Z,18.270000,20.660000,20.865000,18.180000,47036253,reg
2025-10-27T00:00:00Z,20.910000,20.540000,21.109900,19.650000,41321289,reg
2025-10-28T00:00:00Z,20.535000,19.960000,21.900000,19.770000,37356481,reg
2025-10-29T00:00:00Z,20.255000,19.590000,20.550000,18.640000,32941067,reg
2025-10-30T00:00:00Z,18.700000,19.070000,20.050000,18.300000,38479365,reg
2025-10-31T00:00:00Z,20.030000,18.650000,20.270000,18.580000,44117830,reg
2025-11-03T00:00:00Z,22.940000,22.760000,25.110000,21.020000,135849886,reg
2025-11-04T00:00:00Z,21.000000,22.510000,24.480000,20.100000,66095112,reg
2025-11-05T00:00:00Z,22.870000,24.710000,25.520000,22.685000,59167013,reg
2025-11-06T00:00:00Z,24.060000,21.710000,24.425100,21.380000,53559872,reg
2025-11-07T00:00:00Z,20.825000,20.690000,21.340000,19.491400,45581035,reg
2025-11-10T00:00:00Z,21.868000,19.650000,22.120100,19.550000,40693059,reg
2025-11-11T00:00:00Z,19.010000,18.670000,19.280000,18.020000,34972397,reg
2025-11-12T00:00:00Z,18.700000,17.380000,18.949900,16.960000,35266799,reg
2025-11-13T00:00:00Z,16.645000,14.930000,17.050000,14.750000,57680513,reg
2025-11-14T00:00:00Z,13.940000,14.360000,15.760000,13.550000,56948156,reg
2025-11-17T00:00:00Z,14.079000,14.350000,14.940000,13.580000,43610200,reg
2025-11-18T00:00:00Z,14.175000,14.580000,15.100000,13.610000,45069377,reg
2025-11-19T00:00:00Z,14.900000,14.620000,15.700000,14.260000,40607349,reg
2025-11-20T00:00:00Z,16.800000,14.560000,17.555000,14.300000,84186760,reg
2025-11-21T00:00:00Z,14.200000,14.150000,14.970000,13.090000,56373201,reg
2025-11-24T00:00:00Z,14.975000,16.710000,16.870000,14.820100,44269914,reg
2025-11-25T00:00:00Z,16.200000,17.520000,17.680000,15.920000,37852662,reg
2025-11-26T00:00:00Z,18.500000,19.150000,19.650000,17.585000,57090392,reg
2025-11-28T00:00:00Z,19.550000,20.350000,21.160000,19.460000,34179438,reg
2025-12-01T00:00:00Z,19.330000,19.690000,20.360000,19.000000,35731629,reg
2025-12-02T00:00:00Z,19.830000,17.640000,20.120000,17.610000,36130044,reg
2025-12-03T00:00:00Z,17.560000,18.630000,18.765000,16.960000,31538754,reg
2025-12-04T00:00:00Z,18.155000,19.830000,20.080000,18.020000,30608568,reg
2025-12-05T00:00:00Z,19.380000,19.280000,19.620000,18.510000,25022544,reg
2025-12-08T00:00:00Z,19.890000,19.480000,20.280000,18.950000,28045084,reg
2025-12-09T00:00:00Z,19.040000,19.560000,20.740000,18.835300,33282571,reg
