begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-01T00:00:00Z,15.640000,15.540000,16.068000,15.520000,868732,reg
2025-07-02T00:00:00Z,15.810000,16.340000,16.820000,15.675000,1282363,reg
2025-07-03T00:00:00Z,16.410000,17.060000,17.125000,16.230200,1048786,reg
2025-07-07T00:00:00Z,16.560000,16.640000,17.099900,16.240000,879520,reg
2025-07-08T00:00:00Z,16.600000,16.350000,16.890000,16.320000,665477,reg
2025-07-09T00:00:00Z,16.350000,15.940000,16.490000,15.630000,586493,reg
2025-07-10T00:00:00Z,15.850000,16.630000,16.670000,15.805000,514978,reg
2025-07-11T00:00:00Z,16.650000,16.780000,17.040000,16.550000,668439,reg
2025-07-14T00:00:00Z,16.780000,16.380000,16.780000,15.940000,1296685,reg
2025-07-15T00:00:00Z,16.390000,16.180000,16.490000,16.100000,789536,reg
2025-07-16T00:00:00Z,16.230000,16.210000,16.500000,15.397600,706171,reg
2025-07-17T00:00:00Z,16.110000,16.020000,16.380000,15.750000,731614,reg
2025-07-18T00:00:00Z,16.350000,16.140000,16.720000,16.100800,595330,reg
2025-07-21T00:00:00Z,16.230000,16.540000,16.945000,16.100000,734544,reg
2025-07-22T00:00:00Z,16.590000,17.020000,17.060000,16.385000,681543,reg
2025-07-23T00:00:00Z,17.170000,17.100000,17.290000,16.650000,680271,reg
2025-07-24T00:00:00Z,17.040000,17.140000,17.265000,16.660000,568690,reg
2025-07-25T00:00:00Z,17.170000,16.870000,17.170000,16.430000,542607,reg
2025-07-28T00:00:00Z,16.850000,16.810000,16.995000,16.415000,602173,reg
2025-07-29T00:00:00Z,16.880000,16.430000,16.880000,16.030000,643290,reg
2025-07-30T00:00:00Z,16.420000,16.130000,16.430000,15.720000,621701,reg
2025-07-31T00:00:00Z,15.870000,15.940000,15.999900,15.380000,842539,reg
2025-08-01T00:00:00Z,15.780000,15.510000,15.780000,15.030000,640136,reg
2025-08-04T00:00:00Z,15.530000,15.300000,15.830000,15.035000,712187,reg
2025-08-05T00:00:00Z,15.360000,15.510000,15.740000,15.210000,617458,reg
2025-08-06T00:00:00Z,15.690000,15.220000,15.700000,14.720000,1246003,reg
2025-08-07T00:00:00Z,15.260000,14.910000,15.470000,14.585000,772092,reg
2025-08-08T00:00:00Z,14.270000,14.370000,15.382500,14.140000,1172113,reg
2025-08-11T00:00:00Z,14.400000,13.270000,14.440000,13.010000,1592012,reg
2025-08-12T00:00:00Z,13.270000,14.140000,14.275000,13.270000,1183345,reg
2025-08-13T00:00:00Z,14.060000,14.290000,14.490000,13.805000,683916,reg
2025-08-14T00:00:00Z,14.120000,13.750000,14.140000,13.510000,669403,reg
2025-08-15T00:00:00Z,13.850000,13.600000,14.010000,13.485000,773657,reg
2025-08-18T00:00:00Z,13.580000,13.230000,13.600000,13.220000,713868,reg
2025-08-19T00:00:00Z,13.100000,13.260000,13.350000,12.935000,642448,reg
2025-08-20T00:00:00Z,13.270000,13.840000,14.240000,13.185000,896515,reg
2025-08-21T00:00:00Z,13.790000,14.835000,15.110000,13.710000,695066,reg
2025-08-22T00:00:00Z,14.910000,15.950000,16.340000,14.835000,2216676,reg
2025-08-25T00:00:00Z,16.000000,16.400000,16.550000,15.865000,1336961,reg
2025-08-26T00:00:00Z,16.400000,16.000000,16.580000,15.350000,1607180,reg
2025-08-27T00:00:00Z,15.880000,16.180000,16.430000,15.790000,516524,reg
2025-08-28T00:00:00Z,16.330000,16.330000,16.480000,16.050000,459641,reg
2025-08-29T00:00:00Z,16.310000,16.300000,16.520000,16.040000,518291,reg
2025-09-02T00:00:00Z,16.250000,16.535000,16.540000,15.995000,501451,reg
2025-09-03T00:00:00Z,16.130000,16.760000,16.840000,16.130000,646331,reg
2025-09-04T00:00:00Z,16.730000,17.040000,17.270000,16.561900,533584,reg
2025-09-05T00:00:00Z,16.930000,17.840000,17.893700,16.750100,803267,reg
