begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-02T00:00:00Z,51.040000,51.940000,52.000000,50.710000,1066698,reg
2025-07-03T00:00:00Z,51.950000,52.410000,52.490000,51.920000,831851,reg
2025-07-07T00:00:00Z,51.880000,51.040000,52.260000,50.910000,1002131,reg
2025-07-08T00:00:00Z,51.550000,51.960000,52.320000,50.980000,877510,reg
2025-07-09T00:00:00Z,52.210000,52.450000,52.525000,51.680000,834030,reg
2025-07-10T00:00:00Z,52.620000,52.780000,53.585000,52.620000,801620,reg
2025-07-11T00:00:00Z,52.210000,52.110000,52.470000,51.380000,950510,reg
2025-07-14T00:00:00Z,51.670000,51.830000,51.950000,51.100000,692700,reg
2025-07-15T00:00:00Z,52.050000,50.910000,52.220000,50.890000,907411,reg
2025-07-16T00:00:00Z,51.080000,51.240000,51.380000,50.380000,754099,reg
2025-07-17T00:00:00Z,51.280000,52.500000,52.715000,51.155000,875263,reg
2025-07-18T00:00:00Z,52.580000,52.680000,53.000000,52.200000,734543,reg
2025-07-21T00:00:00Z,53.170000,53.060000,54.220000,52.760000,1068194,reg
2025-07-22T00:00:00Z,53.110000,53.710000,54.000000,53.110000,923610,reg
2025-07-23T00:00:00Z,54.110000,54.230000,54.535000,53.730000,644334,reg
2025-07-24T00:00:00Z,53.620000,51.910000,53.959900,51.780000,1093460,reg
2025-07-25T00:00:00Z,51.940000,53.320000,53.350000,51.400000,943226,reg
2025-07-28T00:00:00Z,53.080000,52.700000,53.214600,52.480000,742951,reg
2025-07-29T00:00:00Z,52.630000,52.400000,52.630000,51.910000,584921,reg
2025-07-30T00:00:00Z,52.360000,52.190000,53.310000,51.760000,745765,reg
2025-07-31T00:00:00Z,51.300000,51.860000,52.140000,50.970000,959981,reg
2025-08-01T00:00:00Z,50.400000,50.280000,50.840000,49.660000,904292,reg
2025-08-04T00:00:00Z,50.330000,50.350000,50.780000,50.105000,532504,reg
2025-08-05T00:00:00Z,50.260000,51.960000,52.115000,50.260000,1067851,reg
2025-08-06T00:00:00Z,51.860000,51.970000,52.140800,51.520000,694814,reg
2025-08-07T00:00:00Z,53.090000,53.100000,54.060000,52.310000,1268131,reg
2025-08-08T00:00:00Z,53.270000,54.020000,54.500000,53.170000,852091,reg
2025-08-11T00:00:00Z,54.000000,53.020000,54.115000,52.740100,835669,reg
2025-08-12T00:00:00Z,54.030000,55.420000,55.500000,53.755000,772548,reg
2025-08-13T00:00:00Z,56.000000,58.360000,58.450000,55.655000,1591302,reg
2025-08-14T00:00:00Z,57.420000,57.130000,58.460000,56.150000,906539,reg
2025-08-15T00:00:00Z,57.800000,56.310000,57.800000,56.025000,912210,reg
2025-08-18T00:00:00Z,56.460000,56.920000,56.930000,56.170000,975289,reg
2025-08-19T00:00:00Z,56.920000,57.550000,58.290000,56.590000,818645,reg
2025-08-20T00:00:00Z,57.280000,56.420000,57.620000,56.410000,702225,reg
2025-08-21T00:00:00Z,55.910000,56.310000,56.460000,55.745000,528006,reg
2025-08-22T00:00:00Z,56.510000,58.920000,59.400000,56.180000,1097630,reg
2025-08-25T00:00:00Z,58.330000,58.020000,59.155000,57.950000,1079658,reg
2025-08-26T00:00:00Z,57.870000,57.570000,58.450000,57.310000,741979,reg
2025-08-27T00:00:00Z,57.280000,57.010000,57.805000,56.825000,1278188,reg
2025-08-28T00:00:00Z,57.300000,57.910000,57.950000,56.150000,1066590,reg
2025-08-29T00:00:00Z,58.080000,57.670000,58.310000,57.445000,929022,reg
2025-09-02T00:00:00Z,56.280000,57.210000,57.450000,55.760000,625162,reg
2025-09-03T00:00:00Z,56.930000,56.790000,57.410000,56.110000,558523,reg
2025-09-04T00:00:00Z,56.900000,58.190000,58.220000,56.660000,706627,reg
2025-09-05T00:00:00Z,58.660000,59.210000,59.980000,58.220000,957817,reg
2025-09-08T00:00:00Z,59.220000,59.790000,59.880000,58.890000,1084574,reg
2025-09-09T00:00:00Z,59.870000,58.400000,60.300000,58.110000,1158054,reg
2025-09-10T00:00:00Z,58.150000,58.320000,59.050000,58.150000,748445,reg
2025-09-11T00:00:00Z,58.440000,59.270000,59.430000,58.170000,1013409,reg
2025-09-12T00:00:00Z,58.820000,57.840000,59.145000,57.820000,624624,reg
2025-09-15T00:00:00Z,58.140000,58.450000,58.620000,57.490000,638513,reg
2025-09-16T00:00:00Z,58.570000,58.200000,59.110000,58.000000,803935,reg
2025-09-17T00:00:00Z,58.060000,58.480000,60.230000,57.980000,1330562,reg
2025-09-18T00:00:00Z,58.710000,59.670000,60.280000,57.725000,1453377,reg
2025-09-19T00:00:00Z,59.890000,58.170000,60.005000,58.010000,2869694,reg
2025-09-22T00:00:00Z,58.490000,57.520000,58.560000,57.410000,1400036,reg
2025-09-23T00:00:00Z,57.760000,57.010000,58.640000,56.960000,842647,reg
2025-09-24T00:00:00Z,57.040000,57.040000,57.540000,56.860000,830398,reg
2025-09-25T00:00:00Z,56.860000,57.630000,57.875000,56.670000,741580,reg
2025-09-26T00:00:00Z,57.700000,58.680000,58.910000,57.700000,540933,reg
2025-09-29T00:00:00Z,58.950000,57.300000,58.950000,56.900000,974051,reg
2025-09-30T00:00:00Z,57.430000,57.280000,57.875000,55.540000,1220657,reg
2025-10-01T00:00:00Z,57.370000,58.950000,59.380000,57.370000,947166,reg
2025-10-02T00:00:00Z,58.830000,58.650000,59.520000,57.655000,598956,reg
2025-10-03T00:00:00Z,58.750000,58.610000,58.800000,57.900000,572599,reg
2025-10-06T00:00:00Z,59.000000,58.570000,59.460000,58.351200,965672,reg
2025-10-07T00:00:00Z,58.770000,58.010000,59.320000,57.960000,1111940,reg
2025-10-08T00:00:00Z,58.400000,59.310000,59.409900,58.150000,677670,reg
2025-10-09T00:00:00Z,59.500000,59.000000,60.195000,58.620000,937587,reg
2025-10-10T00:00:00Z,58.920000,56.970000,59.920000,56.960000,1032383,reg
2025-10-13T00:00:00Z,58.240000,59.100000,59.670000,57.620000,1487696,reg
2025-10-14T00:00:00Z,57.830000,60.430000,60.670000,57.665000,1415424,reg
2025-10-15T00:00:00Z,61.000000,59.680000,61.000000,58.590000,1866373,reg
2025-10-16T00:00:00Z,57.865000,55.350000,59.990000,53.080000,4015278,reg
2025-10-17T00:00:00Z,56.140000,57.380000,58.610000,55.700000,2612817,reg
2025-10-20T00:00:00Z,58.310000,58.620000,59.400000,58.090000,2202413,reg
2025-10-21T00:00:00Z,58.010000,62.050000,62.170000,57.840000,2247369,reg
2025-10-22T00:00:00Z,61.550000,59.720000,62.000000,59.570000,1339338,reg
2025-10-23T00:00:00Z,60.300000,60.870000,61.390000,60.110000,1353363,reg
2025-10-24T00:00:00Z,62.330000,61.080000,62.380000,61.020000,1256490,reg
2025-10-27T00:00:00Z,61.320000,60.410000,61.720000,60.100000,1787055,reg
2025-10-28T00:00:00Z,60.600000,60.490000,60.800000,59.510000,1674058,reg
2025-10-29T00:00:00Z,60.000000,61.030000,62.000000,59.022300,1769767,reg
2025-10-30T00:00:00Z,60.130000,59.900000,60.720000,59.275000,1124841,reg
2025-10-31T00:00:00Z,59.510000,59.360000,60.130000,59.050000,923926,reg
2025-11-03T00:00:00Z,59.030000,58.410000,59.260000,57.920000,946105,reg
2025-11-04T00:00:00Z,57.020000,56.520000,57.420000,56.470000,879598,reg
2025-11-05T00:00:00Z,56.600000,57.380000,58.830000,55.970100,1081517,reg
2025-11-06T00:00:00Z,57.300000,57.440000,58.335000,57.067500,683921,reg
2025-11-07T00:00:00Z,57.270000,58.770000,58.900000,57.270000,942346,reg
2025-11-10T00:00:00Z,59.480000,59.730000,60.020000,58.830000,1033436,reg
2025-11-11T00:00:00Z,59.700000,59.160000,60.110000,58.610000,691475,reg
2025-11-12T00:00:00Z,59.390000,61.350000,61.670000,59.300000,1347775,reg
2025-11-13T00:00:00Z,61.130000,59.530000,61.590000,59.070000,774138,reg
2025-11-14T00:00:00Z,58.250000,58.980000,59.460000,58.220000,584798,reg
2025-11-17T00:00:00Z,58.500000,58.830000,60.240000,58.060000,892972,reg
2025-11-18T00:00:00Z,58.320000,57.860000,59.330000,57.380000,1120493,reg
2025-11-19T00:00:00Z,58.050000,57.650000,58.870000,57.130000,723593,reg
2025-11-20T00:00:00Z,58.500000,57.350000,59.300000,57.190100,932073,reg
2025-11-21T00:00:00Z,57.720000,59.320000,60.305000,57.010000,1029907,reg
2025-11-24T00:00:00Z,58.720000,60.220000,60.440000,58.610000,1373544,reg
2025-11-25T00:00:00Z,60.450000,62.630000,62.770000,60.275000,1047369,reg
2025-11-26T00:00:00Z,62.620000,63.880000,63.975000,62.620000,947185,reg
2025-11-28T00:00:00Z,63.910000,63.780000,64.000000,63.210000,418593,reg
2025-12-01T00:00:00Z,63.000000,64.080000,64.500000,63.000000,699103,reg
2025-12-02T00:00:00Z,64.560000,63.560000,64.560000,63.430000,598778,reg
2025-12-03T00:00:00Z,63.570000,65.860000,65.940000,63.570000,803229,reg
2025-12-04T00:00:00Z,65.330000,65.230000,65.829900,64.330000,597755,reg
2025-12-05T00:00:00Z,66.770000,66.860000,68.350000,66.030000,1643362,reg
2025-12-08T00:00:00Z,66.900000,66.760000,67.523300,66.115000,843268,reg
2025-12-09T00:00:00Z,66.050000,66.180000,66.690000,65.900000,830424,reg
2025-12-10T00:00:00Z,67.680000,69.570000,69.830000,66.670000,1303704,reg
2025-12-11T00:00:00Z,69.550000,71.360000,71.510000,69.380000,969847,reg
2025-12-12T00:00:00Z,71.500000,70.560000,71.990000,69.960000,900141,reg
2025-12-15T00:00:00Z,70.690000,71.270000,71.315000,69.200000,1111375,reg
2025-12-16T00:00:00Z,71.060000,71.020000,71.470000,70.080000,1191484,reg
2025-12-17T00:00:00Z,70.150000,70.000000,71.710000,69.510000,1363555,reg
2025-12-18T00:00:00Z,70.180000,69.620000,70.740000,69.560000,1479259,reg
2025-12-19T00:00:00Z,68.940000,69.490000,69.915000,68.480000,3007329,reg
2025-12-22T00:00:00Z,70.460000,70.470000,71.020000,69.730000,955490,reg
2025-12-23T00:00:00Z,70.650000,70.430000,70.948000,70.200000,559163,reg
2025-12-24T00:00:00Z,70.440000,70.740000,71.100000,69.860000,364424,reg
2025-12-26T00:00:00Z,70.920000,71.240000,71.320000,70.680000,463772,reg
2025-12-29T00:00:00Z,70.740000,70.550000,71.040000,70.280000,815925,reg
2025-12-30T00:00:00Z,71.190000,69.900000,71.190000,69.860000,857218,reg
2025-12-31T00:00:00Z,69.920000,69.220000,70.070000,69.030000,841117,reg
2026-01-02T00:00:00Z,70.100000,71.790000,72.060000,69.540000,1003148,reg
2026-01-05T00:00:00Z,72.920000,72.690000,73.890000,72.010000,1435051,reg
2026-01-06T00:00:00Z,72.830000,74.610000,75.030000,72.500000,1886013,reg
2026-01-07T00:00:00Z,74.610000,73.220000,74.610000,72.640000,1449897,reg
2026-01-08T00:00:00Z,71.540000,70.610000,74.420000,69.450000,2487207,reg
2026-01-09T00:00:00Z,70.630000,72.460000,72.930000,70.270000,1350386,reg
2026-01-12T00:00:00Z,72.460000,72.990000,73.000000,70.945100,1464694,reg
2026-01-13T00:00:00Z,73.460000,74.260000,74.850000,73.300000,1342973,reg
2026-01-14T00:00:00Z,74.240000,74.260000,75.230000,73.700000,1286121,reg
