begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-02T00:00:00Z,61.310000,61.840000,61.940000,61.010000,1532511,reg
2025-07-03T00:00:00Z,62.050000,62.330000,62.470000,61.840000,1039715,reg
2025-07-07T00:00:00Z,62.170000,61.920000,62.350000,61.590000,1417973,reg
2025-07-08T00:00:00Z,62.000000,62.410000,62.700000,61.810000,1342978,reg
2025-07-09T00:00:00Z,62.880000,62.250000,63.250000,62.200000,1893473,reg
2025-07-10T00:00:00Z,62.270000,62.270000,62.835000,62.070000,2549722,reg
2025-07-11T00:00:00Z,61.890000,61.580000,62.090000,61.390000,2406812,reg
2025-07-14T00:00:00Z,61.270000,61.200000,61.660000,60.925000,1176619,reg
2025-07-15T00:00:00Z,61.300000,60.100000,61.620000,60.070000,929008,reg
2025-07-16T00:00:00Z,60.240000,60.490000,60.530000,59.000000,1678533,reg
2025-07-17T00:00:00Z,60.710000,61.850000,61.940000,60.410000,2211978,reg
2025-07-18T00:00:00Z,62.070000,62.000000,62.500000,61.410000,1514382,reg
2025-07-21T00:00:00Z,62.420000,62.930000,63.840000,62.150000,2576281,reg
2025-07-22T00:00:00Z,62.890000,65.030000,65.080000,62.366500,3017275,reg
2025-07-23T00:00:00Z,65.680000,65.000000,65.880000,64.620000,2056006,reg
2025-07-24T00:00:00Z,64.720000,65.170000,65.220000,64.620000,1228298,reg
2025-07-25T00:00:00Z,65.600000,65.770000,65.940000,65.140000,1535613,reg
2025-07-28T00:00:00Z,65.310000,65.610000,65.970000,65.190000,1503174,reg
2025-07-29T00:00:00Z,65.890000,65.070000,65.890000,64.970000,1382633,reg
2025-07-30T00:00:00Z,65.200000,64.560000,65.360000,64.070000,2040330,reg
2025-07-31T00:00:00Z,63.920000,63.640000,64.320000,63.260000,3279798,reg
2025-08-01T00:00:00Z,62.480000,62.680000,63.390000,61.660000,1723379,reg
2025-08-04T00:00:00Z,63.020000,63.820000,63.875000,62.560000,1236145,reg
2025-08-05T00:00:00Z,63.910000,64.040000,64.380000,62.890000,1470957,reg
2025-08-06T00:00:00Z,64.080000,63.540000,64.325000,63.380000,930714,reg
2025-08-07T00:00:00Z,64.200000,64.100000,65.000000,63.740000,1775633,reg
2025-08-08T00:00:00Z,64.220000,63.960000,64.410000,63.370000,1394198,reg
