begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-03T00:00:00Z,64.220000,63.830000,64.460000,63.540000,298238,reg
2025-07-07T00:00:00Z,63.540000,62.950000,64.340000,62.510000,1072649,reg
2025-07-08T00:00:00Z,63.030000,63.760000,64.440000,62.540000,847093,reg
2025-07-09T00:00:00Z,63.750000,63.190000,63.955000,62.580000,551083,reg
2025-07-10T00:00:00Z,62.970000,63.570000,64.780000,62.840000,526556,reg
2025-07-11T00:00:00Z,63.070000,61.450000,63.090000,61.280000,401376,reg
2025-07-14T00:00:00Z,61.230000,60.440000,61.230000,59.790000,512133,reg
2025-07-15T00:00:00Z,60.540000,58.620000,60.890000,58.610000,493431,reg
2025-07-16T00:00:00Z,58.900000,59.280000,59.400000,58.545000,554968,reg
2025-07-17T00:00:00Z,59.280000,59.910000,60.050000,59.100000,500160,reg
2025-07-18T00:00:00Z,60.440000,59.610000,60.600000,59.390000,500939,reg
2025-07-21T00:00:00Z,60.020000,59.880000,60.725000,59.820000,477838,reg
2025-07-22T00:00:00Z,60.280000,62.090000,62.130000,60.280000,486054,reg
2025-07-23T00:00:00Z,62.710000,62.460000,63.275000,62.330000,430362,reg
2025-07-24T00:00:00Z,61.970000,60.440000,62.360000,60.390000,550522,reg
2025-07-25T00:00:00Z,60.850000,60.630000,61.275000,59.500000,482605,reg
2025-07-28T00:00:00Z,60.860000,60.370000,61.075000,60.150000,487846,reg
2025-07-29T00:00:00Z,60.180000,59.340000,60.340000,58.860000,789234,reg
2025-07-30T00:00:00Z,59.640000,58.400000,59.960000,58.035000,662931,reg
2025-07-31T00:00:00Z,57.750000,56.570000,57.945000,56.330000,856377,reg
2025-08-01T00:00:00Z,49.955000,49.300000,52.140000,48.105000,2604900,reg
2025-08-04T00:00:00Z,49.920000,51.080000,51.090000,49.375000,1135832,reg
2025-08-05T00:00:00Z,51.260000,52.290000,52.660000,51.130000,794062,reg
2025-08-06T00:00:00Z,52.470000,51.840000,53.000000,51.690000,668989,reg
2025-08-07T00:00:00Z,52.240000,50.970000,52.405000,50.850000,670538,reg
2025-08-08T00:00:00Z,50.840000,50.700000,50.990000,50.000000,677666,reg
2025-08-11T00:00:00Z,50.780000,49.420000,51.040000,49.320000,631085,reg
2025-08-12T00:00:00Z,49.650000,50.580000,50.640000,49.520000,550735,reg
