begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-03T00:00:00Z,292.520000,296.230000,296.230000,290.879300,614990,reg
2025-07-07T00:00:00Z,296.840000,302.500000,302.710000,295.710000,1597819,reg
2025-07-08T00:00:00Z,300.610000,298.030000,303.180000,297.880000,1168877,reg
2025-07-09T00:00:00Z,299.090000,300.160000,300.370000,295.010000,762293,reg
2025-07-10T00:00:00Z,299.950000,297.320000,301.220000,295.000000,1073437,reg
2025-07-11T00:00:00Z,295.510000,295.210000,296.815000,293.550000,970825,reg
2025-07-14T00:00:00Z,294.610000,297.060000,298.410000,294.610000,918686,reg
2025-07-15T00:00:00Z,296.260000,294.650000,298.440000,293.940000,916423,reg
2025-07-16T00:00:00Z,297.190000,297.830000,298.210000,293.805000,1323727,reg
2025-07-17T00:00:00Z,295.810000,294.380000,297.075000,291.190000,803588,reg
2025-07-18T00:00:00Z,294.110000,292.870000,295.475000,291.900000,1049489,reg
2025-07-21T00:00:00Z,291.660000,292.670000,294.629900,289.474400,789432,reg
2025-07-22T00:00:00Z,292.670000,292.970000,296.490000,290.963700,868272,reg
2025-07-23T00:00:00Z,293.310000,293.440000,293.990000,290.844200,936261,reg
2025-07-24T00:00:00Z,292.300000,290.450000,294.450000,289.490000,902930,reg
2025-07-25T00:00:00Z,290.890000,290.360000,293.145000,289.400000,785268,reg
2025-07-28T00:00:00Z,290.940000,286.200000,290.940000,284.100000,997900,reg
2025-07-29T00:00:00Z,285.490000,289.770000,290.880000,285.070000,1092554,reg
2025-07-30T00:00:00Z,288.540000,291.800000,292.265000,288.540000,649686,reg
2025-07-31T00:00:00Z,290.870000,286.080000,292.000000,281.840000,1226598,reg
2025-08-01T00:00:00Z,288.490000,288.350000,290.080000,285.020000,1140212,reg
2025-08-04T00:00:00Z,287.790000,293.640000,293.640000,287.750000,1000330,reg
2025-08-05T00:00:00Z,291.320000,292.350000,294.880000,290.990000,1498487,reg
2025-08-06T00:00:00Z,282.110000,283.780000,287.265000,273.432500,2379374,reg
2025-08-07T00:00:00Z,281.190000,278.400000,283.966500,275.140000,1732273,reg
2025-08-08T00:00:00Z,279.030000,285.130000,285.990000,279.030000,1106201,reg
2025-08-11T00:00:00Z,286.250000,290.700000,292.760000,285.060000,1839166,reg
2025-08-12T00:00:00Z,286.560000,289.150000,290.260000,278.200000,2022112,reg
2025-08-13T00:00:00Z,291.290000,291.040000,293.565000,289.090000,1353599,reg
2025-08-14T00:00:00Z,288.690000,294.870000,297.430000,288.690000,1248029,reg
2025-08-15T00:00:00Z,295.960000,292.820000,297.630000,292.800000,1109031,reg
2025-08-18T00:00:00Z,293.530000,290.350000,295.580000,290.220000,1185616,reg
2025-08-19T00:00:00Z,289.980000,294.710000,295.750000,288.320000,913488,reg
2025-08-20T00:00:00Z,296.560000,303.690000,303.870000,296.000000,1071686,reg
2025-08-21T00:00:00Z,303.870000,303.230000,306.280000,302.415800,2276842,reg
2025-08-22T00:00:00Z,304.590000,292.600000,305.265300,291.480000,1706556,reg
2025-08-25T00:00:00Z,292.560000,288.300000,293.805000,287.790000,1281694,reg
2025-08-26T00:00:00Z,288.670000,289.700000,289.890000,287.290000,1413672,reg
2025-08-27T00:00:00Z,290.680000,290.560000,292.470000,288.690000,880171,reg
2025-08-28T00:00:00Z,289.830000,289.890000,290.780000,287.840900,1058448,reg
2025-08-29T00:00:00Z,291.000000,291.610000,292.020000,289.300000,1123273,reg
2025-09-02T00:00:00Z,291.970000,294.850000,297.160000,290.986600,1452089,reg
2025-09-03T00:00:00Z,295.020000,295.140000,296.000000,292.740000,1225287,reg
2025-09-04T00:00:00Z,295.600000,292.700000,298.090000,291.185000,1246214,reg
2025-09-05T00:00:00Z,290.850000,292.500000,293.790000,290.045000,1012863,reg
2025-09-08T00:00:00Z,292.770000,297.860000,298.300000,290.670000,2794170,reg
2025-09-09T00:00:00Z,298.580000,298.670000,300.245000,296.290000,1720369,reg
2025-09-10T00:00:00Z,297.500000,296.320000,301.180000,295.220000,1378288,reg
2025-09-11T00:00:00Z,297.320000,302.800000,303.615000,295.680000,1429003,reg
2025-09-12T00:00:00Z,302.220000,302.520000,307.510000,301.990000,1189360,reg
2025-09-15T00:00:00Z,301.400000,291.400000,303.295000,291.320000,2330468,reg
2025-09-16T00:00:00Z,291.550000,290.000000,292.920000,287.300000,1792785,reg
2025-09-17T00:00:00Z,292.170000,289.080000,293.030000,287.630000,1761619,reg
2025-09-18T00:00:00Z,287.610000,290.840000,291.250000,285.755000,1321724,reg
2025-09-19T00:00:00Z,291.550000,290.020000,293.710000,289.510000,7226422,reg
2025-09-22T00:00:00Z,290.020000,288.790000,292.300000,285.830000,1097371,reg
2025-09-23T00:00:00Z,290.400000,302.400000,302.929900,290.000000,1328553,reg
2025-09-24T00:00:00Z,301.700000,308.360000,309.640000,301.200000,1549331,reg
2025-09-25T00:00:00Z,310.000000,298.820000,310.000000,289.805000,1988363,reg
2025-09-26T00:00:00Z,301.170000,307.000000,307.310000,299.247500,1598776,reg
2025-09-29T00:00:00Z,306.050000,308.070000,309.580000,305.535000,1030829,reg
2025-09-30T00:00:00Z,307.880000,312.530000,312.730000,306.595000,1473644,reg
2025-10-01T00:00:00Z,313.280000,311.770000,315.225000,309.920000,1517632,reg
2025-10-02T00:00:00Z,308.260000,308.570000,311.800000,304.650000,919444,reg
2025-10-03T00:00:00Z,307.870000,302.760000,308.540000,296.075000,1253388,reg
2025-10-06T00:00:00Z,299.710000,305.300000,305.670000,299.260000,1117557,reg
2025-10-07T00:00:00Z,304.130000,308.710000,308.780000,301.360000,875932,reg
2025-10-08T00:00:00Z,308.820000,310.610000,310.840000,305.645000,676885,reg
2025-10-09T00:00:00Z,310.540000,314.120000,314.260000,307.872300,929570,reg
2025-10-10T00:00:00Z,316.580000,318.000000,319.680000,314.705000,1455408,reg
2025-10-13T00:00:00Z,313.580000,317.000000,319.870000,313.580000,1512850,reg
2025-10-14T00:00:00Z,318.950000,317.930000,319.390000,314.500000,727440,reg
2025-10-15T00:00:00Z,316.250000,319.610000,320.365000,316.250000,799756,reg
2025-10-16T00:00:00Z,319.650000,319.400000,321.870000,318.100000,1399196,reg
2025-10-17T00:00:00Z,319.750000,324.690000,325.700000,319.374800,1177570,reg
2025-10-20T00:00:00Z,325.305000,327.390000,329.580000,323.360000,1051052,reg
