begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-03T00:00:00Z,982.410000,987.020000,987.670000,977.325000,1101351,reg
2025-07-07T00:00:00Z,985.000000,992.180000,992.893100,976.200000,1832591,reg
2025-07-08T00:00:00Z,989.500000,985.840000,995.870000,983.925000,1716151,reg
2025-07-09T00:00:00Z,988.390000,982.090000,988.390000,972.280000,2922574,reg
2025-07-10T00:00:00Z,987.000000,970.170000,988.000000,969.070000,2903765,reg
2025-07-11T00:00:00Z,973.290000,970.330000,978.980000,965.700000,1941995,reg
2025-07-14T00:00:00Z,971.100000,980.910000,981.490000,969.620000,1679303,reg
2025-07-15T00:00:00Z,979.250000,967.680000,980.250000,966.660000,1878003,reg
2025-07-16T00:00:00Z,967.990000,951.370000,969.589000,950.130000,2950277,reg
2025-07-17T00:00:00Z,950.360000,953.910000,954.750000,947.510000,2280638,reg
2025-07-18T00:00:00Z,959.950000,950.950000,960.260000,949.650000,2115538,reg
2025-07-21T00:00:00Z,951.510000,947.560000,955.760000,946.600000,1742426,reg
2025-07-22T00:00:00Z,948.800000,941.610000,957.700000,941.250000,1799905,reg
2025-07-23T00:00:00Z,942.375000,941.190000,948.500000,936.000000,2401619,reg
2025-07-24T00:00:00Z,941.330000,933.800000,942.899900,933.490000,2057072,reg
2025-07-25T00:00:00Z,936.300000,935.480000,941.290000,934.350000,1827655,reg
2025-07-28T00:00:00Z,935.500000,933.990000,940.241000,930.890000,2006292,reg
2025-07-29T00:00:00Z,933.990000,934.570000,941.785000,927.380000,2065880,reg
2025-07-30T00:00:00Z,935.000000,927.510000,937.749900,925.135000,1699609,reg
2025-07-31T00:00:00Z,925.360000,939.640000,945.950000,925.000000,2564353,reg
2025-08-01T00:00:00Z,939.500000,952.520000,956.720000,939.500000,2934464,reg
2025-08-04T00:00:00Z,952.600000,955.370000,960.180000,948.660000,2389907,reg
2025-08-05T00:00:00Z,951.325000,943.630000,951.500000,935.680000,2462286,reg
2025-08-06T00:00:00Z,943.630000,968.560000,970.550000,942.660100,2752994,reg
2025-08-07T00:00:00Z,974.680000,977.450000,982.000000,970.960000,1893275,reg
2025-08-08T00:00:00Z,977.150000,980.980000,988.200000,977.000000,2189701,reg
2025-08-11T00:00:00Z,983.160000,988.740000,989.580000,976.320000,2290125,reg
2025-08-12T00:00:00Z,988.500000,991.250000,991.750000,980.050000,1589455,reg
2025-08-13T00:00:00Z,983.960000,978.850000,986.400000,970.100000,2352567,reg
2025-08-14T00:00:00Z,980.600000,975.390000,988.292500,975.180000,1808742,reg
2025-08-15T00:00:00Z,979.140000,972.040000,979.999900,967.215000,1638281,reg
2025-08-18T00:00:00Z,973.300000,979.350000,981.280000,970.000000,2078489,reg
2025-08-19T00:00:00Z,978.620000,980.850000,988.529900,976.790000,1673394,reg
2025-08-20T00:00:00Z,979.000000,994.570000,999.300000,979.000000,2229573,reg
2025-08-21T00:00:00Z,988.900000,969.680000,989.320000,967.520000,2145629,reg
2025-08-22T00:00:00Z,971.540000,958.540000,973.500000,953.110000,3135979,reg
2025-08-25T00:00:00Z,954.960000,941.580000,958.304700,940.560000,2284250,reg
2025-08-26T00:00:00Z,941.340000,941.340000,944.050000,933.245000,4341253,reg
2025-08-27T00:00:00Z,940.490000,949.520000,952.000000,937.215000,1893587,reg
2025-08-28T00:00:00Z,950.285000,944.960000,950.999900,944.130100,2067919,reg
2025-08-29T00:00:00Z,945.000000,943.320000,948.610000,940.460000,1608954,reg
2025-09-02T00:00:00Z,938.660000,938.820000,944.512600,936.580000,1793947,reg
2025-09-03T00:00:00Z,939.000000,949.780000,950.090000,936.500000,1670458,reg
2025-09-04T00:00:00Z,953.400000,955.900000,959.500000,951.110000,1471872,reg
2025-09-05T00:00:00Z,958.710000,963.480000,969.550000,956.222600,1928459,reg
2025-09-08T00:00:00Z,963.730000,971.850000,972.340000,958.586300,1737032,reg
2025-09-09T00:00:00Z,970.000000,979.250000,979.870000,963.110000,1496835,reg
2025-09-10T00:00:00Z,976.390000,956.290000,981.000000,953.960000,2277534,reg
2025-09-11T00:00:00Z,957.800000,964.320000,965.160000,954.280000,1532027,reg
2025-09-12T00:00:00Z,960.290000,967.900000,969.570000,960.000000,1461618,reg
2025-09-15T00:00:00Z,967.820000,960.100000,969.740000,959.706000,2199423,reg
2025-09-16T00:00:00Z,959.100000,952.070000,959.576800,950.800000,2012649,reg
2025-09-17T00:00:00Z,953.490000,963.030000,963.980000,953.490000,1556773,reg
2025-09-18T00:00:00Z,957.370000,952.360000,962.537300,950.670000,1860898,reg
2025-09-19T00:00:00Z,955.000000,951.160000,957.439000,943.790000,4606020,reg
2025-09-22T00:00:00Z,947.375000,943.260000,949.999900,939.610000,2794337,reg
2025-09-23T00:00:00Z,942.760000,943.600000,944.990000,933.500000,3258514,reg
2025-09-24T00:00:00Z,944.275000,945.270000,953.659900,943.110000,2149803,reg
2025-09-25T00:00:00Z,952.450000,943.310000,953.000000,935.620100,2991526,reg
2025-09-26T00:00:00Z,925.550000,915.950000,927.630000,905.050100,4812869,reg
2025-09-29T00:00:00Z,916.340000,916.870000,917.220000,903.290000,4107021,reg
2025-09-30T00:00:00Z,916.250000,925.630000,930.505000,913.370000,3096697,reg
2025-10-01T00:00:00Z,923.000000,917.340000,924.000000,911.170000,2642054,reg
2025-10-02T00:00:00Z,912.560000,916.770000,918.510000,910.010000,2063842,reg
2025-10-03T00:00:00Z,915.590000,915.380000,918.101000,911.200000,2319199,reg
2025-10-06T00:00:00Z,915.500000,910.940000,915.779900,904.251000,2503975,reg
2025-10-07T00:00:00Z,908.730000,914.800000,917.640000,903.880000,2601836,reg
2025-10-08T00:00:00Z,912.535000,914.800000,916.379500,910.960000,2376942,reg
2025-10-09T00:00:00Z,932.310000,942.890000,943.769900,927.280100,3742871,reg
2025-10-10T00:00:00Z,944.420000,930.010000,945.450000,929.000000,3142539,reg
2025-10-13T00:00:00Z,929.000000,935.560000,935.980000,923.000000,2169648,reg
2025-10-14T00:00:00Z,940.260000,946.510000,947.420000,935.950100,1925863,reg
2025-10-15T00:00:00Z,946.000000,954.990000,964.000000,945.260100,2009832,reg
2025-10-16T00:00:00Z,955.540000,925.620000,957.900000,921.160000,2721426,reg
2025-10-17T00:00:00Z,929.580000,936.330000,938.819400,928.150000,2502164,reg
2025-10-20T00:00:00Z,936.185000,936.110000,939.800000,931.500000,1523704,reg
2025-10-21T00:00:00Z,936.110000,937.500000,943.370000,935.000000,1448215,reg
2025-10-22T00:00:00Z,940.000000,944.680000,952.999900,932.500000,2372365,reg
2025-10-23T00:00:00Z,945.470000,942.050000,945.470000,934.490000,1974780,reg
2025-10-24T00:00:00Z,940.000000,932.140000,943.000000,930.150000,1639373,reg
2025-10-27T00:00:00Z,930.210000,929.850000,933.200000,925.120100,1967623,reg
2025-10-28T00:00:00Z,926.870000,924.160000,930.720000,920.200000,2090768,reg
2025-10-29T00:00:00Z,919.000000,912.420000,919.880000,909.300000,2449556,reg
2025-10-30T00:00:00Z,912.690000,920.180000,923.000000,910.370000,2677064,reg
2025-10-31T00:00:00Z,916.210000,911.450000,920.000000,909.680000,2456261,reg
2025-11-03T00:00:00Z,912.400000,928.040000,929.189900,908.380000,3206606,reg
2025-11-04T00:00:00Z,933.210000,940.740000,941.170000,928.965000,2554542,reg
2025-11-05T00:00:00Z,940.000000,935.030000,945.280000,927.440000,2974784,reg
2025-11-06T00:00:00Z,924.360000,923.580000,925.000000,908.300000,3247658,reg
2025-11-07T00:00:00Z,929.530000,922.740000,937.000000,920.790000,2584010,reg
2025-11-10T00:00:00Z,919.000000,915.560000,922.000000,909.070000,2612726,reg
2025-11-11T00:00:00Z,916.500000,913.860000,918.890000,913.000000,1663441,reg
2025-11-12T00:00:00Z,915.465000,914.000000,918.100000,911.670000,1829740,reg
2025-11-13T00:00:00Z,916.350000,925.080000,926.750000,911.720000,2430607,reg
2025-11-14T00:00:00Z,927.125000,922.980000,928.890000,915.100000,1739059,reg
2025-11-17T00:00:00Z,922.020000,912.590000,924.900000,908.810000,2481947,reg
2025-11-18T00:00:00Z,912.590000,895.080000,918.910000,894.170000,2984688,reg
2025-11-19T00:00:00Z,895.000000,890.600000,895.000000,873.970400,3462344,reg
2025-11-20T00:00:00Z,893.500000,893.290000,904.570000,891.000000,2648257,reg
2025-11-21T00:00:00Z,894.515000,899.010000,905.320000,892.130000,2870059,reg
2025-11-24T00:00:00Z,899.000000,886.120000,901.359900,881.320000,3661191,reg
2025-11-25T00:00:00Z,886.660000,894.330000,895.720000,885.130000,2534731,reg
2025-11-26T00:00:00Z,896.020000,908.260000,912.000000,895.620000,1936171,reg
2025-11-28T00:00:00Z,905.015000,913.590000,914.200000,903.000000,1092608,reg
2025-12-01T00:00:00Z,913.200000,911.960000,918.580000,906.210000,2149426,reg
2025-12-02T00:00:00Z,911.960000,922.030000,923.000000,905.000000,2160592,reg
2025-12-03T00:00:00Z,920.810000,922.260000,926.320000,916.020000,1886769,reg
2025-12-04T00:00:00Z,907.025000,895.855000,907.960000,888.080000,3787830,reg
2025-12-05T00:00:00Z,897.250000,894.680000,905.890000,893.000000,2359794,reg
2025-12-08T00:00:00Z,893.500000,887.520000,894.000000,882.900000,2407918,reg
2025-12-09T00:00:00Z,886.850000,888.440000,889.020000,881.510000,1899463,reg
2025-12-10T00:00:00Z,887.820000,874.410000,889.580000,871.090000,3318294,reg
2025-12-11T00:00:00Z,875.860000,884.480000,886.000000,872.550100,3041582,reg
2025-12-12T00:00:00Z,883.300000,884.470000,888.619900,867.120000,4808873,reg
2025-12-15T00:00:00Z,882.110000,860.560000,887.490000,851.400000,4771436,reg
2025-12-16T00:00:00Z,857.435000,860.390000,863.590000,844.060000,3843318,reg
2025-12-17T00:00:00Z,858.500000,862.650000,868.580000,858.230000,2363703,reg
2025-12-18T00:00:00Z,860.295000,857.590000,863.150000,852.510000,2467502,reg
2025-12-19T00:00:00Z,856.570000,855.620000,858.450000,849.320000,10097638,reg
2025-12-22T00:00:00Z,854.000000,850.000000,855.500000,847.310000,2373318,reg
2025-12-23T00:00:00Z,849.100000,854.790000,854.980000,846.800000,1903349,reg
2025-12-24T00:00:00Z,858.600000,871.860000,876.000000,858.352000,1822151,reg
2025-12-26T00:00:00Z,870.640000,873.350000,877.590000,869.000000,1324051,reg
2025-12-29T00:00:00Z,873.290000,867.840000,874.500000,865.690000,1792476,reg
2025-12-30T00:00:00Z,864.000000,865.650000,867.820000,861.430000,1680756,reg
2025-12-31T00:00:00Z,864.580000,862.340000,868.000000,861.340000,1489954,reg
2026-01-02T00:00:00Z,861.140000,854.500000,863.100000,852.500000,2373388,reg
2026-01-05T00:00:00Z,863.950000,875.740000,878.770000,860.845000,2805557,reg
2026-01-06T00:00:00Z,875.950000,889.100000,894.079900,871.300000,2742339,reg
2026-01-07T00:00:00Z,892.000000,882.580000,893.595000,879.620000,2680115,reg
2026-01-08T00:00:00Z,901.130000,915.310000,931.670000,896.000000,5207158,reg
2026-01-09T00:00:00Z,915.970000,924.880000,929.849900,911.330000,2895418,reg
2026-01-12T00:00:00Z,920.400000,943.080000,944.825000,917.000000,3246406,reg
2026-01-13T00:00:00Z,938.020000,941.930000,942.900000,929.597500,2222092,reg
2026-01-14T00:00:00Z,938.330000,950.980000,955.610900,938.290000,2894879,reg
2026-01-15T00:00:00Z,954.540000,956.750000,958.280000,950.000100,2185919,reg
2026-01-16T00:00:00Z,962.000000,963.610000,964.980000,951.000100,3862947,reg
2026-01-20T00:00:00Z,958.380000,964.260000,969.900000,954.130000,3209921,reg
2026-01-21T00:00:00Z,959.600000,982.860000,989.635800,959.600000,4073664,reg
2026-01-22T00:00:00Z,977.890000,976.170000,984.000000,971.560100,2074413,reg
2026-01-23T00:00:00Z,971.440000,983.250000,984.850000,971.010000,1680580,reg
2026-01-26T00:00:00Z,986.430000,977.670000,993.000000,976.350000,2458693,reg
2026-01-27T00:00:00Z,977.680000,970.280000,978.000000,961.710000,2077931,reg
2026-01-28T00:00:00Z,969.510000,960.780000,970.100000,955.610000,2474811,reg
2026-01-29T00:00:00Z,957.990000,952.890000,960.300000,948.510000,1824966,reg
2026-01-30T00:00:00Z,948.830000,940.250000,951.120000,930.300000,2396325,reg
2026-02-02T00:00:00Z,944.230000,968.360000,970.320000,931.270000,2451253,reg
2026-02-03T00:00:00Z,964.350000,977.920000,990.654800,964.280000,2960736,reg
2026-02-04T00:00:00Z,983.310000,978.350000,994.599900,975.190000,2631498,reg
2026-02-05T00:00:00Z,995.500000,989.290000,1000.950000,987.330000,2988847,reg
2026-02-06T00:00:00Z,988.150000,1001.160000,1001.365000,983.500100,2358563,reg
2026-02-09T00:00:00Z,1001.320000,997.590000,1009.620000,992.680000,1861683,reg
2026-02-10T00:00:00Z,996.010000,971.230000,997.450000,969.000000,1781509,reg
2026-02-11T00:00:00Z,973.285000,978.140000,989.565000,967.120100,1769375,reg
2026-02-12T00:00:00Z,978.745000,998.860000,1009.210000,978.140000,2970368,reg
2026-02-13T00:00:00Z,1000.000000,1018.480000,1022.880000,993.760000,2661568,reg
2026-02-17T00:00:00Z,1022.340000,1012.050000,1028.440000,1010.480100,1732204,reg
2026-02-18T00:00:00Z,1010.000000,996.080000,1016.000000,993.500000,1926753,reg
2026-02-19T00:00:00Z,992.310000,987.820000,1007.860000,984.110000,1749967,reg
2026-02-20T00:00:00Z,983.130000,985.270000,987.370000,977.810000,1662183,reg
2026-02-23T00:00:00Z,981.800000,986.020000,991.305000,978.060000,1489290,reg
2026-02-24T00:00:00Z,986.380000,998.430000,998.880000,985.040000,1671134,reg
2026-02-25T00:00:00Z,997.675000,994.760000,1002.500000,991.440000,1554568,reg
2026-02-26T00:00:00Z,996.915000,986.740000,1005.519900,983.530000,1804376,reg
2026-02-27T00:00:00Z,990.530000,1010.790000,1014.190000,989.580000,3935004,reg
2026-03-02T00:00:00Z,1010.910000,1002.770000,1020.820000,1002.490000,1986902,reg
2026-03-03T00:00:00Z,1002.540000,1007.770000,1015.750000,1000.630000,1947502,reg
2026-03-04T00:00:00Z,1005.000000,1006.740000,1014.000000,997.000000,1806638,reg
2026-03-05T00:00:00Z,996.500000,982.570000,999.250000,978.810000,2774284,reg
2026-03-06T00:00:00Z,967.005000,998.100000,1002.500000,960.460000,2708851,reg
2026-03-09T00:00:00Z,999.630000,1005.300000,1007.410000,987.990000,2348212,reg
2026-03-10T00:00:00Z,1000.500000,997.360000,1010.100000,996.000000,1613381,reg
2026-03-11T00:00:00Z,996.320000,992.230000,997.390000,987.890000,1262006,reg
2026-03-12T00:00:00Z,988.610000,1003.320000,1006.210000,984.000000,1669248,reg
2026-03-13T00:00:00Z,1005.900000,1008.430000,1012.830000,1002.000000,1469672,reg
2026-03-16T00:00:00Z,1010.500000,1001.740000,1012.650000,995.430100,1243752,reg
2026-03-17T00:00:00Z,1006.490000,996.160000,1008.095000,994.750000,1210414,reg
2026-03-18T00:00:00Z,990.370000,979.920000,993.981900,978.140000,1434421,reg
2026-03-19T00:00:00Z,985.840000,974.780000,988.790000,970.410000,1340173,reg
2026-03-20T00:00:00Z,975.080000,972.330000,980.760000,970.540000,2621555,reg
2026-03-23T00:00:00Z,985.665000,965.730000,986.640000,964.530000,1779094,reg
2026-03-24T00:00:00Z,962.060000,973.820000,981.280000,961.000000,1259325,reg
2026-03-25T00:00:00Z,978.000000,974.860000,980.810000,968.050400,1067386,reg
2026-03-26T00:00:00Z,975.690000,979.650000,987.190000,972.720100,1498250,reg
2026-03-27T00:00:00Z,982.015000,983.860000,987.110000,978.110000,1540925,reg
