begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-03T00:00:00Z,49.130000,49.320000,49.480000,49.075000,3329409,reg
2025-07-07T00:00:00Z,49.160000,48.830000,49.439900,48.555000,4230351,reg
2025-07-08T00:00:00Z,48.700000,48.510000,48.800000,48.210000,5124915,reg
2025-07-09T00:00:00Z,48.580000,47.640000,48.800000,47.350700,7219406,reg
2025-07-10T00:00:00Z,47.750000,47.990000,48.329800,47.350000,7780289,reg
2025-07-11T00:00:00Z,47.910000,47.460000,47.980000,47.410000,5070707,reg
2025-07-14T00:00:00Z,47.265000,47.130000,47.570000,46.765000,10367978,reg
2025-07-15T00:00:00Z,46.980000,45.900000,46.980000,45.520000,18588241,reg
2025-07-16T00:00:00Z,46.155000,45.980000,46.299900,45.670000,7965629,reg
2025-07-17T00:00:00Z,45.965000,45.890000,46.300000,45.590000,10512698,reg
2025-07-18T00:00:00Z,46.110000,45.980000,46.670000,45.555000,9149870,reg
2025-07-21T00:00:00Z,45.980000,46.030000,46.390000,45.955000,5723130,reg
2025-07-22T00:00:00Z,46.050000,46.390000,46.860000,45.930000,6763732,reg
2025-07-23T00:00:00Z,46.530000,46.830000,46.930000,46.175000,6781373,reg
2025-07-24T00:00:00Z,46.700000,46.270000,46.810000,45.985000,7627419,reg
2025-07-25T00:00:00Z,46.350000,46.690000,46.700000,46.220000,4818987,reg
2025-07-28T00:00:00Z,46.805000,46.080000,46.805000,46.015000,4629319,reg
2025-07-29T00:00:00Z,46.210000,46.450000,46.575000,46.100000,4805547,reg
2025-07-30T00:00:00Z,46.550000,46.280000,46.740000,46.105000,6130110,reg
2025-07-31T00:00:00Z,46.110000,45.330000,46.610000,45.220000,6441402,reg
2025-08-01T00:00:00Z,45.370000,45.510000,45.620000,45.050000,5688153,reg
2025-08-04T00:00:00Z,45.590000,45.740000,45.980000,45.470000,5246948,reg
2025-08-05T00:00:00Z,45.750000,46.545000,46.785000,45.750000,7464835,reg
2025-08-06T00:00:00Z,46.700000,47.110000,47.340000,46.550000,6570950,reg
2025-08-07T00:00:00Z,47.460000,46.110000,47.470000,46.035000,4349343,reg
2025-08-08T00:00:00Z,46.080000,46.185000,46.300000,45.730000,4456272,reg
2025-08-11T00:00:00Z,46.190000,46.690000,46.890000,46.055000,5514551,reg
2025-08-12T00:00:00Z,46.755000,47.200000,47.300000,46.115000,5769005,reg
2025-08-13T00:00:00Z,47.270000,47.650000,47.755000,47.100000,4784154,reg
2025-08-14T00:00:00Z,47.510000,46.860000,47.580000,46.830000,4933107,reg
2025-08-15T00:00:00Z,47.170000,47.080000,47.430000,46.850000,4689796,reg
2025-08-18T00:00:00Z,47.220000,47.360000,47.695400,46.790000,6025418,reg
2025-08-19T00:00:00Z,47.548000,47.810000,47.985000,47.280000,5605072,reg
2025-08-20T00:00:00Z,47.840000,47.610000,48.610000,47.600000,8970335,reg
2025-08-21T00:00:00Z,47.415000,47.680000,47.755000,47.153200,3766023,reg
2025-08-22T00:00:00Z,48.030000,48.960000,49.230000,47.920000,6230642,reg
2025-08-25T00:00:00Z,48.740000,48.390000,48.930000,48.380000,4815760,reg
2025-08-26T00:00:00Z,48.340000,48.645000,48.710000,48.030000,5140261,reg
2025-08-27T00:00:00Z,48.600000,48.610000,49.130000,48.430000,6400462,reg
2025-08-28T00:00:00Z,48.740000,48.750000,48.969000,48.560000,4689092,reg
2025-08-29T00:00:00Z,48.810000,48.810000,49.013600,48.340000,5332842,reg
2025-09-02T00:00:00Z,48.605000,48.480000,49.115000,48.035000,8264908,reg
2025-09-03T00:00:00Z,48.380000,48.120000,48.585000,47.810000,6428260,reg
2025-09-04T00:00:00Z,49.030000,49.970000,50.110000,48.600000,8687561,reg
2025-09-05T00:00:00Z,48.760000,48.570000,48.875000,46.140000,17584733,reg
2025-09-08T00:00:00Z,48.670000,48.750000,49.160000,47.365000,12159255,reg
2025-09-09T00:00:00Z,48.540000,48.070000,49.110000,47.925000,6642229,reg
2025-09-10T00:00:00Z,47.900000,48.520000,48.610000,47.685000,5366971,reg
2025-09-11T00:00:00Z,48.570000,48.900000,49.050000,48.230000,5235286,reg
2025-09-12T00:00:00Z,48.630000,48.400000,48.960000,48.380000,3944926,reg
2025-09-15T00:00:00Z,48.675000,47.600000,48.770000,47.380000,5947276,reg
2025-09-16T00:00:00Z,47.530000,46.570000,47.630000,46.320000,11061706,reg
2025-09-17T00:00:00Z,47.210000,46.620000,47.560000,46.530000,6038375,reg
2025-09-18T00:00:00Z,46.900000,45.460000,47.000000,45.370000,11982598,reg
2025-09-19T00:00:00Z,45.420000,45.850000,46.210000,45.270000,20164417,reg
2025-09-22T00:00:00Z,45.480000,45.380000,45.950000,45.210000,7144194,reg
2025-09-23T00:00:00Z,45.260000,45.280000,45.660000,44.953800,9943074,reg
2025-09-24T00:00:00Z,45.200000,45.390000,45.640000,45.060000,6860867,reg
2025-09-25T00:00:00Z,45.310000,44.890000,45.350000,44.670000,6877297,reg
2025-09-26T00:00:00Z,45.050000,44.870000,45.155000,44.700000,7936383,reg
2025-09-29T00:00:00Z,45.160000,44.600000,45.350000,44.475000,6342257,reg
2025-09-30T00:00:00Z,44.440000,44.970000,44.995000,44.230000,6292223,reg
2025-10-01T00:00:00Z,44.940000,45.090000,45.735000,44.810000,6865524,reg
2025-10-02T00:00:00Z,44.825000,44.570000,44.960000,44.340000,5301838,reg
2025-10-03T00:00:00Z,44.600000,45.110000,45.230000,44.470000,5007687,reg
2025-10-06T00:00:00Z,45.255000,44.450000,45.355000,44.120000,8580376,reg
2025-10-07T00:00:00Z,44.450000,44.230000,44.730000,44.140000,5299339,reg
2025-10-08T00:00:00Z,44.300000,44.930000,44.955000,44.240000,5394642,reg
2025-10-09T00:00:00Z,44.930000,44.040000,45.100000,44.000000,5471551,reg
2025-10-10T00:00:00Z,44.215000,43.880000,44.405000,43.710000,7861385,reg
2025-10-13T00:00:00Z,43.860000,44.070000,44.491000,43.770000,7001726,reg
2025-10-14T00:00:00Z,44.010000,44.770000,44.915000,43.985000,5312315,reg
2025-10-15T00:00:00Z,44.880000,44.560000,45.000000,44.400000,6377657,reg
2025-10-16T00:00:00Z,44.970000,44.055000,44.970000,43.320000,7350460,reg
2025-10-17T00:00:00Z,44.020000,44.340000,44.590000,43.820000,5025420,reg
2025-10-20T00:00:00Z,44.500000,44.760000,44.830000,44.240000,3897706,reg
2025-10-21T00:00:00Z,44.830000,45.760000,45.890000,44.645000,5363667,reg
2025-10-22T00:00:00Z,45.700000,44.930000,45.760000,44.685000,5426457,reg
2025-10-23T00:00:00Z,44.980000,44.670000,45.180000,44.495000,4338139,reg
2025-10-24T00:00:00Z,45.105000,44.660000,45.260700,44.560000,3590597,reg
2025-10-27T00:00:00Z,44.700000,44.160000,44.790000,44.105000,5037981,reg
2025-10-28T00:00:00Z,44.000000,44.070000,44.336500,43.710000,4247000,reg
2025-10-29T00:00:00Z,43.695000,42.500000,43.695000,42.400000,7505171,reg
2025-10-30T00:00:00Z,42.420000,42.480000,42.990000,42.260000,6075154,reg
2025-10-31T00:00:00Z,42.210000,43.010000,43.050000,41.960000,5840549,reg
2025-11-03T00:00:00Z,42.790000,43.000000,43.030000,42.320000,6282726,reg
2025-11-04T00:00:00Z,43.330000,42.850000,43.380000,42.635000,7748337,reg
2025-11-05T00:00:00Z,42.680000,41.930000,42.950000,41.830000,11291412,reg
2025-11-06T00:00:00Z,41.690000,39.980000,41.700000,39.575000,16853728,reg
2025-11-07T00:00:00Z,40.210000,40.510000,40.540000,39.745000,7482055,reg
2025-11-10T00:00:00Z,40.630000,41.410000,41.540000,39.730000,10068516,reg
2025-11-11T00:00:00Z,41.420000,41.340000,41.669800,40.990000,10613591,reg
2025-11-12T00:00:00Z,41.195000,41.280000,42.050000,41.150000,13129704,reg
2025-11-13T00:00:00Z,41.060000,41.620000,41.900500,40.800000,9345679,reg
2025-11-14T00:00:00Z,41.660000,41.080000,41.740000,40.855000,11916800,reg
2025-11-17T00:00:00Z,40.920000,41.330000,41.616500,40.760000,9111613,reg
2025-11-18T00:00:00Z,41.340000,41.320000,41.750000,41.060000,7615250,reg
2025-11-19T00:00:00Z,41.420000,41.370000,41.700000,41.100000,9634709,reg
2025-11-20T00:00:00Z,41.385000,41.020000,41.790000,40.870000,10861186,reg
2025-11-21T00:00:00Z,40.112000,40.730000,40.910000,39.385000,16642982,reg
2025-11-24T00:00:00Z,40.620000,38.910000,40.645000,38.670000,16942004,reg
2025-11-25T00:00:00Z,39.170000,39.060000,39.585000,38.810000,11838827,reg
2025-11-26T00:00:00Z,39.050000,38.750000,39.215000,38.670000,7995220,reg
2025-11-28T00:00:00Z,38.920000,38.980000,39.300000,38.810000,3968507,reg
2025-12-01T00:00:00Z,38.660000,39.150000,39.677500,38.610000,8458103,reg
2025-12-02T00:00:00Z,39.275000,38.960000,39.450000,38.805000,9286820,reg
2025-12-03T00:00:00Z,38.910000,38.850000,39.290000,38.730000,6919423,reg
2025-12-04T00:00:00Z,38.950000,38.800000,39.150000,38.675000,6541075,reg
2025-12-05T00:00:00Z,38.900000,38.720000,38.980000,38.630000,8192385,reg
2025-12-08T00:00:00Z,38.720000,38.410000,38.790000,38.180000,8112894,reg
2025-12-09T00:00:00Z,38.410000,38.440000,38.595000,38.262500,6377664,reg
2025-12-10T00:00:00Z,38.400000,39.190000,39.275000,38.350000,9723262,reg
