begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-07T00:00:00Z,33.490000,33.050000,33.590000,32.973500,11868849,reg
2025-07-08T00:00:00Z,33.110000,33.390000,33.620000,32.980000,11249678,reg
2025-07-09T00:00:00Z,33.430000,33.330000,33.480000,33.160000,9174756,reg
2025-07-10T00:00:00Z,33.280000,33.540000,33.980000,33.212500,9782589,reg
2025-07-11T00:00:00Z,33.400000,34.100000,34.590000,33.280000,27261965,reg
2025-07-14T00:00:00Z,33.940000,33.980000,34.170000,33.645000,15304121,reg
2025-07-15T00:00:00Z,33.920000,33.480000,34.060000,33.450000,16506337,reg
2025-07-16T00:00:00Z,33.590000,33.260000,33.700000,33.120000,11556326,reg
2025-07-17T00:00:00Z,34.370000,34.500000,34.800000,34.040000,28892743,reg
2025-07-18T00:00:00Z,35.335000,34.390000,35.620000,34.240000,24854127,reg
2025-07-21T00:00:00Z,34.740000,34.360000,34.740000,34.270000,12531918,reg
2025-07-22T00:00:00Z,34.840000,35.230000,35.260000,34.680000,20966990,reg
2025-07-23T00:00:00Z,35.290000,34.970000,35.342500,34.910000,32168297,reg
2025-07-24T00:00:00Z,36.370000,35.000000,36.380000,34.940000,34910284,reg
2025-07-25T00:00:00Z,35.380000,35.760000,36.000000,35.040000,31707887,reg
2025-07-28T00:00:00Z,35.760000,35.710000,36.160000,35.510000,21514847,reg
2025-07-29T00:00:00Z,35.990000,35.420000,36.040000,34.680000,42665917,reg
2025-07-30T00:00:00Z,35.485000,35.290000,35.649800,35.125000,12823638,reg
2025-07-31T00:00:00Z,35.100000,35.540000,36.050000,35.010000,26361317,reg
2025-08-01T00:00:00Z,35.270000,35.010000,35.305000,34.655000,19266544,reg
2025-08-04T00:00:00Z,35.100000,35.460000,35.670000,35.070000,13546398,reg
2025-08-05T00:00:00Z,35.500000,35.650000,35.665000,35.325000,11480935,reg
2025-08-06T00:00:00Z,35.620000,36.010000,36.100000,35.510000,12126116,reg
2025-08-07T00:00:00Z,36.105000,35.250000,36.190000,35.170000,14530835,reg
2025-08-08T00:00:00Z,35.400000,35.430000,35.820000,35.310000,10864517,reg
2025-08-11T00:00:00Z,35.430000,35.230000,35.600000,34.892000,14318346,reg
2025-08-12T00:00:00Z,35.490000,35.820000,36.030000,34.860000,20812439,reg
2025-08-13T00:00:00Z,35.975000,36.080000,36.110000,35.660000,21515193,reg
2025-08-14T00:00:00Z,35.920000,36.350000,36.535000,35.730000,23862382,reg
2025-08-15T00:00:00Z,36.425000,36.320000,36.450000,36.005000,17898225,reg
2025-08-18T00:00:00Z,36.150000,35.990000,36.305000,35.720000,19415578,reg
2025-08-19T00:00:00Z,35.960000,36.520000,37.250000,35.960000,42854356,reg
2025-08-20T00:00:00Z,36.460000,35.990000,36.735000,35.965000,16379535,reg
2025-08-21T00:00:00Z,35.870000,35.870000,36.148900,35.700000,9251804,reg
2025-08-22T00:00:00Z,36.130000,34.580000,37.210000,33.580000,81210872,reg
2025-08-25T00:00:00Z,34.790000,32.810000,34.915000,32.280000,64361380,reg
2025-08-26T00:00:00Z,32.310000,32.410000,32.605000,32.040000,34655282,reg
2025-08-27T00:00:00Z,32.280000,32.540000,32.565000,32.074600,25271073,reg
2025-08-28T00:00:00Z,32.790000,32.660000,33.200000,32.510000,19026370,reg
2025-08-29T00:00:00Z,32.590000,32.510000,32.770000,32.260000,13465742,reg
2025-09-02T00:00:00Z,32.160000,32.190000,32.300000,31.960000,10978657,reg
2025-09-03T00:00:00Z,32.150000,32.280000,32.280000,31.910000,18564748,reg
2025-09-04T00:00:00Z,32.230000,32.660000,32.700000,32.050000,10947571,reg
2025-09-05T00:00:00Z,32.610000,32.530000,32.755000,32.170100,9677388,reg
2025-09-08T00:00:00Z,32.500000,32.430000,32.580000,31.995000,16025682,reg
2025-09-09T00:00:00Z,32.370000,32.200000,32.520000,32.190000,9822626,reg
2025-09-10T00:00:00Z,32.070000,32.050000,32.335000,31.800000,8497169,reg
2025-09-11T00:00:00Z,32.030000,32.850000,32.890000,31.960000,10280586,reg
2025-09-12T00:00:00Z,32.740000,32.470000,32.900000,32.450000,9255257,reg
2025-09-15T00:00:00Z,32.560000,32.500000,32.710000,32.180000,7725240,reg
2025-09-16T00:00:00Z,32.590000,32.470000,32.810000,32.410000,12186413,reg
