begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-07T00:00:00Z,69.540000,71.464000,71.980000,69.180000,15802955,reg
2025-07-08T00:00:00Z,72.350000,69.184000,72.800000,68.540000,14203065,reg
2025-07-09T00:00:00Z,69.984000,70.218000,70.786000,68.600000,9510135,reg
2025-07-10T00:00:00Z,69.870000,69.110000,71.494000,69.082000,10666670,reg
2025-07-11T00:00:00Z,68.892000,68.734000,70.388000,68.320760,9370305,reg
2025-07-14T00:00:00Z,69.250000,69.468000,70.906000,68.562000,9783340,reg
2025-07-15T00:00:00Z,69.302000,69.682000,69.804000,67.510020,9357855,reg
2025-07-16T00:00:00Z,70.200000,70.404000,71.698120,69.400000,17872050,reg
2025-07-17T00:00:00Z,70.410000,69.220000,71.716000,68.858000,16708740,reg
2025-07-18T00:00:00Z,69.834000,69.504000,69.956000,67.344000,14002580,reg
2025-07-21T00:00:00Z,68.817000,68.384000,69.178000,67.767000,7811015,reg
2025-07-22T00:00:00Z,68.354000,68.312000,69.376000,66.226000,13154485,reg
2025-07-23T00:00:00Z,67.758000,68.600000,68.688000,66.368000,16121285,reg
2025-07-24T00:00:00Z,68.480000,65.218000,68.480000,65.172000,13282130,reg
2025-07-25T00:00:00Z,67.200000,66.424000,67.966000,65.774000,10329460,reg
2025-07-28T00:00:00Z,67.162000,67.266000,67.964000,66.602000,11330770,reg
2025-07-29T00:00:00Z,67.690000,67.300000,68.992000,65.426000,17518680,reg
2025-07-30T00:00:00Z,67.292000,66.718000,68.160000,65.716000,19931805,reg
2025-07-31T00:00:00Z,78.047000,78.034000,82.667000,76.700000,54420920,reg
2025-08-01T00:00:00Z,76.198000,73.556000,76.852160,73.000000,25252500,reg
2025-08-04T00:00:00Z,73.944000,72.132000,74.288000,70.474000,18932860,reg
2025-08-05T00:00:00Z,73.018000,70.148000,73.898400,69.236000,16757940,reg
2025-08-06T00:00:00Z,70.233000,70.978000,71.484000,69.144000,9941300,reg
2025-08-07T00:00:00Z,72.568000,71.550000,73.674000,70.292000,10903815,reg
2025-08-08T00:00:00Z,71.346000,69.512000,71.446000,68.270020,14104740,reg
2025-08-11T00:00:00Z,69.560000,69.050000,69.880000,67.822000,11316480,reg
2025-08-12T00:00:00Z,70.400000,69.022000,70.900000,67.032000,13729125,reg
2025-08-13T00:00:00Z,69.557000,69.974000,70.298000,68.680000,11648895,reg
2025-08-14T00:00:00Z,69.290000,68.518000,69.774000,68.130000,8760625,reg
2025-08-15T00:00:00Z,68.832000,69.998000,70.307460,67.694000,18267050,reg
2025-08-18T00:00:00Z,70.100000,71.902000,72.700000,69.838000,16236870,reg
2025-08-19T00:00:00Z,71.832000,68.848000,72.227120,68.459000,11943725,reg
2025-08-20T00:00:00Z,65.400000,67.722000,68.307000,63.634000,20441780,reg
2025-08-21T00:00:00Z,67.000000,67.814000,68.291000,66.300000,8045085,reg
2025-08-22T00:00:00Z,68.028000,71.562000,72.571980,67.324000,17380845,reg
2025-08-25T00:00:00Z,70.878000,72.424000,73.676000,70.600000,17437035,reg
2025-08-26T00:00:00Z,72.400000,74.440000,74.480000,71.560000,11604565,reg
2025-08-27T00:00:00Z,74.000000,73.470000,74.796000,73.470000,10362785,reg
2025-08-28T00:00:00Z,73.984000,75.476000,75.476000,73.966000,7490530,reg
2025-08-29T00:00:00Z,75.400000,74.384000,75.708000,73.244000,9184375,reg
2025-09-02T00:00:00Z,72.408000,73.278000,73.862000,70.820000,10699135,reg
2025-09-03T00:00:00Z,73.463000,72.464000,74.316000,71.988680,7353305,reg
2025-09-04T00:00:00Z,72.876000,74.034000,74.408980,71.600000,7041565,reg
2025-09-05T00:00:00Z,75.038000,73.776000,75.500000,71.296000,12226485,reg
2025-09-08T00:00:00Z,74.200000,74.442000,75.664000,72.900020,8489235,reg
2025-09-09T00:00:00Z,74.662000,75.000000,75.237000,73.680000,10183415,reg
2025-09-10T00:00:00Z,75.360000,73.024000,76.378000,72.606000,14767360,reg
2025-09-11T00:00:00Z,73.546000,70.848000,73.546000,70.526000,17540130,reg
2025-09-12T00:00:00Z,70.536000,72.354000,74.108000,69.814000,14386955,reg
2025-09-15T00:00:00Z,72.670000,73.070000,73.890000,72.112000,7370850,reg
2025-09-16T00:00:00Z,73.050000,72.918000,73.416000,71.876000,5893050,reg
2025-09-17T00:00:00Z,73.800000,75.612000,75.950000,73.712000,17454755,reg
2025-09-18T00:00:00Z,76.355000,75.632000,79.392000,75.322000,19427220,reg
2025-09-19T00:00:00Z,76.307000,78.378000,78.600000,76.181000,26904055,reg
2025-09-22T00:00:00Z,77.568000,78.170000,78.586000,76.800000,8509935,reg
2025-09-23T00:00:00Z,78.024000,75.620000,78.890000,75.275000,17139355,reg
2025-09-24T00:00:00Z,75.860000,74.962000,75.957980,73.731000,8197865,reg
2025-09-25T00:00:00Z,72.034000,74.276000,75.700000,71.000000,15373565,reg
2025-09-26T00:00:00Z,74.022000,73.858000,74.600000,72.066000,9667505,reg
2025-09-29T00:00:00Z,74.600000,78.532000,78.986000,74.100000,19666295,reg
2025-09-30T00:00:00Z,77.906000,75.448000,79.126000,74.780000,14893730,reg
2025-10-01T00:00:00Z,77.664000,79.082000,79.778000,75.690000,16502465,reg
2025-10-02T00:00:00Z,80.000000,78.942000,80.200000,77.282960,7981190,reg
2025-10-03T00:00:00Z,79.176000,75.144000,79.349000,74.744000,9686390,reg
