begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-01T00:00:00Z,101.540000,103.900000,104.520000,101.470000,896930,reg
2025-07-02T00:00:00Z,104.150000,104.990000,105.040000,103.160000,670854,reg
2025-07-03T00:00:00Z,104.830000,104.730000,104.900000,103.910000,599589,reg
2025-07-07T00:00:00Z,103.990000,102.930000,104.349300,102.750000,843177,reg
2025-07-08T00:00:00Z,103.830000,105.190000,105.710000,103.560000,1291790,reg
2025-07-09T00:00:00Z,105.780000,104.740000,105.890000,103.800000,1188049,reg
2025-07-10T00:00:00Z,104.680000,105.490000,106.220000,104.500000,883089,reg
2025-07-11T00:00:00Z,103.180000,103.550000,103.665000,102.670000,1198533,reg
2025-07-14T00:00:00Z,102.690000,101.900000,102.875000,101.210000,1022684,reg
2025-07-15T00:00:00Z,102.010000,101.570000,102.120000,101.000000,826532,reg
2025-07-16T00:00:00Z,101.600000,103.180000,103.406800,101.374400,1367800,reg
2025-07-17T00:00:00Z,102.600000,103.160000,103.270000,101.950000,2834027,reg
2025-07-18T00:00:00Z,103.800000,103.250000,104.180000,103.090000,916746,reg
2025-07-21T00:00:00Z,103.050000,102.260000,104.080000,102.095000,1966568,reg
2025-07-22T00:00:00Z,103.630000,105.510000,105.530000,103.480000,1050650,reg
2025-07-23T00:00:00Z,105.950000,106.080000,107.390000,105.190000,1398602,reg
2025-07-24T00:00:00Z,106.790000,105.540000,107.550000,105.480000,1108279,reg
2025-07-25T00:00:00Z,105.680000,107.050000,107.140000,105.300000,862794,reg
2025-07-28T00:00:00Z,104.560000,104.190000,104.880000,103.950000,1025480,reg
2025-07-29T00:00:00Z,103.620000,104.320000,104.390000,103.090000,1506451,reg
2025-07-30T00:00:00Z,103.190000,102.820000,104.090000,102.440000,1168564,reg
2025-07-31T00:00:00Z,99.160000,97.950000,99.510000,97.690000,3071795,reg
2025-08-01T00:00:00Z,98.260000,97.460000,98.490000,97.100000,1740262,reg
2025-08-04T00:00:00Z,96.495000,98.170000,98.680000,96.450100,2439970,reg
2025-08-05T00:00:00Z,101.150000,101.700000,102.640000,100.380000,2217889,reg
2025-08-06T00:00:00Z,105.510000,106.970000,107.220000,105.370000,2837863,reg
2025-08-07T00:00:00Z,106.970000,109.000000,109.270000,106.970000,1793753,reg
2025-08-08T00:00:00Z,108.950000,109.470000,109.820000,108.660000,1049940,reg
2025-08-11T00:00:00Z,110.050000,111.550000,111.650000,109.980000,1549171,reg
2025-08-12T00:00:00Z,111.390000,111.440000,112.350000,111.210000,808136,reg
2025-08-13T00:00:00Z,110.000000,110.970000,111.230000,109.730000,1323573,reg
2025-08-14T00:00:00Z,110.310000,110.710000,110.720000,109.600000,958929,reg
2025-08-15T00:00:00Z,111.500000,110.950000,111.710000,110.490000,712665,reg
2025-08-18T00:00:00Z,109.720000,110.640000,111.100000,109.670000,1391775,reg
2025-08-19T00:00:00Z,112.870000,114.070000,114.390000,112.840000,1441054,reg
2025-08-20T00:00:00Z,114.670000,115.250000,115.780000,114.610000,2036687,reg
2025-08-21T00:00:00Z,114.080000,114.400000,114.760000,113.620000,1214477,reg
2025-08-22T00:00:00Z,114.560000,115.330000,116.410000,114.560000,1066029,reg
2025-08-25T00:00:00Z,114.740000,113.640000,114.780000,113.520000,536745,reg
2025-08-26T00:00:00Z,113.360000,111.160000,113.360000,111.050000,1432611,reg
2025-08-27T00:00:00Z,111.200000,112.030000,112.040000,110.941600,647958,reg
2025-08-28T00:00:00Z,113.260000,112.170000,113.277300,111.870000,719191,reg
2025-08-29T00:00:00Z,110.910000,111.830000,112.225000,110.860000,937904,reg
2025-09-02T00:00:00Z,110.110000,110.700000,110.810000,109.920000,1094464,reg
2025-09-03T00:00:00Z,110.580000,110.020000,110.670000,109.740000,604501,reg
2025-09-04T00:00:00Z,110.100000,109.740000,110.310000,109.425000,717551,reg
2025-09-05T00:00:00Z,109.630000,110.250000,111.190000,109.535000,858911,reg
2025-09-08T00:00:00Z,108.070000,106.400000,108.070000,106.220000,915477,reg
2025-09-09T00:00:00Z,105.610000,104.990000,106.285000,104.790000,1085602,reg
2025-09-10T00:00:00Z,104.370000,104.300000,104.905000,104.130000,769482,reg
2025-09-11T00:00:00Z,103.940000,103.690000,104.450000,103.660000,691158,reg
2025-09-12T00:00:00Z,103.010000,101.720000,103.242700,101.620000,826782,reg
2025-09-15T00:00:00Z,102.180000,100.460000,102.465300,100.270000,1688136,reg
2025-09-16T00:00:00Z,100.840000,100.070000,101.100000,99.930000,2090537,reg
2025-09-17T00:00:00Z,100.160000,99.050000,101.060000,98.970000,2024362,reg
2025-09-18T00:00:00Z,98.730000,98.200000,99.085000,97.980000,1198945,reg
2025-09-19T00:00:00Z,98.240000,97.640000,98.735000,97.580000,1026591,reg
2025-09-22T00:00:00Z,97.000000,95.980000,97.180000,95.940000,1798265,reg
2025-09-23T00:00:00Z,96.770000,96.330000,96.920000,96.000000,1745745,reg
2025-09-24T00:00:00Z,95.330000,95.460000,95.860000,95.120000,2454633,reg
2025-09-25T00:00:00Z,95.940000,93.640000,95.940000,93.620000,2570507,reg
2025-09-26T00:00:00Z,93.540000,94.150000,94.270000,93.420000,1167042,reg
2025-09-29T00:00:00Z,94.910000,95.010000,95.300000,94.490000,1315879,reg
2025-09-30T00:00:00Z,94.770000,95.430000,95.530000,94.570000,899213,reg
2025-10-01T00:00:00Z,97.790000,96.540000,98.130000,95.850000,1533108,reg
2025-10-02T00:00:00Z,96.290000,96.350000,97.080000,96.080000,1009382,reg
2025-10-03T00:00:00Z,96.120000,96.270000,97.340000,96.040000,1329188,reg
2025-10-06T00:00:00Z,95.820000,94.380000,95.830000,94.220000,1841913,reg
2025-10-07T00:00:00Z,95.520000,95.900000,95.920000,94.660000,1582668,reg
2025-10-08T00:00:00Z,95.560000,95.770000,96.170000,94.887000,1144270,reg
2025-10-09T00:00:00Z,95.670000,95.410000,95.780000,94.830000,1303830,reg
2025-10-10T00:00:00Z,96.030000,95.680000,96.620000,95.130000,1590828,reg
2025-10-13T00:00:00Z,95.080000,95.650000,96.219400,94.770000,954844,reg
2025-10-14T00:00:00Z,94.340000,94.810000,95.630000,94.190000,1614870,reg
2025-10-15T00:00:00Z,94.510000,95.220000,95.220000,94.390000,1180962,reg
2025-10-16T00:00:00Z,97.300000,98.670000,99.580000,96.820000,2408009,reg
2025-10-17T00:00:00Z,97.110000,97.630000,97.920000,96.855000,1922726,reg
2025-10-20T00:00:00Z,97.730000,97.970000,98.535000,97.600000,966820,reg
2025-10-21T00:00:00Z,98.455000,97.950000,98.840000,97.600000,1036072,reg
2025-10-22T00:00:00Z,97.500000,97.820000,99.060000,97.370000,1165417,reg
2025-10-23T00:00:00Z,97.460000,96.870000,97.505000,96.670000,1920810,reg
2025-10-24T00:00:00Z,96.780000,96.230000,96.870000,96.090000,980689,reg
2025-10-27T00:00:00Z,95.130000,95.240000,95.915000,94.480000,1398762,reg
2025-10-28T00:00:00Z,94.730000,94.050000,94.880000,94.020000,828143,reg
2025-10-29T00:00:00Z,93.270000,91.710000,93.500000,91.420000,2005728,reg
2025-10-30T00:00:00Z,91.090000,91.000000,91.520000,90.500000,2220987,reg
2025-10-31T00:00:00Z,91.460000,92.090000,92.440000,90.650000,1405616,reg
2025-11-03T00:00:00Z,92.940000,93.460000,93.820000,92.500000,1734419,reg
2025-11-04T00:00:00Z,93.025000,93.060000,93.300000,92.020000,1100941,reg
2025-11-05T00:00:00Z,93.060000,93.900000,94.280000,92.870000,817024,reg
2025-11-06T00:00:00Z,88.790000,87.260000,88.860000,86.570000,2945236,reg
2025-11-07T00:00:00Z,89.160000,90.800000,91.265000,89.160000,2249712,reg
2025-11-10T00:00:00Z,96.870000,95.050000,96.980000,94.640000,4236928,reg
2025-11-11T00:00:00Z,97.040000,97.330000,97.670000,96.530000,3438493,reg
2025-11-12T00:00:00Z,97.230000,96.990000,98.140000,96.880000,1725082,reg
2025-11-13T00:00:00Z,95.420000,96.050000,96.480000,95.340000,1364461,reg
2025-11-14T00:00:00Z,94.930000,94.600000,95.410000,94.019800,1522934,reg
2025-11-17T00:00:00Z,93.820000,92.990000,94.010000,92.730000,1065986,reg
2025-11-18T00:00:00Z,91.370000,91.210000,91.785500,90.780000,1437623,reg
2025-11-19T00:00:00Z,90.450000,88.670000,90.450000,88.670000,1474039,reg
2025-11-20T00:00:00Z,88.720000,88.730000,89.610000,88.540000,1578261,reg
2025-11-21T00:00:00Z,91.050000,92.000000,92.980000,90.910000,1508329,reg
2025-11-24T00:00:00Z,91.610000,90.780000,91.610000,90.137800,1432275,reg
2025-11-25T00:00:00Z,90.950000,91.170000,91.790000,90.815000,1123734,reg
2025-11-26T00:00:00Z,90.380000,90.640000,90.890000,90.380000,820681,reg
2025-11-28T00:00:00Z,91.410000,91.610000,91.940000,91.230000,882681,reg
2025-12-01T00:00:00Z,92.110000,92.350000,92.832100,91.957500,1250033,reg
2025-12-02T00:00:00Z,92.120000,91.760000,92.340000,90.910000,1007633,reg
2025-12-03T00:00:00Z,92.800000,92.060000,94.210000,91.810000,1619665,reg
2025-12-04T00:00:00Z,91.360000,89.490000,93.070000,89.070000,2126244,reg
2025-12-05T00:00:00Z,89.450000,88.460000,90.480000,88.310000,2502141,reg
2025-12-08T00:00:00Z,86.985000,87.940000,88.220000,86.721800,2007721,reg
2025-12-09T00:00:00Z,86.750000,85.400000,86.935000,85.350000,2299572,reg
2025-12-10T00:00:00Z,85.380000,86.070000,86.180000,85.134000,1503169,reg
2025-12-11T00:00:00Z,87.890000,87.790000,88.950000,87.690000,2081249,reg
2025-12-12T00:00:00Z,88.310000,89.090000,89.260000,88.200000,1874072,reg
2025-12-15T00:00:00Z,89.200000,88.920000,89.440000,88.290000,1747811,reg
2025-12-16T00:00:00Z,89.960000,89.390000,90.330000,89.100000,1986627,reg
2025-12-17T00:00:00Z,89.830000,89.800000,90.320000,89.310000,1649593,reg
2025-12-18T00:00:00Z,89.590000,88.390000,90.103200,88.350000,1713961,reg
2025-12-19T00:00:00Z,89.090000,89.160000,89.870000,89.000000,1649075,reg
2025-12-22T00:00:00Z,86.830000,86.870000,87.694900,86.574800,1784245,reg
2025-12-23T00:00:00Z,86.970000,85.420000,87.080000,85.390000,1533143,reg
2025-12-24T00:00:00Z,85.540000,85.660000,85.810000,85.115000,626933,reg
2025-12-26T00:00:00Z,85.770000,86.320000,86.320000,85.530000,884082,reg
2025-12-29T00:00:00Z,85.850000,86.260000,86.810000,85.750000,1847283,reg
2025-12-30T00:00:00Z,85.475000,86.600000,86.940000,85.475000,1365233,reg
2025-12-31T00:00:00Z,86.290000,86.270000,86.740000,86.179600,1050783,reg
2026-01-02T00:00:00Z,86.120000,87.090000,87.285000,85.180100,2063389,reg
2026-01-05T00:00:00Z,85.575000,89.550000,89.910000,85.380000,4304072,reg
2026-01-06T00:00:00Z,88.210000,88.510000,89.220000,88.020000,1913593,reg
2026-01-07T00:00:00Z,86.240000,85.120000,86.590000,84.520000,2055724,reg
2026-01-08T00:00:00Z,85.480000,86.950000,87.380000,85.310000,2250943,reg
2026-01-09T00:00:00Z,87.940000,88.430000,88.460000,87.080000,2385301,reg
2026-01-12T00:00:00Z,89.500000,90.890000,90.910000,89.310000,1928640,reg
2026-01-13T00:00:00Z,91.090000,89.930000,91.220000,89.421700,1262474,reg
2026-01-14T00:00:00Z,90.370000,91.370000,91.680000,90.170000,1351381,reg
2026-01-15T00:00:00Z,89.300000,89.350000,90.300000,88.500000,2040061,reg
2026-01-16T00:00:00Z,89.420000,88.560000,89.550000,88.110000,1464934,reg
2026-01-20T00:00:00Z,87.870000,88.930000,89.150000,86.950000,2436245,reg
2026-01-21T00:00:00Z,90.710000,90.880000,91.164100,89.270000,1995677,reg
2026-01-22T00:00:00Z,90.790000,91.180000,92.180000,90.560000,1791561,reg
2026-01-23T00:00:00Z,90.610000,91.490000,91.510000,90.230000,1828147,reg
2026-01-26T00:00:00Z,90.960000,89.780000,91.360000,89.690000,1985970,reg
2026-01-27T00:00:00Z,89.870000,88.770000,89.895000,88.040000,1901298,reg
2026-01-28T00:00:00Z,90.370000,88.750000,90.870000,88.360000,1335786,reg
2026-01-29T00:00:00Z,90.790000,91.040000,91.310000,89.560000,1936516,reg
2026-01-30T00:00:00Z,92.120000,92.800000,92.910000,91.490000,1589534,reg
2026-02-02T00:00:00Z,91.800000,91.990000,92.140000,90.940100,1303527,reg
2026-02-03T00:00:00Z,91.340000,93.110000,93.525000,91.280000,1240697,reg
2026-02-04T00:00:00Z,95.140000,97.260000,97.741000,95.100000,1905113,reg
2026-02-05T00:00:00Z,97.100000,97.100000,97.290000,96.020000,1502325,reg
2026-02-06T00:00:00Z,96.190000,96.880000,97.280000,95.740000,1433043,reg
2026-02-09T00:00:00Z,96.770000,97.100000,97.100000,95.670000,1778196,reg
2026-02-10T00:00:00Z,98.380000,99.080000,99.440000,97.700000,1041227,reg
2026-02-11T00:00:00Z,99.880000,100.810000,100.810000,99.340000,1464152,reg
2026-02-12T00:00:00Z,101.060000,100.050000,101.250000,99.810000,1615037,reg
2026-02-13T00:00:00Z,100.130000,99.170000,100.150000,98.620000,1161243,reg
2026-02-17T00:00:00Z,97.620000,96.450000,98.050000,96.360000,1564757,reg
2026-02-18T00:00:00Z,95.390000,95.170000,96.050000,94.070000,2655257,reg
2026-02-19T00:00:00Z,96.410000,96.480000,96.935000,95.440000,1271555,reg
2026-02-20T00:00:00Z,99.400000,100.370000,100.490000,98.420000,1430423,reg
2026-02-23T00:00:00Z,99.750000,99.880000,100.700000,99.610000,1040043,reg
2026-02-24T00:00:00Z,100.920000,102.140000,102.735000,100.900000,1621326,reg
2026-02-25T00:00:00Z,88.360000,86.150000,89.320000,85.560000,9490697,reg
2026-02-26T00:00:00Z,86.950000,85.520000,87.240000,85.135000,3401278,reg
2026-02-27T00:00:00Z,87.655000,89.500000,89.725700,87.300000,2383488,reg
2026-03-02T00:00:00Z,86.540000,86.530000,87.230000,85.530000,2373647,reg
2026-03-03T00:00:00Z,82.630000,84.120000,84.670000,82.250000,2839435,reg
2026-03-04T00:00:00Z,84.100000,82.260000,84.140000,80.790000,3012521,reg
2026-03-05T00:00:00Z,81.500000,82.310000,82.520000,81.420000,2069882,reg
2026-03-06T00:00:00Z,81.990000,81.800000,82.812000,81.548700,1431791,reg
2026-03-09T00:00:00Z,81.090000,82.070000,82.410000,80.610000,1632751,reg
