begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-07T00:00:00Z,7.110000,7.200000,7.385000,6.950000,1330004,reg
2025-07-08T00:00:00Z,7.280000,7.470000,7.500000,7.260100,860338,reg
2025-07-09T00:00:00Z,7.620000,7.720000,7.810000,7.540000,1234130,reg
2025-07-10T00:00:00Z,7.700000,8.100000,8.110000,7.610000,1335852,reg
2025-07-11T00:00:00Z,8.050000,8.060000,8.170000,7.760000,1580654,reg
2025-07-14T00:00:00Z,8.110000,8.330000,8.335200,8.070000,987352,reg
2025-07-15T00:00:00Z,8.400000,8.070000,8.450000,8.060000,819274,reg
2025-07-16T00:00:00Z,8.180000,8.580000,8.600000,8.150000,1292020,reg
2025-07-17T00:00:00Z,8.650000,8.880000,8.880000,8.430000,1037821,reg
2025-07-18T00:00:00Z,8.950000,8.880000,9.195000,8.790500,1252722,reg
2025-07-21T00:00:00Z,8.980000,9.950000,10.240000,8.960000,3331427,reg
2025-07-22T00:00:00Z,9.900000,9.640000,10.200000,9.550000,1348577,reg
2025-07-23T00:00:00Z,9.770000,9.910000,9.930000,9.540000,1042343,reg
2025-07-24T00:00:00Z,9.910000,9.720000,10.089900,9.710000,1045335,reg
2025-07-25T00:00:00Z,9.660000,9.760000,9.820400,9.370000,1222478,reg
2025-07-28T00:00:00Z,9.760000,9.680000,9.790000,9.530000,787500,reg
2025-07-29T00:00:00Z,9.680000,9.140000,9.700000,9.020000,1627787,reg
2025-07-30T00:00:00Z,9.150000,9.030000,9.440000,8.940000,861702,reg
2025-07-31T00:00:00Z,9.010000,9.090000,9.400000,9.000000,1218225,reg
2025-08-01T00:00:00Z,8.510000,8.440000,8.830000,7.960100,1599753,reg
2025-08-04T00:00:00Z,8.840000,9.360000,9.410000,8.585000,1270550,reg
2025-08-05T00:00:00Z,9.320000,9.640000,9.940000,9.180000,1303595,reg
2025-08-06T00:00:00Z,9.620000,9.890000,9.910000,9.312300,835870,reg
2025-08-07T00:00:00Z,9.940000,9.990000,10.019600,9.630000,966475,reg
2025-08-08T00:00:00Z,10.020000,9.850000,10.140000,9.670000,1184656,reg
2025-08-11T00:00:00Z,9.820000,10.000000,10.289400,9.780000,1292202,reg
2025-08-12T00:00:00Z,10.130000,10.150000,10.490000,9.900300,1794068,reg
2025-08-13T00:00:00Z,10.190000,9.970000,10.371400,9.915000,1040590,reg
2025-08-14T00:00:00Z,9.690000,9.720000,9.890000,9.553200,884503,reg
2025-08-15T00:00:00Z,9.740000,9.610000,9.750000,9.390000,819620,reg
2025-08-18T00:00:00Z,9.550000,9.750000,10.030000,9.500000,935535,reg
2025-08-19T00:00:00Z,9.740000,9.390000,9.849900,9.385000,682308,reg
2025-08-20T00:00:00Z,9.370000,9.450000,9.560000,9.110000,822868,reg
2025-08-21T00:00:00Z,9.270000,9.820000,9.950000,9.250000,764727,reg
2025-08-22T00:00:00Z,9.830000,10.190000,10.350000,9.795000,1736643,reg
2025-08-25T00:00:00Z,10.160000,9.850000,11.020000,9.795000,2436612,reg
2025-08-26T00:00:00Z,9.830000,9.990000,10.010000,9.590500,1302504,reg
2025-08-27T00:00:00Z,9.950000,9.850000,10.120000,9.820000,882436,reg
2025-08-28T00:00:00Z,9.920000,9.780000,10.300000,9.750000,1550818,reg
2025-08-29T00:00:00Z,9.780000,8.880000,9.850000,8.700000,2054004,reg
2025-09-02T00:00:00Z,8.780000,9.130000,9.265000,8.710000,1007466,reg
2025-09-03T00:00:00Z,9.100000,9.060000,9.300000,8.940000,666836,reg
2025-09-04T00:00:00Z,9.080000,9.230000,9.250000,8.700000,1013471,reg
2025-09-05T00:00:00Z,9.300000,9.220000,9.340200,8.970000,1008618,reg
2025-09-08T00:00:00Z,9.250000,9.390000,9.500000,9.070000,1041730,reg
2025-09-09T00:00:00Z,9.420000,9.770000,9.790000,9.250000,849049,reg
2025-09-10T00:00:00Z,9.800000,9.330000,9.950000,9.260000,1067444,reg
2025-09-11T00:00:00Z,9.320000,9.650000,9.700000,9.260000,900242,reg
2025-09-12T00:00:00Z,9.660000,9.440000,9.690000,9.360000,960841,reg
2025-09-15T00:00:00Z,9.490000,9.550000,9.670000,9.375000,761812,reg
2025-09-16T00:00:00Z,9.590000,9.710000,9.873700,9.425000,988731,reg
2025-09-17T00:00:00Z,9.710000,9.570000,10.040000,9.461700,1404894,reg
2025-09-18T00:00:00Z,9.650000,9.480000,9.810000,9.450000,1221490,reg
2025-09-19T00:00:00Z,9.500000,9.040000,9.589900,9.000000,1966352,reg
2025-09-22T00:00:00Z,9.010000,9.540000,9.610000,8.773200,1316182,reg
2025-09-23T00:00:00Z,9.510000,9.950000,10.390000,9.350000,2504887,reg
2025-09-24T00:00:00Z,10.040000,9.820000,10.190000,9.490000,1366158,reg
2025-09-25T00:00:00Z,9.690000,9.770000,10.300000,9.530000,1632203,reg
2025-09-26T00:00:00Z,9.840000,10.670000,10.760000,9.618300,2054913,reg
2025-09-29T00:00:00Z,11.125000,12.040000,12.140000,10.880000,4544755,reg
2025-09-30T00:00:00Z,11.970000,11.790000,12.000000,11.172300,2541970,reg
2025-10-01T00:00:00Z,11.630000,12.330000,12.699900,11.566600,3097587,reg
2025-10-02T00:00:00Z,12.370000,12.220000,12.451900,11.760100,1427851,reg
2025-10-03T00:00:00Z,12.340000,12.560000,12.760000,12.010000,2337302,reg
2025-10-06T00:00:00Z,12.750000,12.220000,12.760000,12.190000,1266112,reg
2025-10-07T00:00:00Z,12.210000,11.970000,12.430000,11.810000,1663173,reg
2025-10-08T00:00:00Z,12.080000,12.810000,12.940000,11.920000,2132131,reg
2025-10-09T00:00:00Z,12.880000,12.500000,12.920000,12.220000,1221023,reg
2025-10-10T00:00:00Z,12.530000,11.810000,12.650000,11.680000,2167853,reg
2025-10-13T00:00:00Z,12.250000,12.250000,12.750000,12.160200,1590031,reg
2025-10-14T00:00:00Z,12.210000,12.620000,13.090000,12.110000,3021774,reg
2025-10-15T00:00:00Z,12.830000,12.660000,13.055000,12.470000,1702365,reg
2025-10-16T00:00:00Z,12.760000,11.910000,12.840000,11.900000,1725165,reg
2025-10-17T00:00:00Z,11.670000,13.650000,13.860000,11.560000,3794951,reg
2025-10-20T00:00:00Z,14.205000,13.160000,14.300000,12.920000,3044853,reg
2025-10-21T00:00:00Z,13.020000,12.640000,13.100000,12.350000,1618057,reg
2025-10-22T00:00:00Z,12.520000,12.430000,12.630000,11.880000,1241302,reg
2025-10-23T00:00:00Z,12.490000,12.470000,12.760000,12.340000,866001,reg
2025-10-24T00:00:00Z,12.692000,12.380000,12.740000,12.290000,826767,reg
2025-10-27T00:00:00Z,12.600000,12.830000,13.060000,12.440000,1311624,reg
2025-10-28T00:00:00Z,12.700000,12.870000,13.080000,12.410000,863388,reg
2025-10-29T00:00:00Z,13.020000,12.910000,13.740000,12.700200,1695344,reg
2025-10-30T00:00:00Z,13.000000,13.390000,13.500000,12.600000,5849859,reg
2025-10-31T00:00:00Z,13.455000,14.200000,14.430000,13.230000,5325688,reg
2025-11-03T00:00:00Z,14.175000,12.290000,14.200000,12.105000,3954540,reg
2025-11-04T00:00:00Z,12.000000,12.000000,12.530000,11.880000,2205611,reg
2025-11-05T00:00:00Z,11.940000,11.530000,12.045100,11.400000,2123582,reg
2025-11-06T00:00:00Z,11.450000,11.340000,11.700000,11.130000,1480306,reg
2025-11-07T00:00:00Z,10.960000,11.700000,11.730000,10.610000,2208132,reg
2025-11-10T00:00:00Z,11.830000,11.750000,12.890000,11.665000,1819786,reg
2025-11-11T00:00:00Z,11.795000,12.480000,12.850000,11.500100,2004120,reg
2025-11-12T00:00:00Z,12.560000,12.140000,13.150000,12.105000,1470277,reg
2025-11-13T00:00:00Z,11.970000,11.630000,12.420000,11.610000,1786073,reg
2025-11-14T00:00:00Z,11.230000,11.350000,11.870000,11.080000,2051052,reg
2025-11-17T00:00:00Z,11.220000,11.340000,11.571400,11.150000,871391,reg
2025-11-18T00:00:00Z,11.150000,11.410000,11.600000,10.820000,1131467,reg
2025-11-19T00:00:00Z,11.360000,10.930000,11.460000,10.920000,1244815,reg
2025-11-20T00:00:00Z,11.200000,10.880000,11.820000,10.857500,1425301,reg
2025-11-21T00:00:00Z,10.870000,10.680000,11.109900,10.464600,1729366,reg
2025-11-24T00:00:00Z,10.690000,11.750000,11.870000,10.532000,2134101,reg
2025-11-25T00:00:00Z,11.800000,11.880000,12.080000,11.640000,1397726,reg
2025-11-26T00:00:00Z,11.920000,12.100000,12.350000,11.690000,1147136,reg
2025-11-28T00:00:00Z,12.200000,12.650000,12.800000,12.190000,928028,reg
2025-12-01T00:00:00Z,12.420000,12.260000,12.588400,12.190100,1046351,reg
2025-12-02T00:00:00Z,12.300000,12.060000,12.760000,12.040000,1354237,reg
2025-12-03T00:00:00Z,12.190000,11.940000,12.480000,11.920000,1319127,reg
2025-12-04T00:00:00Z,11.910000,12.430000,12.545000,11.800000,1200072,reg
2025-12-05T00:00:00Z,12.460000,12.350000,12.680000,12.010000,1405037,reg
2025-12-08T00:00:00Z,12.450000,13.000000,13.450000,12.420000,3946755,reg
2025-12-09T00:00:00Z,12.970000,12.500000,13.250000,12.355000,1419174,reg
2025-12-10T00:00:00Z,12.480000,12.380000,12.649400,12.190000,1806510,reg
