begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-07T00:00:00Z,28.900000,28.870000,29.450000,28.660000,1282857,reg
2025-07-08T00:00:00Z,29.280000,29.460000,29.690000,28.910000,1566024,reg
2025-07-09T00:00:00Z,29.800000,29.830000,30.370000,29.380000,1475191,reg
2025-07-10T00:00:00Z,30.070000,29.550000,30.185000,29.115000,932948,reg
2025-07-11T00:00:00Z,29.010000,28.230000,29.434600,28.136500,1172045,reg
2025-07-14T00:00:00Z,28.160000,28.480000,28.855000,27.870000,1754484,reg
2025-07-15T00:00:00Z,28.840000,28.280000,29.124200,28.260000,1261307,reg
2025-07-16T00:00:00Z,28.500000,28.450000,28.600000,27.350000,1481389,reg
2025-07-17T00:00:00Z,28.520000,29.140000,29.690000,28.520000,1626852,reg
2025-07-18T00:00:00Z,29.410000,29.520000,30.072500,28.780000,1444667,reg
2025-07-21T00:00:00Z,29.710000,29.140000,30.370000,28.970100,1933970,reg
2025-07-22T00:00:00Z,29.180000,28.780000,29.587800,28.590000,1853380,reg
2025-07-23T00:00:00Z,29.175000,28.820000,29.270000,28.450000,1824603,reg
2025-07-24T00:00:00Z,28.680000,28.740000,29.090000,28.530000,1190564,reg
2025-07-25T00:00:00Z,28.880000,28.800000,29.380000,28.750000,1064473,reg
2025-07-28T00:00:00Z,29.070000,29.150000,29.740000,28.495000,1451743,reg
2025-07-29T00:00:00Z,29.420000,28.460000,29.730000,28.240000,1215911,reg
2025-07-30T00:00:00Z,28.610000,27.800000,28.752100,27.500000,1450915,reg
2025-07-31T00:00:00Z,28.250000,27.860000,28.680000,27.684300,2460773,reg
2025-08-01T00:00:00Z,27.500000,25.740000,27.600000,25.560000,3051779,reg
2025-08-04T00:00:00Z,26.250000,27.010000,27.130000,26.200000,3440008,reg
2025-08-05T00:00:00Z,30.990000,34.810000,35.280000,29.510000,10661062,reg
2025-08-06T00:00:00Z,35.570000,36.470000,37.000000,34.920000,5198567,reg
2025-08-07T00:00:00Z,37.300000,34.330000,37.400000,33.450000,3172198,reg
2025-08-08T00:00:00Z,34.000000,33.050000,34.430000,32.165000,2594041,reg
2025-08-11T00:00:00Z,31.300000,29.560000,31.365000,28.940000,10494265,reg
2025-08-12T00:00:00Z,29.450000,30.050000,30.270000,28.790000,11561797,reg
2025-08-13T00:00:00Z,30.050000,31.750000,31.920000,29.890000,5356520,reg
2025-08-14T00:00:00Z,31.150000,30.540000,31.630000,30.160000,3314906,reg
2025-08-15T00:00:00Z,30.660000,31.040000,31.530000,30.511600,1893864,reg
2025-08-18T00:00:00Z,30.890000,31.700000,31.950000,30.741000,2156083,reg
2025-08-19T00:00:00Z,31.770000,30.890000,31.840000,30.590000,1378411,reg
2025-08-20T00:00:00Z,30.620000,30.210000,30.947800,30.050000,1456136,reg
2025-08-21T00:00:00Z,29.990000,29.990000,30.360000,29.620000,1114938,reg
2025-08-22T00:00:00Z,30.110000,31.530000,31.695000,30.050000,1788506,reg
2025-08-25T00:00:00Z,31.400000,31.080000,31.635000,30.830000,1330433,reg
2025-08-26T00:00:00Z,31.030000,30.780000,31.460000,30.360000,2564427,reg
2025-08-27T00:00:00Z,30.760000,32.360000,32.420000,30.760000,2316596,reg
2025-08-28T00:00:00Z,32.760000,33.360000,33.740000,32.750000,3454103,reg
2025-08-29T00:00:00Z,33.100000,32.620000,33.498500,32.410000,1595709,reg
2025-09-02T00:00:00Z,31.620000,31.870000,32.270000,31.250000,1547728,reg
2025-09-03T00:00:00Z,31.870000,32.040000,32.455000,31.470000,1804015,reg
2025-09-04T00:00:00Z,31.740000,32.120000,32.210000,30.888700,1582951,reg
2025-09-05T00:00:00Z,32.640000,32.760000,33.599900,32.350000,2987718,reg
2025-09-08T00:00:00Z,32.820000,33.310000,33.770000,32.735000,2319717,reg
2025-09-09T00:00:00Z,33.300000,34.320000,34.775000,33.080000,3017814,reg
