begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-08T00:00:00Z,64.560000,65.310000,65.820000,62.925000,433335,reg
2025-07-09T00:00:00Z,65.990000,67.450000,67.810000,65.392000,441056,reg
2025-07-10T00:00:00Z,67.610000,67.340000,68.800000,66.595000,475532,reg
2025-07-11T00:00:00Z,68.250000,68.810000,69.875000,67.640000,294707,reg
2025-07-14T00:00:00Z,68.980000,68.680000,69.280000,67.905000,293229,reg
2025-07-15T00:00:00Z,69.290000,68.330000,69.306000,67.036000,494991,reg
2025-07-16T00:00:00Z,67.785000,69.270000,69.700000,65.972000,487557,reg
2025-07-17T00:00:00Z,69.300000,69.200000,70.000000,67.760000,478013,reg
2025-07-18T00:00:00Z,69.310000,69.170000,69.540000,67.831000,850052,reg
2025-07-21T00:00:00Z,69.960000,68.810000,70.380000,68.430000,525903,reg
2025-07-22T00:00:00Z,68.050000,66.700000,68.190000,65.270000,1129480,reg
2025-07-23T00:00:00Z,67.640000,69.010000,69.180000,65.905000,375644,reg
2025-07-24T00:00:00Z,69.240000,69.000000,69.770000,67.800000,236868,reg
2025-07-25T00:00:00Z,69.330000,73.530000,73.590000,68.950000,701832,reg
2025-07-28T00:00:00Z,73.710000,72.470000,74.240000,72.367200,682441,reg
2025-07-29T00:00:00Z,73.130000,74.100000,75.000000,72.560000,501793,reg
2025-07-30T00:00:00Z,74.140000,75.290000,75.710000,73.920000,527476,reg
2025-07-31T00:00:00Z,75.610000,74.260000,76.180000,73.992500,502762,reg
2025-08-01T00:00:00Z,71.710000,70.170000,72.810000,68.510000,637009,reg
2025-08-04T00:00:00Z,71.710000,72.000000,72.090000,70.495000,391574,reg
2025-08-05T00:00:00Z,73.010000,72.940000,74.840000,71.780000,324721,reg
2025-08-06T00:00:00Z,72.800000,73.070000,73.080000,71.060000,354014,reg
2025-08-07T00:00:00Z,73.400000,71.530000,74.625000,71.300000,241805,reg
2025-08-08T00:00:00Z,71.610000,71.420000,71.740000,69.940000,339305,reg
2025-08-11T00:00:00Z,71.650000,70.880000,71.820000,69.610000,390335,reg
2025-08-12T00:00:00Z,71.560000,75.800000,76.650000,70.930000,866702,reg
2025-08-13T00:00:00Z,83.600000,79.160000,90.000000,77.070000,3150709,reg
2025-08-14T00:00:00Z,78.500000,75.310000,79.350000,74.770000,1186507,reg
2025-08-15T00:00:00Z,75.070000,75.690000,75.820000,73.020000,694114,reg
2025-08-18T00:00:00Z,75.950000,76.170000,76.749900,74.805000,670018,reg
2025-08-19T00:00:00Z,76.430000,75.370000,76.430000,74.548400,508559,reg
2025-08-20T00:00:00Z,74.590000,74.780000,75.120000,72.430000,589067,reg
2025-08-21T00:00:00Z,74.780000,75.790000,75.989900,73.860000,580283,reg
2025-08-22T00:00:00Z,75.980000,76.110000,78.310000,75.110000,352524,reg
2025-08-25T00:00:00Z,76.610000,75.610000,77.653100,75.400000,343525,reg
2025-08-26T00:00:00Z,75.570000,78.560000,78.580000,75.555000,528303,reg
2025-08-27T00:00:00Z,78.360000,77.330000,78.360000,76.570000,301283,reg
2025-08-28T00:00:00Z,77.270000,80.310000,80.522500,77.080000,539746,reg
2025-08-29T00:00:00Z,80.910000,78.440000,80.910000,77.420000,537943,reg
2025-09-02T00:00:00Z,76.520000,76.240000,76.700000,75.400000,335846,reg
2025-09-03T00:00:00Z,76.610000,75.350000,77.275000,75.040000,240882,reg
2025-09-04T00:00:00Z,76.180000,77.390000,77.680000,75.011000,408763,reg
2025-09-05T00:00:00Z,77.650000,74.170000,77.910400,73.140000,593142,reg
2025-09-08T00:00:00Z,74.270000,75.050000,75.361200,73.000000,302109,reg
2025-09-09T00:00:00Z,75.660000,75.910000,76.360000,73.015000,544585,reg
2025-09-10T00:00:00Z,76.550000,77.570000,79.470000,76.550000,433893,reg
2025-09-11T00:00:00Z,78.590000,79.200000,79.420000,77.734000,289712,reg
2025-09-12T00:00:00Z,78.880000,78.670000,79.180000,77.670000,337068,reg
2025-09-15T00:00:00Z,79.280000,79.240000,80.442500,78.554000,295488,reg
2025-09-16T00:00:00Z,78.470000,78.970000,79.075000,77.940000,250499,reg
2025-09-17T00:00:00Z,79.370000,78.820000,81.475000,78.770000,438782,reg
2025-09-18T00:00:00Z,79.850000,81.890000,83.360000,78.180000,443125,reg
2025-09-19T00:00:00Z,82.110000,82.230000,82.682300,80.945000,997818,reg
2025-09-22T00:00:00Z,81.820000,82.510000,83.000000,80.682000,289682,reg
2025-09-23T00:00:00Z,82.390000,81.340000,83.180300,81.120000,279900,reg
2025-09-24T00:00:00Z,82.310000,79.810000,82.870000,79.460000,547159,reg
2025-09-25T00:00:00Z,78.470000,79.280000,80.230000,77.860000,198798,reg
2025-09-26T00:00:00Z,79.500000,83.350000,83.570000,78.935000,418220,reg
2025-09-29T00:00:00Z,83.350000,82.990000,84.150000,82.220000,479752,reg
2025-09-30T00:00:00Z,83.350000,85.750000,86.060000,82.553900,485510,reg
2025-10-01T00:00:00Z,84.820000,82.910000,85.640000,82.330000,593476,reg
2025-10-02T00:00:00Z,83.300000,81.620000,83.810000,81.570000,524391,reg
