begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-08T00:00:00Z,20.920000,19.840000,20.920000,19.675000,1783828,reg
2025-07-09T00:00:00Z,19.850000,19.890000,19.970000,19.620000,1524362,reg
2025-07-10T00:00:00Z,20.100000,19.940000,20.225000,19.835000,1178492,reg
2025-07-11T00:00:00Z,20.180000,20.480000,20.559900,20.040000,1382740,reg
2025-07-14T00:00:00Z,20.470000,20.510000,20.790000,20.415000,1612731,reg
2025-07-15T00:00:00Z,20.650000,20.370000,20.650000,20.050000,1282380,reg
2025-07-16T00:00:00Z,20.410000,20.350000,20.520000,19.910000,1290488,reg
2025-07-17T00:00:00Z,19.980000,20.130000,20.245000,19.710000,1036362,reg
2025-07-18T00:00:00Z,20.230000,19.750000,20.250100,19.700000,1060586,reg
2025-07-21T00:00:00Z,20.250000,20.430000,20.815000,20.170000,1855968,reg
2025-07-22T00:00:00Z,20.750000,20.960000,21.000000,20.570000,3023478,reg
2025-07-23T00:00:00Z,20.760000,20.920000,21.130000,20.720000,2463779,reg
2025-07-24T00:00:00Z,20.660000,20.470000,20.820000,20.190000,901956,reg
2025-07-25T00:00:00Z,20.390000,20.700000,20.720000,20.152800,1683021,reg
2025-07-28T00:00:00Z,20.440000,20.420000,20.520000,20.170000,1247823,reg
2025-07-29T00:00:00Z,20.610000,21.000000,21.010000,20.480000,1189023,reg
2025-07-30T00:00:00Z,20.940000,20.480000,21.240000,20.395000,1755522,reg
2025-07-31T00:00:00Z,20.560000,20.500000,20.850000,20.390000,2443846,reg
2025-08-01T00:00:00Z,20.710000,21.000000,21.820000,20.670000,3707012,reg
2025-08-04T00:00:00Z,21.220000,21.680000,21.861600,21.220000,1619433,reg
2025-08-05T00:00:00Z,21.410000,23.010000,23.120000,21.410000,3735928,reg
2025-08-06T00:00:00Z,23.030000,23.300000,23.390000,22.850000,2076411,reg
2025-08-07T00:00:00Z,23.500000,23.080000,23.580000,23.020000,1660418,reg
2025-08-08T00:00:00Z,23.370000,22.600000,23.460000,22.395000,2058453,reg
2025-08-11T00:00:00Z,21.900000,22.360000,22.540000,21.540000,1226349,reg
