begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-08T00:00:00Z,86.000000,85.560000,86.220000,84.580000,3056325,reg
2025-07-09T00:00:00Z,86.230000,86.610000,87.220000,85.190000,3350746,reg
2025-07-10T00:00:00Z,88.920000,92.100000,92.650000,88.920000,5900765,reg
2025-07-11T00:00:00Z,91.050000,91.080000,91.900000,90.360000,2975996,reg
2025-07-14T00:00:00Z,90.800000,89.590000,90.805000,88.430000,2477754,reg
2025-07-15T00:00:00Z,89.900000,86.100000,90.196700,85.740000,3790855,reg
2025-07-16T00:00:00Z,87.380000,86.400000,87.580000,84.090000,2982557,reg
2025-07-17T00:00:00Z,86.400000,86.560000,86.870000,85.010000,2844295,reg
2025-07-18T00:00:00Z,86.580000,87.210000,87.340000,86.180000,2294032,reg
2025-07-21T00:00:00Z,87.210000,86.040000,87.980000,86.040000,2459723,reg
2025-07-22T00:00:00Z,86.100000,89.000000,89.121800,85.830000,3027470,reg
2025-07-23T00:00:00Z,90.200000,89.680000,90.429900,88.830000,3629883,reg
2025-07-24T00:00:00Z,89.010000,86.770000,90.500000,86.690000,4803740,reg
2025-07-25T00:00:00Z,89.710000,90.400000,90.490000,87.030000,7610750,reg
2025-07-28T00:00:00Z,90.380000,92.520000,93.090000,90.260000,4329809,reg
2025-07-29T00:00:00Z,92.910000,91.400000,93.660000,90.760000,3738845,reg
2025-07-30T00:00:00Z,92.730000,93.660000,94.690000,92.060000,5796230,reg
2025-07-31T00:00:00Z,93.120000,93.340000,95.300000,92.400000,3758327,reg
2025-08-01T00:00:00Z,90.600000,91.040000,91.227000,88.440000,3145608,reg
2025-08-04T00:00:00Z,91.710000,92.500000,93.000000,91.300000,3005976,reg
2025-08-05T00:00:00Z,92.610000,90.920000,93.040000,90.540000,2513407,reg
2025-08-06T00:00:00Z,91.260000,90.150000,91.530000,89.910000,2350519,reg
2025-08-07T00:00:00Z,90.990000,91.220000,91.405000,89.490000,2470607,reg
2025-08-08T00:00:00Z,91.060000,90.690000,92.070000,90.410000,2407570,reg
2025-08-11T00:00:00Z,90.850000,89.140000,91.800000,88.960000,2821480,reg
2025-08-12T00:00:00Z,89.610000,91.700000,92.279700,89.290000,2712842,reg
2025-08-13T00:00:00Z,92.200000,95.260000,95.470000,91.780700,3639697,reg
2025-08-14T00:00:00Z,92.300000,89.500000,92.300000,88.170000,4713716,reg
2025-08-15T00:00:00Z,89.770000,90.970000,91.810000,89.275000,4145233,reg
2025-08-18T00:00:00Z,91.000000,90.740000,92.250000,88.840000,5075545,reg
2025-08-19T00:00:00Z,91.580000,89.870000,91.610000,89.590000,6460906,reg
2025-08-20T00:00:00Z,86.000000,86.570000,89.800000,84.420000,12990273,reg
