begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-09T00:00:00Z,88.980000,88.450000,89.160000,87.570000,293495,reg
2025-07-10T00:00:00Z,88.460000,88.800000,90.120000,88.460000,376993,reg
2025-07-11T00:00:00Z,88.150000,87.620000,88.390000,87.610000,310723,reg
2025-07-14T00:00:00Z,87.260000,87.380000,87.890000,86.630000,309474,reg
2025-07-15T00:00:00Z,88.150000,86.090000,88.150000,85.985000,221992,reg
2025-07-16T00:00:00Z,86.360000,86.700000,86.843900,85.560000,379957,reg
2025-07-17T00:00:00Z,86.910000,89.520000,89.570000,86.910000,377500,reg
2025-07-18T00:00:00Z,89.820000,88.690000,89.820000,88.320100,259142,reg
2025-07-21T00:00:00Z,89.070000,88.590000,89.475000,88.380000,189483,reg
2025-07-22T00:00:00Z,88.550000,90.350000,90.510000,88.385000,230654,reg
2025-07-23T00:00:00Z,91.570000,94.400000,94.715000,90.880000,583801,reg
2025-07-24T00:00:00Z,93.720000,93.020000,94.600000,92.640000,335775,reg
2025-07-25T00:00:00Z,93.310000,94.050000,94.140000,92.360000,281166,reg
2025-07-28T00:00:00Z,94.500000,93.640000,94.500000,93.270000,274634,reg
2025-07-29T00:00:00Z,94.400000,93.580000,94.400000,92.780000,336259,reg
2025-07-30T00:00:00Z,94.010000,92.670000,94.010000,92.035000,230000,reg
2025-07-31T00:00:00Z,91.930000,92.370000,93.480000,91.870000,251655,reg
2025-08-01T00:00:00Z,90.670000,89.200000,91.470000,88.760000,257097,reg
2025-08-04T00:00:00Z,89.680000,91.180000,91.250000,89.490000,373075,reg
2025-08-05T00:00:00Z,91.140000,91.400000,92.030000,90.390000,300765,reg
2025-08-06T00:00:00Z,91.630000,91.130000,91.720000,90.600000,467912,reg
2025-08-07T00:00:00Z,94.840000,94.010000,95.350000,90.515000,833390,reg
2025-08-08T00:00:00Z,95.420000,95.600000,97.022500,94.690000,614758,reg
2025-08-11T00:00:00Z,95.910000,95.390000,96.220000,94.520000,534648,reg
2025-08-12T00:00:00Z,95.790000,98.600000,98.755000,95.500000,410564,reg
2025-08-13T00:00:00Z,98.480000,100.410000,100.440000,98.480000,283540,reg
2025-08-14T00:00:00Z,99.190000,99.130000,99.690000,98.570000,337344,reg
2025-08-15T00:00:00Z,99.620000,98.330000,99.620000,98.100000,237925,reg
2025-08-18T00:00:00Z,98.210000,99.630000,99.730000,98.210000,302651,reg
2025-08-19T00:00:00Z,99.620000,99.860000,100.855000,99.440000,282420,reg
2025-08-20T00:00:00Z,99.780000,97.620000,100.140000,97.185000,273521,reg
2025-08-21T00:00:00Z,97.290000,98.090000,98.130000,97.030000,245833,reg
2025-08-22T00:00:00Z,98.440000,102.010000,102.350000,98.440000,300773,reg
2025-08-25T00:00:00Z,101.720000,101.450000,101.720000,100.895000,305487,reg
2025-08-26T00:00:00Z,101.450000,101.940000,102.250000,101.010000,254498,reg
2025-08-27T00:00:00Z,101.310000,102.350000,102.620000,101.310000,191261,reg
2025-08-28T00:00:00Z,103.000000,102.250000,103.000000,101.600000,233338,reg
2025-08-29T00:00:00Z,102.480000,102.650000,102.740000,101.680000,374530,reg
2025-09-02T00:00:00Z,101.140000,102.250000,102.320000,100.520100,311732,reg
2025-09-03T00:00:00Z,101.740000,101.030000,102.250000,98.460000,584783,reg
2025-09-04T00:00:00Z,101.070000,103.060000,103.060000,100.953600,324256,reg
2025-09-05T00:00:00Z,103.500000,103.850000,104.675000,102.620000,247074,reg
2025-09-08T00:00:00Z,103.780000,104.630000,104.865000,102.400100,285481,reg
2025-09-09T00:00:00Z,104.680000,103.770000,104.680000,103.030000,265474,reg
