begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-09T00:00:00Z,24.680000,24.760000,24.790000,24.310000,1866921,reg
2025-07-10T00:00:00Z,25.000000,25.100000,25.350000,24.820000,2002033,reg
2025-07-11T00:00:00Z,24.650000,24.680000,24.840000,24.460000,2254052,reg
2025-07-14T00:00:00Z,24.545000,24.470000,24.850000,24.295000,1432753,reg
2025-07-15T00:00:00Z,24.750000,24.200000,24.760000,24.170000,1484048,reg
2025-07-16T00:00:00Z,24.230000,24.230000,24.460000,23.720000,1631359,reg
2025-07-17T00:00:00Z,24.060000,24.690000,24.775000,24.060000,1729662,reg
2025-07-18T00:00:00Z,24.780000,24.720000,24.825000,24.480000,1834073,reg
2025-07-21T00:00:00Z,24.960000,24.470000,24.990000,24.430000,1713670,reg
2025-07-22T00:00:00Z,24.500000,24.530000,24.675000,24.290000,1840435,reg
2025-07-23T00:00:00Z,24.680000,24.210000,24.810000,24.090000,3526441,reg
2025-07-24T00:00:00Z,23.850000,23.690000,24.020000,23.390000,2996404,reg
2025-07-25T00:00:00Z,23.810000,23.820000,23.885000,23.510000,1373890,reg
2025-07-28T00:00:00Z,23.790000,23.770000,23.800000,23.540000,1524280,reg
2025-07-29T00:00:00Z,23.850000,23.720000,23.850000,23.505000,3555528,reg
2025-07-30T00:00:00Z,23.670000,23.150000,23.780000,23.090000,2209754,reg
2025-07-31T00:00:00Z,22.630000,23.600000,24.150000,22.630000,3254492,reg
2025-08-01T00:00:00Z,23.040000,23.170000,23.670000,22.730000,3607339,reg
2025-08-04T00:00:00Z,23.260000,23.340000,23.505000,22.950000,1577951,reg
2025-08-05T00:00:00Z,23.580000,23.570000,23.665000,23.220000,1512457,reg
2025-08-06T00:00:00Z,23.470000,23.170000,23.670000,23.000000,1593691,reg
2025-08-07T00:00:00Z,23.600000,23.670000,23.990000,23.475000,1530725,reg
2025-08-08T00:00:00Z,23.820000,23.900000,23.970000,23.600000,1373133,reg
2025-08-11T00:00:00Z,23.940000,23.780000,24.191300,23.725000,1524558,reg
2025-08-12T00:00:00Z,24.040000,24.780000,24.800000,23.950000,994480,reg
2025-08-13T00:00:00Z,24.900000,25.500000,25.505000,24.850000,967510,reg
2025-08-14T00:00:00Z,25.060000,25.220000,25.350000,24.950000,1470526,reg
2025-08-15T00:00:00Z,25.260000,24.940000,25.450000,24.810000,1789318,reg
2025-08-18T00:00:00Z,24.810000,25.010000,25.255000,24.750000,2265358,reg
2025-08-19T00:00:00Z,25.000000,24.970000,25.315000,24.900000,1810213,reg
2025-08-20T00:00:00Z,24.810000,25.050000,25.110000,24.690000,1260114,reg
2025-08-21T00:00:00Z,24.870000,24.990000,25.070000,24.800000,1099193,reg
2025-08-22T00:00:00Z,25.100000,25.910000,26.210000,24.975000,1418795,reg
2025-08-25T00:00:00Z,25.860000,25.670000,25.880000,25.600000,968633,reg
2025-08-26T00:00:00Z,25.640000,25.670000,25.895000,25.530000,1342556,reg
2025-08-27T00:00:00Z,25.620000,25.750000,25.945000,25.480000,1132970,reg
2025-08-28T00:00:00Z,25.940000,25.910000,25.975000,25.570000,1881188,reg
2025-08-29T00:00:00Z,25.930000,25.720000,25.990000,25.610000,1631443,reg
2025-09-02T00:00:00Z,25.190000,25.440000,25.510000,24.970000,1269249,reg
2025-09-03T00:00:00Z,25.400000,25.130000,25.535000,24.980000,1653344,reg
2025-09-04T00:00:00Z,25.150000,25.700000,25.720000,24.440000,4546806,reg
2025-09-05T00:00:00Z,25.850000,26.210000,26.220000,25.790000,3079928,reg
2025-09-08T00:00:00Z,26.200000,26.270000,26.300000,25.940000,2205781,reg
2025-09-09T00:00:00Z,26.170000,25.740000,26.230000,25.740000,1093442,reg
2025-09-10T00:00:00Z,25.740000,25.820000,25.975000,25.732500,1634273,reg
2025-09-11T00:00:00Z,25.840000,26.360000,26.445000,25.780000,1292068,reg
2025-09-12T00:00:00Z,26.200000,26.320000,26.460000,26.110000,1009889,reg
2025-09-15T00:00:00Z,26.350000,26.770000,27.000000,26.320000,1848386,reg
2025-09-16T00:00:00Z,26.880000,26.510000,26.950000,26.255000,1872045,reg
2025-09-17T00:00:00Z,26.760000,26.350000,27.020000,26.125000,1806113,reg
2025-09-18T00:00:00Z,26.610000,26.990000,27.045000,26.340000,2670265,reg
2025-09-19T00:00:00Z,26.960000,26.510000,27.020000,26.240000,6265477,reg
2025-09-22T00:00:00Z,26.420000,26.420000,26.690000,26.410000,2204160,reg
2025-09-23T00:00:00Z,26.400000,25.830000,26.710000,25.810000,1855866,reg
2025-09-24T00:00:00Z,25.950000,25.340000,26.130000,25.260000,1628395,reg
2025-09-25T00:00:00Z,25.100000,24.820000,25.205000,24.750000,1483791,reg
2025-09-26T00:00:00Z,24.820000,24.970000,25.040000,24.610000,1732329,reg
2025-09-29T00:00:00Z,25.120000,24.980000,25.150000,24.860000,1545369,reg
2025-09-30T00:00:00Z,25.000000,25.170000,25.235000,24.815000,1654690,reg
2025-10-01T00:00:00Z,24.990000,25.620000,25.730000,24.940000,1978121,reg
2025-10-02T00:00:00Z,25.710000,26.500000,26.555000,25.620000,2376817,reg
2025-10-03T00:00:00Z,26.500000,26.860000,27.075000,26.490000,2501774,reg
2025-10-06T00:00:00Z,27.180000,27.150000,27.303000,26.850000,1788895,reg
2025-10-07T00:00:00Z,27.290000,26.450000,27.430000,26.190000,1966119,reg
2025-10-08T00:00:00Z,26.600000,26.350000,26.720000,26.300000,1758817,reg
2025-10-09T00:00:00Z,26.400000,25.810000,26.520000,25.800000,1563877,reg
2025-10-10T00:00:00Z,25.860000,23.940000,26.040000,23.920000,3096566,reg
2025-10-13T00:00:00Z,24.550000,25.090000,25.260000,24.220000,2060476,reg
2025-10-14T00:00:00Z,24.770000,25.250000,25.469000,24.695000,1792321,reg
2025-10-15T00:00:00Z,25.550000,25.630000,25.680000,25.050000,2379911,reg
2025-10-16T00:00:00Z,25.840000,25.380000,25.900000,25.210000,1923862,reg
2025-10-17T00:00:00Z,25.340000,25.590000,25.800000,25.070000,1828163,reg
2025-10-20T00:00:00Z,25.760000,26.020000,26.170000,25.710000,1879521,reg
