begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-09T00:00:00Z,43.530000,44.070000,44.070000,43.210000,2458197,reg
2025-07-10T00:00:00Z,44.240000,45.170000,45.305000,43.830000,2005910,reg
2025-07-11T00:00:00Z,45.000000,44.860000,45.410000,44.770000,2063673,reg
2025-07-14T00:00:00Z,44.790000,45.580000,45.900000,44.620800,1776248,reg
2025-07-15T00:00:00Z,45.590000,44.060000,45.845800,44.030000,1959805,reg
2025-07-16T00:00:00Z,44.210000,44.810000,44.850000,44.170000,1615435,reg
2025-07-17T00:00:00Z,44.640000,44.870000,45.520000,44.640000,2249301,reg
2025-07-18T00:00:00Z,45.135000,44.470000,45.135000,44.070000,1772592,reg
2025-07-21T00:00:00Z,44.500000,44.260000,44.910000,44.165000,1796792,reg
2025-07-22T00:00:00Z,44.290000,44.470000,44.840000,43.860000,2286071,reg
2025-07-23T00:00:00Z,44.470000,45.400000,45.500000,44.235000,2353566,reg
2025-07-24T00:00:00Z,45.290000,44.790000,45.750000,44.713200,2191634,reg
2025-07-25T00:00:00Z,45.210000,45.600000,45.720000,44.830000,3573033,reg
2025-07-28T00:00:00Z,45.750000,44.390000,46.430000,44.140000,6615575,reg
2025-07-29T00:00:00Z,38.260000,36.940000,38.500000,36.812500,15744267,reg
2025-07-30T00:00:00Z,37.135000,36.855000,37.980000,36.850000,5148126,reg
2025-07-31T00:00:00Z,36.690000,36.220000,37.670000,36.120000,4879466,reg
2025-08-01T00:00:00Z,36.220000,37.260000,38.090000,35.880100,5806770,reg
2025-08-04T00:00:00Z,37.405000,36.810000,37.580000,36.450000,4383181,reg
2025-08-05T00:00:00Z,36.470000,37.460000,37.580000,36.370000,3806842,reg
2025-08-06T00:00:00Z,37.240000,37.710000,37.740000,36.800000,2718760,reg
2025-08-07T00:00:00Z,37.760000,37.390000,37.810000,37.159600,2654931,reg
2025-08-08T00:00:00Z,37.140000,37.720000,37.910000,37.100000,1906499,reg
2025-08-11T00:00:00Z,37.600000,37.410000,38.120000,37.265000,2117167,reg
2025-08-12T00:00:00Z,37.520000,37.950000,37.980000,37.010000,4284673,reg
2025-08-13T00:00:00Z,38.040000,38.490000,38.780000,37.830000,2539028,reg
2025-08-14T00:00:00Z,38.060000,38.470000,38.745000,38.000000,2181241,reg
2025-08-15T00:00:00Z,38.590000,38.310000,38.780000,37.965000,2370594,reg
2025-08-18T00:00:00Z,38.020000,37.760000,38.645000,37.670000,2228986,reg
2025-08-19T00:00:00Z,37.790000,37.520000,38.200000,37.510000,1899007,reg
2025-08-20T00:00:00Z,37.510000,37.860000,38.049500,37.400000,1610224,reg
2025-08-21T00:00:00Z,37.820000,38.710000,38.770000,37.635000,2428828,reg
2025-08-22T00:00:00Z,38.740000,38.630000,38.850000,38.309200,1509940,reg
2025-08-25T00:00:00Z,38.550000,37.900000,38.600000,37.710000,1548876,reg
2025-08-26T00:00:00Z,38.090000,38.340000,38.420000,38.000000,2525761,reg
2025-08-27T00:00:00Z,38.290000,38.510000,38.950000,38.201400,2505355,reg
2025-08-28T00:00:00Z,38.420000,37.900000,38.565000,37.630000,2245164,reg
2025-08-29T00:00:00Z,37.780000,37.420000,38.000000,37.250000,2590286,reg
2025-09-02T00:00:00Z,37.250000,37.180000,37.870000,36.231000,4089846,reg
2025-09-03T00:00:00Z,37.100000,36.960000,37.600000,36.670000,2799775,reg
2025-09-04T00:00:00Z,37.060000,37.380000,37.670000,36.775000,2272585,reg
2025-09-05T00:00:00Z,37.510000,37.880000,37.930000,37.215000,2524556,reg
2025-09-08T00:00:00Z,37.750000,37.690000,37.755000,37.160000,1884450,reg
2025-09-09T00:00:00Z,37.710000,38.280000,38.380000,36.785000,1807310,reg
2025-09-10T00:00:00Z,38.280000,37.700000,38.500000,37.570000,2550782,reg
2025-09-11T00:00:00Z,37.780000,39.070000,39.090000,37.570000,2620548,reg
2025-09-12T00:00:00Z,38.730000,39.150000,39.270000,38.590000,2475746,reg
2025-09-15T00:00:00Z,39.120000,39.010000,39.170000,38.365000,2333921,reg
2025-09-16T00:00:00Z,39.090000,39.140000,39.570000,38.610000,1718511,reg
2025-09-17T00:00:00Z,39.660000,40.440000,40.780000,39.320000,2664210,reg
2025-09-18T00:00:00Z,40.540000,40.450000,40.590000,39.904300,2750619,reg
2025-09-19T00:00:00Z,40.240000,40.100000,40.548700,39.870000,7751559,reg
2025-09-22T00:00:00Z,40.000000,39.580000,40.660000,39.550000,2062452,reg
2025-09-23T00:00:00Z,39.590000,39.810000,39.960400,39.470000,1460301,reg
2025-09-24T00:00:00Z,39.700000,38.910000,39.990000,38.560000,2014263,reg
2025-09-25T00:00:00Z,38.830000,38.690000,38.910000,38.350000,1770572,reg
2025-09-26T00:00:00Z,38.730000,39.040000,39.240000,38.570000,1638603,reg
2025-09-29T00:00:00Z,39.170000,40.570000,40.600000,39.000000,2533580,reg
2025-09-30T00:00:00Z,40.470000,41.300000,41.600000,40.350000,2171413,reg
2025-10-01T00:00:00Z,41.300000,41.200000,41.780000,40.860000,2528836,reg
2025-10-02T00:00:00Z,41.230000,41.350000,41.400000,40.440100,1876512,reg
2025-10-03T00:00:00Z,41.440000,40.090000,41.450000,40.050000,2211802,reg
2025-10-06T00:00:00Z,40.290000,40.010000,40.430000,39.680000,1905651,reg
2025-10-07T00:00:00Z,40.150000,39.630000,40.200000,38.980000,2064144,reg
2025-10-08T00:00:00Z,39.420000,38.640000,39.480000,38.590000,3129379,reg
2025-10-09T00:00:00Z,38.910000,38.570000,39.090000,38.270000,1680561,reg
2025-10-10T00:00:00Z,38.670000,38.150000,38.707800,37.710000,2933242,reg
2025-10-13T00:00:00Z,38.360000,38.440000,38.790000,37.520000,2227094,reg
2025-10-14T00:00:00Z,38.460000,39.510000,39.895000,38.180000,3135220,reg
2025-10-15T00:00:00Z,39.530000,40.030000,40.540000,39.460000,1887599,reg
2025-10-16T00:00:00Z,39.990000,39.210000,40.050000,39.060000,1907487,reg
2025-10-17T00:00:00Z,39.330000,39.250000,39.595000,38.615000,2188516,reg
2025-10-20T00:00:00Z,35.550000,34.540000,36.170000,33.755000,9439327,reg
2025-10-21T00:00:00Z,35.050000,36.130000,36.130000,34.630000,5647095,reg
2025-10-22T00:00:00Z,36.020000,36.080000,36.450000,35.440000,3102619,reg
2025-10-23T00:00:00Z,36.270000,38.050000,38.330000,36.080000,3861093,reg
2025-10-24T00:00:00Z,38.000000,38.720000,39.145000,37.820000,2429262,reg
2025-10-27T00:00:00Z,39.040000,39.990000,40.020000,38.910000,2268154,reg
2025-10-28T00:00:00Z,40.010000,40.075000,40.625000,39.450000,2012002,reg
2025-10-29T00:00:00Z,40.010000,39.430000,40.245000,39.380000,1892481,reg
2025-10-30T00:00:00Z,39.480000,38.940000,39.755000,38.920000,2209899,reg
2025-10-31T00:00:00Z,38.620000,38.670000,38.960000,38.250000,2112391,reg
2025-11-03T00:00:00Z,37.550000,38.060000,38.410000,36.000000,4529011,reg
2025-11-04T00:00:00Z,37.810000,37.900000,38.900000,37.581900,3474902,reg
2025-11-05T00:00:00Z,40.000000,40.370000,41.545000,38.190000,4959797,reg
2025-11-06T00:00:00Z,40.050000,40.800000,41.212500,40.050000,2936557,reg
2025-11-07T00:00:00Z,40.630000,40.810000,40.830000,39.930000,2321902,reg
2025-11-10T00:00:00Z,41.030000,41.410000,41.540000,39.830000,2627033,reg
2025-11-11T00:00:00Z,41.445000,42.975000,43.220000,41.445000,2860572,reg
2025-11-12T00:00:00Z,42.980000,43.590000,43.680000,42.615000,2440423,reg
2025-11-13T00:00:00Z,43.090000,42.350000,43.720000,42.180000,3087254,reg
2025-11-14T00:00:00Z,41.930000,41.650000,42.590000,41.230000,2571943,reg
2025-11-17T00:00:00Z,41.580000,42.420000,43.160000,41.580000,2336473,reg
2025-11-18T00:00:00Z,41.760000,42.650000,42.735000,41.760000,2036289,reg
2025-11-19T00:00:00Z,42.950000,42.140000,42.990000,41.650000,2195362,reg
2025-11-20T00:00:00Z,42.320000,41.780000,42.500000,41.690000,2318621,reg
2025-11-21T00:00:00Z,42.080000,42.510000,42.860000,41.820000,2811344,reg
2025-11-24T00:00:00Z,42.310000,42.250000,42.999900,42.150000,4519047,reg
2025-11-25T00:00:00Z,42.500000,43.130000,43.590000,42.251000,2885593,reg
2025-11-26T00:00:00Z,43.030000,44.210000,44.435000,42.960000,2086428,reg
2025-11-28T00:00:00Z,44.910000,44.170000,44.910000,44.090000,1528537,reg
2025-12-01T00:00:00Z,43.845000,43.430000,44.110000,43.330000,2477601,reg
2025-12-02T00:00:00Z,43.770000,43.440000,43.975000,43.000000,2244956,reg
2025-12-03T00:00:00Z,43.570000,44.010000,44.480000,43.470000,2729381,reg
2025-12-04T00:00:00Z,43.970000,44.370000,44.790000,43.950000,2055158,reg
2025-12-05T00:00:00Z,44.200000,44.360000,44.590000,43.850000,2193734,reg
2025-12-08T00:00:00Z,44.500000,42.170000,44.590000,41.880000,3667225,reg
2025-12-09T00:00:00Z,42.170000,41.870000,42.730000,41.520000,2890361,reg
2025-12-10T00:00:00Z,42.050000,41.070000,42.360000,41.030000,3239688,reg
2025-12-11T00:00:00Z,41.280000,41.390000,41.790000,40.810000,2794345,reg
2025-12-12T00:00:00Z,41.660000,40.880000,41.790000,40.660000,2569223,reg
2025-12-15T00:00:00Z,41.410000,41.380000,42.090000,41.190000,3070235,reg
2025-12-16T00:00:00Z,41.130000,41.600000,41.770000,40.830000,2213013,reg
2025-12-17T00:00:00Z,41.660000,42.000000,42.035000,41.555000,2117143,reg
2025-12-18T00:00:00Z,41.960000,42.570000,43.110000,41.940000,2220388,reg
2025-12-19T00:00:00Z,42.760000,44.300000,44.550000,42.670000,5242441,reg
2025-12-22T00:00:00Z,44.250000,46.190000,46.245000,44.100000,3017805,reg
2025-12-23T00:00:00Z,46.760000,46.610000,47.240000,45.955000,3055567,reg
2025-12-24T00:00:00Z,46.800000,46.510000,46.999900,46.320000,1079632,reg
2025-12-26T00:00:00Z,46.560000,46.240000,46.940000,45.960000,1537799,reg
2025-12-29T00:00:00Z,45.950000,45.370000,46.290000,45.300000,1825287,reg
2025-12-30T00:00:00Z,45.190000,44.040000,45.410000,44.015000,1814234,reg
2025-12-31T00:00:00Z,43.940000,43.830000,44.220000,43.500700,1757099,reg
2026-01-02T00:00:00Z,43.520000,43.580000,43.725000,43.000000,2489480,reg
2026-01-05T00:00:00Z,42.910000,42.400000,43.460000,41.930000,2916780,reg
2026-01-06T00:00:00Z,42.170000,43.680000,43.930000,42.170000,2381784,reg
2026-01-07T00:00:00Z,44.250000,46.190000,46.310000,44.035000,2543909,reg
2026-01-08T00:00:00Z,45.370000,44.150000,45.840000,43.280000,2728794,reg
2026-01-09T00:00:00Z,44.280000,44.040000,45.420000,43.875000,2830916,reg
2026-01-12T00:00:00Z,42.590000,44.060000,45.060000,42.050000,4143134,reg
2026-01-13T00:00:00Z,44.060000,44.080000,45.050000,43.735000,2082466,reg
2026-01-14T00:00:00Z,44.280000,45.230000,45.335000,44.020000,1722698,reg
2026-01-15T00:00:00Z,45.520000,45.440000,45.770000,45.140000,2268764,reg
2026-01-16T00:00:00Z,45.440000,43.960000,45.520000,43.536400,2898708,reg
2026-01-20T00:00:00Z,43.140000,43.780000,44.280000,43.000000,1662807,reg
2026-01-21T00:00:00Z,43.720000,44.810000,45.408200,43.705000,2007910,reg
2026-01-22T00:00:00Z,45.000000,44.500000,45.040000,44.100000,2202271,reg
2026-01-23T00:00:00Z,44.640000,44.270000,45.365000,44.120000,2117508,reg
2026-01-26T00:00:00Z,44.470000,43.610000,44.975000,43.530000,2263635,reg
2026-01-27T00:00:00Z,43.800000,43.740000,44.850000,43.230000,1925104,reg
2026-01-28T00:00:00Z,43.520000,42.660000,43.610000,42.320000,2330455,reg
2026-01-29T00:00:00Z,42.630000,42.280000,43.290000,41.900000,3116307,reg
2026-01-30T00:00:00Z,42.180000,41.360000,42.500000,40.760000,3436238,reg
2026-02-02T00:00:00Z,42.010000,42.810000,42.830000,40.540000,4146633,reg
2026-02-03T00:00:00Z,42.510000,42.590000,43.540000,42.280000,2393866,reg
2026-02-04T00:00:00Z,42.790000,42.650000,43.410000,42.220000,2608857,reg
2026-02-05T00:00:00Z,42.700000,42.370000,43.700000,42.170000,2381532,reg
2026-02-06T00:00:00Z,42.860000,43.900000,44.200000,42.750000,3364665,reg
2026-02-09T00:00:00Z,43.940000,43.950000,44.150000,43.450000,2184561,reg
2026-02-10T00:00:00Z,43.970000,42.980000,44.280000,42.930000,3252470,reg
2026-02-11T00:00:00Z,43.460000,42.940000,43.825000,40.920000,3954289,reg
2026-02-12T00:00:00Z,42.830000,42.700000,43.515000,42.350000,2556519,reg
2026-02-13T00:00:00Z,42.890000,43.920000,44.050000,42.725000,2055214,reg
2026-02-17T00:00:00Z,43.960000,44.080000,44.670000,43.500000,2977786,reg
2026-02-18T00:00:00Z,44.000000,44.470000,44.640000,43.200000,3268049,reg
2026-02-19T00:00:00Z,44.150000,44.160000,44.650000,43.750000,2766159,reg
2026-02-20T00:00:00Z,44.030000,43.630000,44.290000,43.445000,1959230,reg
2026-02-23T00:00:00Z,43.500000,44.010000,44.490000,43.445000,2362405,reg
2026-02-24T00:00:00Z,43.910000,45.140000,45.275000,43.530000,2877956,reg
2026-02-25T00:00:00Z,45.600000,44.750000,45.870000,44.740000,2255438,reg
2026-02-26T00:00:00Z,44.910000,44.280000,45.010000,44.120000,2714013,reg
2026-02-27T00:00:00Z,43.960000,44.060000,44.880000,43.510000,4840200,reg
2026-03-02T00:00:00Z,42.000000,41.030000,43.250000,39.710000,7825813,reg
2026-03-03T00:00:00Z,40.550000,40.740000,41.200000,40.200000,3472103,reg
2026-03-04T00:00:00Z,41.060000,41.690000,41.830000,40.690000,4254229,reg
2026-03-05T00:00:00Z,41.250000,41.280000,41.350000,40.480100,3438778,reg
2026-03-06T00:00:00Z,40.540000,41.545000,41.620000,40.240000,2713250,reg
2026-03-09T00:00:00Z,41.010000,42.370000,42.465100,40.680000,3167107,reg
2026-03-10T00:00:00Z,42.500000,41.290000,42.665000,41.160000,4073360,reg
2026-03-11T00:00:00Z,41.170000,41.750000,41.830000,41.070000,2280589,reg
2026-03-12T00:00:00Z,41.570000,41.170000,41.570000,40.515000,2785208,reg
2026-03-13T00:00:00Z,41.665000,41.240000,41.745000,40.550000,2235713,reg
2026-03-16T00:00:00Z,41.600000,41.070000,41.635000,40.970000,2258906,reg
2026-03-17T00:00:00Z,41.360000,41.830000,42.130000,41.240000,2379435,reg
2026-03-18T00:00:00Z,41.520000,41.260000,41.880000,41.020000,2220800,reg
2026-03-19T00:00:00Z,40.940000,41.260000,41.620000,40.900000,2095346,reg
2026-03-20T00:00:00Z,41.100000,41.270000,41.720000,40.900000,6698464,reg
2026-03-23T00:00:00Z,41.800000,41.410000,42.200000,41.390000,2614120,reg
2026-03-24T00:00:00Z,41.160000,41.570000,41.859900,40.837500,2540030,reg
2026-03-25T00:00:00Z,42.000000,42.785000,43.480000,41.868100,1832270,reg
2026-03-26T00:00:00Z,42.610000,42.360000,43.205000,42.330000,1703349,reg
2026-03-27T00:00:00Z,42.360000,41.530000,42.700000,41.490000,1762621,reg
2026-03-30T00:00:00Z,41.820000,41.950000,42.245000,41.570000,2103865,reg
2026-03-31T00:00:00Z,42.610000,42.890000,43.165000,42.420000,1926966,reg
2026-04-01T00:00:00Z,43.040000,44.040000,44.185200,42.500100,1872071,reg
2026-04-02T00:00:00Z,43.740000,43.880000,43.910000,43.320000,1664733,reg
2026-04-06T00:00:00Z,43.650000,43.980000,44.160000,43.545000,1723204,reg
2026-04-07T00:00:00Z,43.950000,43.990000,44.450000,43.750000,2386716,reg
2026-04-08T00:00:00Z,44.600000,44.200000,44.719900,43.920000,2629277,reg
2026-04-09T00:00:00Z,44.000000,45.410000,45.557500,43.820000,1813072,reg
2026-04-10T00:00:00Z,45.450000,44.270000,45.450000,43.905000,2945426,reg
2026-04-13T00:00:00Z,44.090000,44.960000,45.000000,43.750000,2224775,reg
2026-04-14T00:00:00Z,45.150000,45.860000,46.028000,45.010000,2533407,reg
2026-04-15T00:00:00Z,45.950000,44.280000,46.100000,44.000000,2187909,reg
2026-04-16T00:00:00Z,44.130000,44.380000,44.690000,43.970000,2069847,reg
2026-04-17T00:00:00Z,45.000000,44.890000,45.431900,44.620000,2496161,reg
2026-04-20T00:00:00Z,44.990000,43.610000,45.250000,43.530000,2045500,reg
2026-04-21T00:00:00Z,44.180000,45.890000,46.000000,44.125000,3498103,reg
2026-04-22T00:00:00Z,46.330000,46.850000,47.470000,45.720000,3533587,reg
2026-04-23T00:00:00Z,46.700000,46.050000,47.270000,45.680000,2418074,reg
2026-04-24T00:00:00Z,46.290000,44.940000,46.650000,44.540000,2342964,reg
2026-04-27T00:00:00Z,44.890000,44.650000,45.820000,44.610000,2103801,reg
2026-04-28T00:00:00Z,44.720000,44.930000,45.540000,44.720000,1984935,reg
2026-04-29T00:00:00Z,44.580000,44.690000,45.185000,44.100000,1857471,reg
2026-04-30T00:00:00Z,45.060000,44.460000,45.415000,44.230000,2153269,reg
2026-05-01T00:00:00Z,44.000000,43.680000,44.300000,43.500000,3955281,reg
2026-05-04T00:00:00Z,43.510000,44.170000,44.320000,43.500000,3144925,reg
2026-05-05T00:00:00Z,44.450000,44.420000,45.210000,44.130000,3563501,reg
