begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-09T00:00:00Z,76.240000,74.190000,76.240000,73.955000,495248,reg
2025-07-10T00:00:00Z,74.750000,75.980000,77.110000,74.650000,495260,reg
2025-07-11T00:00:00Z,75.880000,74.320000,76.225000,74.180000,278817,reg
2025-07-14T00:00:00Z,74.320000,74.460000,74.805000,74.090000,207123,reg
2025-07-15T00:00:00Z,74.660000,72.340000,74.735000,72.300000,245703,reg
2025-07-16T00:00:00Z,72.810000,72.920000,72.980000,71.720000,282442,reg
2025-07-17T00:00:00Z,73.110000,74.060000,74.450000,73.110000,298425,reg
2025-07-18T00:00:00Z,74.500000,72.510000,74.500000,72.250000,258694,reg
2025-07-21T00:00:00Z,72.520000,71.340000,73.048500,71.290000,229468,reg
2025-07-22T00:00:00Z,71.720000,72.660000,72.755000,71.340000,271146,reg
2025-07-23T00:00:00Z,72.790000,72.680000,73.370000,72.250000,218965,reg
2025-07-24T00:00:00Z,72.280000,72.130000,72.895000,71.882100,196301,reg
2025-07-25T00:00:00Z,72.330000,72.230000,72.830000,71.970000,194610,reg
2025-07-28T00:00:00Z,72.230000,71.090000,72.230000,71.000000,291380,reg
2025-07-29T00:00:00Z,71.380000,70.440000,71.525000,70.250000,239296,reg
2025-07-30T00:00:00Z,70.480000,68.830000,70.605000,68.680000,302476,reg
2025-07-31T00:00:00Z,68.140000,68.960000,69.060000,67.690000,543900,reg
2025-08-01T00:00:00Z,67.880000,68.330000,69.785000,63.810000,949090,reg
2025-08-04T00:00:00Z,68.320000,70.580000,70.630000,67.780000,407532,reg
2025-08-05T00:00:00Z,70.630000,71.210000,71.750000,70.450000,278227,reg
2025-08-06T00:00:00Z,71.210000,71.490000,71.820000,70.390000,299775,reg
2025-08-07T00:00:00Z,72.110000,71.270000,72.320000,70.930000,263600,reg
2025-08-08T00:00:00Z,71.180000,70.650000,71.670000,70.545000,189548,reg
2025-08-11T00:00:00Z,70.730000,69.730000,70.930000,69.040000,288105,reg
2025-08-12T00:00:00Z,70.020000,70.930000,70.950000,69.580300,229897,reg
2025-08-13T00:00:00Z,71.020000,72.650000,72.850000,70.312500,261107,reg
2025-08-14T00:00:00Z,71.850000,70.670000,72.080000,70.510000,293705,reg
2025-08-15T00:00:00Z,70.770000,69.250000,70.995000,68.950000,539755,reg
2025-08-18T00:00:00Z,69.060000,69.120000,69.859900,68.580000,742258,reg
2025-08-19T00:00:00Z,69.350000,69.600000,70.050000,69.080000,983263,reg
2025-08-20T00:00:00Z,69.720000,70.030000,70.365000,69.465000,697309,reg
2025-08-21T00:00:00Z,69.540000,70.480000,71.310000,69.015000,580542,reg
2025-08-22T00:00:00Z,71.070000,72.290000,73.090000,70.840000,318857,reg
2025-08-25T00:00:00Z,72.020000,70.810000,72.415000,70.780000,292505,reg
2025-08-26T00:00:00Z,70.710000,71.730000,71.870000,70.710000,487329,reg
2025-08-27T00:00:00Z,71.410000,72.980000,73.250000,71.390000,666926,reg
2025-08-28T00:00:00Z,72.970000,72.230000,72.970000,71.960900,505934,reg
2025-08-29T00:00:00Z,72.640000,71.380000,73.235000,70.980000,357500,reg
2025-09-02T00:00:00Z,71.000000,71.930000,72.590000,71.000000,613195,reg
2025-09-03T00:00:00Z,71.440000,71.850000,72.460000,71.440000,479854,reg
2025-09-04T00:00:00Z,71.880000,72.980000,72.980000,71.105000,393666,reg
2025-09-05T00:00:00Z,73.070000,71.420000,73.550000,71.370000,365189,reg
2025-09-08T00:00:00Z,71.420000,71.000000,71.420000,69.900000,308199,reg
2025-09-09T00:00:00Z,70.860000,69.660000,71.010000,69.540000,423676,reg
2025-09-10T00:00:00Z,69.595000,69.380000,70.220000,68.300000,658820,reg
2025-09-11T00:00:00Z,69.500000,70.950000,71.010000,69.500000,322302,reg
2025-09-12T00:00:00Z,70.860000,70.050000,70.860000,69.925000,254323,reg
2025-09-15T00:00:00Z,70.250000,69.470000,71.030000,69.250100,714164,reg
2025-09-16T00:00:00Z,69.400000,69.670000,70.115000,69.000000,463957,reg
2025-09-17T00:00:00Z,69.660000,68.990000,71.015000,68.760000,373656,reg
2025-09-18T00:00:00Z,69.350000,70.160000,70.740000,69.040000,483236,reg
2025-09-19T00:00:00Z,70.520000,69.340000,70.520000,68.800000,1327997,reg
2025-09-22T00:00:00Z,68.920000,69.980000,70.260000,68.411100,329419,reg
2025-09-23T00:00:00Z,70.260000,68.880000,70.910000,68.700000,392214,reg
2025-09-24T00:00:00Z,68.960000,68.960000,69.465000,68.745000,449882,reg
2025-09-25T00:00:00Z,68.960000,69.310000,69.410000,68.680000,412763,reg
2025-09-26T00:00:00Z,69.460000,69.500000,69.920000,69.165000,285669,reg
2025-09-29T00:00:00Z,69.770000,69.380000,69.820600,69.150000,332170,reg
2025-09-30T00:00:00Z,69.090000,69.480000,69.670000,68.780000,610755,reg
2025-10-01T00:00:00Z,69.300000,69.220000,69.510000,68.560000,286048,reg
2025-10-02T00:00:00Z,69.020000,68.030000,69.260000,67.900000,351824,reg
2025-10-03T00:00:00Z,68.070000,67.100000,68.350000,66.830000,387538,reg
2025-10-06T00:00:00Z,67.370000,67.270000,68.030000,66.698000,379364,reg
2025-10-07T00:00:00Z,67.250000,66.310000,67.535000,66.100000,359516,reg
2025-10-08T00:00:00Z,66.790000,66.600000,67.090000,66.010000,332115,reg
2025-10-09T00:00:00Z,66.250000,65.280000,66.430000,64.960000,260687,reg
2025-10-10T00:00:00Z,65.590000,65.270000,65.785000,64.390000,319583,reg
2025-10-13T00:00:00Z,65.600000,65.860000,65.890000,65.000000,313756,reg
2025-10-14T00:00:00Z,65.480000,66.930000,66.980000,65.320000,294858,reg
2025-10-15T00:00:00Z,66.840000,67.230000,67.690000,66.510000,346458,reg
2025-10-16T00:00:00Z,67.130000,68.250000,68.340000,66.200000,546500,reg
2025-10-17T00:00:00Z,67.990000,67.500000,68.210000,66.680000,378752,reg
2025-10-20T00:00:00Z,67.700000,69.060000,69.110000,67.480000,271389,reg
2025-10-21T00:00:00Z,69.030000,69.920000,69.960000,68.090000,238337,reg
2025-10-22T00:00:00Z,69.920000,69.140000,70.420000,69.080000,268062,reg
2025-10-23T00:00:00Z,69.140000,68.960000,69.500000,68.595000,201220,reg
2025-10-24T00:00:00Z,69.180000,69.310000,69.500000,68.810000,238190,reg
2025-10-27T00:00:00Z,69.300000,67.770000,69.440000,67.660000,362994,reg
2025-10-28T00:00:00Z,67.530000,67.420000,68.083900,67.180000,215990,reg
2025-10-29T00:00:00Z,67.155000,65.410000,67.390000,65.100000,335934,reg
2025-10-30T00:00:00Z,65.410000,66.820000,67.335000,64.990000,910373,reg
2025-10-31T00:00:00Z,67.690000,70.810000,71.180000,65.040000,1129426,reg
2025-11-03T00:00:00Z,71.080000,72.070000,72.645000,70.095000,558306,reg
2025-11-04T00:00:00Z,71.960000,71.700000,73.045000,71.540000,476498,reg
2025-11-05T00:00:00Z,71.940000,73.660000,73.880000,71.790500,360571,reg
2025-11-06T00:00:00Z,73.330000,71.220000,73.330000,71.000000,355434,reg
2025-11-07T00:00:00Z,71.310000,70.570000,72.000000,70.050000,323360,reg
2025-11-10T00:00:00Z,70.880000,70.790000,71.305000,69.970000,308453,reg
2025-11-11T00:00:00Z,70.930000,70.950000,71.500000,70.163500,304323,reg
2025-11-12T00:00:00Z,70.760000,70.210000,71.410000,69.700000,305089,reg
2025-11-13T00:00:00Z,70.040000,69.930000,70.870000,69.450000,351877,reg
2025-11-14T00:00:00Z,69.860000,69.940000,70.490000,68.540000,382940,reg
2025-11-17T00:00:00Z,70.200000,68.890000,71.850000,68.660000,489576,reg
2025-11-18T00:00:00Z,68.790000,68.760000,69.269500,67.770000,449927,reg
2025-11-19T00:00:00Z,68.850000,68.190000,68.870000,67.860000,269149,reg
2025-11-20T00:00:00Z,68.690000,68.570000,69.360000,67.770000,336118,reg
2025-11-21T00:00:00Z,68.680000,70.630000,70.967700,68.465000,367608,reg
2025-11-24T00:00:00Z,70.360000,70.800000,71.480000,69.690000,519813,reg
2025-11-25T00:00:00Z,71.190000,72.400000,72.950000,71.190000,462998,reg
2025-11-26T00:00:00Z,71.950000,72.570000,72.810000,71.870000,319662,reg
2025-11-28T00:00:00Z,72.370000,72.300000,72.640000,72.035000,294008,reg
2025-12-01T00:00:00Z,72.130000,73.120000,73.325000,71.974600,678503,reg
2025-12-02T00:00:00Z,73.260000,73.220000,73.780000,72.355000,413933,reg
2025-12-03T00:00:00Z,73.460000,73.780000,74.325000,73.070000,347556,reg
2025-12-04T00:00:00Z,74.040000,74.250000,75.150000,73.685000,377408,reg
2025-12-05T00:00:00Z,73.580000,73.220000,73.815000,73.010000,358234,reg
2025-12-08T00:00:00Z,73.220000,71.970000,73.504000,71.750000,346477,reg
2025-12-09T00:00:00Z,72.070000,70.920000,72.427000,70.320000,337332,reg
2025-12-10T00:00:00Z,70.940000,71.330000,71.837800,70.582100,467084,reg
2025-12-11T00:00:00Z,71.600000,73.440000,74.120000,71.310000,441974,reg
2025-12-12T00:00:00Z,73.820000,73.630000,75.310000,73.200000,785566,reg
2025-12-15T00:00:00Z,74.620000,74.675000,76.485000,73.285000,600715,reg
2025-12-16T00:00:00Z,74.670000,74.200000,74.820000,73.350000,539448,reg
2025-12-17T00:00:00Z,73.710000,73.690000,75.010000,73.540000,384081,reg
2025-12-18T00:00:00Z,73.890000,73.290000,74.369900,72.890000,496691,reg
2025-12-19T00:00:00Z,72.840000,72.020000,73.859900,71.980000,1056646,reg
2025-12-22T00:00:00Z,72.210000,72.840000,73.540000,72.210000,484087,reg
2025-12-23T00:00:00Z,72.500000,72.130000,72.980000,71.620000,411884,reg
2025-12-24T00:00:00Z,72.130000,71.770000,72.600000,71.520000,181193,reg
2025-12-26T00:00:00Z,71.720000,71.350000,72.520000,70.770000,361961,reg
2025-12-29T00:00:00Z,71.350000,71.220000,72.280000,70.730000,401852,reg
2025-12-30T00:00:00Z,71.140000,70.270000,71.240000,70.180100,188925,reg
2025-12-31T00:00:00Z,70.190000,69.460000,70.265000,69.400000,269815,reg
2026-01-02T00:00:00Z,69.430000,70.150000,70.950000,68.495000,422749,reg
2026-01-05T00:00:00Z,69.910000,73.740000,74.759900,69.640000,464897,reg
2026-01-06T00:00:00Z,73.130000,73.480000,73.740000,72.330000,261028,reg
2026-01-07T00:00:00Z,73.390000,73.430000,74.225000,72.842500,245950,reg
2026-01-08T00:00:00Z,72.950000,75.020000,75.520000,72.914600,301542,reg
2026-01-09T00:00:00Z,74.800000,74.590000,76.500000,74.170000,384236,reg
2026-01-12T00:00:00Z,74.300000,74.360000,75.700000,73.975000,425375,reg
2026-01-13T00:00:00Z,74.300000,72.930000,74.980000,72.780100,323765,reg
2026-01-14T00:00:00Z,72.930000,72.260000,73.245000,72.170000,338584,reg
2026-01-15T00:00:00Z,72.590000,74.350000,74.710000,72.270000,306961,reg
2026-01-16T00:00:00Z,74.320000,74.580000,74.939900,73.906300,309303,reg
2026-01-20T00:00:00Z,73.660000,73.390000,74.700000,73.070000,227826,reg
2026-01-21T00:00:00Z,73.750000,74.930000,75.315000,73.145000,281194,reg
2026-01-22T00:00:00Z,75.080000,75.510000,76.010000,75.080000,207748,reg
2026-01-23T00:00:00Z,75.240000,74.260000,76.210000,74.140000,219460,reg
2026-01-26T00:00:00Z,75.130000,75.310000,76.930000,74.710000,413623,reg
2026-01-27T00:00:00Z,75.010000,74.670000,75.630000,73.696900,216074,reg
2026-01-28T00:00:00Z,74.460000,73.490000,74.465000,72.940000,191564,reg
