begins_at,open_price,close_price,high_price,low_price,volume,session
2025-04-10T00:00:00Z,47.040000,46.010000,47.500000,44.835000,1286074,reg
2025-04-11T00:00:00Z,46.130000,45.650000,46.760000,45.070000,1254653,reg
2025-04-14T00:00:00Z,46.230000,46.040000,47.050000,45.880000,846555,reg
2025-04-15T00:00:00Z,46.130000,46.340000,46.845000,45.960000,803673,reg
2025-04-16T00:00:00Z,46.000000,44.700000,46.200000,44.290000,645257,reg
2025-04-17T00:00:00Z,45.190000,44.570000,45.190000,44.515000,663968,reg
2025-04-21T00:00:00Z,44.170000,43.950000,44.825000,43.326000,1140304,reg
2025-04-22T00:00:00Z,44.140000,44.780000,44.810000,44.000000,1835988,reg
2025-04-23T00:00:00Z,45.620000,45.050000,46.530000,44.830000,1390163,reg
2025-04-24T00:00:00Z,44.700000,45.740000,46.030000,44.560000,778811,reg
2025-04-25T00:00:00Z,45.840000,45.790000,45.950000,45.440000,789407,reg
2025-04-28T00:00:00Z,45.840000,45.920000,46.230000,45.580000,1065087,reg
2025-04-29T00:00:00Z,45.570000,46.030000,46.110000,45.200000,784208,reg
2025-04-30T00:00:00Z,45.790000,46.240000,46.320000,44.625000,1648804,reg
2025-05-01T00:00:00Z,46.130000,45.870000,46.250000,45.350000,1361192,reg
2025-05-02T00:00:00Z,46.280000,46.170000,47.040000,46.100000,1061855,reg
2025-05-05T00:00:00Z,45.430000,45.820000,46.200000,44.350000,1588372,reg
2025-05-06T00:00:00Z,45.160000,45.970000,46.025000,45.160000,873665,reg
2025-05-07T00:00:00Z,46.320000,47.320000,47.420000,46.260000,1508248,reg
2025-05-08T00:00:00Z,47.400000,46.960000,47.830000,46.890000,1364914,reg
2025-05-09T00:00:00Z,47.430000,46.720000,47.430000,46.560000,986053,reg
2025-05-12T00:00:00Z,48.930000,48.720000,49.850000,48.375000,1809173,reg
2025-05-13T00:00:00Z,48.740000,51.080000,51.360000,48.515000,1673864,reg
2025-05-14T00:00:00Z,50.920000,50.540000,51.170000,50.200000,1454093,reg
2025-05-15T00:00:00Z,50.570000,51.310000,51.410000,50.570000,1436435,reg
2025-05-16T00:00:00Z,51.310000,51.850000,51.860000,51.020000,1312133,reg
2025-05-19T00:00:00Z,51.510000,51.670000,51.700000,51.270000,1061771,reg
2025-05-20T00:00:00Z,51.750000,52.160000,52.460000,51.620000,750759,reg
2025-05-21T00:00:00Z,51.710000,50.850000,51.855000,50.650000,1328564,reg
2025-05-22T00:00:00Z,50.850000,50.510000,51.000000,50.230000,1372144,reg
2025-05-23T00:00:00Z,49.930000,50.430000,50.520000,49.822000,893177,reg
2025-05-27T00:00:00Z,50.970000,51.150000,51.205000,50.450000,930162,reg
2025-05-28T00:00:00Z,51.050000,51.500000,51.950000,51.013900,824095,reg
2025-05-29T00:00:00Z,51.570000,50.170000,51.640000,49.610000,1033106,reg
2025-05-30T00:00:00Z,50.000000,50.280000,50.475000,49.750000,6652716,reg
2025-06-02T00:00:00Z,49.870000,50.580000,50.980000,49.740000,1372932,reg
2025-06-03T00:00:00Z,50.600000,50.720000,50.900000,50.135000,741872,reg
2025-06-04T00:00:00Z,50.580000,49.550000,50.880000,49.470000,952196,reg
