begins_at,open_price,close_price,high_price,low_price,volume,session
2025-04-10T00:00:00Z,80.410000,78.170000,80.980000,75.790000,1527213,reg
2025-04-11T00:00:00Z,78.720000,80.190000,81.570000,76.550000,1181157,reg
2025-04-14T00:00:00Z,81.780000,81.240000,82.690000,80.745000,1067378,reg
2025-04-15T00:00:00Z,81.820000,79.260000,82.340000,79.010000,923290,reg
2025-04-16T00:00:00Z,78.630000,76.630000,80.369900,75.570000,1132870,reg
2025-04-17T00:00:00Z,77.630000,77.570000,78.640000,76.440000,782286,reg
2025-04-21T00:00:00Z,77.140000,73.260000,77.140000,72.860000,1105080,reg
2025-04-22T00:00:00Z,73.810000,72.340000,74.375000,72.195000,956233,reg
2025-04-23T00:00:00Z,74.940000,74.120000,77.630000,73.550000,1648975,reg
2025-04-24T00:00:00Z,74.240000,75.120000,76.090000,74.030000,705258,reg
2025-04-25T00:00:00Z,74.980000,74.650000,75.410000,72.537600,748052,reg
2025-04-28T00:00:00Z,74.590000,73.400000,74.940000,72.340000,679476,reg
2025-04-29T00:00:00Z,73.070000,73.910000,74.330000,71.187421,845353,reg
2025-04-30T00:00:00Z,71.690000,73.540000,73.880000,71.400000,1284689,reg
2025-05-01T00:00:00Z,73.760000,72.720000,75.218500,72.640000,950783,reg
2025-05-02T00:00:00Z,73.480000,76.360000,77.320000,73.480000,1946678,reg
2025-05-05T00:00:00Z,74.000000,79.090000,80.620000,73.950000,2995919,reg
2025-05-06T00:00:00Z,78.870000,80.920000,82.049900,78.530000,2274433,reg
2025-05-07T00:00:00Z,81.280000,81.110000,82.130000,80.000000,1214497,reg
2025-05-08T00:00:00Z,81.890000,82.040000,84.200000,81.890000,986496,reg
2025-05-09T00:00:00Z,82.050000,80.470000,83.070000,80.160000,966810,reg
2025-05-12T00:00:00Z,83.470000,79.620000,84.000000,78.875000,1382041,reg
2025-05-13T00:00:00Z,79.715000,77.310000,80.420000,76.720000,1417761,reg
2025-05-14T00:00:00Z,77.050000,78.780000,79.964500,76.040000,1371307,reg
2025-05-15T00:00:00Z,80.000000,83.280000,83.400000,79.675000,1190498,reg
2025-05-16T00:00:00Z,83.850000,87.650000,88.790000,83.500000,1923654,reg
2025-05-19T00:00:00Z,86.000000,87.520000,87.700000,85.075000,1171938,reg
2025-05-20T00:00:00Z,87.110000,89.640000,89.800000,86.170000,1258106,reg
2025-05-21T00:00:00Z,89.000000,85.450000,89.800000,85.110000,1711792,reg
2025-05-22T00:00:00Z,84.530000,84.890000,85.330000,83.870000,1042871,reg
2025-05-23T00:00:00Z,83.570000,84.500000,84.970000,82.995000,924241,reg
2025-05-27T00:00:00Z,86.310000,83.020000,86.310000,81.430000,1371918,reg
2025-05-28T00:00:00Z,81.480000,79.720000,82.700000,78.080000,1395346,reg
2025-05-29T00:00:00Z,80.930000,80.400000,80.930000,79.300000,650325,reg
2025-05-30T00:00:00Z,79.850000,80.160000,80.200000,78.030000,1509566,reg
2025-06-02T00:00:00Z,81.085000,81.060000,81.550000,78.295000,886068,reg
2025-06-03T00:00:00Z,81.310000,81.310000,83.410000,80.020000,1218232,reg
2025-06-04T00:00:00Z,81.220000,81.730000,81.830000,79.850000,771311,reg
2025-06-05T00:00:00Z,81.740000,80.990000,82.750000,80.325000,672381,reg
2025-06-06T00:00:00Z,82.040000,80.410000,83.515000,80.143200,696843,reg
2025-06-09T00:00:00Z,80.610000,77.440000,80.905000,77.075000,858176,reg
2025-06-10T00:00:00Z,77.560000,78.890000,79.100000,76.640000,1111818,reg
