begins_at,open_price,close_price,high_price,low_price,volume,session
2024-08-12T00:00:00Z,73.690000,75.390000,75.440000,73.250000,972324,reg
2024-08-13T00:00:00Z,75.640000,76.500000,76.860000,75.020000,1303463,reg
2024-08-14T00:00:00Z,76.300000,77.210000,77.560000,76.000000,920279,reg
2024-08-15T00:00:00Z,78.270000,77.020000,78.410000,76.520000,657187,reg
2024-08-16T00:00:00Z,77.430000,77.000000,77.660000,76.880000,936206,reg
2024-08-19T00:00:00Z,76.950000,78.810000,78.970000,76.470000,872759,reg
2024-08-20T00:00:00Z,78.960000,79.830000,79.880000,78.720000,947962,reg
2024-08-21T00:00:00Z,78.500000,78.180000,78.700000,77.310000,3808646,reg
2024-08-22T00:00:00Z,78.430000,77.500000,78.850000,77.250000,2130584,reg
2024-08-23T00:00:00Z,77.710000,77.500000,78.110000,77.215000,1857870,reg
2024-08-26T00:00:00Z,78.060000,77.160000,78.060000,77.000000,1030702,reg
2024-08-27T00:00:00Z,77.120000,77.390000,77.780000,76.350000,814259,reg
2024-08-28T00:00:00Z,77.410000,77.250000,77.440000,76.680000,785924,reg
2024-08-29T00:00:00Z,77.210000,77.710000,78.430000,76.830000,849266,reg
2024-08-30T00:00:00Z,77.950000,78.050000,78.160000,77.280000,1217324,reg
2024-09-03T00:00:00Z,77.730000,77.020000,77.980000,76.800000,703873,reg
2024-09-04T00:00:00Z,76.730000,77.540000,78.040000,76.730000,1135894,reg
2024-09-05T00:00:00Z,77.540000,76.420000,77.650000,75.849800,873871,reg
2024-09-06T00:00:00Z,76.370000,75.950000,76.920000,75.085000,966515,reg
2024-09-09T00:00:00Z,76.090000,75.440000,76.370000,75.290000,999623,reg
2024-09-10T00:00:00Z,75.610000,75.650000,76.010000,74.690000,1127467,reg
2024-09-11T00:00:00Z,75.540000,75.270000,75.980000,74.505000,1675080,reg
2024-09-12T00:00:00Z,75.380000,75.300000,76.050000,74.870000,817374,reg
2024-09-13T00:00:00Z,75.760000,75.390000,76.470000,75.010000,1024518,reg
2024-09-16T00:00:00Z,75.600000,77.590000,78.290000,75.370000,1026209,reg
2024-09-17T00:00:00Z,78.350000,78.210000,78.660000,77.680000,1013630,reg
2024-09-18T00:00:00Z,78.550000,77.390000,78.610000,76.980000,947903,reg
2024-09-19T00:00:00Z,78.530000,79.030000,80.060000,78.175000,1028064,reg
2024-09-20T00:00:00Z,78.740000,77.730000,79.290000,76.980000,1581058,reg
2024-09-23T00:00:00Z,77.950000,77.120000,78.180000,76.710000,1078546,reg
2024-09-24T00:00:00Z,77.060000,77.450000,77.590000,76.330000,880320,reg
2024-09-25T00:00:00Z,77.400000,77.070000,77.400000,76.560000,794159,reg
2024-09-26T00:00:00Z,77.260000,77.630000,78.090000,77.260000,622925,reg
2024-09-27T00:00:00Z,78.050000,78.150000,78.860000,77.610000,844575,reg
2024-09-30T00:00:00Z,78.160000,77.430000,78.720000,76.810000,1787186,reg
2024-10-01T00:00:00Z,77.660000,76.130000,77.810000,75.990000,1245651,reg
2024-10-02T00:00:00Z,76.010000,77.000000,77.710000,75.910000,1620827,reg
2024-10-03T00:00:00Z,77.050000,76.430000,77.600000,76.310000,1050996,reg
2024-10-04T00:00:00Z,76.670000,77.140000,77.170000,75.600000,1203538,reg
2024-10-07T00:00:00Z,76.910000,74.390000,77.000000,74.340000,964555,reg
2024-10-08T00:00:00Z,74.930000,75.070000,75.320000,74.470000,717182,reg
2024-10-09T00:00:00Z,74.750000,76.760000,76.830000,74.690000,716077,reg
2024-10-10T00:00:00Z,76.810000,77.270000,77.860000,76.010000,806196,reg
2024-10-11T00:00:00Z,77.220000,78.820000,79.320000,77.220000,1106839,reg
2024-10-14T00:00:00Z,78.780000,79.170000,79.475000,78.750000,433451,reg
2024-10-15T00:00:00Z,79.450000,79.900000,80.330000,79.235000,1025172,reg
2024-10-16T00:00:00Z,79.950000,79.690000,80.270000,79.300000,775599,reg
2024-10-17T00:00:00Z,79.300000,79.820000,79.940000,78.840000,995592,reg
2024-10-18T00:00:00Z,80.090000,80.280000,80.610000,79.660000,698282,reg
2024-10-21T00:00:00Z,79.960000,79.240000,80.250000,79.170000,531165,reg
2024-10-22T00:00:00Z,78.840000,80.180000,80.530000,78.560100,606982,reg
2024-10-23T00:00:00Z,80.010000,79.240000,80.480000,79.160000,724376,reg
2024-10-24T00:00:00Z,78.840000,79.400000,79.982500,78.000000,996620,reg
2024-10-25T00:00:00Z,79.980000,79.150000,80.520000,79.120000,443420,reg
2024-10-28T00:00:00Z,79.740000,80.060000,80.800000,79.350000,1011499,reg
2024-10-29T00:00:00Z,80.080000,80.930000,81.470000,79.915000,755452,reg
2024-10-30T00:00:00Z,80.840000,80.660000,81.880000,80.450000,919625,reg
2024-10-31T00:00:00Z,80.510000,79.840000,81.560000,79.810000,1053185,reg
2024-11-01T00:00:00Z,80.260000,80.650000,81.550000,79.950000,763439,reg
2024-11-04T00:00:00Z,80.610000,80.010000,80.910000,79.720000,804521,reg
2024-11-05T00:00:00Z,79.870000,81.400000,81.704000,79.870000,826731,reg
2024-11-06T00:00:00Z,82.770000,82.860000,84.400000,82.330000,1175288,reg
2024-11-07T00:00:00Z,83.310000,80.540000,85.600000,79.830000,1551352,reg
2024-11-08T00:00:00Z,81.090000,81.450000,82.950000,79.520000,1353317,reg
2024-11-11T00:00:00Z,82.270000,81.410000,82.430000,81.220000,920891,reg
2024-11-12T00:00:00Z,81.150000,80.960000,81.700000,80.375000,878031,reg
2024-11-13T00:00:00Z,80.050000,85.590000,85.650000,80.050000,2839738,reg
2024-11-14T00:00:00Z,85.870000,84.500000,86.655000,83.170000,1613154,reg
2024-11-15T00:00:00Z,84.000000,81.610000,84.350000,81.540000,1445796,reg
2024-11-18T00:00:00Z,81.540000,80.470000,83.150000,80.320000,1024649,reg
2024-11-19T00:00:00Z,79.960000,81.240000,81.410000,79.560000,1183189,reg
2024-11-20T00:00:00Z,81.240000,84.070000,84.070000,81.060000,1190969,reg
2024-11-21T00:00:00Z,84.010000,85.130000,86.240000,83.810000,916833,reg
2024-11-22T00:00:00Z,85.060000,84.170000,85.290000,84.120000,1020235,reg
2024-11-25T00:00:00Z,84.090000,87.890000,88.060000,84.090000,2328940,reg
2024-11-26T00:00:00Z,87.550000,87.570000,88.180000,87.000000,842387,reg
2024-11-27T00:00:00Z,88.070000,88.730000,89.000000,87.260000,1220146,reg
2024-11-29T00:00:00Z,88.610000,88.360000,89.770000,88.190000,643885,reg
2024-12-02T00:00:00Z,88.620000,89.020000,89.125000,87.910000,1829351,reg
2024-12-03T00:00:00Z,88.820000,88.500000,89.420000,87.770000,934892,reg
2024-12-04T00:00:00Z,88.680000,91.590000,93.560000,88.220000,2132795,reg
2024-12-05T00:00:00Z,91.070000,92.820000,93.440000,90.050000,1604527,reg
2024-12-06T00:00:00Z,93.690000,93.890000,94.380000,93.105000,1270098,reg
2024-12-09T00:00:00Z,93.770000,91.140000,94.840000,91.100000,1358429,reg
2024-12-10T00:00:00Z,91.770000,90.470000,91.770000,89.860000,972847,reg
2024-12-11T00:00:00Z,90.990000,93.760000,94.210000,89.290000,1303497,reg
