begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-11T00:00:00Z,113.535000,109.640000,113.810000,109.450000,6116243,reg
2025-07-14T00:00:00Z,109.665000,112.090000,112.185000,109.660000,6380737,reg
2025-07-15T00:00:00Z,110.940000,109.060000,111.490000,108.725000,4938399,reg
2025-07-16T00:00:00Z,108.580000,109.850000,110.720000,108.570000,3958563,reg
2025-07-17T00:00:00Z,109.210000,108.800000,110.150000,108.160000,4275967,reg
2025-07-18T00:00:00Z,109.850000,108.220000,110.900000,108.040000,6628093,reg
2025-07-21T00:00:00Z,108.380000,108.280000,109.380000,107.750000,3573799,reg
2025-07-22T00:00:00Z,108.400000,110.170000,110.970000,108.060000,4487918,reg
2025-07-23T00:00:00Z,110.620000,113.560000,113.890000,110.380000,5228530,reg
2025-07-24T00:00:00Z,113.580000,113.200000,113.700000,112.510000,4103714,reg
2025-07-25T00:00:00Z,114.555000,116.200000,117.600000,114.130000,7680841,reg
2025-07-28T00:00:00Z,113.390000,113.030000,114.750000,112.680000,5370832,reg
2025-07-29T00:00:00Z,112.950000,114.230000,114.405000,112.300000,6278916,reg
2025-07-30T00:00:00Z,114.270000,114.760000,115.750000,113.530000,5826864,reg
2025-07-31T00:00:00Z,113.855000,112.290000,115.540000,111.800000,7883479,reg
2025-08-01T00:00:00Z,112.260000,113.180000,113.810000,111.850000,5016408,reg
2025-08-04T00:00:00Z,113.450000,114.510000,114.570000,113.230000,5634228,reg
2025-08-05T00:00:00Z,113.990000,112.460000,114.500000,112.310000,6132132,reg
2025-08-06T00:00:00Z,111.970000,110.280000,112.250000,110.190000,7446744,reg
2025-08-07T00:00:00Z,110.580000,110.280000,110.670000,108.535100,9190269,reg
2025-08-08T00:00:00Z,115.220000,119.410000,121.380000,114.800000,13115287,reg
2025-08-11T00:00:00Z,119.230000,120.470000,120.610000,118.170800,7952989,reg
2025-08-12T00:00:00Z,120.560000,120.020000,121.830000,119.260000,6085102,reg
2025-08-13T00:00:00Z,120.550000,120.140000,121.120000,119.500000,4928534,reg
2025-08-14T00:00:00Z,119.800000,119.020000,120.500000,118.120000,5461711,reg
2025-08-15T00:00:00Z,118.545000,118.370000,119.019900,117.670000,8859872,reg
2025-08-18T00:00:00Z,118.305000,117.990000,119.370000,117.845000,4476399,reg
