begins_at,open_price,close_price,high_price,low_price,volume,session
2024-06-12T00:00:00Z,143.280000,142.790000,143.608300,142.220000,598910,reg
2024-06-13T00:00:00Z,142.000000,140.910000,142.390000,139.520000,1033576,reg
2024-06-14T00:00:00Z,138.740000,136.700000,138.800000,134.849500,1159285,reg
2024-06-17T00:00:00Z,136.700000,139.900000,140.200000,136.450000,975735,reg
2024-06-18T00:00:00Z,139.930000,139.340000,141.480000,139.310000,777339,reg
2024-06-20T00:00:00Z,139.070000,141.420000,142.130000,139.070000,806757,reg
2024-06-21T00:00:00Z,141.370000,141.430000,141.900000,140.570000,1589464,reg
2024-06-24T00:00:00Z,141.690000,142.050000,142.960000,141.480000,640463,reg
2024-06-25T00:00:00Z,141.590000,139.100000,141.590000,138.920000,641555,reg
2024-06-26T00:00:00Z,138.160000,138.070000,138.552000,137.170000,603110,reg
2024-06-27T00:00:00Z,138.070000,137.400000,138.545000,136.130000,872286,reg
2024-06-28T00:00:00Z,136.890000,138.320000,138.680000,136.580000,1300635,reg
2024-07-01T00:00:00Z,138.320000,133.850000,138.730000,133.810000,1224564,reg
2024-07-02T00:00:00Z,133.650000,135.980000,136.340000,133.380000,1025486,reg
2024-07-03T00:00:00Z,134.930000,133.380000,135.630000,132.350000,645170,reg
2024-07-05T00:00:00Z,132.800000,132.450000,133.100000,130.700000,1439443,reg
2024-07-08T00:00:00Z,132.980000,132.880000,133.930000,132.180000,838810,reg
2024-07-09T00:00:00Z,132.630000,131.040000,132.880000,130.820000,924354,reg
2024-07-10T00:00:00Z,131.560000,132.480000,132.540000,130.620000,757837,reg
2024-07-11T00:00:00Z,133.070000,136.510000,136.580000,133.070000,1163524,reg
2024-07-12T00:00:00Z,137.800000,138.290000,139.040000,136.440000,1017683,reg
2024-07-15T00:00:00Z,137.610000,141.230000,142.150000,137.370000,1402665,reg
2024-07-16T00:00:00Z,141.990000,141.720000,143.200000,140.660000,1392911,reg
2024-07-17T00:00:00Z,141.490000,144.060000,144.160000,141.260000,927863,reg
2024-07-18T00:00:00Z,143.000000,140.260000,144.310000,140.185000,965856,reg
2024-07-19T00:00:00Z,140.620000,138.260000,140.950000,137.430000,3266040,reg
2024-07-22T00:00:00Z,138.830000,138.370000,139.265000,137.130000,1245408,reg
2024-07-23T00:00:00Z,136.000000,137.210000,139.270000,134.390000,2069323,reg
2024-07-24T00:00:00Z,137.040000,135.740000,137.080000,134.710000,1269863,reg
2024-07-25T00:00:00Z,135.530000,137.970000,140.670000,135.480000,1072489,reg
2024-07-26T00:00:00Z,138.500000,141.970000,143.570000,138.305000,988185,reg
2024-07-29T00:00:00Z,141.410000,142.790000,143.385000,140.770000,810073,reg
