begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-14T00:00:00Z,47.820000,52.030000,52.296800,47.360000,35149250,reg
2025-07-15T00:00:00Z,53.000000,50.460000,53.236400,50.200000,21863772,reg
2025-07-16T00:00:00Z,51.000000,51.850000,52.160000,49.400000,22133959,reg
2025-07-17T00:00:00Z,51.720000,49.990000,52.080000,49.680000,21167779,reg
2025-07-18T00:00:00Z,50.670000,50.380000,51.070000,48.500000,22080525,reg
2025-07-21T00:00:00Z,50.215000,47.600000,50.340000,47.540000,26123431,reg
2025-07-22T00:00:00Z,48.010000,50.010000,50.580000,46.930000,24104214,reg
2025-07-23T00:00:00Z,50.000000,58.020000,59.160000,49.800000,81802342,reg
2025-07-24T00:00:00Z,57.600000,57.320000,57.870000,55.600000,26514790,reg
2025-07-25T00:00:00Z,58.160000,57.650000,59.940000,54.300000,46347035,reg
2025-07-28T00:00:00Z,58.740000,58.680000,59.820000,56.530000,22878412,reg
2025-07-29T00:00:00Z,57.600000,60.270000,60.960000,56.100000,35638841,reg
2025-07-30T00:00:00Z,60.660000,65.530000,66.430000,60.590000,55250630,reg
2025-07-31T00:00:00Z,66.290000,66.180000,70.430000,65.880000,38205009,reg
2025-08-01T00:00:00Z,64.570000,62.550000,66.200000,61.690000,26736425,reg
2025-08-04T00:00:00Z,63.805000,63.350000,65.590000,62.300000,37443425,reg
2025-08-05T00:00:00Z,55.295000,55.520000,64.110000,54.700000,105853312,reg
2025-08-06T00:00:00Z,55.630000,51.130000,55.699000,50.220000,46133308,reg
2025-08-07T00:00:00Z,51.760000,51.050000,53.530000,50.250000,32134458,reg
2025-08-08T00:00:00Z,52.055000,51.940000,52.710000,50.422100,23206180,reg
2025-08-11T00:00:00Z,51.304300,49.980000,52.100000,49.560000,27019934,reg
2025-08-12T00:00:00Z,48.725000,47.960000,48.980000,47.250000,30097011,reg
2025-08-13T00:00:00Z,48.590000,48.330000,48.650000,46.760000,19269092,reg
2025-08-14T00:00:00Z,47.388100,47.130000,47.800000,45.280000,24049218,reg
2025-08-15T00:00:00Z,46.020000,46.020000,47.350000,45.340000,18163441,reg
2025-08-18T00:00:00Z,45.220000,45.100000,45.757000,44.550000,21557744,reg
2025-08-19T00:00:00Z,44.780000,42.180000,45.100000,41.920000,22071416,reg
2025-08-20T00:00:00Z,42.490000,43.380000,43.660000,40.930100,24709580,reg
2025-08-21T00:00:00Z,43.260000,43.960000,44.928800,42.980000,27665693,reg
2025-08-22T00:00:00Z,42.905000,44.570000,45.710000,42.630000,28003433,reg
2025-08-25T00:00:00Z,44.440000,42.990000,44.830000,42.970000,17811108,reg
2025-08-26T00:00:00Z,43.500000,45.350000,46.291200,43.100000,29415916,reg
2025-08-27T00:00:00Z,45.320000,44.010000,45.923700,43.990000,19903425,reg
2025-08-28T00:00:00Z,44.450000,44.120000,45.100000,43.800000,17801993,reg
