begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-14T00:00:00Z,24.530000,24.630000,24.700000,24.240000,950471,reg
2025-07-15T00:00:00Z,24.700000,24.000000,24.900000,23.975000,1242746,reg
2025-07-16T00:00:00Z,24.080000,23.890000,24.259900,23.570800,1047035,reg
2025-07-17T00:00:00Z,23.650000,23.660000,24.060000,23.240000,1345395,reg
2025-07-18T00:00:00Z,24.030000,23.560000,24.030000,23.335000,1006314,reg
2025-07-21T00:00:00Z,23.810000,23.580000,24.000000,23.490000,1239817,reg
2025-07-22T00:00:00Z,23.640000,24.450000,24.530000,23.640000,1594543,reg
2025-07-23T00:00:00Z,24.810000,25.290000,25.688400,24.690000,2561318,reg
2025-07-24T00:00:00Z,24.950000,23.990000,25.035000,23.800000,1625798,reg
2025-07-25T00:00:00Z,24.410000,24.590000,24.620000,23.980000,1444447,reg
2025-07-28T00:00:00Z,24.750000,23.560000,24.750000,23.480000,1756301,reg
2025-07-29T00:00:00Z,24.080000,22.950000,24.240000,22.850000,4113926,reg
2025-07-30T00:00:00Z,26.790000,26.020000,28.550000,25.690000,13785878,reg
2025-07-31T00:00:00Z,26.285000,24.330000,26.720000,24.220000,3051834,reg
2025-08-01T00:00:00Z,24.130000,24.050000,24.410000,23.410000,2466625,reg
2025-08-04T00:00:00Z,24.000000,23.770000,24.410000,23.680000,2296242,reg
2025-08-05T00:00:00Z,24.000000,24.240000,24.285000,23.700500,2237385,reg
2025-08-06T00:00:00Z,24.200000,24.220000,24.475000,23.810000,2630876,reg
2025-08-07T00:00:00Z,24.450000,24.090000,24.600000,23.610000,2108546,reg
2025-08-08T00:00:00Z,24.340000,24.220000,24.510000,24.030000,1497168,reg
2025-08-11T00:00:00Z,24.360000,24.160000,24.744200,23.920000,1411105,reg
2025-08-12T00:00:00Z,24.400000,25.590000,25.600000,24.180000,2415314,reg
2025-08-13T00:00:00Z,25.580000,27.440000,27.569900,25.500000,3064336,reg
2025-08-14T00:00:00Z,26.880000,27.560000,27.600000,26.680000,1959724,reg
2025-08-15T00:00:00Z,27.740000,27.400000,27.840000,27.210000,2239835,reg
2025-08-18T00:00:00Z,27.500000,27.680000,27.920000,27.330000,1867640,reg
2025-08-19T00:00:00Z,27.750000,28.000000,28.640000,27.720000,1782643,reg
2025-08-20T00:00:00Z,27.770000,27.290000,28.160000,27.290000,1514710,reg
2025-08-21T00:00:00Z,26.990000,27.060000,27.315000,26.730000,1414060,reg
2025-08-22T00:00:00Z,27.320000,28.700000,28.820000,27.320000,1903552,reg
2025-08-25T00:00:00Z,28.890000,28.850000,28.980000,28.540000,1545803,reg
2025-08-26T00:00:00Z,28.880000,28.720000,29.260000,28.590000,1732756,reg
2025-08-27T00:00:00Z,28.480000,29.170000,29.340000,28.470000,1617142,reg
2025-08-28T00:00:00Z,29.300000,28.820000,29.300000,28.420000,1486703,reg
2025-08-29T00:00:00Z,28.830000,29.120000,29.315000,28.750000,1292111,reg
