begins_at,open_price,close_price,high_price,low_price,volume,session
2025-01-02T00:00:00Z,21.440000,21.470000,21.570000,21.150000,11584474,reg
2025-01-03T00:00:00Z,21.570000,21.820000,21.850000,21.440000,8662335,reg
2025-01-06T00:00:00Z,22.220000,22.850000,23.060000,22.170000,21505809,reg
2025-01-07T00:00:00Z,23.050000,22.280000,23.050000,22.255000,12107317,reg
2025-01-08T00:00:00Z,22.200000,22.030000,22.245000,21.600000,14520696,reg
2025-01-10T00:00:00Z,21.830000,22.080000,22.980000,21.485000,26537178,reg
2025-01-13T00:00:00Z,21.540000,21.980000,22.000000,21.164900,14949517,reg
2025-01-14T00:00:00Z,22.160000,22.540000,22.900000,22.030000,17645926,reg
2025-01-15T00:00:00Z,23.155000,23.300000,23.340000,22.950000,17963010,reg
2025-01-16T00:00:00Z,23.360000,23.410000,23.510000,23.215000,11090328,reg
2025-01-17T00:00:00Z,23.700000,23.140000,23.700000,23.090000,19931066,reg
2025-01-21T00:00:00Z,23.291600,23.700000,23.750000,23.110000,11827734,reg
2025-01-22T00:00:00Z,24.090000,24.420000,24.660000,23.840000,14117350,reg
2025-01-23T00:00:00Z,24.270000,24.360000,24.415000,24.060000,9303011,reg
2025-01-24T00:00:00Z,24.520000,24.370000,24.535000,24.160000,9462797,reg
2025-01-27T00:00:00Z,23.260000,22.950000,23.470000,22.380000,17887154,reg
2025-01-28T00:00:00Z,23.040000,21.460000,23.040000,20.980000,30977945,reg
2025-01-29T00:00:00Z,21.840000,21.660000,22.200000,21.625000,15537158,reg
2025-01-30T00:00:00Z,22.050000,21.190000,22.090000,20.340000,27898782,reg
2025-01-31T00:00:00Z,21.210000,21.190000,21.570000,20.980300,17014981,reg
2025-02-03T00:00:00Z,20.615000,20.460000,20.929200,20.410000,16941501,reg
2025-02-04T00:00:00Z,20.580000,20.830000,20.840000,20.390000,15540306,reg
2025-02-05T00:00:00Z,20.810000,21.360000,21.480000,20.780000,12061969,reg
2025-02-06T00:00:00Z,21.560000,21.360000,21.700000,21.240000,10698771,reg
2025-02-07T00:00:00Z,21.560000,21.270000,21.700000,21.140000,10205107,reg
2025-02-10T00:00:00Z,21.390000,21.430000,21.470000,21.075000,10673524,reg
2025-02-11T00:00:00Z,21.230000,21.180000,21.425000,21.120000,11291808,reg
2025-02-12T00:00:00Z,20.990000,21.090000,21.275000,20.860000,7928736,reg
2025-02-13T00:00:00Z,21.250000,21.280000,21.440000,20.990100,9625142,reg
2025-02-14T00:00:00Z,21.290000,21.710000,21.770000,21.180000,9807677,reg
2025-02-18T00:00:00Z,21.805000,21.780000,21.860000,21.290000,11685609,reg
2025-02-19T00:00:00Z,21.700000,21.850000,21.905000,21.600000,8427664,reg
2025-02-20T00:00:00Z,21.860000,21.740000,21.965000,21.535000,8676091,reg
2025-02-21T00:00:00Z,21.890000,21.140000,21.975000,21.060000,7811931,reg
2025-02-24T00:00:00Z,21.200000,20.750000,21.256000,20.660000,13306189,reg
2025-02-25T00:00:00Z,20.710000,20.290000,20.730000,20.165000,11058337,reg
2025-02-26T00:00:00Z,20.490000,20.370000,20.785000,20.240000,10831274,reg
2025-02-27T00:00:00Z,20.490000,19.840000,20.680000,19.810000,9331118,reg
2025-02-28T00:00:00Z,19.600000,19.810000,20.030000,19.240000,17708384,reg
2025-03-03T00:00:00Z,20.070000,19.030000,20.090000,18.885000,11757942,reg
2025-03-04T00:00:00Z,18.860000,18.840000,19.120000,18.335000,16369009,reg
2025-03-05T00:00:00Z,18.950000,18.890000,19.100000,18.575000,15371857,reg
2025-03-06T00:00:00Z,18.320000,17.960000,18.687619,17.880000,25150007,reg
2025-03-07T00:00:00Z,15.260000,15.810000,16.040000,14.930000,81950791,reg
2025-03-10T00:00:00Z,15.510000,15.080000,15.670000,14.850000,32930185,reg
2025-03-11T00:00:00Z,15.020000,15.340000,15.505000,14.920000,29627190,reg
2025-03-12T00:00:00Z,15.250000,15.090000,15.520000,14.930000,26594023,reg
2025-03-13T00:00:00Z,15.110000,14.770000,15.425000,14.640000,30915037,reg
2025-03-14T00:00:00Z,15.050000,15.620000,15.690000,15.050000,27800090,reg
2025-03-17T00:00:00Z,15.650000,15.840000,15.960000,15.600000,19419633,reg
2025-03-18T00:00:00Z,15.755000,15.930000,16.040000,15.720000,24407557,reg
2025-03-19T00:00:00Z,16.080000,16.340000,16.545000,16.063600,21482790,reg
2025-03-20T00:00:00Z,16.100000,16.230000,16.480000,16.060600,19402563,reg
2025-03-21T00:00:00Z,15.940000,16.050000,16.120000,15.780700,47407446,reg
2025-03-24T00:00:00Z,16.400000,16.480000,16.550000,16.315000,24161705,reg
2025-03-25T00:00:00Z,16.460000,16.520000,16.590000,16.400000,21198202,reg
2025-03-26T00:00:00Z,16.500000,16.070000,16.550000,16.035000,23627957,reg
2025-03-27T00:00:00Z,15.960000,15.940000,16.060000,15.760000,18129288,reg
2025-03-28T00:00:00Z,15.850000,15.790000,15.920000,15.520000,19216397,reg
2025-03-31T00:00:00Z,15.480000,15.430000,15.550000,15.240000,31786496,reg
2025-04-01T00:00:00Z,15.490000,15.640000,15.735000,15.275000,22897492,reg
2025-04-02T00:00:00Z,15.390000,16.120000,16.200000,15.390000,23638201,reg
2025-04-03T00:00:00Z,15.130000,13.680000,15.300000,13.600000,35325817,reg
2025-04-04T00:00:00Z,13.310000,12.790000,13.310000,11.965000,32654968,reg
2025-04-07T00:00:00Z,12.340000,13.330000,14.200000,12.310000,35719925,reg
