begins_at,open_price,close_price,high_price,low_price,volume,session
2025-01-02T00:00:00Z,34.500000,34.830000,35.010000,34.220000,388401,reg
2025-01-03T00:00:00Z,34.910000,34.780000,35.670000,34.600000,358995,reg
2025-01-06T00:00:00Z,34.880000,34.500000,35.030000,34.210000,376560,reg
2025-01-07T00:00:00Z,34.480000,35.180000,36.120000,34.285000,605555,reg
2025-01-08T00:00:00Z,34.970000,34.530000,34.970000,33.890000,360803,reg
2025-01-10T00:00:00Z,33.960000,33.860000,34.320000,33.160000,377608,reg
2025-01-13T00:00:00Z,35.420000,36.450000,37.160000,34.653500,794877,reg
2025-01-14T00:00:00Z,36.830000,36.420000,37.040000,35.840000,429681,reg
2025-01-15T00:00:00Z,36.930000,36.930000,37.330000,35.720000,454008,reg
2025-01-16T00:00:00Z,36.930000,38.540000,38.600000,36.700000,1064596,reg
2025-01-17T00:00:00Z,38.650000,39.050000,39.545000,38.500000,658911,reg
2025-01-21T00:00:00Z,40.000000,40.460000,40.930000,39.650000,844300,reg
2025-01-22T00:00:00Z,40.290000,38.660000,40.500000,38.610000,535565,reg
2025-01-23T00:00:00Z,38.400000,38.010000,38.550000,36.305000,961884,reg
2025-01-24T00:00:00Z,38.000000,38.010000,38.030000,36.460000,650257,reg
2025-01-27T00:00:00Z,38.030000,38.250000,38.874600,37.650000,595255,reg
2025-01-28T00:00:00Z,38.260000,38.420000,39.240400,37.940000,519661,reg
2025-01-29T00:00:00Z,38.430000,38.820000,39.360000,37.900000,380280,reg
2025-01-30T00:00:00Z,39.060000,39.540000,39.921500,38.710000,380281,reg
2025-01-31T00:00:00Z,39.700000,38.770000,39.700000,38.450000,463021,reg
2025-02-03T00:00:00Z,37.880000,38.700000,39.110000,37.685000,536581,reg
2025-02-04T00:00:00Z,38.760000,38.980000,39.130000,38.071000,482729,reg
2025-02-05T00:00:00Z,39.220000,39.360000,40.000000,38.975000,395090,reg
2025-02-06T00:00:00Z,39.350000,38.780000,39.570000,38.630000,455662,reg
2025-02-07T00:00:00Z,38.680000,37.450000,38.860000,37.280000,346231,reg
2025-02-10T00:00:00Z,37.760000,37.990000,38.145000,37.367700,678156,reg
2025-02-11T00:00:00Z,38.620000,37.740000,38.665000,37.030000,701432,reg
2025-02-12T00:00:00Z,37.340000,37.840000,38.790000,37.280100,592011,reg
2025-02-13T00:00:00Z,38.490000,39.075000,39.900000,37.950000,608033,reg
2025-02-14T00:00:00Z,39.000000,38.980000,39.910000,38.830000,415183,reg
2025-02-18T00:00:00Z,39.100000,39.090000,39.500000,38.152900,588379,reg
2025-02-19T00:00:00Z,36.820000,35.320000,37.055000,35.005000,1147419,reg
2025-02-20T00:00:00Z,35.150000,34.890000,35.405000,34.280000,911259,reg
2025-02-21T00:00:00Z,35.140000,34.560000,35.300000,33.965000,667803,reg
2025-02-24T00:00:00Z,34.850000,34.180000,35.429900,33.990000,801054,reg
2025-02-25T00:00:00Z,34.630000,36.970000,37.430000,34.120000,1424555,reg
2025-02-26T00:00:00Z,36.030000,33.470000,36.760000,32.805000,1289012,reg
2025-02-27T00:00:00Z,33.550000,32.750000,33.780000,32.615000,764179,reg
2025-02-28T00:00:00Z,32.570000,33.850000,34.140000,31.830000,1033155,reg
2025-03-03T00:00:00Z,33.690000,32.180000,33.700000,32.090000,747591,reg
2025-03-04T00:00:00Z,32.020000,32.610000,33.650000,31.730000,679520,reg
2025-03-05T00:00:00Z,32.780000,33.740000,34.160000,32.700000,522882,reg
2025-03-06T00:00:00Z,33.360000,33.710000,33.870000,33.115000,471595,reg
2025-03-07T00:00:00Z,33.900000,33.670000,34.630000,33.564400,781393,reg
2025-03-10T00:00:00Z,33.330000,34.430000,35.100000,33.224300,550136,reg
2025-03-11T00:00:00Z,34.320000,33.650000,34.510000,33.430000,640999,reg
2025-03-12T00:00:00Z,34.130000,33.600000,34.410000,33.320000,631574,reg
2025-03-13T00:00:00Z,33.530000,32.720000,34.000000,32.665000,399182,reg
2025-03-14T00:00:00Z,32.820000,32.720000,33.050000,32.065000,489131,reg
2025-03-17T00:00:00Z,32.910000,34.320000,34.390000,32.740000,409020,reg
2025-03-18T00:00:00Z,34.320000,34.780000,35.260000,33.950000,826786,reg
2025-03-19T00:00:00Z,34.560000,34.400000,35.390000,34.275000,701291,reg
2025-03-20T00:00:00Z,34.210000,34.900000,35.230000,34.206000,624809,reg
2025-03-21T00:00:00Z,34.870000,35.280000,35.510000,34.290000,2385791,reg
2025-03-24T00:00:00Z,35.860000,34.240000,35.990000,33.830000,593094,reg
2025-03-25T00:00:00Z,34.320000,32.990000,34.585000,32.990000,1042867,reg
2025-03-26T00:00:00Z,33.120000,33.210000,33.590000,32.850000,373782,reg
2025-03-27T00:00:00Z,33.770000,33.350000,33.770000,32.860000,308911,reg
2025-03-28T00:00:00Z,33.530000,33.190000,33.530000,32.830000,666079,reg
2025-03-31T00:00:00Z,32.700000,33.190000,33.420000,32.190000,535995,reg
2025-04-01T00:00:00Z,33.000000,32.420000,33.250000,32.010000,581846,reg
2025-04-02T00:00:00Z,32.010000,32.530000,32.690000,31.840000,591302,reg
2025-04-03T00:00:00Z,32.010000,30.970000,32.250000,30.750000,630253,reg
2025-04-04T00:00:00Z,29.360000,29.260000,30.480000,28.610000,959565,reg
2025-04-07T00:00:00Z,28.270000,28.400000,29.130000,27.330000,924880,reg
2025-04-08T00:00:00Z,29.310000,28.130000,29.761500,27.771300,923069,reg
2025-04-09T00:00:00Z,27.580000,29.070000,29.190000,26.470000,1145935,reg
2025-04-10T00:00:00Z,29.000000,28.990000,29.330000,27.620000,1053541,reg
2025-04-11T00:00:00Z,29.160000,29.170000,29.379900,27.630000,827273,reg
2025-04-14T00:00:00Z,29.670000,29.530000,29.670000,28.930000,506424,reg
2025-04-15T00:00:00Z,29.310000,28.750000,29.590000,27.715000,919723,reg
2025-04-16T00:00:00Z,28.650000,27.940000,28.810000,27.560000,754026,reg
2025-04-17T00:00:00Z,27.950000,28.460000,28.540000,27.950000,456319,reg
2025-04-21T00:00:00Z,28.230000,28.500000,29.010000,27.765000,639204,reg
2025-04-22T00:00:00Z,28.800000,29.180000,29.210000,28.270000,737637,reg
2025-04-23T00:00:00Z,29.740000,28.900000,29.997000,28.880000,662203,reg
2025-04-24T00:00:00Z,28.990000,29.430000,29.510000,28.845000,399313,reg
2025-04-25T00:00:00Z,29.430000,29.610000,29.630000,28.865000,307935,reg
2025-04-28T00:00:00Z,29.580000,29.360000,29.800000,28.950000,810045,reg
2025-04-29T00:00:00Z,29.440000,29.440000,29.710000,28.920100,415042,reg
2025-04-30T00:00:00Z,29.440000,29.470000,29.572500,28.640000,435316,reg
2025-05-01T00:00:00Z,29.230000,29.860000,30.064200,29.080000,782716,reg
2025-05-02T00:00:00Z,30.610000,30.320000,30.610000,29.720000,857913,reg
2025-05-05T00:00:00Z,30.300000,29.960000,30.500000,29.880000,901609,reg
2025-05-06T00:00:00Z,31.110000,32.050000,32.330000,29.820000,1506344,reg
2025-05-07T00:00:00Z,32.200000,33.440000,33.820000,31.470000,1171596,reg
2025-05-08T00:00:00Z,33.290000,34.090000,34.160000,32.650000,677227,reg
2025-05-09T00:00:00Z,34.000000,34.050000,34.500000,33.700000,527947,reg
2025-05-12T00:00:00Z,34.350000,35.650000,35.760000,34.320000,958561,reg
2025-05-13T00:00:00Z,35.500000,34.370000,35.836100,34.220000,778674,reg
2025-05-14T00:00:00Z,34.370000,33.390000,34.785000,33.270000,685299,reg
2025-05-15T00:00:00Z,33.640000,34.230000,34.330000,33.450000,536689,reg
2025-05-16T00:00:00Z,34.220000,35.070000,35.300000,33.690000,410921,reg
