begins_at,open_price,close_price,high_price,low_price,volume,session
2025-01-02T00:00:00Z,424.390000,419.990000,427.550000,417.130000,253009,reg
2025-01-03T00:00:00Z,422.780000,430.960000,431.930000,421.680000,343400,reg
2025-01-06T00:00:00Z,436.760000,440.550000,441.630000,433.755000,328763,reg
2025-01-07T00:00:00Z,440.550000,433.960000,441.070000,428.300000,376482,reg
2025-01-08T00:00:00Z,430.720000,434.770000,435.290000,424.070000,333073,reg
2025-01-10T00:00:00Z,429.370000,420.250000,429.370000,418.810000,571707,reg
2025-01-13T00:00:00Z,413.670000,420.510000,420.610000,409.100000,693525,reg
2025-01-14T00:00:00Z,426.520000,428.210000,431.780000,423.940000,549220,reg
2025-01-15T00:00:00Z,440.030000,428.930000,441.210000,424.740000,704578,reg
2025-01-16T00:00:00Z,432.510000,433.920000,435.390000,429.070000,446923,reg
2025-01-17T00:00:00Z,438.750000,437.380000,438.750000,432.080000,375904,reg
2025-01-21T00:00:00Z,441.600000,450.380000,450.750000,441.600000,365649,reg
2025-01-22T00:00:00Z,463.250000,456.860000,477.405000,456.410000,883494,reg
2025-01-23T00:00:00Z,454.430000,453.790000,456.860000,451.570000,496531,reg
2025-01-24T00:00:00Z,455.990000,455.260000,460.970000,453.080000,470149,reg
2025-01-27T00:00:00Z,429.330000,414.530000,430.200000,408.200000,1280856,reg
2025-01-28T00:00:00Z,419.520000,413.360000,421.579900,405.170000,896819,reg
2025-01-29T00:00:00Z,414.980000,417.710000,422.425100,412.110000,605976,reg
2025-01-30T00:00:00Z,424.820000,426.570000,429.610000,419.340000,481399,reg
2025-01-31T00:00:00Z,427.710000,423.010000,430.750000,420.310000,497521,reg
2025-02-03T00:00:00Z,407.060000,408.730000,413.650000,397.800000,1063397,reg
2025-02-04T00:00:00Z,411.830000,400.910000,415.640000,393.590000,1522155,reg
2025-02-05T00:00:00Z,405.730000,400.070000,405.810000,398.140000,661776,reg
2025-02-06T00:00:00Z,402.450000,394.990000,403.000000,391.320000,963201,reg
2025-02-07T00:00:00Z,398.570000,400.930000,403.140000,395.970000,639127,reg
2025-02-10T00:00:00Z,403.480000,399.800000,405.910000,398.450100,742494,reg
2025-02-11T00:00:00Z,396.540000,397.070000,400.665000,394.200000,657139,reg
2025-02-12T00:00:00Z,388.660000,391.210000,394.590000,386.470000,635241,reg
2025-02-13T00:00:00Z,393.070000,393.230000,394.450000,387.640000,642032,reg
2025-02-14T00:00:00Z,395.040000,390.140000,397.030000,389.290000,655544,reg
2025-02-18T00:00:00Z,395.700000,395.550000,398.550000,392.380000,572103,reg
2025-02-19T00:00:00Z,392.920000,392.380000,393.540000,388.860000,330246,reg
2025-02-20T00:00:00Z,392.670000,389.420000,395.465000,384.990000,443368,reg
2025-02-21T00:00:00Z,389.720000,377.480000,391.730000,376.130000,639038,reg
2025-02-24T00:00:00Z,378.500000,369.250000,381.260000,366.730000,916596,reg
2025-02-25T00:00:00Z,365.680000,372.210000,375.660000,364.630000,779638,reg
2025-02-26T00:00:00Z,378.000000,377.390000,383.400000,375.285000,697487,reg
2025-02-27T00:00:00Z,378.050000,369.270000,380.760000,368.650000,486397,reg
2025-02-28T00:00:00Z,367.300000,371.590000,371.700000,364.805000,550784,reg
2025-03-03T00:00:00Z,372.210000,354.950000,374.185000,351.910000,724620,reg
2025-03-04T00:00:00Z,348.230000,351.790000,359.630000,340.380000,955228,reg
2025-03-05T00:00:00Z,353.940000,353.850000,360.020000,351.360000,969461,reg
2025-03-06T00:00:00Z,343.970000,346.280000,349.180000,337.970000,863903,reg
2025-03-07T00:00:00Z,345.390000,354.470000,357.230000,343.590000,1078895,reg
2025-03-10T00:00:00Z,343.440000,337.680000,347.450000,337.210000,1205562,reg
2025-03-11T00:00:00Z,336.940000,340.420000,344.110000,332.970000,1078206,reg
2025-03-12T00:00:00Z,348.140000,334.690000,352.220000,333.980000,911248,reg
2025-03-13T00:00:00Z,333.820000,331.800000,336.220000,330.320000,708840,reg
2025-03-14T00:00:00Z,339.850000,340.820000,343.750000,336.080000,605022,reg
2025-03-17T00:00:00Z,338.970000,344.060000,348.110000,338.970000,369384,reg
2025-03-18T00:00:00Z,341.410000,336.380000,341.490000,335.710000,382492,reg
2025-03-19T00:00:00Z,338.100000,342.210000,346.500000,336.242700,454625,reg
2025-03-20T00:00:00Z,337.310000,339.180000,342.945000,333.940000,615504,reg
2025-03-21T00:00:00Z,335.280000,338.360000,339.410000,332.410000,813564,reg
2025-03-24T00:00:00Z,344.730000,349.500000,349.980000,343.846100,577255,reg
2025-03-25T00:00:00Z,349.410000,353.620000,355.335000,346.645000,580780,reg
2025-03-26T00:00:00Z,351.270000,346.630000,353.490000,344.870000,714454,reg
2025-03-27T00:00:00Z,343.670000,342.000000,348.130000,340.000000,379099,reg
2025-03-28T00:00:00Z,339.430000,332.010000,340.755000,330.710000,387277,reg
2025-03-31T00:00:00Z,325.000000,330.910000,332.840000,316.340000,669387,reg
2025-04-01T00:00:00Z,329.100000,332.860000,334.950000,325.915000,470908,reg
2025-04-02T00:00:00Z,325.890000,341.620000,342.090000,325.530000,345287,reg
2025-04-03T00:00:00Z,321.200000,321.350000,326.520000,313.130000,1033709,reg
2025-04-04T00:00:00Z,311.210000,315.940000,320.350000,299.425000,1202143,reg
2025-04-07T00:00:00Z,307.930000,316.890000,333.390000,300.770000,1037760,reg
2025-04-08T00:00:00Z,326.710000,317.500000,331.640000,312.915000,1154432,reg
2025-04-09T00:00:00Z,316.370000,351.950000,355.220000,314.780000,1340732,reg
2025-04-10T00:00:00Z,341.910000,341.840000,351.359900,333.445000,869092,reg
2025-04-11T00:00:00Z,340.010000,353.430000,355.990000,335.550000,1052244,reg
2025-04-14T00:00:00Z,358.040000,350.510000,360.110000,349.290000,1009217,reg
2025-04-15T00:00:00Z,350.100000,346.590000,353.480000,345.700000,595590,reg
2025-04-16T00:00:00Z,341.410000,338.780000,345.500000,334.200000,464181,reg
2025-04-17T00:00:00Z,340.740000,338.970000,342.210000,337.100000,466124,reg
2025-04-21T00:00:00Z,334.280000,329.220000,334.895000,325.080000,464458,reg
2025-04-22T00:00:00Z,333.570000,340.520000,341.870000,333.570000,357800,reg
2025-04-23T00:00:00Z,357.560000,345.950000,359.060000,345.800000,599098,reg
2025-04-24T00:00:00Z,347.150000,360.280000,361.960000,347.150000,470586,reg
2025-04-25T00:00:00Z,357.670000,359.840000,365.420000,356.940000,434579,reg
2025-04-28T00:00:00Z,359.720000,357.980000,363.400000,354.574600,409796,reg
2025-04-29T00:00:00Z,357.980000,359.470000,361.565000,354.750000,440238,reg
2025-04-30T00:00:00Z,353.220000,363.180000,363.480000,351.265000,736800,reg
2025-05-01T00:00:00Z,365.930000,343.120000,367.350000,341.030000,1468575,reg
2025-05-02T00:00:00Z,349.630000,355.910000,356.100000,347.360000,1047052,reg
2025-05-05T00:00:00Z,354.300000,353.510000,359.465000,352.010000,515697,reg
2025-05-06T00:00:00Z,350.000000,348.310000,353.540000,346.070000,611346,reg
2025-05-07T00:00:00Z,350.070000,352.390000,353.800000,349.395000,500916,reg
2025-05-08T00:00:00Z,357.310000,354.570000,358.300000,353.830000,719215,reg
2025-05-09T00:00:00Z,356.530000,356.720000,358.530000,353.520000,465712,reg
2025-05-12T00:00:00Z,373.180000,378.410000,381.855000,373.180000,788757,reg
2025-05-13T00:00:00Z,378.410000,386.660000,389.050000,378.040000,843225,reg
2025-05-14T00:00:00Z,388.770000,385.680000,390.040000,384.000000,640012,reg
2025-05-15T00:00:00Z,384.270000,386.640000,388.250000,382.610000,821403,reg
2025-05-16T00:00:00Z,387.660000,392.220000,393.010000,384.260000,659441,reg
2025-05-19T00:00:00Z,386.540000,390.770000,392.950000,384.880000,474774,reg
2025-05-20T00:00:00Z,387.100000,389.080000,392.380000,386.000000,434469,reg
2025-05-21T00:00:00Z,384.370000,381.910000,389.830000,381.510000,831891,reg
2025-05-22T00:00:00Z,380.000000,389.390000,393.000000,376.760000,868848,reg
2025-05-23T00:00:00Z,383.060000,390.590000,393.240000,383.060000,737746,reg
2025-05-27T00:00:00Z,394.640000,398.860000,401.270000,392.570000,715590,reg
2025-05-28T00:00:00Z,399.450000,395.220000,400.825000,394.150000,501077,reg
