begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-02T00:00:00Z,3.150000,3.490000,3.560000,3.122700,590313,reg
2025-06-03T00:00:00Z,3.480000,3.690000,3.710000,3.410000,492950,reg
2025-06-04T00:00:00Z,3.710000,3.740000,3.840000,3.600500,319929,reg
2025-06-05T00:00:00Z,3.790000,4.120000,4.340000,3.760000,673393,reg
2025-06-06T00:00:00Z,4.380000,4.340000,4.598600,4.170000,620203,reg
2025-06-09T00:00:00Z,4.340000,4.410000,4.695900,4.300000,413533,reg
2025-06-10T00:00:00Z,4.480000,4.230000,4.489900,4.050000,348156,reg
2025-06-11T00:00:00Z,4.240000,4.280000,4.350000,4.116500,258683,reg
2025-06-12T00:00:00Z,3.270000,3.400000,3.480000,3.115000,2887628,reg
2025-06-13T00:00:00Z,3.410000,3.095000,3.420000,3.080000,1019172,reg
2025-06-16T00:00:00Z,3.110000,3.080000,3.150000,2.960000,920379,reg
2025-06-17T00:00:00Z,3.060000,3.150000,3.250000,3.010000,711067,reg
2025-06-18T00:00:00Z,3.300000,3.110000,3.380000,3.080000,1061971,reg
2025-06-20T00:00:00Z,3.170000,3.350000,3.440000,3.070000,1540446,reg
2025-06-23T00:00:00Z,3.430000,3.220000,3.550000,3.160000,1668443,reg
2025-06-24T00:00:00Z,3.200000,3.190000,3.289900,3.030000,862386,reg
2025-06-25T00:00:00Z,3.160000,3.280000,3.396200,3.150000,793197,reg
2025-06-26T00:00:00Z,3.290000,3.210000,3.366900,3.165000,691893,reg
2025-06-27T00:00:00Z,3.210000,3.090000,3.240000,3.050000,570724,reg
2025-06-30T00:00:00Z,3.110000,3.130000,3.180000,3.020000,436286,reg
2025-07-01T00:00:00Z,3.160000,3.140000,3.279500,3.080000,523216,reg
2025-07-02T00:00:00Z,3.150000,3.140000,3.200000,3.080000,556808,reg
2025-07-03T00:00:00Z,3.130000,3.140000,3.175000,3.040000,421836,reg
2025-07-07T00:00:00Z,3.110000,3.200000,3.200000,2.930000,683294,reg
2025-07-08T00:00:00Z,3.220000,3.190000,3.230000,3.120000,365906,reg
2025-07-09T00:00:00Z,3.170000,3.480000,3.500000,3.170000,684744,reg
2025-07-10T00:00:00Z,3.480000,3.650000,3.674900,3.410000,712175,reg
2025-07-11T00:00:00Z,3.710000,3.920000,3.990000,3.650000,1153540,reg
2025-07-14T00:00:00Z,3.910000,3.920000,4.140000,3.850000,736733,reg
2025-07-15T00:00:00Z,3.940000,3.750000,3.965000,3.710000,594308,reg
2025-07-16T00:00:00Z,3.750000,3.820000,3.890000,3.650000,667662,reg
2025-07-17T00:00:00Z,3.810000,3.820000,3.890000,3.740000,405667,reg
2025-07-18T00:00:00Z,3.850000,3.670000,3.895000,3.620000,373576,reg
2025-07-21T00:00:00Z,3.760000,3.810000,4.000000,3.745000,547919,reg
2025-07-22T00:00:00Z,3.850000,4.090000,4.100000,3.840000,661267,reg
2025-07-23T00:00:00Z,4.100000,3.970000,4.113200,3.930100,423688,reg
2025-07-24T00:00:00Z,3.950000,3.690000,3.950100,3.660000,518011,reg
2025-07-25T00:00:00Z,3.650000,3.580000,3.690800,3.520000,325685,reg
2025-07-28T00:00:00Z,3.550000,3.470000,3.565000,3.450000,261736,reg
2025-07-29T00:00:00Z,3.500000,3.490000,3.550000,3.412100,281656,reg
2025-07-30T00:00:00Z,3.410000,3.350000,3.470000,3.320100,331496,reg
2025-07-31T00:00:00Z,3.300000,3.260000,3.360000,3.220000,432800,reg
2025-08-01T00:00:00Z,3.280000,3.470000,3.510000,3.240000,614788,reg
2025-08-04T00:00:00Z,3.500000,3.620000,3.650000,3.460000,435454,reg
2025-08-05T00:00:00Z,3.580000,3.720000,3.739900,3.540000,571220,reg
2025-08-06T00:00:00Z,3.710000,3.485000,3.721900,3.480000,439861,reg
2025-08-07T00:00:00Z,3.560000,3.460000,3.620000,3.400000,296341,reg
2025-08-08T00:00:00Z,3.470000,3.460000,3.480000,3.340000,397953,reg
2025-08-11T00:00:00Z,3.390000,3.540000,3.580000,3.340000,399447,reg
2025-08-12T00:00:00Z,3.540000,3.500000,3.570000,3.435000,380754,reg
2025-08-13T00:00:00Z,3.520000,3.790000,3.860000,3.490000,845374,reg
2025-08-14T00:00:00Z,3.800000,3.770000,3.870000,3.670000,778372,reg
2025-08-15T00:00:00Z,3.750000,3.810000,3.920000,3.710000,1842819,reg
2025-08-18T00:00:00Z,3.820000,3.790000,3.840000,3.730000,224891,reg
2025-08-19T00:00:00Z,3.740000,3.630000,3.825000,3.610100,260842,reg
2025-08-20T00:00:00Z,3.630000,3.690000,3.720000,3.600000,150776,reg
2025-08-21T00:00:00Z,3.680000,4.020000,4.050000,3.678300,698657,reg
2025-08-22T00:00:00Z,4.030000,4.250000,4.275000,3.930000,849858,reg
2025-08-25T00:00:00Z,4.250000,4.040000,4.359900,3.995000,706305,reg
2025-08-26T00:00:00Z,4.090000,4.090000,4.180000,4.024600,486071,reg
2025-08-27T00:00:00Z,4.080000,4.170000,4.240000,4.020000,460094,reg
2025-08-28T00:00:00Z,4.240000,4.240000,4.420000,4.130000,724246,reg
2025-08-29T00:00:00Z,4.280000,4.550000,4.560000,4.200000,845117,reg
2025-09-02T00:00:00Z,4.660000,5.450000,5.490000,4.580000,3103365,reg
2025-09-03T00:00:00Z,5.480000,5.190000,5.490000,4.970000,1258597,reg
2025-09-04T00:00:00Z,5.200000,5.510000,5.560000,5.140000,1182001,reg
2025-09-05T00:00:00Z,5.660000,5.500000,5.770000,5.395900,861936,reg
2025-09-08T00:00:00Z,5.630000,5.750000,5.880000,5.480000,879945,reg
2025-09-09T00:00:00Z,5.790000,5.710000,5.980000,5.660000,838167,reg
2025-09-10T00:00:00Z,5.700000,5.800000,5.900000,5.650000,931663,reg
2025-09-11T00:00:00Z,5.720000,5.920000,5.930000,5.300000,1732597,reg
2025-09-12T00:00:00Z,6.010000,6.390000,6.749200,5.970000,2571236,reg
2025-09-15T00:00:00Z,6.610000,6.190000,6.610000,6.110000,1322692,reg
2025-09-16T00:00:00Z,6.340000,6.030000,6.470000,5.950000,898380,reg
2025-09-17T00:00:00Z,5.850000,6.080000,6.490000,5.810000,1100603,reg
2025-09-18T00:00:00Z,6.080000,5.770000,6.149900,5.690000,786309,reg
2025-09-19T00:00:00Z,5.810000,6.460000,6.500000,5.810000,1421107,reg
2025-09-22T00:00:00Z,6.775000,6.700000,7.180000,6.600000,1411633,reg
2025-09-23T00:00:00Z,6.790000,6.320000,6.880000,6.300000,994678,reg
2025-09-24T00:00:00Z,6.310000,6.130000,6.449900,6.060000,785810,reg
2025-09-25T00:00:00Z,6.250000,6.430000,6.620000,6.146900,943316,reg
2025-09-26T00:00:00Z,6.460000,6.060000,6.460000,5.980000,1353326,reg
2025-09-29T00:00:00Z,6.300000,6.330000,6.560000,6.280000,819335,reg
2025-09-30T00:00:00Z,6.160000,6.200000,6.335300,6.020000,432538,reg
2025-10-01T00:00:00Z,6.290000,6.550000,6.930000,6.250000,984462,reg
2025-10-02T00:00:00Z,6.600000,6.210000,6.690300,5.920000,1079737,reg
2025-10-03T00:00:00Z,6.250000,6.240000,6.550000,6.220000,657514,reg
2025-10-06T00:00:00Z,6.370000,6.410000,6.850000,6.370000,896329,reg
2025-10-07T00:00:00Z,6.400000,6.500000,6.640000,6.280000,746895,reg
