begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-02T00:00:00Z,179.770000,179.170000,179.770000,176.770000,557160,reg
2025-06-03T00:00:00Z,179.200000,182.040000,182.205000,178.560000,464922,reg
2025-06-04T00:00:00Z,182.700000,180.890000,182.800000,180.870000,389498,reg
2025-06-05T00:00:00Z,181.100000,180.280000,181.610000,179.530000,683323,reg
2025-06-06T00:00:00Z,182.680000,183.310000,183.617500,180.930000,479634,reg
2025-06-09T00:00:00Z,183.950000,183.230000,184.790000,182.035000,626567,reg
2025-06-10T00:00:00Z,183.320000,184.260000,184.880000,182.465000,345085,reg
2025-06-11T00:00:00Z,184.370000,183.170000,185.845000,183.140000,531985,reg
2025-06-12T00:00:00Z,181.640000,182.510000,184.030000,181.640000,622239,reg
2025-06-13T00:00:00Z,180.220000,177.820000,181.640000,177.198000,650936,reg
2025-06-16T00:00:00Z,179.630000,179.920000,180.720000,178.090000,600527,reg
2025-06-17T00:00:00Z,178.750000,175.990000,179.950000,175.700000,652104,reg
2025-06-18T00:00:00Z,175.630000,175.030000,177.190000,174.060000,888840,reg
2025-06-20T00:00:00Z,175.780000,173.150000,176.860000,172.290000,2463836,reg
2025-06-23T00:00:00Z,173.190000,172.720000,173.920000,170.260000,965446,reg
2025-06-24T00:00:00Z,174.140000,174.880000,175.910000,172.540000,501271,reg
2025-06-25T00:00:00Z,175.360000,174.500000,175.360000,172.760000,551944,reg
2025-06-26T00:00:00Z,175.380000,176.350000,177.110000,174.980000,608111,reg
2025-06-27T00:00:00Z,177.170000,176.320000,178.180000,175.420000,788116,reg
2025-06-30T00:00:00Z,175.940000,175.570000,177.020000,173.757600,902706,reg
2025-07-01T00:00:00Z,174.870000,180.190000,183.060000,174.510000,644030,reg
2025-07-02T00:00:00Z,180.470000,182.160000,182.310000,179.650000,487975,reg
2025-07-03T00:00:00Z,182.750000,181.250000,183.525000,180.690000,224051,reg
2025-07-07T00:00:00Z,180.120000,179.330000,181.379900,178.270000,802533,reg
2025-07-08T00:00:00Z,179.460000,182.470000,184.030000,178.440000,911539,reg
2025-07-09T00:00:00Z,183.520000,184.380000,184.890000,181.720000,1036169,reg
2025-07-10T00:00:00Z,184.270000,185.420000,187.710000,183.855000,686179,reg
2025-07-11T00:00:00Z,183.140000,181.470000,183.925000,181.230000,674892,reg
2025-07-14T00:00:00Z,180.700000,180.870000,181.920000,179.250000,793534,reg
2025-07-15T00:00:00Z,181.930000,179.470000,182.840000,179.410000,766765,reg
2025-07-16T00:00:00Z,179.830000,179.770000,180.960000,177.090000,685680,reg
2025-07-17T00:00:00Z,180.330000,183.960000,184.250000,180.330000,498614,reg
2025-07-18T00:00:00Z,184.940000,183.380000,184.940000,182.275000,651955,reg
2025-07-21T00:00:00Z,184.340000,180.900000,184.570000,180.310000,652523,reg
2025-07-22T00:00:00Z,180.260000,184.540000,184.860000,180.260000,468405,reg
2025-07-23T00:00:00Z,186.260000,184.400000,186.697000,183.040000,728997,reg
2025-07-24T00:00:00Z,184.030000,183.660000,184.900000,183.000000,352308,reg
2025-07-25T00:00:00Z,184.910000,185.690000,185.730000,182.585000,369257,reg
2025-07-28T00:00:00Z,186.000000,184.430000,186.620000,184.185000,534869,reg
2025-07-29T00:00:00Z,185.260000,185.180000,186.290000,183.415000,701892,reg
2025-07-30T00:00:00Z,175.000000,164.280000,178.225000,163.160000,2650956,reg
2025-07-31T00:00:00Z,162.500000,163.510000,165.420000,161.280000,1484848,reg
2025-08-01T00:00:00Z,162.180000,159.120000,163.350000,158.340000,1320376,reg
2025-08-04T00:00:00Z,159.030000,158.250000,160.315000,157.460000,1008866,reg
2025-08-05T00:00:00Z,159.590000,161.840000,162.509900,159.190000,695480,reg
2025-08-06T00:00:00Z,161.850000,159.720000,163.015000,158.900000,1006935,reg
2025-08-07T00:00:00Z,161.650000,158.530000,162.010000,158.310000,747653,reg
2025-08-08T00:00:00Z,158.250000,158.260000,160.000000,157.940000,639114,reg
2025-08-11T00:00:00Z,158.610000,157.530000,159.801300,157.250000,765066,reg
2025-08-12T00:00:00Z,159.670000,163.320000,163.640000,158.875000,657262,reg
2025-08-13T00:00:00Z,164.110000,169.500000,169.800000,163.730000,1048047,reg
2025-08-14T00:00:00Z,167.190000,167.190000,168.420000,165.570000,850787,reg
2025-08-15T00:00:00Z,167.600000,164.770000,167.710000,164.160000,579229,reg
2025-08-18T00:00:00Z,164.490000,163.780000,165.522500,163.780000,486806,reg
2025-08-19T00:00:00Z,164.580000,165.900000,167.735000,163.780000,822030,reg
2025-08-20T00:00:00Z,165.270000,164.470000,165.860000,163.640000,705102,reg
2025-08-21T00:00:00Z,163.690000,162.380000,164.600000,162.250000,676797,reg
2025-08-22T00:00:00Z,163.530000,168.560000,168.820000,163.290000,1228877,reg
2025-08-25T00:00:00Z,168.730000,165.980000,168.825000,165.960000,463570,reg
2025-08-26T00:00:00Z,165.700000,166.000000,166.260000,164.685000,755121,reg
2025-08-27T00:00:00Z,165.080000,166.080000,167.090000,164.972000,612288,reg
2025-08-28T00:00:00Z,167.000000,165.220000,167.000000,163.710000,584188,reg
2025-08-29T00:00:00Z,165.630000,164.500000,165.980000,163.830000,445723,reg
2025-09-02T00:00:00Z,162.460000,162.150000,162.985000,160.600000,839315,reg
2025-09-03T00:00:00Z,161.600000,161.320000,162.590000,160.300000,960092,reg
2025-09-04T00:00:00Z,161.390000,164.860000,164.910000,160.386100,515691,reg
2025-09-05T00:00:00Z,165.610000,164.930000,167.000000,163.990000,647510,reg
2025-09-08T00:00:00Z,164.830000,164.170000,164.872800,162.220000,738361,reg
2025-09-09T00:00:00Z,163.800000,162.010000,163.815400,161.000000,557850,reg
2025-09-10T00:00:00Z,161.610000,160.170000,162.650000,159.395000,786132,reg
2025-09-11T00:00:00Z,160.580000,164.490000,164.770000,160.580000,743108,reg
2025-09-12T00:00:00Z,164.220000,160.550000,164.445000,160.550000,394466,reg
2025-09-15T00:00:00Z,161.470000,161.160000,162.145000,159.970000,677282,reg
2025-09-16T00:00:00Z,161.230000,163.840000,163.980000,160.800000,747650,reg
2025-09-17T00:00:00Z,164.190000,159.590000,165.910000,159.180000,1033300,reg
2025-09-18T00:00:00Z,160.830000,162.060000,163.070000,160.080000,608231,reg
