begins_at,open_price,close_price,high_price,low_price,volume,session
2025-05-01T00:00:00Z,24.140000,24.070000,24.500000,23.860000,1093742,reg
2025-05-02T00:00:00Z,24.370000,25.170000,25.380000,24.270000,1117123,reg
2025-05-05T00:00:00Z,25.140000,25.770000,25.915000,24.880000,1577211,reg
2025-05-06T00:00:00Z,25.430000,26.250000,26.385000,25.260000,1360091,reg
2025-05-07T00:00:00Z,26.250000,26.310000,26.605000,26.090000,1209208,reg
2025-05-08T00:00:00Z,26.460000,26.010000,26.465000,25.880000,1013813,reg
2025-05-09T00:00:00Z,26.000000,26.450000,26.810000,26.000000,796625,reg
2025-05-12T00:00:00Z,27.120000,26.980000,27.490000,26.710000,891176,reg
2025-05-13T00:00:00Z,26.900000,25.660000,26.970000,25.630000,1821853,reg
2025-05-14T00:00:00Z,25.500000,25.330000,25.760000,24.810000,1267876,reg
2025-05-15T00:00:00Z,25.350000,25.650000,25.845000,25.180000,1161251,reg
2025-05-16T00:00:00Z,25.690000,25.450000,25.885000,25.390100,875464,reg
2025-05-19T00:00:00Z,25.120000,25.230000,25.500000,24.940000,880690,reg
2025-05-20T00:00:00Z,25.265000,25.820000,26.065000,25.105000,921104,reg
2025-05-21T00:00:00Z,25.820000,25.310000,25.850000,25.060000,794850,reg
2025-05-22T00:00:00Z,25.310000,25.530000,25.680000,25.010100,917251,reg
2025-05-23T00:00:00Z,25.230000,25.220000,25.376500,24.570000,742730,reg
2025-05-27T00:00:00Z,25.540000,26.230000,26.700000,25.380000,1167284,reg
2025-05-28T00:00:00Z,26.230000,25.680000,26.250000,25.610000,847143,reg
2025-05-29T00:00:00Z,25.965000,25.570000,25.965000,25.070000,795100,reg
2025-05-30T00:00:00Z,25.420000,25.400000,25.690000,25.220000,1432443,reg
2025-06-02T00:00:00Z,25.250000,25.870000,26.160000,25.100000,1370220,reg
2025-06-03T00:00:00Z,25.950000,26.140000,26.260000,25.604700,921360,reg
2025-06-04T00:00:00Z,26.050000,26.340000,26.590000,25.881100,673244,reg
2025-06-05T00:00:00Z,26.495000,26.510000,26.720000,26.250000,890663,reg
2025-06-06T00:00:00Z,26.800000,27.760000,27.860000,26.550000,1829353,reg
2025-06-09T00:00:00Z,27.800000,28.560000,29.210000,27.800000,1909472,reg
2025-06-10T00:00:00Z,29.200000,28.940000,29.200000,28.200000,912740,reg
2025-06-11T00:00:00Z,29.180000,28.770000,29.260000,28.565000,808390,reg
2025-06-12T00:00:00Z,28.740000,29.230000,29.330000,28.730000,766489,reg
2025-06-13T00:00:00Z,28.690000,28.640000,29.140000,28.470000,854090,reg
2025-06-16T00:00:00Z,28.610000,29.360000,29.440000,28.465000,954600,reg
2025-06-17T00:00:00Z,29.090000,28.595000,29.340000,28.095000,987535,reg
2025-06-18T00:00:00Z,28.660000,28.740000,29.255000,28.590000,867466,reg
2025-06-20T00:00:00Z,28.885000,28.430000,29.150000,28.400000,2230346,reg
2025-06-23T00:00:00Z,28.420000,29.200000,29.300000,28.355000,953231,reg
2025-06-24T00:00:00Z,29.450000,28.930000,29.523100,28.770000,1265280,reg
2025-06-25T00:00:00Z,28.940000,28.810000,29.080000,28.725000,931304,reg
2025-06-26T00:00:00Z,29.040000,29.510000,29.679900,28.820000,1485131,reg
2025-06-27T00:00:00Z,29.720000,30.040000,30.290000,29.561600,2400921,reg
2025-06-30T00:00:00Z,30.180000,30.170000,30.490000,29.670000,1542089,reg
2025-07-01T00:00:00Z,30.180000,30.590000,30.845000,30.135000,1415056,reg
2025-07-02T00:00:00Z,30.660000,31.520000,31.565000,30.400000,1104084,reg
2025-07-03T00:00:00Z,31.690000,31.800000,32.030000,31.298800,870458,reg
2025-07-07T00:00:00Z,31.550000,32.020000,32.255000,31.400000,1265417,reg
2025-07-08T00:00:00Z,32.100000,31.870000,32.680000,31.640000,1010010,reg
2025-07-09T00:00:00Z,32.000000,31.340000,32.123800,31.170000,893331,reg
2025-07-10T00:00:00Z,31.350000,32.060000,32.705000,31.270000,1384193,reg
2025-07-11T00:00:00Z,31.850000,31.450000,31.950000,31.260000,1113822,reg
2025-07-14T00:00:00Z,31.440000,31.710000,31.865000,31.355000,1258404,reg
2025-07-15T00:00:00Z,31.810000,31.440000,32.150000,31.430000,1111657,reg
2025-07-16T00:00:00Z,31.520000,31.190000,31.920000,30.490000,1769401,reg
2025-07-17T00:00:00Z,31.320000,32.110000,32.350000,31.260000,1883814,reg
2025-07-18T00:00:00Z,32.390000,32.080000,32.750000,31.730000,1403220,reg
2025-07-21T00:00:00Z,32.560000,32.070000,33.340000,31.830000,1825293,reg
2025-07-22T00:00:00Z,31.760000,31.880000,32.200000,31.170000,1337172,reg
2025-07-23T00:00:00Z,31.970000,32.430000,32.640000,31.750000,1688983,reg
2025-07-24T00:00:00Z,28.900000,25.265000,29.750000,24.810000,10298994,reg
2025-07-25T00:00:00Z,25.830000,25.695000,26.020000,24.840200,4026471,reg
2025-07-28T00:00:00Z,25.500000,25.540000,25.990000,25.300000,2436712,reg
2025-07-29T00:00:00Z,25.510000,24.610000,25.694000,24.610000,1970743,reg
2025-07-30T00:00:00Z,24.670000,24.910000,25.120000,24.640000,1489116,reg
2025-07-31T00:00:00Z,24.665000,24.460000,25.070000,24.220000,1512539,reg
2025-08-01T00:00:00Z,24.080000,24.180000,24.615000,23.850000,1576702,reg
2025-08-04T00:00:00Z,24.410000,24.660000,24.960000,24.340000,2426328,reg
