begins_at,open_price,close_price,high_price,low_price,volume,session
2025-05-01T00:00:00Z,125.980000,125.590000,127.055000,124.580000,1066168,reg
2025-05-02T00:00:00Z,126.460000,125.660000,126.865000,123.310000,640985,reg
2025-05-05T00:00:00Z,123.900000,116.550000,126.000000,116.260000,1075802,reg
2025-05-06T00:00:00Z,116.000000,118.220000,121.212600,115.905000,1069915,reg
2025-05-07T00:00:00Z,119.490000,118.980000,120.590000,117.500000,548322,reg
2025-05-08T00:00:00Z,119.990000,119.520000,121.580000,119.250000,661380,reg
2025-05-09T00:00:00Z,119.710000,118.440000,119.990000,118.340000,334885,reg
2025-05-12T00:00:00Z,122.530000,120.700000,122.840000,119.970000,551101,reg
2025-05-13T00:00:00Z,120.950000,121.000000,121.755000,119.480000,651985,reg
2025-05-14T00:00:00Z,120.530000,119.610000,120.795000,119.100000,544516,reg
2025-05-15T00:00:00Z,119.610000,119.070000,120.780000,118.395000,696589,reg
2025-05-16T00:00:00Z,119.440000,120.990000,121.760000,118.440000,538492,reg
2025-05-19T00:00:00Z,119.210000,121.450000,121.670000,119.020000,403170,reg
2025-05-20T00:00:00Z,120.790000,121.590000,122.260000,120.470000,317558,reg
2025-05-21T00:00:00Z,120.500000,118.880000,121.025000,118.140000,344658,reg
2025-05-22T00:00:00Z,120.070000,118.160000,122.225000,117.200000,524054,reg
2025-05-23T00:00:00Z,116.870000,118.310000,118.860000,116.870000,244616,reg
2025-05-27T00:00:00Z,119.800000,121.630000,121.839900,119.520000,399696,reg
2025-05-28T00:00:00Z,121.340000,119.390000,121.476000,119.351400,264207,reg
2025-05-29T00:00:00Z,120.130000,119.490000,120.290000,118.770000,258757,reg
2025-05-30T00:00:00Z,119.320000,118.760000,119.610000,117.720000,377531,reg
2025-06-02T00:00:00Z,117.850000,117.690000,118.260000,116.550000,342138,reg
2025-06-03T00:00:00Z,117.740000,119.850000,120.705000,117.360000,414820,reg
2025-06-04T00:00:00Z,119.850000,120.170000,120.800000,119.540000,293758,reg
2025-06-05T00:00:00Z,120.670000,120.900000,121.300000,119.040000,296251,reg
2025-06-06T00:00:00Z,122.160000,121.330000,122.600000,120.650000,234023,reg
2025-06-09T00:00:00Z,122.060000,122.060000,123.010000,120.000000,383875,reg
2025-06-10T00:00:00Z,122.460000,122.530000,123.660000,122.045000,411965,reg
2025-06-11T00:00:00Z,122.570000,120.030000,123.130000,119.960000,384756,reg
2025-06-12T00:00:00Z,119.170000,118.750000,119.850000,118.310000,532501,reg
2025-06-13T00:00:00Z,116.710000,118.300000,119.140000,116.710000,370509,reg
2025-06-16T00:00:00Z,119.270000,118.330000,119.910000,118.130000,345804,reg
2025-06-17T00:00:00Z,117.580000,119.060000,120.000000,117.470000,350151,reg
2025-06-18T00:00:00Z,118.620000,118.960000,119.730000,117.950000,374625,reg
2025-06-20T00:00:00Z,119.420000,117.800000,119.420000,116.940000,840483,reg
2025-06-23T00:00:00Z,117.300000,119.070000,119.150000,116.145000,399185,reg
2025-06-24T00:00:00Z,119.800000,120.420000,120.940000,118.635000,325085,reg
2025-06-25T00:00:00Z,120.360000,120.800000,121.100000,119.310000,476709,reg
2025-06-26T00:00:00Z,121.160000,121.870000,122.850000,120.940000,483472,reg
2025-06-27T00:00:00Z,121.560000,122.560000,123.780000,121.355000,1049308,reg
2025-06-30T00:00:00Z,123.070000,122.970000,123.315000,121.745000,282681,reg
2025-07-01T00:00:00Z,122.480000,121.290000,123.490000,121.270000,495729,reg
2025-07-02T00:00:00Z,121.140000,121.190000,121.930000,119.561600,419886,reg
2025-07-03T00:00:00Z,122.050000,121.000000,122.160000,120.140000,199686,reg
2025-07-07T00:00:00Z,119.970000,117.020000,120.920000,116.250000,599247,reg
2025-07-08T00:00:00Z,116.900000,118.170000,118.700000,116.900000,384681,reg
2025-07-09T00:00:00Z,118.830000,120.470000,120.490000,118.090000,300553,reg
2025-07-10T00:00:00Z,120.080000,121.770000,122.990000,120.055000,386242,reg
2025-07-11T00:00:00Z,121.540000,119.960000,121.760000,118.880000,343094,reg
2025-07-14T00:00:00Z,119.880000,119.470000,120.410000,118.260000,290329,reg
2025-07-15T00:00:00Z,119.920000,117.440000,119.935000,117.360000,409538,reg
2025-07-16T00:00:00Z,118.110000,117.130000,118.180000,116.590000,364528,reg
2025-07-17T00:00:00Z,116.550000,114.640000,117.580000,114.210000,554711,reg
2025-07-18T00:00:00Z,115.610000,112.490000,115.610000,111.080000,463003,reg
2025-07-21T00:00:00Z,112.040000,111.550000,112.820000,111.280000,345968,reg
2025-07-22T00:00:00Z,111.970000,114.320000,115.400000,111.535000,563399,reg
2025-07-23T00:00:00Z,115.430000,115.770000,116.310000,113.760000,799083,reg
2025-07-24T00:00:00Z,112.030000,107.100000,115.510000,105.570000,1240071,reg
2025-07-25T00:00:00Z,107.100000,108.510000,108.510000,105.782000,614643,reg
2025-07-28T00:00:00Z,108.390000,108.140000,109.000000,106.910000,552443,reg
2025-07-29T00:00:00Z,108.810000,109.200000,109.740000,107.790000,689817,reg
2025-07-30T00:00:00Z,109.360000,108.760000,110.020000,107.980000,545137,reg
2025-07-31T00:00:00Z,107.890000,108.510000,109.320000,107.440100,539107,reg
2025-08-01T00:00:00Z,107.760000,106.520000,107.760000,105.425000,379870,reg
2025-08-04T00:00:00Z,106.590000,106.830000,107.390000,105.835000,246667,reg
2025-08-05T00:00:00Z,106.860000,107.720000,108.130000,106.390000,234758,reg
2025-08-06T00:00:00Z,107.640000,105.360000,107.810000,105.170000,332122,reg
2025-08-07T00:00:00Z,106.470000,105.720000,107.120000,105.375000,244322,reg
2025-08-08T00:00:00Z,106.250000,106.450000,107.030000,105.600000,282102,reg
2025-08-11T00:00:00Z,106.380000,105.400000,106.805000,105.400000,259923,reg
2025-08-12T00:00:00Z,106.080000,107.330000,107.725000,106.080000,333217,reg
2025-08-13T00:00:00Z,107.700000,109.580000,109.760000,107.078400,557864,reg
2025-08-14T00:00:00Z,108.730000,106.770000,109.670000,106.580000,200151,reg
2025-08-15T00:00:00Z,107.360000,106.790000,108.090000,105.630000,202340,reg
