begins_at,open_price,close_price,high_price,low_price,volume,session
2025-05-01T00:00:00Z,241.010000,239.240000,244.000000,238.340000,1818179,reg
2025-05-02T00:00:00Z,242.940000,242.320000,243.430000,240.710000,1543262,reg
2025-05-05T00:00:00Z,240.650000,240.870000,242.830000,239.385000,942765,reg
2025-05-06T00:00:00Z,239.450000,239.870000,241.160000,238.580000,1029816,reg
2025-05-07T00:00:00Z,237.000000,240.310000,241.960000,236.680000,1552392,reg
2025-05-08T00:00:00Z,242.720000,243.090000,246.015000,241.640000,1237899,reg
2025-05-09T00:00:00Z,243.520000,242.500000,244.540000,242.090000,809940,reg
2025-05-12T00:00:00Z,249.970000,250.310000,252.749900,249.280000,1142491,reg
2025-05-13T00:00:00Z,251.000000,249.140000,252.380000,249.120000,1184148,reg
2025-05-14T00:00:00Z,248.550000,245.140000,248.550000,244.630000,1252301,reg
2025-05-15T00:00:00Z,245.230000,247.970000,248.535000,244.190000,926605,reg
2025-05-16T00:00:00Z,248.000000,251.340000,251.600000,247.120000,1179490,reg
2025-05-19T00:00:00Z,248.850000,251.710000,252.470000,248.850000,739366,reg
2025-05-20T00:00:00Z,251.500000,249.940000,252.120000,248.910000,954403,reg
2025-05-21T00:00:00Z,247.050000,244.650000,248.285000,244.120000,772892,reg
2025-05-22T00:00:00Z,243.890000,244.710000,246.250000,243.059200,831412,reg
2025-05-23T00:00:00Z,241.520000,241.840000,242.840000,240.900000,752546,reg
2025-05-27T00:00:00Z,244.680000,246.690000,247.155000,243.130000,789564,reg
2025-05-28T00:00:00Z,246.970000,243.830000,247.580000,243.510000,661682,reg
2025-05-29T00:00:00Z,245.710000,245.730000,245.730000,243.040000,714545,reg
2025-05-30T00:00:00Z,245.190000,245.080000,246.230000,243.400000,2390401,reg
2025-06-02T00:00:00Z,243.960000,242.650000,245.100000,240.500000,977622,reg
2025-06-03T00:00:00Z,242.280000,245.260000,245.570000,241.850000,792786,reg
2025-06-04T00:00:00Z,245.900000,246.510000,248.100000,244.990000,998925,reg
2025-06-05T00:00:00Z,247.080000,246.110000,248.130000,245.327500,1090904,reg
