begins_at,open_price,close_price,high_price,low_price,volume,session
2025-05-14T00:00:00Z,4.030000,3.940000,4.148600,3.775000,199108,reg
2025-05-15T00:00:00Z,3.820000,3.330000,3.895000,2.810100,1147792,reg
2025-05-16T00:00:00Z,3.300000,3.500000,3.520000,3.130400,484286,reg
2025-05-19T00:00:00Z,3.470000,3.710000,3.820000,3.440000,310851,reg
2025-05-20T00:00:00Z,3.720000,4.060000,4.520000,3.710000,667001,reg
2025-05-21T00:00:00Z,3.960000,3.535000,4.030000,3.440000,571742,reg
2025-05-22T00:00:00Z,3.480000,3.545000,3.699600,3.360000,257822,reg
2025-05-23T00:00:00Z,3.360000,3.440000,3.495000,3.330000,220263,reg
2025-05-27T00:00:00Z,3.630000,3.580000,3.680000,3.490000,231677,reg
2025-05-28T00:00:00Z,3.580000,3.500000,3.806900,3.460000,173413,reg
2025-05-29T00:00:00Z,3.540000,3.570000,3.680000,3.490000,180765,reg
2025-05-30T00:00:00Z,3.550000,3.400000,3.650000,3.350000,590286,reg
2025-06-02T00:00:00Z,3.370000,3.600000,3.635000,3.260000,380954,reg
2025-06-03T00:00:00Z,3.560000,3.940000,4.052500,3.535000,550305,reg
2025-06-04T00:00:00Z,3.980000,3.970000,4.300000,3.970000,273782,reg
2025-06-05T00:00:00Z,3.990000,3.920000,4.078300,3.740000,277544,reg
2025-06-06T00:00:00Z,4.000000,4.220000,4.390000,3.850200,354244,reg
2025-06-09T00:00:00Z,4.240000,4.150000,4.340000,4.040000,240745,reg
2025-06-10T00:00:00Z,4.220000,4.220000,4.430000,4.180000,300061,reg
2025-06-11T00:00:00Z,4.250000,4.030000,4.290000,3.970000,179086,reg
2025-06-12T00:00:00Z,3.960000,3.680000,4.042800,3.640000,288389,reg
2025-06-13T00:00:00Z,3.530000,3.880000,3.910000,3.520000,277803,reg
2025-06-16T00:00:00Z,3.990000,3.740000,4.100000,3.730000,281725,reg
2025-06-17T00:00:00Z,3.650000,3.550000,3.740000,3.510000,243169,reg
2025-06-18T00:00:00Z,3.570000,3.530000,3.780000,3.510000,396337,reg
2025-06-20T00:00:00Z,3.560000,3.620000,3.691800,3.430000,244299,reg
2025-06-23T00:00:00Z,3.610000,3.630000,3.672500,3.510000,205700,reg
2025-06-24T00:00:00Z,3.640000,3.610000,3.820000,3.595000,236065,reg
2025-06-25T00:00:00Z,3.610000,3.690000,3.730000,3.545000,180893,reg
2025-06-26T00:00:00Z,3.720000,3.780000,3.910000,3.650000,558050,reg
2025-06-27T00:00:00Z,3.780000,3.700000,3.805000,3.650000,275486,reg
2025-06-30T00:00:00Z,3.770000,3.730000,3.935000,3.660000,239286,reg
2025-07-01T00:00:00Z,3.720000,3.760000,3.840000,3.600374,448837,reg
2025-07-02T00:00:00Z,3.760000,3.830000,3.970000,3.720000,338975,reg
2025-07-03T00:00:00Z,3.920000,3.950000,4.010000,3.850000,311539,reg
2025-07-07T00:00:00Z,3.900000,3.710000,3.950000,3.700000,178546,reg
