begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-15T00:00:00Z,23.550000,23.620000,23.870000,23.350000,1172975,reg
2025-07-16T00:00:00Z,23.600000,23.700000,23.870000,23.370000,1940988,reg
2025-07-17T00:00:00Z,23.840000,23.990000,24.149900,23.520000,2073867,reg
2025-07-18T00:00:00Z,24.140000,24.230000,24.570000,24.040000,2368689,reg
2025-07-21T00:00:00Z,24.270000,22.990000,24.470000,22.590100,1799775,reg
2025-07-22T00:00:00Z,23.010000,22.950000,23.170000,22.708100,1051506,reg
2025-07-23T00:00:00Z,22.970000,23.040000,23.080000,22.530000,786029,reg
2025-07-24T00:00:00Z,23.090000,23.010000,23.370000,22.690000,636554,reg
2025-07-25T00:00:00Z,23.060000,23.270000,23.370000,23.040000,678310,reg
2025-07-28T00:00:00Z,23.220000,23.035000,23.320000,22.740000,914976,reg
2025-07-29T00:00:00Z,23.170000,22.970000,23.195000,22.875000,684590,reg
2025-07-30T00:00:00Z,22.860000,22.830000,23.230000,22.750000,1143794,reg
2025-07-31T00:00:00Z,22.560000,22.600000,23.050000,21.530000,1622326,reg
2025-08-01T00:00:00Z,22.660000,22.910000,23.200000,22.570000,1162190,reg
2025-08-04T00:00:00Z,23.050000,23.460000,23.490000,23.050000,887972,reg
2025-08-05T00:00:00Z,23.550000,23.700000,23.910000,23.370000,1462993,reg
2025-08-06T00:00:00Z,23.810000,24.470000,24.500000,23.780000,926904,reg
2025-08-07T00:00:00Z,24.450000,24.740000,24.790000,24.325000,901066,reg
2025-08-08T00:00:00Z,24.740000,25.030000,25.240000,24.520000,784305,reg
2025-08-11T00:00:00Z,25.110000,25.620000,25.670000,24.790000,1068800,reg
2025-08-12T00:00:00Z,25.640000,26.570000,26.645000,25.460000,937558,reg
2025-08-13T00:00:00Z,26.610000,25.950000,26.720000,25.720000,1570348,reg
2025-08-14T00:00:00Z,26.070000,25.800000,26.085000,25.600000,912759,reg
2025-08-15T00:00:00Z,25.880000,25.910000,25.965000,25.640000,685823,reg
2025-08-18T00:00:00Z,25.890000,26.100000,26.290000,25.890000,722806,reg
2025-08-19T00:00:00Z,26.010000,26.210000,26.290000,25.990000,565032,reg
2025-08-20T00:00:00Z,26.320000,26.060000,26.320000,25.960000,559197,reg
2025-08-21T00:00:00Z,26.080000,26.350000,26.470000,26.040000,757238,reg
2025-08-22T00:00:00Z,26.460000,26.920000,26.930000,26.265000,1032464,reg
2025-08-25T00:00:00Z,26.800000,26.880000,27.250000,26.705000,624799,reg
2025-08-26T00:00:00Z,26.790000,27.160000,27.225000,26.770000,907037,reg
2025-08-27T00:00:00Z,27.070000,27.340000,27.460000,26.975000,746750,reg
2025-08-28T00:00:00Z,27.410000,27.550000,27.625000,27.150000,693065,reg
2025-08-29T00:00:00Z,27.510000,27.480000,27.600000,27.170000,920095,reg
2025-09-02T00:00:00Z,27.300000,27.970000,28.040000,26.870000,1089662,reg
2025-09-03T00:00:00Z,27.800000,27.950000,28.160000,27.710000,907506,reg
2025-09-04T00:00:00Z,27.990000,27.720000,28.130000,27.590000,680155,reg
2025-09-05T00:00:00Z,27.870000,27.850000,27.950000,27.350000,742478,reg
2025-09-08T00:00:00Z,27.870000,27.980000,28.050000,27.720000,525850,reg
2025-09-09T00:00:00Z,27.940000,27.550000,27.940000,27.530000,983268,reg
2025-09-10T00:00:00Z,27.500000,27.760000,27.780000,27.050400,884494,reg
2025-09-11T00:00:00Z,27.940000,29.040000,29.070000,27.730100,1059034,reg
2025-09-12T00:00:00Z,28.690000,29.390000,29.520000,28.690000,926517,reg
2025-09-15T00:00:00Z,29.600000,29.520000,29.680000,29.110000,615869,reg
2025-09-16T00:00:00Z,29.470000,29.610000,29.740000,29.030000,984425,reg
2025-09-17T00:00:00Z,29.780000,29.720000,30.040000,29.570000,807801,reg
2025-09-18T00:00:00Z,29.600000,29.610000,29.765000,29.280000,1217371,reg
2025-09-19T00:00:00Z,29.790000,29.890000,30.470000,29.705000,2133946,reg
2025-09-22T00:00:00Z,30.140000,30.750000,30.820000,29.950000,1274885,reg
2025-09-23T00:00:00Z,30.710000,30.750000,31.065000,30.580000,1107519,reg
2025-09-24T00:00:00Z,30.720000,30.490000,30.780000,30.340000,1389148,reg
2025-09-25T00:00:00Z,30.530000,30.620000,30.640000,30.190000,1391087,reg
2025-09-26T00:00:00Z,30.760000,30.940000,31.200000,30.600000,1546183,reg
2025-09-29T00:00:00Z,31.010000,31.570000,31.645000,30.920000,1722472,reg
2025-09-30T00:00:00Z,31.380000,31.540000,31.740000,31.270000,1115110,reg
