begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-15T00:00:00Z,39.630000,39.590000,40.430000,38.530000,1954335,reg
2025-07-16T00:00:00Z,41.000000,39.750000,41.000000,38.840000,1985607,reg
2025-07-17T00:00:00Z,41.200000,42.130000,42.670000,39.700000,3286999,reg
2025-07-18T00:00:00Z,42.455000,41.590000,43.750000,41.190000,1461841,reg
2025-07-21T00:00:00Z,41.880000,42.230000,42.500000,41.500000,854769,reg
2025-07-22T00:00:00Z,42.430000,44.020000,44.100000,42.370000,1480193,reg
2025-07-23T00:00:00Z,44.900000,44.320000,45.297200,43.360500,1459627,reg
2025-07-24T00:00:00Z,44.250000,44.210000,44.780000,43.780000,858580,reg
2025-07-25T00:00:00Z,44.150000,43.360000,44.170000,42.860000,996985,reg
2025-07-28T00:00:00Z,43.710000,41.510000,43.710000,41.280000,1215431,reg
2025-07-29T00:00:00Z,42.120000,40.770000,42.260000,40.740000,1203491,reg
2025-07-30T00:00:00Z,40.940000,40.410000,41.605000,39.870000,1433233,reg
2025-07-31T00:00:00Z,39.765000,39.070000,40.050000,38.850000,1437964,reg
2025-08-01T00:00:00Z,38.320000,38.800000,39.270000,38.100000,1094449,reg
2025-08-04T00:00:00Z,39.000000,38.450000,39.100000,38.240000,733642,reg
2025-08-05T00:00:00Z,38.860000,38.420000,39.160000,38.210000,607440,reg
2025-08-06T00:00:00Z,38.200000,37.660000,38.465000,36.850000,1029009,reg
2025-08-07T00:00:00Z,37.540000,37.430000,37.920000,36.975000,885072,reg
2025-08-08T00:00:00Z,37.420000,37.000000,37.874800,36.900000,1177875,reg
2025-08-11T00:00:00Z,37.450000,36.240000,38.220000,35.230000,1796197,reg
2025-08-12T00:00:00Z,36.130000,36.990000,37.665000,36.130000,1139745,reg
2025-08-13T00:00:00Z,37.500000,36.930000,37.990000,36.810000,1377136,reg
2025-08-14T00:00:00Z,36.740000,37.710000,37.770000,36.130000,978467,reg
2025-08-15T00:00:00Z,37.780000,37.500000,38.352200,37.040000,869106,reg
2025-08-18T00:00:00Z,37.500000,37.450000,38.122000,37.335000,703110,reg
