begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-16T00:00:00Z,469.670000,471.470000,472.600000,466.410600,935241,reg
2025-07-17T00:00:00Z,470.500000,469.200000,474.400000,467.710000,926150,reg
2025-07-18T00:00:00Z,469.220000,463.960000,471.210000,460.970000,1845269,reg
2025-07-21T00:00:00Z,464.640000,460.530000,467.360000,460.530000,1577788,reg
2025-07-22T00:00:00Z,422.750000,410.740000,437.450000,410.110000,8886507,reg
2025-07-23T00:00:00Z,413.755000,419.390000,423.370000,411.000000,4578552,reg
2025-07-24T00:00:00Z,421.000000,420.550000,426.883800,420.130000,3083942,reg
2025-07-25T00:00:00Z,421.540000,421.170000,425.670000,418.510000,2461751,reg
2025-07-28T00:00:00Z,425.900000,421.340000,428.860000,421.170000,2423723,reg
2025-07-29T00:00:00Z,422.740000,420.130000,423.650000,417.350000,2428781,reg
2025-07-30T00:00:00Z,420.130000,418.680000,422.800000,417.150000,1632102,reg
2025-07-31T00:00:00Z,417.130000,420.980000,422.584700,412.550100,2178023,reg
2025-08-01T00:00:00Z,420.760000,421.010000,423.960000,417.000000,2006314,reg
2025-08-04T00:00:00Z,420.000000,423.700000,424.600000,419.000000,1548178,reg
2025-08-05T00:00:00Z,423.330000,428.240000,430.070000,421.860000,1643922,reg
2025-08-06T00:00:00Z,427.765000,434.850000,436.620000,427.660100,2032345,reg
2025-08-07T00:00:00Z,430.430000,430.750000,434.850000,428.050000,1490332,reg
2025-08-08T00:00:00Z,431.190000,425.630000,433.590000,423.910000,1478047,reg
2025-08-11T00:00:00Z,426.000000,426.260000,427.820000,424.120000,1462070,reg
2025-08-12T00:00:00Z,425.920000,431.560000,431.590000,425.000000,1493389,reg
2025-08-13T00:00:00Z,432.520000,442.570000,443.450000,431.420000,1890577,reg
2025-08-14T00:00:00Z,436.040000,437.320000,443.900000,434.840000,1733619,reg
2025-08-15T00:00:00Z,437.840000,437.560000,441.425000,436.460000,1501663,reg
2025-08-18T00:00:00Z,440.550000,440.640000,443.770000,439.120000,1154395,reg
2025-08-19T00:00:00Z,439.860000,441.100000,444.500000,438.600000,1248122,reg
2025-08-20T00:00:00Z,440.140000,446.000000,447.080000,440.140000,1282792,reg
2025-08-21T00:00:00Z,444.990000,447.200000,448.490000,444.700000,1026288,reg
2025-08-22T00:00:00Z,450.000000,446.200000,452.560000,444.860100,1890334,reg
2025-08-25T00:00:00Z,447.070000,447.720000,448.750000,445.100000,985189,reg
2025-08-26T00:00:00Z,450.520000,455.460000,456.370000,447.000000,2051502,reg
2025-08-27T00:00:00Z,456.870000,454.470000,459.470000,454.000000,1294214,reg
2025-08-28T00:00:00Z,453.870000,456.180000,456.550000,450.360000,1386030,reg
2025-08-29T00:00:00Z,457.520000,455.630000,459.900000,454.875000,1373187,reg
2025-09-02T00:00:00Z,453.800000,452.500000,455.770000,447.590100,1645554,reg
2025-09-03T00:00:00Z,451.070000,449.060000,452.000000,446.690000,1541829,reg
2025-09-04T00:00:00Z,450.960000,456.850000,457.170000,449.500000,1449229,reg
2025-09-05T00:00:00Z,456.765000,463.900000,463.980000,456.765000,1465197,reg
2025-09-08T00:00:00Z,462.925000,459.110000,462.925000,452.765000,1477595,reg
2025-09-09T00:00:00Z,457.610000,457.060000,457.870000,452.420000,1008428,reg
2025-09-10T00:00:00Z,456.210000,463.870000,464.380000,455.710000,1076857,reg
2025-09-11T00:00:00Z,463.850000,470.730000,472.400000,462.990000,1623736,reg
2025-09-12T00:00:00Z,468.930000,471.310000,472.980000,467.170000,1041423,reg
2025-09-15T00:00:00Z,471.470000,473.250000,474.290000,468.990000,1148734,reg
2025-09-16T00:00:00Z,473.590000,474.320000,478.440000,471.665000,1156857,reg
2025-09-17T00:00:00Z,474.930000,473.120000,477.188500,472.635000,1016718,reg
2025-09-18T00:00:00Z,471.120000,473.620000,474.360000,467.990000,1108002,reg
2025-09-19T00:00:00Z,474.230000,472.940000,477.000000,471.380000,2839217,reg
2025-09-22T00:00:00Z,473.670000,480.390000,482.074500,473.010000,1410218,reg
2025-09-23T00:00:00Z,480.900000,486.670000,486.780000,479.340000,1135459,reg
2025-09-24T00:00:00Z,487.150000,486.250000,495.240000,485.510000,1424205,reg
2025-09-25T00:00:00Z,489.580000,484.340000,490.744800,484.060000,1205694,reg
2025-09-26T00:00:00Z,487.910000,487.440000,490.749900,484.570000,914275,reg
2025-09-29T00:00:00Z,497.000000,491.980000,498.986000,489.220000,1391134,reg
2025-09-30T00:00:00Z,492.580000,499.210000,499.890000,491.140000,1312722,reg
2025-10-01T00:00:00Z,496.170000,499.000000,504.070000,495.000000,1187448,reg
2025-10-02T00:00:00Z,499.240000,499.360000,503.600000,497.010000,915832,reg
2025-10-03T00:00:00Z,499.420000,504.490000,506.810000,499.245000,1006534,reg
2025-10-06T00:00:00Z,506.630000,514.240000,515.430000,506.630000,1389696,reg
2025-10-07T00:00:00Z,514.200000,511.070000,515.980000,509.135000,922414,reg
2025-10-08T00:00:00Z,515.250000,514.020000,516.000000,511.220000,798430,reg
2025-10-09T00:00:00Z,513.890000,507.760000,515.191200,503.810000,1185975,reg
2025-10-10T00:00:00Z,508.830000,505.050000,513.450000,500.540000,1313768,reg
2025-10-13T00:00:00Z,502.300000,503.830000,507.430000,500.000100,926722,reg
2025-10-14T00:00:00Z,501.250000,505.180000,506.999900,499.000000,1078265,reg
2025-10-15T00:00:00Z,503.000000,499.410000,505.000000,485.480000,1678496,reg
2025-10-16T00:00:00Z,500.740000,493.250000,501.310000,492.000000,1099659,reg
2025-10-17T00:00:00Z,490.480000,495.150000,496.680000,488.100000,1915507,reg
2025-10-20T00:00:00Z,496.430000,505.900000,505.900000,496.430000,1433308,reg
2025-10-21T00:00:00Z,482.710000,489.500000,506.600000,482.710000,2869991,reg
2025-10-22T00:00:00Z,491.470000,487.140000,492.410800,482.540000,1726057,reg
2025-10-23T00:00:00Z,488.120000,488.050000,493.980000,486.520000,1446086,reg
2025-10-24T00:00:00Z,490.280000,485.410000,491.820000,484.075000,1368445,reg
2025-10-27T00:00:00Z,484.080000,486.910000,487.310000,479.870000,1423236,reg
2025-10-28T00:00:00Z,486.370000,485.770000,489.400000,483.620000,1220554,reg
2025-10-29T00:00:00Z,485.000000,485.330000,488.817000,483.666200,971473,reg
2025-10-30T00:00:00Z,485.570000,489.720000,494.460000,485.500000,1080955,reg
2025-10-31T00:00:00Z,489.000000,491.880000,493.610000,486.050100,1185204,reg
2025-11-03T00:00:00Z,491.000000,487.940000,491.510000,484.750000,846724,reg
2025-11-04T00:00:00Z,484.460000,484.980000,488.500000,481.000000,1169694,reg
2025-11-05T00:00:00Z,483.020000,473.140000,485.845000,473.140000,1708024,reg
2025-11-06T00:00:00Z,473.110000,468.920000,474.180000,466.114700,1094022,reg
2025-11-07T00:00:00Z,468.900000,458.350000,469.405000,456.200000,2514529,reg
2025-11-10T00:00:00Z,456.000000,452.100000,457.100000,448.480000,1630052,reg
2025-11-11T00:00:00Z,451.665000,457.070000,461.770000,451.000000,1322089,reg
2025-11-12T00:00:00Z,456.140000,457.040000,459.770000,455.224500,935756,reg
2025-11-13T00:00:00Z,458.010000,455.850000,460.910000,455.100000,819819,reg
2025-11-14T00:00:00Z,455.850000,465.770000,466.390000,454.000000,1177328,reg
2025-11-17T00:00:00Z,467.280000,470.780000,471.600000,464.720000,1822363,reg
2025-11-18T00:00:00Z,475.220000,474.720000,485.000000,471.195800,1242107,reg
2025-11-19T00:00:00Z,472.000000,469.910000,472.420000,468.300000,861612,reg
2025-11-20T00:00:00Z,473.880000,468.260000,477.430000,465.020000,1044904,reg
2025-11-21T00:00:00Z,468.595000,460.780000,469.400000,459.960000,1575475,reg
2025-11-24T00:00:00Z,459.430000,451.060000,461.190000,450.060481,1411197,reg
2025-11-25T00:00:00Z,451.060000,452.410000,454.030000,448.480000,1615925,reg
2025-11-26T00:00:00Z,453.300000,454.160000,457.260000,452.980000,1299839,reg
2025-11-28T00:00:00Z,454.540000,457.860000,457.860000,452.610000,748020,reg
2025-12-01T00:00:00Z,453.280000,439.190000,454.085000,438.500000,1659207,reg
2025-12-02T00:00:00Z,440.980000,441.820000,442.750000,437.250000,1535584,reg
2025-12-03T00:00:00Z,443.410000,446.800000,448.470000,439.050000,1751846,reg
2025-12-04T00:00:00Z,448.180000,448.350000,449.530000,445.430000,1283664,reg
2025-12-05T00:00:00Z,447.780000,452.200000,452.820000,446.410000,1290903,reg
2025-12-08T00:00:00Z,453.500000,465.380000,465.560000,451.480000,1390663,reg
2025-12-09T00:00:00Z,466.280000,466.890000,472.810000,465.000000,1102519,reg
2025-12-10T00:00:00Z,465.210000,467.940000,473.080000,455.880000,2313731,reg
2025-12-11T00:00:00Z,470.290000,474.880000,479.700000,470.290000,1293962,reg
2025-12-12T00:00:00Z,475.660000,480.250000,480.840000,470.790000,1384459,reg
2025-12-15T00:00:00Z,478.990000,484.420000,484.770000,477.235000,1002652,reg
2025-12-16T00:00:00Z,479.610000,477.060000,479.785000,473.860000,1262401,reg
2025-12-17T00:00:00Z,471.000000,474.790000,476.890000,462.250000,1989183,reg
2025-12-18T00:00:00Z,472.410000,470.140000,476.200000,469.000000,1364004,reg
2025-12-19T00:00:00Z,466.340000,474.130000,475.720000,464.880000,2826455,reg
2025-12-22T00:00:00Z,474.960000,483.570000,485.020000,474.960000,1120783,reg
2025-12-23T00:00:00Z,484.000000,482.550000,484.950000,481.000000,864247,reg
2025-12-24T00:00:00Z,485.000000,485.750000,491.180000,484.450000,581596,reg
2025-12-26T00:00:00Z,485.200000,483.030000,487.059900,481.180000,606016,reg
2025-12-29T00:00:00Z,483.830000,488.870000,489.430000,483.290000,933384,reg
2025-12-30T00:00:00Z,489.340000,488.000000,491.700000,487.940000,996445,reg
2025-12-31T00:00:00Z,489.000000,483.670000,489.680000,483.520000,670337,reg
2026-01-02T00:00:00Z,483.250000,497.070000,497.160000,476.540000,1126471,reg
2026-01-05T00:00:00Z,503.930000,511.570000,515.880000,503.000000,1982594,reg
2026-01-06T00:00:00Z,517.060000,522.040000,538.730000,517.060000,2813074,reg
2026-01-07T00:00:00Z,525.310000,496.870000,532.375400,496.001000,4084938,reg
2026-01-08T00:00:00Z,531.890000,518.440000,542.870000,513.010000,4108772,reg
2026-01-09T00:00:00Z,525.880000,542.920000,546.070000,525.880000,2647693,reg
2026-01-12T00:00:00Z,548.960000,551.240000,554.270000,540.310000,2970017,reg
2026-01-13T00:00:00Z,560.020000,558.300000,563.300000,550.840000,2012997,reg
2026-01-14T00:00:00Z,556.990000,572.700000,578.040000,556.120000,2643085,reg
2026-01-15T00:00:00Z,568.660000,577.890000,579.600000,559.730000,1763376,reg
2026-01-16T00:00:00Z,578.210000,582.430000,582.930000,577.420000,2375721,reg
2026-01-20T00:00:00Z,580.000000,576.060000,586.850000,573.390000,1522344,reg
2026-01-21T00:00:00Z,576.060000,586.230000,588.970000,576.060000,1817740,reg
2026-01-22T00:00:00Z,585.180000,593.910000,595.945000,582.495000,1493620,reg
2026-01-23T00:00:00Z,594.640000,590.820000,596.225000,586.010000,1271698,reg
2026-01-26T00:00:00Z,590.000000,581.660000,590.400000,575.630000,1460532,reg
2026-01-27T00:00:00Z,580.000000,594.950000,595.870000,573.819200,1710669,reg
2026-01-28T00:00:00Z,592.900000,597.270000,599.320000,583.000100,1323994,reg
2026-01-29T00:00:00Z,609.240000,622.510000,645.670000,607.560000,3931918,reg
